	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"6824.Sporulation t0"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8204.steady state 29 dec C"	"8233.dtt 120 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"30463.Pomona/Brown pol2-12 red"	"33779.delYPL230w_stationary_phase_5hours"
"YBR089W"	-2.238	-2.052	-1.938	-1.703	-1.744	-0.214	-1.081	-0.286	-0.031	-0.438	-0.162	-2.938	-1.454	-0.488	-0.175	-0.788	-0.532	-3.547	-2.47	-1.306	-2.078	-1.621	0.589	-0.665	-0.876	-0.204	-1.05	0.467	-0.457	-0.822	-1.902	0.388	-1.855
"YCR055C"	-4.1	-3.895	-3.121	-3.998	-3.454	-0.9775	-3.998	-1.585	-2.786	-1.986	-1.367	-6.518	-3.193	-3.059	-2.704	-1.766	-1.97	-3.878	-6.433	-3.38	-3.796	-3.655	0.014	-2.904	-2.096	-1.969	-2.123	-0.065	-1.448	-1.703	-4.055	0.306	NaN
"YDL003W"	-1.651	-1.407	-0.903	-1.364	-1.0	-0.21	-0.776	-1.168	-1.354	-0.584	-0.208	-2.494	-2.13	-0.748	-1.183	-2.381	-1.805	-2.029	-2.692	-1.032	-1.32	-2.206	0.312	-0.407	-1.034	-0.104	-0.636	0.345	-0.279	-2.232	-1.146	-0.519	-2.422
"YDL051W"	-2.35	-2.784	-2.447	-3.059	-3.066	-0.722	-1.544	-1.316	-1.688	-1.321	-0.777	-3.639	-2.402	-2.024	-1.821	-1.668	-2.07	-2.856	-3.563	-1.884	-2.198	-1.985	-0.169	-1.945	-1.858	-1.64	-1.961	0.04	-0.588	-1.28	-3.388	0.484	-3.192
"YDL153C"	-4.549	-4.333	-3.047	-4.369	-3.668	-0.432	-2.643	-2.224	-2.998	-2.31	-1.684	-3.698	-2.049	-1.68	-1.637	-0.928	-1.855	-0.684	-2.931	-2.125	-2.307	-1.325	-0.217	-2.642	-2.132	-2.125	-2.373	0.054	-1.348	-0.996	-4.079	0.145	-5.47
"YDL201W"	-2.68	-2.05	-1.932	-2.515	-1.652	-0.434	-2.201	-1.048	-1.274	-1.095	-0.696	-3.282	-2.32	-1.899	-1.819	-1.285	-1.952	-1.537	-4.94	-1.858	-2.29	-2.112	0.306	-1.275	-1.213	-1.373	-1.767	0.218	-0.826	-0.902	-2.398	0.266	-2.492
"YDR025W"	-1.598	-2.141	-2.0	-3.031	-3.248	-1.0	-1.096	-0.98	-1.822	-1.268	-0.964	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-2.477	-3.357	-3.356	0.144	-1.767	-0.948	-1.45	-1.463	0.344	-0.766	-1.7675	-3.042	0.238	-3.906
"YDR064W"	-1.589	-1.917	-1.077	-2.822	-3.039	-0.644	-0.84	-0.792	-0.86	-0.953	-0.838	-3.874	-3.241	-2.585	-2.577	-2.639	-2.597	-3.761	-5.03	-1.992	-3.208	-3.138	-0.088	-1.489	-1.026	-2.324	-1.878	0.151	-0.786	-1.996	-2.16	-0.3315	-2.891
"YDR091C"	-2.613	-2.435	-2.061	-2.869	-2.781	-0.878	-2.561	-0.763	-1.854	-1.327	-0.911	-3.288	-2.045	-1.789	-1.68	-1.547	-1.362	-3.384	-4.4	-2.163	-2.925	-2.268	0.11	-2.074	-1.731	-1.652	-1.604	0.159	-0.482	-1.376	-2.972	0.35	-2.953
"YDR165W"	-3.154	-2.85	-2.419	-2.874	-2.762	-0.581	-1.9	-0.962	-1.752	-1.294	-0.968	-4.096	-2.538	-2.179	-2.247	-1.905	-2.27	-3.111	-5.309	-2.69	-3.015	-2.243	-0.097	-2.129	-1.683	-1.967	-1.516	0.277	-0.889	-1.0245	-2.787	-0.5455	-3.205
"YDR300C"	-3.037	-2.562	-1.889	-2.371	-2.279	-0.07	-1.927	-0.702	-1.611	-1.409	-0.897	-2.126	-1.055	-0.777	-0.844	-1.426	-1.012	-3.24	-3.71	-1.781	-2.152	-1.395	0.114	-0.791	-0.709	-0.949	-1.248	0.267	-0.218	-1.091	-2.771	-0.105	-2.895
"YDR398W"	-5.035	-4.358	-3.115	-4.082	-3.388	-1.07	-3.183	-1.274	-1.783	-1.42	-0.783	-4.143	-2.42	-2.114	-1.993	-1.694	-1.937	-2.774	NaN	-2.012	-3.069	-2.517	0.321	-2.147	-1.57	-1.277	-2.006	-0.015	-1.076	-1.998	-4.269	0.248	-3.061
"YDR418W"	-1.733	-1.94	-1.617	-2.789	-3.411	-0.817	-0.801	-0.431	-1.178	-1.012	-0.736	-3.707	-3.13	-2.7	-2.237	-2.192	-2.976	-3.074	-5.866	-2.231	-3.315	-3.181	-0.076	-2.07	-1.378	-2.095	-2.023	0.433	-0.616	-2.345	-2.74	-0.194	-3.263
"YDR447C"	-1.927	-2.299	-2.149	-3.242	-3.562	-0.646	-1.292	-1.401	-1.542	-1.567	-1.217	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	-2.316	-3.574	-3.565	-0.032	-2.33	-1.793	-2.456	-2.291	0.585	-1.073	-2.1165	-2.593	0.1595	-4.358
"YDR496C"	-5.251	-3.9025	-3.671	-4.953	-4.7405	-0.79	-3.085	-1.787	-2.809	-2.2355	-1.793	-3.1645	-1.29	-2.3365	-2.027	-1.674	-2.018	-3.591	-4.393	-2.7355	-4.5275	-2.8145	0.347	-3.5775	-2.461	-3.151	-2.808	0.108	-1.5675	-1.889	-5.1875	0.1055	-1.917
"YER049W"	-2.706	-2.312	-1.931	-2.247	-2.219	-0.877	-1.811	-0.552	-1.892	-1.202	-0.844	-2.916	-2.05	-2.231	-1.562	-2.16	-1.746	-3.769	-4.541	-1.185	-2.359	-2.226	0.033	-1.278	-1.3	-0.884	-1.07	0.431	-0.475	-1.47	-2.642	-0.087	0.012
"YER082C"	-2.842	-2.255	-1.948	-2.651	-2.474	-0.559	-1.576	-0.862	-1.763	-1.246	-0.893	-2.646	-1.654	-1.064	-0.936	-0.648	-1.291	-0.61	-3.108	-0.869	-1.978	-1.17	-0.216	-1.843	-1.491	-1.161	-1.57	0.126	-0.55	-0.566	-2.385	0.306	1.598
"YER102W"	-1.613	-2.227	-1.876	-2.922	-3.415	-1.525	-0.754	-1.364	-1.302	-1.36	-1.134	-3.932	-3.965	-3.177	-2.924	-2.3	-2.578	-3.64	-6.434	-2.571	-3.101	-3.625	0.068	-1.83	-1.701	-1.931	-1.792	0.375	-0.711	-2.388	-2.712	0.121	-2.385
"YER127W"	-2.809	-2.38	-1.952	-3.051	-2.807	-0.434	-1.94	-0.689	-1.278	-1.104	-0.7	-3.292	-2.064	-1.821	-1.672	-1.949	-2.155	-2.611	-4.439	-2.177	-2.835	-2.486	-0.025	-1.641	-0.933	-2.207	-1.783	0.309	-0.901	-1.479	-3.328	-0.3205	-3.601
"YER149C"	-1.261	-1.008	-0.681	-0.527	-0.623	0.024	-0.461	-0.171	-0.249	-0.164	0.032	-1.368	-1.196	-0.502	-0.456	-0.495	-0.292	-1.758	-2.447	-0.168	-0.347	-0.892	0.064	0.145	-0.076	0.235	0.202	0.188	-0.124	-0.41	-0.677	0.286	-1.414
"YFR031BC"	-1.637	-2.494	-2.027	-3.278	-3.975	-1.727	-1.335	-1.102	-1.486	-1.45	-1.145	-4.567	-3.823	-3.84	-2.931	-2.798	-2.801	-4.702	-7.029	-2.484	-3.328	-3.949	-0.325	-2.164	-1.713	-2.365	-2.146	0.352	-0.779	-2.438	-3.021	0.136	NaN
"YGL076C"	-1.995	-2.09	-1.99	-2.744	-3.119	-0.842	-1.065	-1.311	-1.355	-1.333	-1.087	-3.969	-3.136	-2.73	-2.564	-2.446	-2.401	-3.976	-5.667	-2.396	-3.32	-2.996	-0.125	-1.847	-1.305	-1.888	-1.94	0.27	-0.865	-1.8735	-2.656	-0.434	-3.347
"YGL078C"	-4.33	-3.709	-3.238	-4.399	-3.428	-0.427	-2.77	-1.691	-2.465	-1.909	-1.356	-4.866	-2.556	-1.916	-1.553	-1.111	-2.045	-2.215	-4.455	-2.562	-2.914	-2.134	-0.21	-3.376	-2.165	-2.267	-2.353	-0.293	-1.349	-1.112	-4.147	0.087	-3.576
"YGL120C"	-3.316	-3.231	-3.301	-3.954	-3.877	-0.996	-1.855	-1.357	-1.851	-1.325	-0.824	-4.557	-3.087	-2.692	-1.947	-2.077	-2.282	-4.088	-5.111	-3.085	-3.171	-3.229	-0.06	-1.588	-1.59	-1.027	-1.427	0.226	-0.665	-2.122	-3.8	-0.445	-3.546
"YGL169W"	-1.767	-2.256	-1.534	-2.077	-2.435	-0.724	-1.71	-0.702	-1.618	-1.086	-0.693	-3.307	-1.775	-1.137	-1.378	-0.991	-0.953	-1.674	-4.274	-1.26	-2.332	-2.065	-0.056	-1.314	-1.263	-1.225	-1.179	0.004	-0.558	-0.428	-1.989	0.021	-1.832
"YGR034W"	-2.251	-2.191	-2.26	-3.059	-2.884	-0.845	-1.764	-1.034	-1.131	-1.2	-1.029	-3.922	-3.172	-3.096	-2.637	-2.107	-2.998	-3.052	-6.281	-2.746	-3.268	-2.935	0.093	-2.077	-1.514	-1.605	-1.776	0.38	-0.786	-1.469	-2.708	-0.441	-4.347
"YGR085C"	-2.061	-1.952	-2.023	-2.966	-3.664	-0.601	-1.162	0.379	-1.064	-1.229	-0.866	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-6.059	-2.19	-3.071	-3.255	0.29	-2.111	-1.518	-1.917	-2.035	0.563	-0.755	-2.156	-2.908	0.269	-3.45
"YGR123C"	-3.5875	-3.2965	-3.0495	-4.1895	-3.748	-1.046	-2.491	-1.145	-1.517	-1.265	-1.031	-4.447	-2.7	-2.234	-2.041	-1.249	-2.224	-3.794	-4.328	-2.958	-2.878	-2.97	-0.129	-1.73	-1.141	-1.647	-1.535	0.187	-1.262	-1.7365	-4.594	-0.0215	-3.836
"YGR148C"	-1.979	-2.184	-1.777	-2.942	-3.2425	-0.934	-1.124	-1.347	-1.236	-1.39	-1.075	-3.45	-3.596	-3.464	-3.033	-2.31	-2.615	-3.884	-5.757	-2.075	-3.141	-3.011	-0.28	-2.108	-1.621	-1.901	-1.746	0.276	-1.027	-2.7095	-2.591	0.491	-3.103
"YGR187C"	-2.837	-2.2925	-1.6905	-2.126	-2.5625	-0.454	-1.843	0.251	-1.91	-1.472	-1.077	-2.942	-2.082	-1.876	-1.392	-1.08	-1.208	-2.024	-3.678	-1.765	-2.234	-2.079	0.084	-1.77	-1.27	-1.439	-1.414	0.222	-0.784	-1.119	-2.453	0.178	-3.256
"YHL039W"	-1.61	-1.80466666666667	-1.67766666666667	-1.884	-1.65033333333333	0.295	-1.2925	-0.8125	-1.5485	-1.121	-0.9165	-1.821	-0.65	-0.617	-0.4815	-0.6035	-0.4745	-0.9825	-3.2375	-1.4785	-1.8015	-1.4405	0.27	-1.3425	-1.293	-0.945	-1.1425	0.173	-0.483	-0.508	-1.70533333333333	0.2905	-2.317
"YHR020W"	-2.592	-3.22	-2.5795	-3.3085	-3.731	-1.623	-2.062	-1.62	-2.358	-1.797	-1.288	-4.019	-2.214	-3.114	-3.057	-2.887	-2.709	-2.69	-4.045	-2.469	-2.898	-3.053	0.015	-2.165	-1.735	-1.753	-2.038	-0.042	-1.172	-2.656	-3.5805	0.262	-3.861
"YHR062C"	-2.1055	-1.882	-1.8745	-2.1985	-2.079	-0.693	-1.343	-0.219	-0.769	-0.61	-0.296	-2.847	-1.483	-0.398	-1.112	-1.151	-1.312	-0.664	-4.381	-1.691	-2.092	-1.629	0.016	-0.75	-0.653	-1.122	-0.92	0.255	-0.576	-1.302	-2.44	-0.12	-0.945
"YHR170W"	-5.3995	-4.622	-4.14	-4.723	-3.947	-0.829	-3.256	-1.627	-2.551	-1.78	-1.288	-4.51	-1.901	-2.071	-1.573	-1.404	-2.063	-2.573	-4.858	-2.326	-2.759	-2.694	0.245	-2.244	-2.093	-1.733	-1.888	0.29	-1.598	-1.761	-5.252	0.205	-3.601
"YHR196W"	-4.423	-3.5265	-2.834	-3.894	-3.3595	-0.508	-2.675	-0.816	-2.207	-1.513	-1.221	-3.061	-2.692	-2.23	-1.968	-1.4	-1.573	-2.447	0.884	-1.847	-2.461	-2.348	0.142	-2.024	-1.232	-1.575	-1.655	0.294	-1.428	-2.135	-3.967	0.023	-2.306
