	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"1012.YPD 12 h (25C)"	"1107.alpha factor release sample025"	"1255.mec1_plus_gamma_90_min"	"1310.diauxic shift timecourse: 9.5 hr"	"2064.Hypo-osmotic shock - 5 min"	"2555.Hypo-osmotic shock -30 minutes"	"4778.DBY7286 + 0.3 mM H2O2 - 30 min"	"5239.DES460 (wt) - mock irradiation - 30 min"	"6676.wt - 0.3 mM H2O2 - 30 min"	"7537.25C -- 45 min"	"7760.Na 45min"	"8204.steady state 29 dec C"	"12739.Nitrogen Depletion 30 min."	"12744.heat shock 17 to 37, 20 minutes"	"17694.Missouri Western State College 10 uM DAPI Cy5 12 hrs (exp 2)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32631.S1Comp 20 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33259.delKIN82_heat shock _15min"	"34350.wt_hypo_osmotic_shock_30min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"42192.L2 Comp 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YBR247C"	-4.144	-4.052	-3.103	-2.541	-3.015	-3.19	-2.137	-3.127	-2.334	-2.222	-1.672	-3.42	-2.12	-3.969	-2.429	-3.3455	-0.0105	0.0	-0.16	0.236	0.981	-0.775	0.269	0.984	1.008	-2.939	0.249	-2.3215	-2.961	-0.355	-3.457	-2.974	-2.345	-0.266	-2.802	-0.408	-0.102	-0.18	-1.085	-1.341
"YDL153C"	-2.245	-4.549	-4.333	-3.047	-4.369	-3.668	-2.034	-2.643	-2.992	-2.998	-2.31	-3.698	-2.049	-2.931	-2.125	-2.633	0.237	0.147	0.217	0.059	0.855	0.439	-0.1	0.085	0.773	-2.642	0.054	-2.284	-4.079	0.365	-1.446	-2.5	-2.189	-1.196	-1.85	-0.498	0.067	-0.076	-0.923	0.896
"YDR324C"	-3.084	-3.512	-2.824	-2.336	-3.184	-3.012	-2.096	-3.403	-1.933	-2.199	-1.5	-3.361	-2.361	-4.131	-2.225	-2.573	-0.215	-0.079	0.005	0.309	0.762	-0.321	-0.183	-0.856	0.724	-3.039	0.149	-2.242	-3.609	0.018	-0.844	-2.29	-1.944	-0.6335	-1.5535	-0.565	-0.264	-0.353	0.5645	-0.363
"YER006W"	-2.048	-2.652	-2.781	-2.921	-3.321	-3.148	-1.902	-1.441	-2.459	-2.831	-2.335	-4.011	-2.738	-4.571	-2.104	-2.857	0.049	0.019	0.283	0.365	1.054	-0.065	0.661	0.205	1.471	-2.718	0.133	-1.676	-2.714	-0.5135	-1.903	-1.117	-1.821	0.227	-1.886	0.184	0.104	-0.168	-1.653	-0.775
"YGR103W"	-2.926	-4.795	-5.229	-4.485	-5.118	-3.624	-2.494	-2.974	-3.378	-3.985	-3.38	-4.825	-3.051	-5.518	-2.869	-4.861	0.136	0.096	-0.007	0.141	1.046	-0.328	-0.162	0.315	1.99	-3.571	-0.002	-2.474	-5.075	-0.898	-3.088	-4.921	-3.6885	-1.45	-3.2185	-0.3095	0.0845	-0.0965	-1.765	-0.4055
"YGR245C"	-2.6095	-5.097	-5.1995	-3.9345	-4.2355	-3.9115	-2.3165	-2.202	-3.099	-3.022	-2.579	-4.207	-2.765	-3.799	-3.177	-3.164	0.071	-0.129	0.157	0.069	1.223	0.358	0.711	-0.397	1.911	-2.621	0.012	-2.587	-4.6765	-2.08	-2.295	-4.281	-2.645	-0.297	-2.373	-0.015	0.173	0.164	-0.947	-0.68
"YHR066W"	-2.6315	-3.7505	-3.0515	-2.9815	-3.762	-3.552	-1.7305	-2.046	-2.473	-2.073	-1.432	-4.885	-2.062	-5.203	-2.29	-2.742	0.045	0.196	0.097	0.107	0.72	0.244	-0.016	0.637	0.698	-2.447	0.085	-1.28	-4.347	-0.488	-2.551	-3.068	-1.906	-1.489	-2.219	-0.094	-0.19	-0.159	-0.765	-0.051
"YHR170W"	-3.765	-5.3995	-4.622	-4.14	-4.723	-3.947	-1.526	-3.256	-2.518	-2.551	-1.78	-4.51	-1.901	-4.858	-2.326	-2.314	-0.027	0.107	0.418	0.127	0.897	0.677	0.048	0.503	1.244	-2.244	0.29	-1.98	-5.252	-0.442	-2.606	-3.576	-2.405	-1.893	-2.772	-0.506	-0.298	-0.411	-2.997	-0.333
"YJL034W"	2.3345	2.3265	1.0535	2.095	2.375	2.4665	-0.584	1.349	1.605	1.493	1.882	-0.72	-0.584	-3.805	-1.021	-1.584	0.23	-0.025	0.379	0.249	0.236	0.383	0.341	0.163	-1.934	-2.08	-0.181	-1.084	2.325	-0.021	2.957	2.567	1.781	0.788	2.266	0.586	-0.068	0.189	-1.182	-0.44
"YJR002W"	-3.138	-3.52066666666667	-2.819	-2.21066666666667	-2.34	-3.20666666666667	-1.86166666666667	-2.205	-1.834	-1.98	-1.6755	-2.9885	-1.465	-4.416	-2.145	-2.212	-0.0945	-0.088	0.052	-0.07	0.351	-0.049	0.2705	-0.3665	1.0275	-2.0865	0.04	-1.341	-3.31866666666667	-0.483	-2.667	-3.252	-2.36	-1.012	-2.97	-0.4	-0.031	-0.106	-0.556	0.414
