	"80.cdc15 070 min"	"81.cdc15 090 min"	"298.Tunicamycin vs. Ctrl"	"597.25 deg growth"	"686.YP ethanol vs reference pool"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1009.YPD 2 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"5187.MHY1 (crt1) vs CRY1 (wild type)"	"6668.wt - 0.1 mM H2O2 - 10 min"	"8197.steady state 25 dec C"	"8204.steady state 29 dec C"	"8213.steady state 36 dec C"	"8282.Gal induced MCM1 vs. Glucose"	"12744.heat shock 17 to 37, 20 minutes"	"16338.DES460 vs. DES460 YPD log phase control"	"21634..24 mM H2O2- 155 minutes"	"28841.P2Comp 08 hr 19 min Phosphate Batch vs Chemostat Comparison2"	"28842.P2Comp 08 hr 48 min Phosphate Batch vs Chemostat Comparison2"	"30462.Pomona/Brown Sir3xpol2-12 red"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"37282.CC SP 1B  Sulfate-Phosphate Chemostat Comparison"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YBL015W"	0.178	-0.549	-1.7625	-0.247	1.7975	-1.419	5.024	5.917	6.238	5.529	5.067	5.683	3.054	2.42	3.555	3.823	4.083	-0.0595	4.465	4.511	3.428	2.5535	2.011	3.164	2.507	-0.135	0.984	0.24	-0.104	0.034	-0.143	-2.057	2.179	-0.358	0.62	-0.4465	0.85	0.327	-0.086	2.919	4.406	4.118	3.333	4.665	4.922	4.309	2.012	-1.152	2.275	2.679	2.555
"YBL027W"	-0.117	0.0	-0.947	0.393	-0.596	0.836	-2.851	-2.474	-2.081	-1.613	-2.0	-1.606	-1.199	-2.494	-2.654	-2.507	-2.33	0.318	-3.9845	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	-0.007	0.15	0.245	0.658	0.678	-0.126	0.909	-3.078	-0.0865	0.064	0.363333333333333	-0.472666666666667	0.3605	-0.0365	-3.528	-3.012	-2.469	-3.351	-3.139	-2.319	-2.291	-1.501	0.671	-0.609	-0.875	-0.986
"YBR001C"	-0.553	NaN	0.152	-0.644	0.0475	-0.558	2.619	2.187	1.881	1.769	1.586	1.2	1.509	1.543	1.521	0.91	0.344	0.0605	1.608	1.192	1.7015	1.9575	1.422	1.087	0.433	0.0165	-0.206	0.268	-0.554	-0.316	0.446	-0.836	2.65	0.1	0.735	-0.4035	0.011	0.104	0.024	2.763	2.003	1.557	3.111	2.161	1.915	1.4	0.503	-0.512	0.641	0.413	0.551
"YBR048W"	0.118	1.113	-0.6305	0.1525	-1.201	1.0585	-3.385	-2.4795	-2.968	-2.171	-2.248	-2.2475	-2.0405	-3.0685	-3.137	-3.295	-3.375	0.315666666666667	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	0.190666666666667	0.035	0.415	0.53	0.4805	0.0225	0.263	-2.7435	-0.0493333333333333	0.356333333333333	-0.0475	-0.32475	0.097	-0.118	-4.043	-3.545	-3.133	-4.089	-3.69	-2.483	-2.711	-1.681	0.467	-0.811	-1.159	-1.783
"YBR050C"	NaN	NaN	1.0565	0.176	1.5875	-2.383	5.011	5.572	4.866	4.627	5.031	4.593	2.354	2.689	1.8	4.167	3.989	-0.314	4.2885	3.8095	2.7305	2.8655	1.9415	1.801	0.72	0.225	0.102	-0.032	-0.512	-0.784	-0.36	-1.331	-0.049	-0.137	-0.482	-0.2495	0.031	0.211	0.093	3.813	5.024	2.646	3.557	5.076	3.644	3.428	2.22	-1.541	2.278	2.469	2.37
"YBR132C"	0.454	0.437	-1.0615	-0.344	1.3345	-1.07	3.812	4.245	3.753	3.08	2.979	0.879	2.801	2.822	2.258	2.139	1.598	0.235	3.2645	2.806	3.039	2.2645	2.852	2.966	1.005	-0.2205	0.33	0.215	-0.489	-0.188	0.222	-1.171	2.946	-0.272	-0.532	-1.1845	-1.0935	0.259	0.266	2.199	1.794	1.896	2.438	2.318	2.465	1.723	0.767	-0.879	1.01	-0.642	1.351
"YBR181C"	0.046	0.099	-1.064	0.372	-0.8695	1.337	-3.762	-3.149	-2.554	-2.265	-1.94	-2.747	-1.706	-3.3	-3.365	-3.159	1.639	0.3865	-5.0305	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	0.2295	0.062	0.061	0.678	0.678	0.239	0.833	-3.584	-0.227	0.4425	1.062	1.069	-0.0415	-0.0605	-3.618	-2.718	-2.109	-2.98	-3.274	-1.849	-2.601	-1.982	0.673	-0.729	-1.333	-1.888
"YBR189W"	0.051	0.034	-0.4095	0.291	-1.0835	0.827	-3.784	-3.224	-3.356	-2.463	-2.154	-2.355	-1.532	-3.071	-3.483	-2.334	-2.025	0.4715	-3.678	-2.112	-2.629	-2.467	-1.9305	-1.8835	-2.9475	0.262	0.187	0.004	0.794	0.798	0.096	0.663	-3.818	-0.058	0.59	0.849	0.268	0.237	-0.2375	-4.874	-3.763	-4.477	-4.739	-3.572	-3.188	-3.569	-1.949	1.065	-1.176	-0.998	-1.783
"YBR269C"	0.756	0.288	0.5945	-0.588	0.933	-0.063	2.741	2.945	2.559	2.732	2.162	2.8	1.66	1.892	1.738	1.554	-1.942	0.141	1.4035	0.7315	0.9415	1.2435	2.2165	2.4575	1.712	0.0315	0.233	0.185	-0.033	0.093	0.942	-0.64	1.514	-0.185	1.098	-0.532	0.083	0.3	0.171	2.787	2.806	2.464	3.255	2.921	2.478	2.659	1.557	-0.016	2.166	2.849	2.368
"YCR005C"	1.145	1.352	0.2385	0.988	-0.4645	0.452	3.867	5.82	5.783	5.231	5.499	5.116	2.492	2.823	4.211	5.319	5.162	0.1225	3.0955	3.5215	2.775	2.624	1.925	2.6975	1.642	-0.53	-0.624	-0.399	0.514	-0.242	-0.431	-0.767	1.459	0.005	-0.252	0.358	0.352	0.484	0.395	4.879	4.885	4.312	1.374	4.851	5.713	4.363	0.265	-0.656	0.101	0.517	1.341
"YDL082W"	-0.048	-0.131	-0.925	0.324	-0.785	1.11	-3.223	-2.484	-2.853	-1.739	-1.446	-1.723	-1.504	-2.537	-3.01	-1.18	-2.105	0.406	-2.915	-1.919	-2.383	-2.182	-2.186	-3.001	-3.589	0.063	0.586	0.375	0.511	0.561	-0.279	0.294	-3.338	-0.095	0.651	1.197	0.9675	0.372	-0.321	-4.398	-3.698	-2.463	-4.518	-3.314	-3.014	-3.155	-2.089	0.74	-0.996	-1.462	-1.687
"YDL136W"	NaN	NaN	-0.86	0.354	-0.482	0.897	-2.487	-2.162	-1.881	-1.898	-1.505	-1.663	-1.483	-2.561	-2.366	-2.176	0.593	-0.022	-3.134	-1.775	-1.594	-1.555	-1.233	-1.094	-1.756	0.22	-0.117	0.303	0.836	0.461	0.127	0.922	-2.185	0.3285	0.363	0.2005	0.4335	0.0865	-0.1145	-3.888	-2.995	-2.084	-3.628	-3.042	-2.456	-2.594	-1.538	0.598	-0.612	-0.99	-1.552
"YDL181W"	NaN	NaN	-0.319	-1.0	1.258	-2.101	3.242	4.01	3.18	3.522	2.531	2.078	1.803	1.454	1.885	1.926	1.82	0.064	1.105	0.95	1.15	1.275	2.199	2.115	1.918	0.09	-2.322	-0.789	-1.119	-0.956	1.29	-1.356	2.524	-0.149	0.387	-0.366	0.073	0.122	0.004	2.071	3.955	4.511	2.282	2.777	3.384	2.764	0.982	0.861	0.269	1.126	-0.106
"YDL191W"	-0.896	-1.035	-1.104	0.173	-0.561	0.331	-1.985	-2.367	-2.75	-2.497	-1.853	-1.975	-1.309	-2.911	-2.813	-2.518	-2.408	0.034	-3.616	-2.354	-1.999	-2.077	-1.362	-1.942	-2.86	0.158	-0.122	0.183	0.493	0.497	-0.033	0.842	-1.898	0.056	0.3075	0.5255	0.023	0.3135	-0.2955	-3.35	-2.399	-1.73	-3.234	-2.557	-1.83	-2.46	-1.532	0.59	-0.964	-1.04	-1.593
"YDR025W"	-0.6915	-0.6965	-1.085	-0.137	-1.0	0.848	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-1.997	-3.357	-3.356	-3.471	-3.326	0.191	-4.504	-2.828	-1.915	-2.886	-2.503	-2.895	-3.518	-0.035	-0.168	0.341	0.304	0.344	-0.201	-0.188	-3.042	0.1185	0.7465	0.299	0.065	0.223	-0.1195	-4.772	-3.127	-2.93	-3.906	-3.552	-2.869	-2.535	-1.818	0.676	-0.719	-1.013	-1.535
"YDR085C"	NaN	-0.17	0.614	-0.319	0.082	0.556	3.595	2.344	2.333	2.932	3.419	3.647	2.354	2.494	2.705	1.973	2.361	-0.044	2.788	2.298	2.313	3.068	1.129	1.345	0.216	0.007	0.133	0.182	-0.25	-0.138	-0.114	0.022	2.086	0.164	-0.014	-0.263	0.24	0.497	-0.112	2.526	2.335	1.901	3.365	2.189	2.049	1.943	1.459	-0.799	1.07	1.256	1.281
"YDR178W"	0.706	0.79	-1.086	-0.414	1.659	-1.258	4.036	4.991	4.84	4.165	3.532	3.684	2.618	2.667	2.86	2.289	-1.676	0.129	3.646	3.21	3.039	2.416	1.376	2.78	1.896	0.016	0.008	-0.406	-0.097	0.028	0.722	-1.847	2.656	-0.092	1.1315	-1.5725	-1.1665	0.2255	0.0385	4.18	4.862	4.365	3.685	4.946	4.481	3.474	1.615	0.297	2.491	3.1	2.272
"YDR358W"	-0.792	-0.658	0.068	-0.135	0.879	0.449	4.268	3.057	2.909	3.162	3.18	3.398	2.838	2.493	2.23	1.681	1.637	0.081	1.563	1.366	2.181	1.908	0.632	1.315	1.563	0.473	0.763	0.276	-0.037	0.168	0.284	-0.362	2.402	0.042	-0.077	-0.298	0.1	0.177	0.044	2.662	2.369	1.427	3.478	2.433	2.088	1.87	-0.186	-0.635	0.351	-1.006	1.638
"YDR418W"	0.569	0.622	-1.131	0.345	-0.817	1.447	-3.707	-3.13	-2.7	-2.237	-2.192	-2.976	-1.601	-3.315	-3.181	-2.797	-2.605	0.581	-4.449	-2.5	-2.792	-2.82	-2.866	-3.091	-4.066	0.253	0.039	0.368	0.545	0.433	-0.282	-0.173	-2.74	0.062	0.756	1.076	0.416	0.198	-0.151	-4.005	-2.423	-1.873	-3.263	-3.057	-2.027	-3.381	-1.732	0.466	-0.25	-0.294	-1.225
"YDR436W"	-0.253	-0.07	-0.027	-0.306	0.699	-1.043	2.736	1.998	1.493	2.42	1.623	1.931	1.353	1.892	1.265	1.616	1.168	0.018	1.359	0.897	1.373	1.788	1.551	1.763	1.216	0.068	-0.052	0.099	-0.245	-0.129	0.144	-0.822	2.048	0.188	-0.248	-0.121	0.562	0.218	0.221	1.746	1.459	1.562	2.833	2.13	1.813	1.404	0.013	-0.017	0.078	-0.389	-0.151
"YDR447C"	-0.383	-0.249	-1.165	0.259	-0.646	0.463	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-2.128	-3.574	-3.565	-2.813	-3.129	0.24	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	0.176	0.257	0.045	0.339	0.585	-0.356	0.641	-2.593	0.428	0.165	0.0215	-0.1845	0.312	-0.285	-3.67	-2.356	-1.471	-4.358	-3.418	-2.211	-3.223	-1.622	0.646	-0.704	-0.943	-1.595
"YEL012W"	-0.662	-0.542	0.616	-0.511	0.951	-1.539	3.329	3.222	3.376	2.713	2.665	3.0	2.017	1.923	2.342	2.194	1.934	-0.145	3.408	2.354	2.721	2.891	2.976	2.45	2.286	0.04	-0.312	0.238	-0.547	-0.341	0.492	-0.005	1.368	-0.0605	-0.391	0.146	0.2865	0.778	-0.0495	3.207	3.655	3.532	3.596	3.65	3.773	3.083	1.74	0.104	0.694	1.311	1.392
"YEL024W"	0.378	0.557	-0.616	-0.519	1.353	-0.315	3.871	4.61	4.009	3.979	3.509	3.632	2.147	2.151	2.122	1.702	1.991	0.4	3.986	3.281	2.635	2.156	2.171	2.77	1.823	-0.042	0.14	-0.353	-0.243	0.15	0.631	-1.456	1.645	0.08	0.774	-1.206	-1.5065	0.2285	0.097	2.957	3.587	2.637	2.609	3.024	3.3	3.32	0.548	0.697	0.718	1.259	1.302
"YEL054C"	-0.579	-0.79	-1.12	0.466	-0.77	1.472	-3.654	-2.711	-2.761	-1.871	-1.511	-2.981	-1.881	-3.039	-3.52	-3.003	-2.232	0.546	-3.347	-2.336	-2.777	-2.579	-2.504	-3.005	-3.554	0.091	0.341	0.428	0.362	0.344	-0.107	0.156	-3.251	-0.136	0.72	0.283	-0.2875	0.2935	0.1225	-4.422	-2.487	-3.239	-3.815	-2.936	-2.194	-2.75	-1.911	0.972	-1.071	-0.959	-1.931
"YER024W"	0.3535	0.1115	-0.253	-0.136	1.492	0.573	4.222	5.101	5.089	4.708	4.47	4.755	1.452	2.797	4.06	5.22	4.747	-0.238	3.348	3.848	2.82	2.599	2.31	3.434	2.595	-0.009	1.076	0.484	0.0	0.115	0.659	0.106	0.599	0.279	-0.09	-0.168	-0.368	-0.562	-0.072	1.235	1.507	1.572	-0.331	1.357	2.452	2.365	0.735	0.669	-0.211	-0.457	0.527
"YFL030W"	0.0	0.091	-0.887	NaN	2.563	NaN	5.129	6.226	5.464	5.205	4.117	4.727	2.573	2.7	3.876	3.816	-0.438	-0.126	2.943	2.283	1.658	1.492	0.868	2.121	1.485	0.494	0.096	-0.171	-0.462	-0.072	0.2	-2.335	1.361	0.2115	0.3905	-1.562	-1.2415	0.0735	-0.1445	4.615	5.946	4.669	3.875	5.276	5.619	4.065	1.816	-0.596	2.312	2.538	2.805
"YFL042C"	-0.66	-0.518	-0.039	NaN	0.531	NaN	2.869	2.429	2.398	2.575	2.152	2.445	1.412	1.783	2.03	1.711	1.797	0.001	1.858	1.945	2.067	1.74	1.694	1.744	0.991	0.173	0.63	-0.021	-0.16	0.045	0.41	-0.173	1.923	0.0645	-0.048	-0.4235	0.171	0.078	0.122	1.577	1.237	0.855	2.535	1.636	1.409	1.379	-0.079	-0.528	-0.583	-1.16	0.073
"YFR014C"	NaN	NaN	0.622	0.073	0.726	-0.852	3.37	2.231	2.562	2.286	2.257	1.277	2.178	2.178	1.757	1.133	0.712	0.529	2.067	1.696	1.853	1.688	0.526	0.106	-0.659	-0.185	-0.32	-0.17	-0.324	-0.214	-0.182	-1.082	1.78	0.0525	0.018	-0.229	0.0335	-0.1575	-0.2565	2.37	2.128	1.534	3.16	1.658	1.65	1.73	1.214	-0.266	1.818	0.934	1.566
