	"856.YPD_10_h_30C"	"11828.Pomona College Bio164: WT/rad27 mRNA"
"YAL041W"	-0.491	-3.951
"YAL045C"	0.276	-2.883
"YBL019W"	1.559	-3.896
"YBR016W"	0.03	-3.536
"YBR030W"	-0.769	-2.914
"YBR049C"	0.158	-4.891
"YBR064W"	0.512	-3.894
"YBR167C"	0.282	-1.517
"YCL052C"	1.316	-4.17
"YCLX12W"	-0.304	-3.975
"YCR007C"	1.868	-5.062
"YCR038C"	0.856	-3.353
"YCR080W"	0.29	-2.941
"YCR099C"	-0.028	-5.714
"YDL018C"	1.122	-2.874
"YDL034W"	0.834	-5.304
"YDL087C"	-0.55	-6.531
"YDL089W"	-0.165	-3.225
"YDL118W"	0.027	-1.9595
"YDL231C"	0.295	-1.8815
"YDR016C"	0.179	-2.126
"YDR126W"	0.985	-5.298
"YDR145W"	0.114	-2.687
"YDR287W"	1.273	-3.259
"YDR316W"	1.291	-6.257
"YDR330W"	1.847	-5.7
"YDR332W"	0.87	-3.195
"YDR369C"	0.81	-4.161
"YDR400W"	-0.436	-4.576
"YDR468C"	0.657	-2.693
"YDR489W"	-0.523	-3.404
"YEL062W"	0.892	-2.3185
"YER184C"	1.028	-2.4635
"YFL049W"	0.394	-3.49
"YFR048W"	0.738	-4.459
"YGR010W"	2.248	-4.265
"YGR183C"	3.093	-6.375
"YGR220C"	0.306	-2.04
"YGR233C"	1.421	-5.672
"YGR288W"	1.625	-3.302
"YIL005W"	0.653	-3.396
"YIL037C"	0.89	-4.406
"YIL050W"	1.889	-5.802
"YIL059C"	1.165	-4.4
"YIL079C"	-1.967	-5.022
"YIL108W"	1.026	-4.932
"YIL138C"	0.501	-6.443
"YIR043C"	1.503	-4.209
"YJL023C"	1.516	-3.49
"YJL093C"	0.862	-3.649
"YJL207C"	0.2315	-4.391
"YJR083C"	0.531	-2.962
"YJR100C"	1.263	-5.548
"YKL218C"	1.686	-3.018
"YKR011C"	2.023	-3.73
"YLR121C"	0.029	-4.501
"YLR204W"	1.063	-3.755
"YLR280C"	0.6615	-2.885
"YLR334C"	0.096	-4.687
"YLR357W"	-0.738	-3.16
"YLR368W"	0.703	-3.263
"YLR458W"	1.204	-4.267
"YMR007W"	0.982	-4.954
"YMR039C"	0.437	-3.297
"YMR051C"	0.128	-3.663
"YMR063W"	0.83	-3.728
"YMR100W"	0.722	-3.248
"YMR319C"	0.0875	-3.533
"YNL171C"	0.564	-2.988
"YNR071C"	-0.2875	-7.57
"YNR073C"	0.357	-4.7
"YNR076W"	0.4425	-3.781
"YOL001W"	0.2335	-4.361
"YOL003C"	0.374	-6.257
"YOL017W"	-0.5505	-4.712
"YOR081C"	1.329	-2.97
"YOR226C"	-1.1475	-7.5
"YOR229W"	0.326	-6.728
"YOR256C"	0.7545	-3.416
"YOR274W"	1.2115	-1.956
"YOR288C"	1.251	-4.406
"YOR342C"	0.0186666666666667	-5.267
"YPL168W"	0.6295	-4.2
"YPL191C"	0.685	-4.177
"YPL206C"	1.552	-5.547
"YPL264C"	1.4135	-4.423
"YPR178W"	-0.3105	-4.728
"YPR189W"	-0.275666666666667	-2.4195
