	"515.2.5mM DTT 045 min"	"516.2.5mM DTT 060 min"	"686.YP ethanol vs reference pool"	"799.Heat Shock 005 minutes"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"985.constant 0.32 mM H2O2 (20 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"1313.diauxic shift timecourse: 20.5 hr"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"6824.Sporulation t0"	"8247.steady state 36 dec C: y14n095"	"33414.delKIN82_heat shock _0min_repeat"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38155.03II01 batch p11"
"YHR203C"	-0.005	-0.131	-2.628	0.148	-1.393	-1.236	-1.061	-3.926	-2.827	-3.148	-2.671	-3.782	-5.944	-0.226	-3.774	-3.412	-3.049	-0.973	-4.669	-2.276	-2.575	-3.081	-3.941	2.739	-1.59	-1.717	0.083	0.242	0.058	0.304	0.626	0.323	-4.467	-3.308	-2.46	0.162	0.172	-3.717	-3.449	-2.785	-3.424	-2.05	-2.966	-4.293	-3.001	-2.029
"YIL052C"	-0.513	-0.528	-0.87	0.172	-1.067	-1.113	-0.775	-3.856	-3.261	-2.954	-2.61	-2.895	-6.278	-0.148	-2.793	-2.559	-2.622	-1.1215	-4.174	-2.279	-2.162	-2.5	-3.158	1.879	-1.653	-1.876	0.373	0.257	-0.239	0.185	-0.066	0.088	-3.32	-2.562	-2.217	0.933	0.291	-2.821	-2.677	-1.94	-3.315	-1.331	-1.791	-3.128	-2.473	-2.14
"YJL177W"	-0.215	-0.038	-1.171	0.163	-1.454	-1.371	-0.963	-4.132	-3.846	-3.2	-2.981	-3.255	-5.49	-0.677	-3.772	-3.428	-3.164	-0.92	-5.074	-2.17	-1.768	-2.278	-2.905	2.74	-1.495	-2.013	0.558	0.264	0.17	-0.023	0.558	0.034	-4.72	-4.004	-3.278	0.026	0.211	-4.54	-4.115	-3.056	-3.266	-1.853	-2.619	-3.25	-2.986	-2.298
"YJR123W"	0.016	0.154	-1.858	0.284	-1.155	-1.317	-1.214	-3.844	-3.276	-3.279	-3.375	-4.381	-9.147	-0.128	-3.529	-3.442	-3.646	-1.149	-4.282	-2.083	-2.639	-3.543	-4.006	2.581	-1.817	-2.097	0.14	0.058	-0.57	-0.153	1.029	0.553	-4.305	-3.113	-2.761	0.518	0.491	-3.711	-4.025	-2.566	-3.587	-1.533	-2.636	-3.755	-2.787	-3.029
"YJR145C"	0.24	0.038	-1.487	0.131	-1.453	-1.379	-1.129	-4.507	-3.488	-3.177	-2.731	-3.54	-6.528	-0.173	-3.547	-3.597	-3.707	-1.243	-4.857	-1.988	-2.519	-3.105	-3.178	2.789	-1.631	-2.236	0.027	0.111	0.112	-0.139	0.879	0.072	-4.335	-3.373	-2.551	0.081	0.064	-4.108	-3.771	-2.74	-2.94	-1.724	-2.609	-3.905	-2.836	-2.894
"YLL045C"	-0.388	-0.545	-0.971	0.517	-1.27	-1.25	-0.851	-3.851	-3.176	-2.506	-2.189	-3.857	-6.618	-0.031	-3.335	-3.185	-2.744	-1.049	-3.66	-2.096	-2.943	-3.021	-3.731	2.059	-1.577	-2.692	0.184	-0.06	0.258	-0.04	1.033	0.3	-3.449	-2.833	-2.875	-0.164	0.064	-3.788	-3.87	-2.635	-2.362	-2.053	-2.703	-2.778	-2.191	-2.416
"YLR029C"	0.396	0.155	-1.619	0.112	-1.413	-1.602	-1.122	-3.174	-2.641	-3.465	-2.572	-3.615	-6.877	-0.214	-2.809	-2.78	-2.648	-1.287	-3.178	-1.893	-2.242	-2.378	-2.987	2.331	-1.666	-1.8	-0.221	0.162	0.37	-0.148	0.302	0.346	-3.518	-2.733	-2.594	0.216	-0.065	-3.637	-2.766	-2.153	-2.685	-1.718	-2.464	-3.267	-2.565	-2.432
"YLR062C"	-0.283	-0.189	-1.091	0.435	-1.241	-1.17	-0.933	-4.53	-4.418	-3.352	-3.067	-5.705	-6.896	-0.695	-3.985	-3.965	-3.18	-0.871	-4.96	-2.666	-4.299	-4.293	-5.234	2.319	-2.06	-2.368	0.516	0.409	-0.324	0.031	0.671	0.577	-3.806	-3.723	-3.681	-0.165	-0.236	-4.54	-4.001	-2.894	-3.419	-1.905	-2.779	-3.141	-2.876	-2.878
"YLR088W"	-0.133	0.0	0.149	-0.262	-0.19	0.102	-0.006	-0.478	-0.196	0.427	-0.073	-2.639	-4.686	-0.302	-0.746	-0.859	0.238	-0.134	-0.314	-0.191	-1.292	-1.303	-1.482	-0.293	-0.16	-0.29	0.139	0.093	-0.033	-0.125	0.218	0.009	-1.972	-1.218	-1.024	0.081	-0.089	-1.308	-1.237	-0.927	-1.506	0.185	0.135	0.172	0.284	-0.754
"YLR142W"	-0.688	-0.67	1.781	0.518	0.641	0.669	0.296	3.095	4.015	5.049	5.05	6.188	5.372	2.17	4.467	4.387	4.716	0.093	4.418	4.268	3.893	5.129	4.349	-0.717	1.918	3.052	-0.293	-0.973	-0.094	0.167	0.733	-0.602	3.775	2.898	3.279	-0.502	-0.756	1.179	3.978	2.474	4.307	1.506	2.665	3.59	3.102	2.434
