	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL009W"	-1.8765	0.7995
"YBL070C"	-5.367	0.891
"YBR075W"	-3.53	0.774
"YBR102C"	-2.397	2.224
"YBR157C"	-5.88	0.96
"YCL028W"	-3.622	-0.052
"YCR002C"	-5.182	2.551
"YCRX17W"	-5.7	0.363
"YDL002C"	-2.488	2.344
"YDL015C"	-4.309	0.991
"YDL018C"	-1.767	2.966
"YDL076C"	-2.312	0.782
"YDL084W"	-4.827	1.301
"YDL201W"	-4.94	1.004
"YDR017C"	-4.141	1.245
"YDR051C"	-3.843	-0.235
"YDR061W"	-3.856	0.987
"YDR095C"	-1.233	0.2165
"YDR163W"	-1.587	0.5375
"YDR192C"	-1.891	1.658
"YDR207C"	-3.626	1.185
"YDR212W"	-4.59	0.559
"YDR227W"	-4.083	0.984
"YDR240C"	-5.54	1.101
"YDR303C"	-7.617	1.143
"YDR324C"	-4.131	1.167
"YDR416W"	-2.837	2.368
"YDR464W"	-1.0095	0.9085
"YDR489W"	-2.293	2.241
"YEL031W"	-4.685	1.21
"YEL062W"	-1.756	2.1235
"YER016W"	-9.725	-0.616
"YER017C"	-1.8035	1.26266666666667
"YER105C"	-3.477	0.976
"YER156C"	-3.573	1.12
"YER166W"	-1.4465	1.29533333333333
"YFL018C"	-3.047	0.5015
"YFL045C"	-4.897	0.697
"YGL013C"	-1.903	0.467
"YGL044C"	-1.381	-0.711
"YGL122C"	-2.74	-1.79
"YGL199C"	-2.864	1.498
"YGL239C"	-3.568	0.992
"YGR058W"	-6.235	2.077
"YGR074W"	-3.891	-0.295
"YGR106C"	-4.143	0.654
"YGR135W"	-4.32	0.938
"YGR262C"	-2.52	2.258
"YGR266W"	-4.267	3.194
"YHL023C"	-3.097	3.9435
"YHR003C"	-2.627	0.888
"YHR038W"	-2.799	-0.421
"YHR059W"	-4.493	3.955
"YHR119W"	-2.884	3.116
"YHR184W"	-2.157	1.647
"YHR201C"	-4.155	1.291
"YHR208W"	-4.064	5.133
"YIL062C"	-3.897	1.216
"YIL175W"	-2.263	0.62
"YIR008C"	-4.516	-1.05
"YJL047C"	-2.265	1.151
"YJL104W"	-2.716	1.775
"YJL105W"	-3.299	0.507
"YJL167W"	-7.538	-1.136
"YJL178C"	-3.307	0.793
"YJL183W"	-4.986	1.335
"YJR006W"	-3.835	0.927
"YJR068W"	-3.298	0.593
"YJR105W"	-4.641	-0.945
"YJR132W"	-3.493	1.06
"YKL060C"	-4.684	-0.749
"YKL070W"	-0.511	2.046
"YKL080W"	-5.94	5.981
"YKL090W"	-1.217	1.797
"YKL105C"	-1.009	1.662
"YKL130C"	-2.755	0.541
"YKL214C"	-3.441	0.614
"YKR040C"	-2.0525	2.567
"YKR074W"	-3.298	0.728
"YKR084C"	-3.0	5.427
"YKR105C"	-1.426	2.247
"YLL004W"	-3.568	0.615
"YLL011W"	-4.961	0.65
"YLR027C"	-4.006	1.057
"YLR075W"	-6.109	-1.451
"YLR182W"	-3.638	3.322
"YLR212C"	-6.673	-0.688
"YLR253W"	-2.717	0.783
"YLR263W"	-6.165	-1.994
"YLR278C"	-1.1305	0.586
"YLR441C"	-12.655	1.093
"YLR450W"	-3.7345	0.659
"YML051W"	-0.274	NaN
"YML068W"	-0.603	0.908
"YMR028W"	-4.06	1.133
"YMR036C"	1.226	1.61
"YMR047C"	-3.61	0.3705
"YMR049C"	-9.471	3.621
"YMR066W"	-2.329	-0.262
"YMR067C"	-3.054	0.621
"YMR086W"	-2.973	NaN
"YMR212C"	-6.75	1.4335
"YMR298W"	-3.399	4.1185
"YNL010W"	-4.52	0.7265
"YNL024C"	-4.876	0.846
"YNL039W"	-1.752	1.259
"YNL051W"	-3.07	0.164
"YNL056W"	-2.312	0.0235
"YNL076W"	-2.959	2.2075
"YNL166C"	-6.013	0.4285
"YNL199C"	-2.171	0.5805
"YNL210W"	-4.105	1.004
"YNL217W"	-6.303	2.134
"YNL250W"	-2.161	0.42
"YNL259C"	-4.038	0.188
"YNL317W"	-2.822	0.118
"YNL320W"	-4.0	4.934
"YNR021W"	-4.4025	0.797
"YOL039W"	-7.971	-1.542
"YOL113W"	-5.106	1.472
"YOR025W"	-4.774	1.804
"YOR148C"	-1.901	1.355
"YOR159C"	-4.8345	4.019
"YOR203W"	-4.508	1.007
"YOR207C"	-9.516	2.32
"YOR250C"	-5.506	1.164
"YOR275C"	-3.1555	0.511
"YOR320C"	-3.6785	0.604
"YOR336W"	-2.029	1.596
"YPL084W"	-4.6735	1.774
"YPL097W"	-3.829	0.347
"YPL129W"	-5.13	0.593
"YPR053C"	-4.695	-0.15
"YPR129W"	-6.025	NaN
"YPR148C"	-3.536	0.914
