	"29.alpha factor release sample016"	"35.alpha factor release sample015"	"37.alpha factor release sample018"	"39.alpha factor release sample027"	"40.alpha factor release sample029"	"49.Elutriation2:Sample2:Time0.0hrs"	"50.Elutriation2:Sample2:Time0.5hrs"	"52.Elutriation2:Sample2:Time1.5hrs"	"53.Elutriation2:Sample2:Time2.0hrs"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"57.Elutriation2:Sample2:Time4.0hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"59.alpha factor release sample013"	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"632.Elutriation2:Sample2:Time4.5hrs"	"634.Elutriation2:Sample2:Time6.5hrs"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"809.DBY7286 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1099.alpha factor release sample030"	"1107.alpha factor release sample025"	"1662.cdc15 030 min"	"1673.alpha factor release sample021"	"1674.Elutriation2:Sample2:Time5.5hrs"	"1679.Elutriation2:Sample2:Time6.0hrs"	"2141.Elutriation2:Sample2:Time1.0hrs"	"4048.0.8M NaCl +FK506 - 30 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6362.DES459 (mec1-) + 0.02% MMS - 5 min"	"7535.25C -- 15 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12739.Nitrogen Depletion 30 min."	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"17676.Na+FK 45min (4)"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"
"YBL027W"	-0.2765	-0.136	-0.2855	0.1045	0.167	-0.7295	0.234	0.4105	0.9215	0.879	0.466	0.819	0.475	0.2805	0.0885	0.183	-0.054	-2.395	-2.014	-1.979	-1.98	-1.956	-2.978	-3.487	1.4805	-0.668	-1.561	0.2445	0.2405	1.274	1.424	-1.67	-2.851	-2.474	-2.081	-1.613	-2.0	-1.606	-2.671	-5.577	-1.996	-1.199	-2.494	-2.654	-2.507	-2.33	-3.9845	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	-0.497	0.0945	-0.0485	0.264	0.159	0.125	-0.117	0.4805	-0.451	-0.029	-0.007	-1.803	0.514	0.639	1.029	0.311	-0.599	-1.345	-0.802	-0.985	-1.419	-1.848	-0.7525	-1.3565	-3.078	-1.362	-2.107	-3.528	-3.012	-2.469	-3.351	-3.139	-2.319	-2.291	-1.501	-2.319	-2.736
"YBL039C"	-0.7325	-0.9895	-0.1395	0.0545	0.024	-1.695	-0.288	0.5705	0.925	0.9035	0.2885	0.2615	-0.138	-0.028	0.166	0.352	0.225	-4.793	-5.089	-4.124	-2.316	-4.307	-4.486	-3.781	1.272	-3.234	-3.815	0.3765	0.0105	1.424	1.128	-2.236	-3.74	-3.092	-3.457	-2.373	-2.908	-3.004	-4.323	-7.004	-3.306	-1.782	-2.736	-2.628	-2.386	-2.176	-4.7305	-2.8885	-3.4265	-3.9535	-3.7495	-4.251	-3.5775	0.223	0.495	0.173	0.979	0.3875	-0.594	-0.5685	-0.126	-2.695	-1.366	-0.0805	-1.76	0.552	1.66	1.896	1.681	-1.896	-3.176	-2.334	-1.392	-2.572	-2.654	-4.277	-3.728	-4.956	-3.5065	-4.509	-1.635	-2.769	-2.12	-3.951	-3.379	-2.546	-2.162	-1.908	1.894	-2.98
"YBR001C"	0.484	0.8215	0.1965	0.2185	-0.167	0.575	0.2225	0.323	-0.0545	-0.3065	-0.0785	0.0895	-0.1485	-0.4285	-0.5315	0.117	0.78	2.369	2.494	2.534	1.722	2.084	1.983	2.046	-1.102	-1.082	-0.386	-0.294	0.2825	-1.642	-1.0	1.053	2.619	2.187	1.881	1.769	1.586	1.2	1.431	-0.254	1.895	1.509	1.543	1.521	0.91	0.344	1.608	1.192	1.7015	1.9575	1.422	1.087	0.433	0.067	0.8835	-0.0985	NaN	0.044	0.039	0.0445	0.0025	1.142	1.941	0.0165	1.011	-0.133	-0.932	-1.359	-1.307	0.564	0.979	0.687	0.504	0.653	0.873	0.808	0.807	2.65	1.3475	1.791	2.763	2.003	1.557	3.111	2.161	1.915	1.4	0.503	1.084	1.185
"YBR181C"	-0.2715	-0.067	-0.3745	0.252	0.225	-1.1925	-0.038	0.4495	0.491	0.5805	0.102	0.5555	0.528	0.108	0.1275	0.085	-0.061	-2.142	-1.997	-2.16	-1.949	-2.256	-3.249	-3.825	1.236	-1.937	-2.59	0.5115	0.086	1.308	1.121	-1.677	-3.762	-3.149	-2.554	-2.265	-1.94	-2.747	-3.798	-4.564	-2.527	-1.706	-3.3	-3.365	-3.159	1.639	-5.0305	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	-0.282	0.226	0.253	0.227	0.187	0.202	-0.066	0.0845	-1.225	-0.306	0.2295	-2.057	0.8	0.463	1.084	0.567	-1.739	-2.255	-1.478	-0.688	-1.846	-1.46	-0.724	-1.593	-3.584	-1.75933333333333	-2.931	-3.618	-2.718	-2.109	-2.98	-3.274	-1.849	-2.601	-1.982	-2.4	-3.426
"YBR191W"	-0.0585	-0.2565	-0.31	0.1615	0.327	-0.6505	0.4185	0.4475	0.6015	0.6455	0.5065	0.736	0.3465	0.3905	-0.037	0.227	0.061	-2.07	-2.149	-1.945	-1.586	-2.052	-3.136	-3.824	1.0965	-0.976	-1.401	0.5075	0.224	1.388	0.879	-1.55	-3.54	-3.222	-3.049	-2.249	-1.912	-2.071	-3.167	-5.241	-2.114	-1.619	-3.152	-3.411	-2.563	-2.467	-4.5465	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.4195	-1.2495	0.029	-0.032	0.0465	0.1205	-0.15	0.334	-0.725	-0.228	0.1555	-1.951	0.467	0.394	0.954	0.73	-1.389	-1.908	-1.153	-0.928	-1.611	-1.764	-1.667	-2.4545	-3.463	-1.649	-1.94	-3.687	-3.657	-2.538	-2.427	-3.266	-2.298	-2.872	-1.925	-2.316	-2.908
"YBR247C"	-0.5495	-1.044	-0.3845	-0.37	-0.1425	-2.0475	-0.1845	0.4205	0.7155	0.5535	0.0515	0.1415	0.0175	-0.3115	0.045	0.012	0.018	-4.052	0.598	-3.103	-1.515	-2.541	-3.015	-3.19	0.982	-1.714	-1.244	0.4085	-0.008	0.856	0.852	-0.996	-3.42	-2.12	-1.692	-1.628	-1.522	-0.898	-2.212	-3.969	-2.429	-2.164	-3.12	-1.618	-1.623	-1.939	-3.3455	-2.0405	-1.839	-1.689	-2.2255	-2.389	-2.378	-0.135	0.184	-0.0105	1.256	0.2115	-0.407	-0.523	-0.639	-2.109	-0.692	0.076	-1.065	0.428	0.93	1.142	1.008	-1.811	-2.939	-1.846	-1.363	-2.327	-2.346	-2.3215	-1.806	-2.961	-2.2005	-2.974	-2.285	-2.153	-1.74	-1.576	-2.15	-1.289	-1.747	-1.741	-2.315	-2.294
"YCL054W"	-0.359	-1.025	-0.15	-0.191	-0.31	-1.201	0.053	0.09	0.691	0.731	0.406	0.217	-0.277	0.093	-0.144	0.132	-0.018	-3.545	-3.187	-2.942	-1.717	-2.871	-3.741	-3.668	0.824	-2.152	-2.641	0.129	0.013	1.068	1.027	-1.011	-3.386	-2.092	-2.133	-1.078	-0.941	-1.571	-3.059	-2.063	-2.044	-2.67	-2.121	-2.124	-1.496	-1.18	-4.0705	-2.049	-2.2245	-2.4215	-2.631	-3.313	-3.1775	0.157	0.094	-0.088	1.192	-0.133	-0.6	-0.639	-0.168	-1.758	-0.022	0.121	-0.993	0.516	2.187	2.054	1.534	-1.599	-1.884	-1.438	-1.11	-1.505	-1.54	-2.3605	-2.2055	-4.039	-2.153	-4.037	-2.945	-2.617	-1.203	-3.761	-2.107	-2.043	-2.179	-1.981	-1.406	-2.26
"YDR129C"	0.307	0.605	0.426	0.163	0.144	1.272	0.418	0.16	-0.033	-0.262	-0.017	0.016	0.089	-0.204	0.361	0.204	0.253	2.102	1.904	1.626	1.363	1.799	1.854	1.869	-0.535	0.433	1.596	-0.235	0.148	-0.612	-0.737	1.384	1.497	0.755	0.265	0.216	-0.496	-0.532	-1.059	-1.818	0.656	1.095	0.924	0.255	0.05	-0.161	0.832	0.714	0.404	0.366	0.226	0.049	-0.491	0.106	-0.387	0.087	NaN	-0.021	0.226	-0.099	0.061	-0.108	0.597	-0.052	1.269	0.293	-0.549	-0.063	-0.625	0.089	0.388	0.039	-0.284	0.011	0.18	0.248	0.319	1.874	-0.0365	1.387	1.762	1.484	0.814	2.201	1.513	1.107	0.449	0.673	0.849	0.715
"YDR165W"	-0.052	-0.416	-0.051	-0.106	-0.044	-0.868	0.002	0.208	0.471	0.465	0.261	-0.129	-0.271	0.134	0.057	0.114	0.06	-3.154	-3.024	-2.85	-1.603	-2.419	-2.874	-2.762	0.933	-1.364	-1.473	0.172	-0.153	1.095	0.852	-1.001	-4.096	-2.538	-2.179	-2.247	-1.905	-2.27	-3.111	-5.309	-2.69	-1.82	-3.015	-2.243	-1.636	-1.883	-3.057	-1.816	-1.396	-1.582	-1.767	-2.409	-2.23	0.115	0.317	0.27	0.625	0.362	-0.445	-0.5	-0.03	-1.398	-0.929	-0.044	-0.784	0.558	0.773	0.902	0.918	-1.455	-2.129	-1.683	-0.891	-1.967	-1.516	-1.795	-1.047	-2.787	-1.7495	-3.068	-2.479	-2.722	-1.934	-3.205	-2.632	-2.085	-2.255	-1.941	-1.724	-2.032
"YDR312W"	-0.089	-0.944	-0.17	-0.375	-0.129	-1.199	0.056	0.42	0.597	0.605	0.373	0.006	-0.22	0.017	-0.246	0.101	0.003	-3.237	-2.732	-2.335	-1.08	-2.086	-2.512	-2.345	1.168	-1.413	-1.743	0.287	-0.199	1.025	0.66	-0.833	-2.564	-1.147	-1.312	-0.536	-0.793	-1.364	-2.612	-3.564	-1.377	-1.741	-1.829	-1.774	-0.923	-0.638	-2.515	-1.444	-1.492	-1.373	-2.214	-2.451	-2.68	0.133	0.131	-0.002	0.403	0.403	-0.314	-0.43	-0.268	-1.7	-0.316	0.281	-0.899	0.79	0.833	0.892	0.903	-1.445	-2.148	-1.425	-0.951	-1.776	-2.069	-1.436	-0.913	-3.04	-1.795	-2.314	-1.874	-1.157	-0.826	-2.572	-1.141	-0.295	-0.263	-1.88	-1.234	-1.182
"YDR324C"	-0.476	-0.661	-0.621	-0.149	-0.201	-1.409	-0.39	0.247	0.526	0.352	0.028	-0.264	-0.477	-0.478	0.061	-0.361	-0.32	-3.512	-3.118	-2.824	-1.838	-2.336	-3.184	-3.012	1.059	-1.707	-1.539	0.426	-0.179	1.134	0.753	-0.741	-3.361	-2.361	-1.762	-1.602	-1.715	-1.813	-1.208	-4.131	-2.225	-1.967	-2.212	-1.921	-1.118	-1.962	-2.573	-2.143	-2.391	-1.803	-2.77	-2.306	-3.071	-0.022	-0.089	-0.215	0.02	0.183	-0.324	-0.38	-0.286	-2.608	-0.131	-0.173	-0.751	0.565	0.947	0.8	0.724	-2.297	-3.039	-1.914	-1.672	-1.945	-2.099	-2.242	-1.371	-3.609	2.651	-2.29	-1.857	-2.128	-1.1035	-3.2975	-2.27	-0.931	-1.0265	-1.1195	-1.203	-1.8575
"YDR398W"	-0.154	-0.66	-0.354	-0.488	-0.158	-1.837	0.352	0.138	0.879	0.564	-0.155	-0.004	-0.165	0.001	0.134	-0.161	0.077	-5.035	-4.725	-4.358	NaN	-3.115	-4.082	-3.388	1.169	-1.729	-1.603	0.579	-0.008	1.167	1.048	-0.799	-4.143	-2.42	-2.114	-1.993	-1.694	-1.937	-2.774	NaN	-2.012	-2.064	-3.069	-2.517	-1.62	-1.907	-2.112	-1.881	-1.798	-1.896	-1.285	-1.949	-2.194	-0.39	-0.143	0.266	0.996	-0.051	-1.108	-0.938	-0.479	-1.798	-0.528	0.385	-0.805	0.491	1.141	0.824	0.684	-1.142	-2.147	-1.57	-0.887	-1.277	-2.006	-1.825	-1.347	-4.269	NaN	-4.76	-1.745	-2.397	0.247	-3.061	-1.999	-1.457	-0.955	-2.117	-1.864	-1.868
"YDR450W"	0.286	-0.137	0.295	0.573	0.455	-0.451	0.512	0.574	0.905	0.917	0.84	0.606	0.426	0.792	-0.067	0.321	0.063	-1.91	-1.876	-1.979	-2.047	-1.959	-2.844	-3.077	1.408	-1.698	-2.605	0.5	0.08	1.176	0.963	-1.559	-3.254	-2.797	-2.204	-1.895	-2.039	-1.925	-2.6	NaN	-2.564	-1.924	-3.208	-3.201	-2.618	-2.153	-4.313	-2.118	-2.576	-2.784	-2.988	-2.959	-3.465	0.297	0.434	0.302	0.475	0.408	0.077	-0.122	0.823	-1.023	0.198	0.282	-1.894	0.767	0.772	1.252	1.072	-1.487	-2.182	-1.523	-1.045	-1.786	-1.692	-0.894	-1.939	-3.008	-2.471	-1.894	-3.787	-3.762	-2.344	-3.594	-3.453	-2.352	-2.575	-1.63	-2.232	-2.605
"YDR500C"	-0.078	-0.21	-0.087	0.138	0.131	-0.24	0.395	0.465	0.344	0.488	0.496	0.725	0.286	0.211	-0.272	0.07	-0.183	-1.785	-1.58	-1.558	-1.668	-1.699	-2.205	-2.773	1.235	-0.752	-0.948	0.45	0.263	1.186	0.848	-1.204	-2.796	-2.33	-2.289	-1.732	-1.533	-1.281	-2.587	-2.649	-2.017	-1.339	-2.364	-2.622	-2.006	-1.983	-3.376	-1.917	-1.925	-1.831	-1.422	-1.041	-2.16	-0.29	-0.013	0.0	0.47	0.145	-0.03	0.314	0.233	-0.144	-0.19	-0.104	-1.362	0.49	0.354	0.777	0.731	-0.458	-1.191	-0.622	-0.547	-1.275	-1.53	-1.578	-2.011	-2.258	-0.6815	-1.206	-2.971	-2.436	-1.455	-3.3	-2.439	-1.961	-2.211	-1.558	-2.085	-2.681
"YEL011W"	0.253	0.938	-0.196	-0.16	-0.318	1.59	0.72	-0.336	-1.361	-0.911	-0.27	0.253	0.275	-0.067	-0.352	-0.446	-0.165	5.079	3.833	3.123	1.913	2.585	3.093	2.441	-1.585	-0.208	-0.316	-0.195	0.674	-2.279	-3.165	1.499	4.662	3.869	4.663	4.646	4.72	4.761	5.15	3.465	3.366	4.014	2.876	3.74	3.022	2.308	4.997	3.795	3.906	3.266	3.642	5.213	4.068	-0.358	-0.047	-0.157	0.155	0.076	0.826	0.93	0.149	3.455	2.301	-0.352	1.031	-0.334	-0.655	-0.641	-1.046	2.28	2.248	1.944	1.646	1.416	1.67	2.243	2.326	2.474	1.7145	2.707	1.332	1.65	1.956	3.83	2.462	1.915	2.422	1.157	1.816	1.963
"YER117W"	0.208	-0.031	0.241	0.323	0.318	-0.599	0.487	0.687	1.065	0.99	0.911	0.797	0.443	0.83	0.036	0.413	0.13	-1.836	-1.667	-1.868	-1.677	-2.379	-2.386	-3.056	1.276	-0.825	-1.455	0.396	0.448	1.391	0.782	-1.481	-2.982	-2.613	-2.377	-1.817	-2.008	-1.95	-2.832	-5.642	-2.458	-1.947	-3.05	-3.141	-2.843	-2.483	-3.768	-1.917	-2.534	-2.571	-2.312	-2.562	-2.976	0.292	0.347	0.261	0.181	0.24	0.095	-0.112	0.757	-0.851	-0.328	0.308	-1.753	0.304	0.423	0.981	0.372	-1.322	-1.82	-1.278	-0.903	-1.931	-1.863	-1.623	-2.116	-3.314	-1.603	-2.377	-3.319	-2.632	-2.403	-3.238	-3.345	-2.147	-2.128	-1.531	-2.478	-2.922
"YGL078C"	-0.552	-1.121	-0.306	-0.188	0.294	-1.425	-0.482	0.271	0.665	0.446	0.367	-0.328	-0.291	-0.053	0.327	0.159	0.091	-4.33	-1.515	-3.709	-1.968	-3.238	-4.399	-3.428	1.47	-1.967	-1.788	0.38	-0.299	1.485	1.169	-1.172	-4.866	-2.556	-1.916	-1.553	-1.111	-2.045	-2.215	-4.455	-2.562	-1.861	-2.914	-2.134	-2.156	-1.979	-4.196	-1.897	-1.879	-1.744	-2.103	-1.515	-2.198	0.222	0.119	0.198	1.142	0.295	-0.495	-0.884	-0.244	-2.446	-0.749	0.117	-1.172	0.573	1.211	1.63	1.471	-2.395	-3.376	-2.165	-1.541	-2.267	-2.353	-2.341	-2.548	-4.147	-2.624	-3.538	-3.53	-2.245	-1.151	-3.576	-1.995	-1.225	-0.948	-2.828	-2.365	-2.616
"YGR027C"	0.138	0.088	-0.053	0.315	0.336	-0.327	-0.055	0.826	0.899	0.884	0.552	0.611	0.389	0.566	0.296	0.107	0.255	-1.27	-1.296	-1.591	-1.563	-1.539	-1.968	-2.341	1.159	-0.881	-1.674	0.357	0.187	1.017	0.858	-1.469	-3.433	-2.572	-1.843	-1.632	-1.57	-1.697	-2.797	-5.39	-2.445	-1.812	-3.005	-2.616	-2.612	-2.307	-4.002	-1.612	-1.779	-1.889	-1.187	-1.867	-2.368	-0.059	0.277	0.162	0.339	0.135	0.354	0.064	0.497	-0.528	-0.187	0.238	-1.786	0.57	0.364	0.81	0.453	-0.939	-1.308	-1.106	-0.462	-1.482	-1.504	-0.936	-1.555	-2.069	-2.048	-1.264	-2.956	-3.132	-1.687	-3.188	-2.624	-2.011	-2.186	-1.052	-1.951	-2.328
"YGR085C"	0.195	-0.091	0.268	0.451	0.401	-0.14	0.243	0.939	1.039	0.995	0.829	0.685	0.294	0.628	0.117	0.287	0.271	-2.061	-0.901	-1.952	-1.491	-2.023	-2.966	-3.664	1.473	-0.974	-1.138	0.45	0.156	1.133	1.122	-1.501	-3.713	-3.301	-2.511	-2.202	-2.29	-2.146	-3.406	-6.059	-2.19	-1.594	-3.071	-3.255	-3.013	-2.215	-4.359	-2.106	-2.625	-2.77	-3.306	-3.54	-4.179	0.413	0.444	0.272	0.571	0.486	0.266	-0.16	0.765	-0.858	-0.212	0.278	-1.815	0.637	0.361	0.88	0.455	-1.295	-2.111	-1.518	-0.338	-1.917	-2.035	-1.073	-1.712	-2.908	-1.94	-2.338	-4.004	-2.792	-2.272	-3.45	-3.003	-2.048	-1.785	-1.736	-2.54	-3.52
"YGR136W"	-0.146	0.428	-0.171	0.115	-0.276	0.288	-0.192	0.094	-0.318	-0.092	0.145	0.172	0.091	0.373	0.488	-0.213	-0.056	2.244	1.9205	2.0	1.1595	1.4535	2.1705	2.362	-0.71	0.54	1.013	-0.151	0.29	-1.014	-0.521	0.424	0.051	0.358	0.682	-0.002	-0.181	-0.297	-0.897	-3.02	0.787	1.249	0.524	0.869	0.354	0.318	-0.432	-0.407	-0.087	-0.065	-0.757	-0.407	-0.953	-0.043	-0.31	-0.277	0.254	0.374	0.123	0.272	-0.195	0.767	0.817	-0.333	1.2575	0.236	-0.811	-0.239	-0.942	1.081	1.043	1.293	0.103	0.33	0.183	0.012	-0.286	2.5145	0.1015	2.461	0.379	0.016	0.2	0.353	-0.142	-0.151	0.275	0.279	0.571	0.762
"YGR200C"	-0.355	-0.656	-0.476	-0.089	-0.023	-1.051	-0.372	0.36	0.315	-0.135	0.104	-0.185	-0.072	-0.122	0.147	-0.282	0.036	-2.517	-0.193	-2.347	-0.997	-2.0035	-2.659	-2.1245	0.888	-0.402	-0.143	0.177	-0.308	0.212	0.528	-0.4875	-3.964	-1.851	-1.376	-1.152	-1.152	-1.306	-2.863	-3.668	-2.069	-1.557	-2.565	-2.446	-1.597	-1.625	-0.958	-1.1	-1.274	-1.456	-1.861	-2.863	-2.446	-0.138	-0.069	0.108	-0.063	0.136	-0.232	-0.478	-0.387	-1.187	-0.693	-0.037	-0.962	0.0725	0.097	0.592	-0.457	-1.195	-1.637	-1.483	-1.111	-1.335	-1.292	-0.778	-0.679	-2.24	-1.256	-3.333	-1.148	-1.471	-0.971	-2.289	-0.82	-1.038	-1.208	-0.799	-1.166	-1.236
"YGR206W"	0.059	-0.095	0.027	-0.149	-0.165	0.787	0.065	0.003	-0.32	0.004	-0.389	-0.066	-0.525	0.16	0.089	-0.103	0.215	1.017	0.5605	0.3245	-0.0475	0.4305	0.437	0.303	0.0	-0.06	0.032	-0.396	-0.175	-0.085	0.382	0.352	0.867	0.68	0.484	0.223	0.375	0.296	-0.703	-2.22	-0.204	0.332	0.294	0.482	0.875	0.065	0.604	0.26	0.187	0.678	-0.02	-0.197	0.0	0.147	-0.201	-0.016	0.576	0.083	-0.059	-0.128	0.278	0.296	0.365	-0.15	0.085	-0.1745	-0.336	-0.283	-0.279	0.074	0.558	0.611	0.182	0.104	0.301	0.655	0.511	0.714	0.748	0.694	1.023	0.838	0.96	1.66	1.517	1.104	1.123	0.492	0.829	0.845
"YHL001W"	-0.036	-0.391	0.074	0.277	-0.138	-1.543	0.245	0.797	0.425	0.761	0.467	0.973	0.576	0.277	-0.185	0.208	-0.116	-1.6675	-1.7955	-1.6705	-1.3445	-1.9015	-1.691	-2.597	1.305	-1.015	-1.369	0.621	0.157	1.311	0.965	-1.4805	-3.25	-2.482	-2.17	-1.614	-1.307	-1.891	-1.938	-3.589	-2.17	-2.459	-2.908	-2.867	-2.521	-2.248	-4.172	-1.958	-2.297	-2.248	-1.557	-1.086	-2.191	-0.241	0.218	0.27	0.1825	0.156	0.305	0.333	0.184	-0.644	-0.142	0.22	-1.668	0.4655	0.661	1.068	0.634	-1.028	-1.53	-0.968	-0.663	-1.641	-1.625	-1.806	-2.021	-2.539	-1.526	-1.522	-2.905	-2.306	-2.176	-3.157	-2.747	-2.225	-1.883	-1.898	-2.765	NaN
