	"53.Elutriation2:Sample2:Time2.0hrs"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"799.Heat Shock 005 minutes"	"811.DES459 (mec1) + heat 20 min"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"1107.alpha factor release sample025"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1311.diauxic shift timecourse: 11.5 hr"	"2141.Elutriation2:Sample2:Time1.0hrs"	"6344.DES460 + 0.02% MMS - 5 min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"17472.Ca+FK 15min (5)"	"17677.Na+FK 60min (4)"	"30773.Pomona/Brown Sir3x red"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"42404.CC PU 2B Phosphate-Uracil Chemostat Comparison"
"YBL064C"	-0.5045	-0.5475	-0.4705	0.1155	3.38	3.764	3.794	3.768	4.454	4.288	-0.68	2.441	3.578	3.372	3.364	2.776	2.275	3.751	0.07	2.2695	1.057	0.651	0.405	0.052	1.83	4.937	3.397	3.4025	0.125	2.97	4.277	3.627	3.707	3.992	4.371	4.314	3.589	-0.398
"YBR056W"	-1.0215	-1.088	-1.126	-0.257	2.581	2.937	2.9	2.582	3.141	3.008	-0.218	2.298	1.974	2.192	1.854	1.319	1.155	3.069	-0.1585	1.655	0.606	0.482	-0.156	0.228	1.564	3.273	2.669	2.4735	0.17	2.154	2.537	2.012	2.595	1.943	2.66	1.785	1.357	-0.554
"YBR126C"	-0.598	-0.9	-0.379	0.408	3.914	3.891	3.477	3.311	3.665	3.498	-0.339	2.556	2.817	2.755	2.409	1.634	1.237	3.073	0.0555	1.638	0.4205	-0.132	0.346	0.318	1.245	3.472	4.1745	4.5685	0.199	3.506	3.735	2.959	3.694	1.691	3.501	2.021	2.238	-0.087
"YBR168W"	-0.313	-0.6175	-0.419	-0.3225	0.859	0.901	0.508	0.515	0.656	0.608	-0.027	0.684	0.641	0.475	0.885	0.544	0.361	1.315	0.046	-0.1145	-0.1535	0.169	-0.4115	-0.115	0.461	0.403	1.9075	1.27	0.208	0.815	0.877	1.005	0.245	0.771	1.616	0.91	0.503	-0.549
"YBR241C"	-0.5095	-0.495	-0.354	0.0765	1.651	3.084	2.719	2.322	2.947	2.743	-0.577	-2.13	1.084	1.761	1.688	1.435	1.191	3.303	-0.3115	-0.826	-1.218	0.387	0.3155	-0.262	1.617	3.139	2.734	2.9315	0.181	1.47	3.143	2.026	1.563	3.03	3.953	3.821	2.781	-0.151
"YBR247C"	0.7155	0.5535	0.0515	0.1415	-4.144	-4.052	-3.103	-2.541	-3.015	-3.19	-0.895	-1.4775	-2.334	-2.222	-1.672	-1.243	-1.003	-3.42	-0.0105	-0.297	0.256	-0.145	-0.639	-0.108	-1.214	-2.961	-1.6305	-1.9575	0.132	-3.457	-2.974	-2.345	-2.802	-2.153	-1.576	-2.15	-1.289	0.049
"YCL054W"	0.691	0.731	0.406	0.217	-3.412	-3.545	-2.942	-2.871	-3.741	-3.668	0.051	-1.8665	-2.492	-1.974	-1.659	-1.3	-0.987	-3.386	-0.088	-1.0405	-0.225	0.055	-0.168	-0.6	-1.143	-4.039	-2.36	-2.292	0.05	-3.522	-4.037	-2.713	-3.835	-2.617	-3.761	-2.107	-2.043	0.256
"YCL059C"	0.658	0.703	0.205	0.147	-1.314	-3.484	-4.242	-3.611	-4.218	-3.675	0.151	-2.7855	-2.587	-2.904	-2.397	-1.424	-0.796	-4.786	0.019	-0.579	-0.072	0.366	0.002	-0.175	-1.537	-4.664	-1.8365	-3.1135	-0.102	-2.026	-2.908	-2.614	-4.103	-2.479	-4.436	-2.396	-1.791	0.23
"YCLX02C"	0.829	0.494	0.018	-0.008	-3.711	-4.024	-3.119	-2.69	-3.872	-3.655	-0.534	-2.1125	-2.8	-2.263	-1.804	-1.834	-1.313	-4.118	-0.097	-0.947	-0.305	-0.352	-0.859	-0.219	-1.529	-4.225	-2.5195	-2.3655	-0.008	-1.517	-2.679	-2.039	-2.894	-2.605	-3.541	-2.722	-1.445	0.113
"YCR016W"	0.457	0.438	0.213	-0.085	-1.772	-2.622	-2.118	-2.019	-2.87	-2.734	-0.231	-2.1005	-2.021	-1.836	-1.424	-1.121	-0.856	-2.836	-0.056	-0.4835	-0.0765	0.497	0.176	-0.203	-0.86	-2.836	-1.594	-1.4055	0.228	-3.011	-2.302	-1.598	-2.722	-2.45	-3.082	-2.031	-1.588	0.631
