	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"
"YAL003W"	-3.377	-3.392	-1.6755	-1.314	-1.8955	-1.8
"YAL036C"	-2.145	-3.743	-1.486	-1.4315	-1.841	-2.0465
"YBL018C"	-1.0	-1.742	-0.2745	-0.427	-0.399	-0.7005
"YBL056W"	-2.142	-4.006	-0.4785	-1.057	-1.563	-1.749
"YBR106W"	-3.354	-5.052	-2.137	-2.3225	-3.147	-3.2985
"YBR110W"	-2.152	-2.551	0.194	-0.6765	-1.2045	-1.398
"YBR141C"	-1.674	-3.279	-0.501	-0.9765	-1.8515	-1.709
"YBR172C"	-1.605	-3.593	-0.5835	-1.176	-1.6515	-1.648
"YBR181C"	-3.798	-4.564	-2.7035	-2.654	-2.96	-3.945
"YBR195C"	-1.045	-2.056	0.1065	-0.273	-0.47	-0.697
"YBR206W"	-2.307	-3.253	-0.8285	-1.0975	-1.694	-1.6555
"YCL030C"	-3.111	-5.337	0.119	-0.6325	-1.3505	-1.3655
"YCR003W"	-1.833	-2.705	-0.698	-1.028	-1.3745	-1.3805
"YCR094W"	-1.568	-2.607	-0.447	-0.8265	-0.997	-1.3025
"YDL164C"	-2.07	-2.932	-0.591	-1.104	-1.04	-1.585
"YDL166C"	-1.676	-2.628	-0.519	-0.639	-0.946	-1.072
"YDL191W"	-2.737	-5.192	-2.077	-1.362	-1.942	-2.86
"YDL202W"	-1.649	-2.446	-0.529	-1.045	-1.634	0.546
"YDL219W"	-3.152	-2.848	-1.54	-1.026	-2.015	-0.521
"YDL236W"	-2.833	-3.958	-0.512	-1.408	-1.935	-0.875
"YDR037W"	-4.551	-5.224	-2.313	-2.916	-3.368	-3.772
"YDR101C"	-4.145	-4.667	-2.252	-2.862	-3.177	-3.516
"YDR108W"	-2.11	-2.471	0.047	-0.508	-1.268	-1.087
"YDR174W"	-1.951	-3.526	-0.313	-1.209	-1.705	-1.726
"YDR304C"	-2.881	-3.648	-0.021	-0.711	-1.358	-1.796
"YDR367W"	-2.289	-3.913	-0.097	-0.562	-0.937	-1.23
"YDR454C"	-2.876	-4.275	-1.534	-1.835	-2.466	-2.28
"YDR472W"	-1.574	-3.325	-0.382	-0.215	-0.236	-0.336
"YEL027W"	-2.097	-3.096	-0.73	-0.347	-0.522	-0.827
"YER009W"	-2.671	-4.765	-1.465	-2.034	-2.393	-2.025
"YER023W"	-4.379	-4.606	-0.659	-1.477	-2.502	-2.506
"YER052C"	-3.288	-5.276	-1.066	-2.746	-2.953	-2.839
"YER092W"	-1.128	-2.312	0.239	0.035	0.131	0.031
"YFL022C"	-2.926	-4.867	-0.75	-0.494	-1.794	-1.707
"YFR013W"	-1.774	-3.723	-0.598	-1.523	-1.998	-1.759
"YFR025C"	-2.373	-3.739	-0.304	-0.188	-1.235	-1.39
"YFR031BC"	-4.702	-7.029	-2.912	-3.164	-3.863	-4.146
"YFR044C"	-3.87	-5.917	-0.82	-0.889	-1.826	-2.142
"YGL001C"	-2.878	-4.137	-1.195	-1.719	-2.358	-2.176
"YGL016W"	-3.034	-4.265	-1.608	-2.599	-3.554	-2.639
"YGL102C"	-2.658	-5.65	-2.144	-1.199	-1.938	-2.13
"YGL151W"	-1.887	-3.485	-0.498	-1.6	-1.691	-1.632
"YGL159W"	0.414	-2.171	0.199	0.234	-0.668	-0.712
"YGL200C"	-2.687	-3.963	-0.668	-1.049	-1.435	-1.681
"YGL231C"	-1.893	-3.788	-0.357	-1.455	-1.7	-1.822
"YGL245W"	-4.799	-6.655	-2.121	-3.552	-4.345	-4.779
"YGR001C"	-2.12	-3.271	-0.942	-1.426	-1.682	-2.24
"YGR030C"	1.282	-2.548	-0.031	0.0	-0.636	-0.753
"YGR056W"	-1.32	-2.933	-0.331	-1.069	-1.22	-1.079
"YGR057C"	-1.149	-2.456	0.084	-0.313	-0.615	-0.859
"YGR117C"	-1.454	-2.599	-0.201	-0.7	-1.404	-1.409
"YGR179C"	-1.373	-2.711	-0.045	-0.76	-1.589	-1.5
"YGR185C"	-5.306	-6.361	-2.944	-4.576	-4.871	-5.006
"YGR195W"	-2.179	-3.999	-0.934	-1.872	-1.878	-1.911
"YHR024C"	-2.8215	-3.2155	-0.7885	-1.418	-1.672	-1.759
"YHR043C"	-1.983	-3.778	-1.062	-1.59	-1.963	-1.696
"YHR061C"	-1.898	-2.912	-0.598	-0.624	-1.14	-1.308
"YHR068W"	-4.28	-6.532	-2.429	-2.724	-3.669	-3.425
"YHR073W"	-1.889	-2.844	0.129	-0.99	-1.786	-1.676
"YHR118C"	-1.129	-2.376	-0.515	-0.662	-1.109	-1.036
"YHR121W"	-1.976	-4.718	-0.886	-1.573	-1.881	-1.852
"YHR163W"	-2.869	-4.663	-1.439	-0.397	-2.471	-2.366
"YHR190W"	-1.807	-3.849	-0.186	-1.054	-1.59	-1.725
"YHR208W"	-3.12	-4.064	-1.339	-2.263	-2.683	-2.939
"YIL051C"	-1.907	-4.988	-0.511	-0.143	-1.05	-1.44
"YIL096C"	-1.96	-3.119	-0.882	-1.288	-1.637	-1.667
"YJL002C"	-2.469	-4.487	-1.17	-1.748	-2.556	-2.618
"YJL063C"	-0.942	-1.938	-0.053	0.098	0.415	0.527
"YJL073W"	-1.884	-3.2645	-0.5735	-1.2855	-1.7505	-1.523
"YJL097W"	-2.596	-4.683	-1.409	-1.461	-2.558	-2.276
"YJL157C"	-3.548	-7.731	-2.535	-3.198	-3.396	-3.219
"YJL162C"	-0.742	-1.655	0.359	-0.055	-0.596	-0.755
"YJL169W"	-2.464	-3.972	-0.685	-0.932	-1.455	-1.448
"YJL172W"	0.469	-0.701	0.386	1.002	0.921	0.146
"YJL174W"	-1.398	-2.868	0.526	-0.525	-0.81	-1.523
"YJL183W"	-2.097	-4.986	-1.333	-1.66	-2.208	-2.121
"YJR001W"	-2.83	-3.551	-0.442	-1.449	-1.449	-1.784
"YJR006W"	-1.626	-3.835	-0.229	-1.436	-1.352	-1.692
"YJR013W"	-0.578	-2.785	0.004	-0.134	-0.296	-0.522
"YJR014W"	-2.399	-3.649	-1.062	-0.993	-1.578	-1.95
"YJR032W"	-2.635	-3.054	-0.806	-1.546	-1.609	-1.727
"YJR043C"	-2.002	-2.641	-1.074	-1.699	-2.504	-2.339
"YJR118C"	-1.327	-2.497	-0.53	-0.882	-1.108	-1.366
"YJR129C"	-1.3	-2.455	-0.105	-0.1	-0.581	-0.776
"YJR143C"	-4.675	-5.523	-2.118	-3.335	-3.698	-3.382
"YJR145C"	-3.54	-6.528	-2.336	-2.519	-3.105	-3.178
"YKL069W"	-2.002	-3.349	0.656	-0.044	-0.294	-0.634
"YKL118W"	-1.085	-2.188	-0.563	-0.339	-0.355	-0.019
"YKL154W"	-2.701	-3.89	-1.447	-1.765	-2.132	-2.222
"YKL161C"	-0.021	-0.796	1.762	0.691	0.609	0.224
"YKR023W"	-1.089	-2.31	0.181	-0.546	-1.239	-1.348
"YKR030W"	-1.736	-3.006	-0.0125	-0.0285	-0.5815	-0.7325
"YLL035W"	-2.821	-3.138	-1.239	-1.67	-2.017	-1.979
"YLR050C"	-1.602	-2.822	-0.335	-0.989	-0.827	-1.033
"YLR061W"	-4.939	-6.591	-2.88	-3.309	-3.833	-3.91
"YLR100W"	-2.507	-4.853	-1.09	-1.855	-2.159	-2.128
"YLR147C"	-1.436	-2.798	0.101	-0.215	-0.867	-0.81
"YLR188W"	-1.732	-2.848	-0.517	-0.637	-1.07	-1.029
"YLR192C"	-2.456	-4.349	-1.414	-1.566	-2.165	-2.147
"YLR223C"	-1.151	-2.17	-0.144	-0.697	-1.233	-1.128
"YLR291C"	-3.037	-4.762	-1.283	-1.783	-2.216	-2.363
"YLR292C"	-1.605	-3.717	-0.63	-1.388	-1.751	-1.71
"YLR293C"	-3.488	-6.281	-2.158	-2.379	-3.03	-3.186
"YLR321C"	-1.495	-3.485	-0.702	-1.296	-1.553	-1.552
"YLR333C"	-3.011	-5.863	-2.057	-1.584	-2.45	-2.848
"YLR339C"	-4.988	-6.865	-2.474	-2.461	-3.161	-3.973
"YLR353W"	-2.869	-4.835	-0.14	-0.514	-1.477	-1.564
"YLR363C"	-1.953	-2.721	-0.341	-0.933	-1.754	-1.515
"YLR388W"	-3.596	-5.506	-2.555	-2.232	-2.581	-3.193
"YLR404W"	-1.556	-1.959	-0.255	-0.684	-0.996	-1.185
"YLR432W"	-3.532	-5.65	-2.641	-1.934	-2.482	-3.034
"YML019W"	-1.914	-3.311	-0.775	-1.333	-1.842	-1.638
"YML021W"	-1.877	-3.917	-0.867	-1.095	-1.919	-1.511
"YML063W"	-4.048	-13.273	-2.875	-3.123	-3.364	-4.059
"YML085C"	-3.379	-4.526	-1.564	-1.907	-2.298	-2.55
"YML106W"	-2.297	-3.649	-1.583	-1.423	-1.467	-1.771
"YML109W"	-1.525	-2.856	-0.211	-0.99	-1.731	-1.69
"YML124C"	-3.412	-4.107	-0.926	-1.685	-2.001	-2.075
"YMR049C"	-4.225	-9.471	-2.279	-3.3	-3.396	-4.217
"YMR149W"	-1.442	-3.396	-0.632	-0.825	-1.112	-1.653
"YMR202W"	-4.391	-5.431	-1.208	-2.263	-2.876	-2.931
"YMR235C"	-3.534	-5.187	-2.046	-2.838	-3.21	-3.756
"YMR237W"	-2.955	-4.233	-0.65	-1.452	-1.947	-2.335
"YMR260C"	-2.549	-5.138	-2.005	-1.338	-1.729	-2.229
"YNL084C"	-1.945	-3.396	-0.673	-1.386	-1.735	-1.919
"YNL096C"	-4.038	-6.106	-3.041	-3.644	-4.096	-4.68
"YNL174W"	-4.079	-4.409	-2.061	-3.046	-3.229	-3.118
"YNL220W"	-3.758	-6.09	-1.771	-1.724	-2.555	-3.197
"YNL247W"	-3.191	-4.64	-2.277	-2.658	-3.388	-2.515
"YNL255C"	-2.208	-5.229	-1.457	-1.3	-2.442	-2.225
"YNL261W"	-1.862	-4.047	-0.227	-1.285	-1.715	-1.269
"YNL291C"	-2.472	-4.479	-0.702	-1.166	-1.572	-1.833
"YNL313C"	-3.628	-5.714	-1.551	-2.01	-2.343	-2.518
"YOL095C"	-1.206	-2.059	-0.007	-0.854	-1.242	-1.337
"YOL139C"	-2.31	-5.5	-1.945	-1.487	-1.966	-2.188
"YOR001W"	-1.861	-4.782	-1.018	-1.551	-2.081	-2.136
"YOR004W"	-3.012	-5.273	-1.689	-2.507	-2.832	-2.931
"YOR016C"	-1.713	-3.3715	-0.0195	0.6045	0.2405	0.9565
"YOR020C"	-0.942	-2.819	0.216	-1.006	-1.427	0.181
"YOR061W"	-1.0555	-1.9265	-0.494	-0.4915	-0.942	-0.998
"YOR103C"	-1.431	-2.033	-0.79	-0.954	-1.114	-1.311
"YOR109W"	-2.42	-3.566	-0.913	-1.1	-1.591	-1.813
"YOR164C"	-2.555	-4.0095	-1.072	-1.603	-1.956	-2.107
"YOR197W"	-1.971	-3.178	-0.795	-1.165	-1.398	-1.64
"YOR209C"	-2.998	-6.004	-1.227	-1.897	-2.681	-2.954
"YOR253W"	-2.7935	-5.157	-1.299	-1.872	-2.672	-2.633
"YOR280C"	-1.883	-4.249	-0.29	-1.197	-1.828	-1.95
"YOR323C"	-4.2845	-6.434	-1.382	-2.742	-3.497	-3.428
"YOR326W"	-3.4635	-4.9875	-2.099	-3.585	-3.591	-2.795
"YOR357C"	-1.001	-3.8555	-0.056	-0.341	-0.622	-0.932
"YPL028W"	-3.482	-5.5385	-1.006	-1.692	-2.17	-2.948
"YPL143W"	-3.35	-5.0395	-2.195	-1.391	-1.972	-2.941
"YPL225W"	-0.893	-2.987	1.054	-0.513	-0.966	-1.232
"YPR033C"	-4.8805	-7.94	-2.55	-3.951	-4.382	-4.54
"YPR063C"	-1.6485	-2.9805	-0.25	-0.701	-1.042	-1.306
"YPR118W"	-3.9965	-5.524	-2.077	-2.882	-3.334	-3.538
"YPR139C"	-2.01	-3.5915	-0.704	-0.934	-1.637	-0.936
"YPR142C"	-1.555	-3.138	-1.214	-0.85	-1.681	-1.456
"YPR181C"	-2.057	-3.9085	-0.641	-0.902	-1.196	-1.542
