	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"12732.Nitrogen Depletion 4 h"	"12741.Nitrogen Depletion 1 h"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33258.delKIN82_heat shock _5min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"	"34876.S4Comp 07 hr 10 min Sulfate Batch vs Chemostat Comparison"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"	"37279.CC SP 1A  Sulfate-Phosphate Chemostat Comparison"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40960.H2O2_II_180_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42375.CC LS 3B Leucine-Sulfate Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"	"42392.L2 CompR 05 hr 00 min Leucine Batch vs Chemostat Comparison"	"42393.L2 CompR 05 hr 58 min Leucine Batch vs Chemostat Comparison"	"42394.L2 CompR 06 hr 58 min Leucine Batch vs Chemostat Comparison"	"42395.L2 CompR 07 hr 58 min Leucine Batch vs Chemostat Comparison"	"42396.L2 CompR 08 hr 58 min Leucine Batch vs Chemostat Comparison"
"YAR009C"	0.0905	-0.1375	-0.06	0.246	-0.0215	0.846	0.301	-0.4	-1.329	0.203	1.414	0.9605	0.1895	0.5185	0.834333333333333	0.374666666666667	0.217666666666667	0.715	0.854	0.252	0.61	-0.5135	-0.2025	-0.135	-0.191	0.796	0.289333333333333	0.847333333333333	-0.294	0.11	0.493	0.424	0.044	0.226	1.529	2.101	1.494	1.513	-0.653	-0.2305	0.4775	-0.931	-1.0745	-1.062	-0.359	-0.8905	-0.9865	-0.5135	1.166	2.689	1.679	3.302	1.933	1.857	1.841	2.247	2.256
"YAR010C"	-0.238	-0.459	-0.04	0.37	0.37	0.784	-0.199	-0.144	-1.585	0.051	1.267	0.89	-0.244	0.358	0.644	0.1625	0.396	1.2365	1.4265	0.702	0.867	-0.249	-0.212	-0.034	-0.223	0.893	0.8335	1.0465	0.063	-0.118	0.593	-0.423	-0.812	1.058	1.394	1.237	0.949	1.019	-0.601	-0.471	0.429	-1.466	-1.017	-1.055	-0.457	0.089	-0.344	0.016	1.229	2.684	1.664	3.002	2.445	2.271	2.311	2.546	2.665
"YBL005W"	-0.05	0.268	0.487	1.117	1.055	1.583	0.448	-0.501	-1.461	0.548	1.686	0.986	0.784	1.255	1.345	1.164	1.4485	1.9095	2.122	1.6775	1.201	0.252	0.2	-0.092	0.129	1.888	1.516	1.962	0.783	0.483	1.57	0.439	0.061	0.815	2.256	1.82	0.97	1.16	-0.372	-0.476	1.129	-0.201	-0.697	-0.542	-0.514	-1.008	-1.305	-0.118	1.602	2.598	1.801	3.632	2.455	2.502	2.416	2.598	2.685
"YBR084W"	-2.64	-3.129	-2.61	-3.49	-3.539	-0.25	-4.143	-4.365	-5.362	-1.888	-1.007	-1.171	-2.317	-2.197	-2.3585	-1.8955	-1.9025	-1.934	-2.75	-2.725	-0.668	-2.037	-1.62	-1.632	-1.367	-0.132	-1.275	-0.5585	-4.142	-4.322	-1.684	-0.218	-3.783	-4.104	0.323	-0.972	0.202	0.43	-3.082	-3.886	-1.365	-4.042	-2.826	-2.843	-2.786	-2.018	-2.88	-3.139	-0.068	0.317	0.301	1.568	0.112	0.131	-0.097	-0.096	0.37
"YDL051W"	-2.35	-2.784	-2.447	-3.059	-3.066	0.227	-3.639	-2.856	-3.563	-1.884	-0.913	-1.571	-2.198	-1.985	-2.973	-2.013	-1.892	-1.557	-2.325	-2.819	-0.264	-1.945	-1.858	-1.64	-1.961	0.399	-0.882	-0.157	-3.388	-2.805	-0.884	-0.18	-2.491	-3.192	0.971	-0.887	0.067	0.091	-2.38	-2.435	-0.404	-2.117	-3.291	-2.247	-2.863	-2.803	-2.324	-2.58	0.132	-0.013	0.625	-0.424	-0.915	-0.572	-0.228	-0.797	-0.467
"YDR101C"	-3.513	-3.404	-3.0	-3.74	-3.659	0.141	-4.306	-4.145	-4.667	-2.997	-0.8	-2.448	-3.385	-2.743	-2.52	-2.005	-1.96	-2.862	-3.177	-3.516	-0.817	-2.352	-1.867	-2.477	-2.261	-0.008	-1.859	-0.886	-3.253	-3.244	-1.967	-2.553	-3.315	-3.048	0.371	-1.994	0.491	0.315	-2.911	-2.551	-0.629	-3.361	-2.827	-2.477	-3.089	-2.576	-3.128	-2.094	-0.017	-0.199	0.447	0.672	-0.458	-0.629	-0.69	-0.726	-0.741
"YDR399W"	-3.808	-4.226	-3.084	-3.396	-2.921	-0.316	-4.676	-3.073	-4.784	-0.857	0.758	-2.399	-1.68	-1.311	-2.658	-0.706	-0.506	-2.115	-2.216	-2.373	-0.543	-4.052	-3.446	-3.746	-4.029	1.304	0.623	1.127	-2.993	-2.911	-1.88	-0.279	-2.094	-2.321	0.993	-0.403	0.158	0.216	-3.393	-4.366	-1.5	-3.815	-3.846	-4.204	-3.723	-1.731	-3.639	-3.377	0.222	-0.229	-0.241	0.139	0.238	0.098	-0.3	-0.056	-0.307
"YER138C"	0.258	0.066	0.234	0.761	0.6075	1.099	-0.4865	-0.6225	-1.7495	0.461	1.783	0.6335	0.324	0.889	1.1295	0.715	0.8325	1.324	1.2865	0.565	1.1775	-0.2155	0.1805	-0.141	-0.059	1.5865	1.2415	1.664	0.205	0.3105	1.217	0.6395	-0.00849999999999995	0.647	2.0785	1.947	1.077	1.4125	-0.166666666666667	-0.739666666666667	-0.039	-1.39633333333333	-1.05833333333333	-1.08566666666667	-1.192	-1.22066666666667	-1.51866666666667	-0.839	1.5295	2.471	1.774	3.017	1.9145	2.047	2.1075	2.2175	2.175
"YER160C"	0.108	-0.091	0.17	0.6655	0.5085	1.0155	0.2625	-0.934	-1.239	0.273	1.4445	0.5935	0.341	0.7335	1.074	0.5515	0.8385	1.4705	1.3445	0.643	1.1625	-0.505	-0.4415	-0.128	-0.156	1.5485	1.2875	1.559	0.314	0.4405	0.82	0.57	-0.149	0.73	2.0825	1.8355	1.4015	1.639	-0.663	-0.0983333333333333	0.185666666666667	-0.764666666666667	-0.412	-0.551	0.298	-0.681666666666667	-0.143	-0.371	1.355	2.6175	1.8635	3.422	1.9545	1.9625	2.0495	2.339	2.2935
"YGL169W"	-1.767	-2.256	-1.534	-2.077	-2.435	0.181	-3.307	-1.674	-4.274	-1.26	-0.668	-1.635	-2.332	-2.065	-0.93	-0.769	-0.531	-0.38	-0.89	-1.304	-0.127	-1.314	-1.263	-1.225	-1.179	-0.008	-0.882	-0.56	-1.989	-1.218	-1.691	-1.928	-2.683	-1.832	-0.885	-0.582	-0.522	-0.126	-2.366	-2.171	-0.92	-2.266	-2.733	-2.601	-2.215	-2.79	-2.509	-2.958	0.604	0.231	-0.093	0.156	0.197	0.159	0.222	0.008	-0.116
"YGR160W"	-6.235	-5.9475	-5.567	-6.207	-4.6575	0.156	-4.796	-2.479	NaN	-1.923	0.057	-1.624	-2.892	-2.69	-4.626	-3.397	-2.991	-3.544	-4.076	-4.24	-0.792	-3.857	-2.834	-3.507	-3.412	-0.361	-3.533	-1.691	-6.3385	-4.64	-1.272	-3.815	-4.966	-4.708	1.001	-3.631	0.491	0.399	-5.339	-5.2565	-1.506	-5.111	-5.62	-4.339	-4.079	-6.344	-4.482	-3.988	0.24	0.06	0.277	-0.037	-0.882	-0.861	-0.815	-0.779	-1.048
"YHR169W"	-3.982	-3.384	-2.497	-3.146	-2.919	0.07	-4.241	-3.506	-3.088	-1.793	-0.634	-2.982	-3.141	-2.365	-1.554	-1.325	-1.172	-0.992	-1.459	-2.009	-0.741	-1.985	-1.624	-1.731	-2.321	-0.303	-0.95	-0.444	-3.6155	-2.583	-1.557	-2.143	-1.636	-2.087	0.184	-1.357	0.036	0.124	-3.404	-3.113	-1.584	-5.35	-4.569	-4.214	-2.461	-3.238	-2.71	-2.794	0.384	0.105	0.501	0.121	-0.523	-0.555	-0.449	-0.705	-0.288
"YHR170W"	-5.3995	-4.622	-4.14	-4.723	-3.947	0.4	-4.51	-2.573	-4.858	-2.326	-0.84	-1.722	-2.759	-2.694	-2.314	-1.433	-2.149	-2.036	-2.758	-2.443	-0.957	-2.244	-2.093	-1.733	-1.888	-0.27	-2.142	-0.114	-5.252	-3.576	-1.767	-0.591	-2.772	-3.601	0.179	-1.485	0.402	0.705	-3.22	-3.476	-1.263	-3.173	-3.089	-2.313	-2.219	-3.041	-4.036	-2.383	0.344	0.06	0.709	0.023	-0.227	-0.101	-0.291	-0.394	-0.333
"YIR012W"	-1.5825	-1.894	-1.7575	-1.855	-2.3105	0.728	-4.7	-3.791	-4.69	-1.778	-0.678	-1.978	-2.614	-2.412	-1.585	-1.366	-1.684	-1.547	-2.217	-2.528	-0.227	-2.396	-1.897	-2.158	-2.125	-0.685	-1.559	-1.09	-2.0615	-2.037	-1.277	-0.828	-2.222	-3.439	-0.175	-1.526	-0.038	0.031	-1.988	-1.517	-0.849	-2.14	-2.658	-1.857	-1.846	-3.403	-1.67	-2.629	-0.127	-0.174	0.146	0.093	-0.066	-0.073	0.018	0.106	0.155
"YJL069C"	-3.028	-3.073	-1.3795	-2.9805	-3.0365	0.198	-4.742	-3.072	-6.298	-1.977	-0.541	-2.299	-1.49	-2.566	-2.694	-1.774	-1.863	-1.613	-1.653	-2.017	-0.562	-2.329	-1.711	-2.035	-1.743	-0.133	-0.963	-0.093	-3.224	-1.862	-1.709	-1.481	-2.285	-2.354	0.465	-0.894	-0.583	0.049	-3.223	-3.75	-1.58	-3.096	-2.407	-1.973	-2.556	-2.789	-2.615	-3.111	-0.059	0.195	-0.073	-0.142	-0.536	-1.381	-0.534	-0.64	-0.713
"YJR026W"	0.0135	0.1015	0.731	0.9035	0.7825	1.171	-0.346	-0.979	-1.254	0.374	1.198	0.907	0.207	0.656	1.123	0.942	1.243	1.987	2.233	1.632	1.308	-0.302	-0.168	-0.331	-0.152	1.762	1.503	1.843	0.758	-0.231	1.268	-0.201	-1.042	0.786	2.072	1.787	1.115	1.269	-1.138	-0.692	0.073	-1.083	-0.067	0.756	0.796	0.412	-0.114	-0.247	1.411	2.913	1.806	3.458	2.654	2.408	2.547	2.71	2.745
"YJR027W"	-0.4995	-0.0235	0.183	0.589	0.53	1.337	-0.21	-1.108	-1.853	0.313	1.192	0.89	0.394	0.8	1.116	0.719	0.942	1.523	1.477	0.676	1.344	-0.413	-0.2	-0.261	-0.275	1.554	1.445	1.49	0.386	0.287	0.4125	0.421	-0.5285	0.425	1.683	1.8275	1.37	1.4455	-0.776	-0.417	0.626	-0.628	-0.495	-0.615	-1.217	0.042	-1.889	-0.971	1.221	2.6255	1.8705	3.2145	2.153	2.1105	2.151	2.298	2.405
"YJR029W"	0.0576666666666667	0.113333333333333	0.135	0.832333333333333	0.419333333333333	1.1395	0.021	-0.3225	-1.273	0.713	1.5395	0.8745	0.589	0.87	1.0645	0.5765	0.664	0.9705	1.0775	1.5135	1.2655	-0.536	-0.3435	-0.231	-0.2275	1.222	1.0885	1.425	0.4215	0.059	0.388	0.539	-0.093	0.0935	1.6835	1.466	1.28	1.255	-0.3145	-0.1455	0.2845	-0.2835	-0.321	-1.1615	-0.6475	-1.55	-1.6315	-0.7535	1.3865	1.9645	1.75	2.1885	1.6265	1.7715	1.752	1.975	2.021
"YJR070C"	-4.6905	-4.824	-3.895	-4.828	-4.332	0.059	-5.317	-3.511	-7.226	-3.689	-0.887	-1.83	-3.471	-2.777	-2.102	-1.698	-1.543	-1.463	-2.254	-2.322	-0.623	-2.306	-2.277	-2.616	-3.193	-0.048	-1.195	-0.217	-4.7655	-3.81	-3.489	-1.02	-4.096	-3.754	0.158	-1.624	0.222	0.349	-3.368	-3.447	-1.055	-3.121	-2.681	-1.9	-1.175	-2.012	-1.311	-2.238	0.06	0.144	-0.033	0.515	-0.922	-0.935	-0.606	-0.929	-1.058
"YKL078W"	-3.604	-5.158	-2.3495	-3.592	-3.3985	-0.128	-5.829	-4.795	-8.494	-3.854	-1.231	-1.78	-2.736	-2.03	-2.695	-2.207	-2.394	-2.866	-3.401	-1.845	-0.744	-2.708	-2.548	-2.321	-2.256	-0.085	-2.347	-0.865	-3.7245	-3.359	-0.895	-1.687	-2.475	-3.291	0.65	-1.876	-0.495	-0.335	-1.994	-3.188	-0.334	-5.641	-2.009	-1.994	-3.314	-2.059	-3.559	-0.995	0.066	-0.296	-0.457	0.464	-0.528	-1.409	-1.591	-1.17	-2.522
"YKL181W"	-2.313	NaN	-2.149	-2.822	-2.81	0.206	-3.28	-1.818	-4.28	-2.097	-0.603	-1.838	-2.604	-2.243	-1.405	-0.995	-1.301	-1.023	-2.292	-2.779	-0.28	-1.865	-1.322	-2.131	-1.876	0.077	-0.935	-0.377	-2.802	-2.543	-1.11	-0.884	-3.042	-2.308	0.244	-1.415	0.482	0.593	-2.619	-2.113	-0.783	-3.679	-2.455	-0.891	-2.305	-3.12	-2.501	-1.645	-0.144	0.245	0.244	1.273	0.028	0.056	-0.022	-0.206	-0.257
"YLR083C"	-1.886	-2.035	-1.6	-1.568	-2.248	-0.086	-3.703	-3.767	-5.137	-2.111	-0.549	-3.505	-2.718	-2.103	-3.208	-1.494	-2.031	-2.29	-3.88	-3.36	-0.689	-1.969	-1.773	-1.461	-1.408	-0.177	-1.283	-0.783	-2.311	-2.0	-2.049	-1.087	-2.538	-3.492	-0.452	-1.243	0.415	0.513	-2.194	-2.355	-1.345	-2.672	-3.552	-3.06	-2.069	-6.227	NaN	-2.861	-0.042	0.113	0.158	0.884	-0.076	-0.134	-0.203	-0.268	-0.481
"YML039W"	0.222	0.166	0.026	0.52	0.534	1.17	-0.139	0.172	-0.926	0.744	1.17	0.604	0.578	0.698	1.043	0.698	0.77	1.243	1.172	0.271	0.778	-0.461	-0.388	0.089	-0.225	1.17	1.235	1.679	0.181	0.559	0.15	0.804	0.19	0.85	1.459	2.14	0.978	1.223	-0.319	-0.375	0.335	-1.236	0.031	-1.465	-1.515	-0.537	-2.211	-1.836	1.771	2.394	1.854	2.942	1.63	2.003	2.177	2.128	2.184
"YML040W"	-0.161	0.293	0.821	1.178	1.026	1.55	0.335	-0.167	-1.604	0.498	1.422	1.18	1.012	0.872	1.369	1.346	1.445	1.996	2.42	1.772	0.759	0.035	0.281	0.051	0.146	1.431	1.136	1.957	0.643	-0.296	1.1	0.712	-0.867	0.191	1.657	1.85	1.388	1.447	-0.287	-0.407	0.503	0.488	0.512	0.35	-0.501	0.235	-0.502	0.288	1.486	3.049	1.888	3.503	2.381	2.324	2.219	2.639	2.688
"YML045W"	-0.124	0.348	0.584	1.193	1.034	1.556	0.353	-0.236	-1.218	0.823	1.511	1.074	1.007	0.946	1.314	1.318	1.331	1.938	2.312	1.659	0.771	-0.019	0.139	0.056	0.376	1.609	1.119	1.966	0.698	0.052	0.408	0.5345	-0.455	0.184	2.2395	1.5515	1.32	1.5065	-0.057	-0.271	0.532	-1.741	0.276	0.648	-0.982	-0.039	-0.572	-0.359	1.6395	3.0035	2.001	3.4595	2.186	2.2555	2.3865	2.5135	2.606
