	"42.alpha factor release sample022"	"634.Elutriation2:Sample2:Time6.5hrs"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1673.alpha factor release sample021"	"1674.Elutriation2:Sample2:Time5.5hrs"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"17676.Na+FK 45min (4)"	"21648..24 mM H2O2- 030 minutes"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34353.delPPT1_hypo_osmotic_shock_7min"	"40957.H2O2_II_120_min"	"40970.MD_II_63_min"
"YBR089W"	-0.086	-0.108	-2.938	-1.454	-3.547	-2.47	-2.078	-1.638	-2.9465	-1.751	-2.8165	-3.093	-1.8535	-0.346	-0.939	-0.3215	-0.665	-0.876	-0.204	0.07	-0.1725	-0.365	-0.676	-0.623	-0.22	-1.118	-2.327	-1.855	-2.51	-0.909	-0.336	0.184	-1.816
"YDL191W"	0.118	-0.455	-1.985	-2.367	-2.737	-5.192	-2.911	-2.518	-3.616	-2.077	-1.362	-1.942	-2.86	0.335	-0.009	-0.219	-1.646	-1.405	-1.627	0.032	-1.7165	0.3175	-1.135	-1.351	0.476	-3.35	-2.399	-3.234	-2.557	-1.83	-0.243	-0.232	-1.7665
"YDR025W"	0.175	0.139	-3.904	-3.548	-3.393	-6.697	-3.357	-3.471	-4.504	-2.886	-2.503	-2.895	-3.518	0.426	0.648	0.291	-1.767	-0.948	-1.45	-0.2535	-1.7115	0.279	-1.539	-1.126	0.925	-4.772	-3.127	-3.906	-3.552	-2.869	0.368	0.13	-1.0585
"YER070W"	-0.195	0.324	-3.377	-1.093	-3.252	-3.737	-3.09	-2.667	-3.198	-2.288	-2.637	-3.229	-3.359	-0.314	-0.682	-0.404	-1.155	-0.686	-0.516	-0.087	-0.009	-0.27	0.365	-0.376	0.169	-1.276	-1.325	-1.516	-1.3	-0.259	0.001	-0.407	-1.196
"YGL008C"	0.959	0.693	-2.727	-1.377	-4.675	-3.936	-2.24	-2.171	-3.268	-2.348	-4.203	-4.969	-4.679	0.454	0.698	0.697	-1.335	-0.958	-0.941	1.812	-1.474	-0.354	-1.073	-0.406	0.562	-4.061	-2.876	-2.554	-2.698	-1.272	0.487	-1.403	-1.735
"YGL076C"	0.028	0.05	-3.969	-3.136	-3.976	-5.667	-3.32	-2.857	-4.142	-2.648	-2.836	-2.79	-3.782	0.012	0.076	0.103	-1.847	-1.305	-1.888	0.186	-2.081	0.1515	-1.632	-0.936	0.755	-4.003	-3.509	-3.347	-3.315	-2.544	0.316	0.17	-1.187
"YGL123W"	0.66	0.384	-3.781	-3.757	-4.004	-5.982	-4.112	-3.701	-3.511	-2.278	-2.388	-2.65	-3.558	0.508	0.658	0.482	-2.323	-2.087	-2.138	0.199	-1.335	0.065	-1.987	-1.488	1.212	-4.217	-3.27	-4.123	-3.488	-2.693	0.173	-1.064	-1.946
"YGL135W"	0.067	0.085	-3.221	-2.573	-3.418	-5.687	-3.217	-3.119	-3.581	-2.692	-2.267	-2.874	-3.825	0.592	0.53	0.077	-2.546	-2.004	-2.237	-0.181	-1.702	-0.998	-1.861	-1.859	0.529	-3.443	-2.903	-3.617	-3.009	-1.968	-0.05	-1.148	-2.952
"YGR085C"	0.785	0.156	-3.713	-3.301	-3.406	-6.059	-3.071	-3.013	-4.359	-2.77	-3.306	-3.54	-4.179	0.413	0.486	0.266	-2.111	-1.518	-1.917	0.96	-1.94	0.814	-1.551	-1.108	0.763	-4.004	-2.792	-3.45	-3.003	-2.048	-0.059	0.201	-1.199
"YGR118W"	0.296	-0.382	-2.621	-2.692	-2.204	-5.471	-2.458	-2.183	-3.851	-2.117	-1.76	-2.214	-3.141	0.227	0.378	0.22	-1.737	-1.367	-1.832	0.472	-1.3075	0.4275	-0.595	-0.763	0.942	-2.477	-2.162	-2.13	-2.249	-1.697	0.046	-0.73	-2.046
"YGR148C"	0.046	-0.416	-3.45	-3.596	-3.884	-5.757	-3.141	-2.956	-5.063	-2.896	-3.022	-3.649	-4.092	-0.096	0.636	-0.048	-2.108	-1.621	-1.901	0.448	-1.5045	0.651	-0.678	-1.001	0.953	-3.53	-2.779	-3.103	-2.693	-1.897	0.418	0.0455	-1.466
