	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"6344.DES460 + 0.02% MMS - 5 min"	"7541.DES459 (mec1) - log phase (IR time "	"8213.steady state 36 dec C"	"11466.yO1 test hyb"	"21657..24 mM H2O2- 063 minutes"	"27100.P1Comp 16 hr 55 min Phosphate Batch vs Chemostat Comparison"	"27102.P1Comp 21 hr 5 min Phosphate Batch vs Chemostat Comparison"	"42222.U2 Comp 07 hr 10 min Uracil Batch vs Chemostat Comparison"
"YAL007C"	0.815	0.865	-1.638	-3.056	-3.632	-1.826	-1.304	-1.4535	-1.9095	-1.496	-1.8635	-1.6745	0.305	-0.0425	0.058	0.111	0.074	0.126	-1.587	-0.956	-1.63	-1.087	0.13
"YBL077W"	-0.909	-0.729	-1.176	-3.136	-5.081	-2.607	-2.667	-2.0335	-2.345	-2.816	-3.3595	-3.1945	-0.062	0.0635	-0.076	-0.095	-0.05	-0.359	-1.547	-1.293	-0.505	-0.715	-1.281
"YBL092W"	-1.115	-0.749	-2.929	-2.896	-5.158	-2.665	-2.635	-2.153	-2.4445	-1.726	-2.74	-2.8475	0.277	0.097	0.432	0.16	-0.747	-0.416	-1.555	-2.057	-1.653	-0.93	-0.496
"YBR011C"	0.342	0.262	-1.747	-4.081	-5.344	-0.95	-1.407	-0.649	-1.271	-2.3835	-3.0585	-3.4585	0.382	0.258	0.302	0.327	-0.911	0.409	-1.084	-1.164	-0.3295	-0.195	-0.643
"YBR048W"	-1.248	-1.032	-2.2475	-3.0195	-5.0065	-3.295	-3.375	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	0.5055	0.190666666666667	0.3725	0.278	-0.3785	0.0225	-2.013	-2.77266666666667	-1.3235	-1.655	-1.044
"YBR106W"	0.785	0.826	-1.986	-3.354	-5.052	-2.595	-2.731	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.148	0.066	0.313	0.166	-0.743	-0.286	-1.924	-2.603	-0.545	-0.903	-0.807
"YBR121C"	-0.761	-0.747	-2.714	-4.037	-5.791	-2.366	-2.465	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.258	-0.1215	-0.152	0.03	-0.63	0.091	-2.249	-2.442	-1.491	-0.825	-0.429
"YBR191W"	-1.155	-0.933	-2.071	-3.167	-5.241	-2.563	-2.467	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.4575	0.1555	0.538	0.359	-0.661	-0.094	-1.3105	-1.3145	-1.897	-0.772	0.171
"YBR196C"	-0.039	-0.062	-0.38	-1.643	-4.589	-2.179	-2.304	0.785	0.811	-0.638	-1.2495	-2.837	-0.1885	0.0405	0.058	0.077	-0.389	-0.143	-0.146	-1.453	0.959	0.796	0.515
"YCR013C"	1.141	1.174	0.949	-3.099	-5.566	-1.264	-1.02	1.107	0.635	-1.827	-2.591	-3.6275	-0.181	0.0775	0.635	0.082	-0.869	0.514	0.07	1.145	0.999	1.317	0.421
