	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YOR323C"	-4.2845	-6.434	1.739
"YOR369C"	-3.724	-6.5475	1.967
"YPL001W"	-1.671	-4.084	-0.488
"YPL028W"	-3.482	-5.5385	0.748
"YPL037C"	-3.9955	-5.417	1.099
"YPL079W"	-3.892	-6.4765	1.834
"YPL081W"	-3.4025	-6.801	2.276
"YPL094C"	-3.0415	-5.3055	-0.566
"YPL118W"	-2.0295	-3.472	0.576
"YPL142C"	-3.5865	-5.604	1.267
"YPL158C"	-1.597	-3.676	0.268
"YPL220W"	-3.187	-6.1465	2.259
"YPL238C"	-2.431	-4.788	0.568
"YPR057W"	-0.9915	-3.509	-0.228
"YPR092W"	0.2095	-0.7475	-0.382
"YPR130C"	-2.0245	-6.9395	0.435
"YPR163C"	-2.9485	-5.4905	1.474
