	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"6679.trr - 0.1 mM H2O2 - 10 min"	"7536.25C -- 30 min"	"12744.heat shock 17 to 37, 20 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"44524.first half PM prep, array 2"
"YAL059W"	-1.766	-1.678	-1.268	0.035	1.048	0.623	0.109	-1.804	-2.88	-0.919	-1.375	-1.1805	-1.016	-0.7665	-0.5765	-0.4295	-0.951	1.98	-2.744	-2.166	-3.04	-1.889	0.249
"YBL027W"	-1.956	-2.978	-3.487	1.4805	1.274	1.77	0.836	-2.851	-5.577	-2.494	-2.654	-3.9845	-1.9755	-2.4005	-2.0465	2.086	-1.198	1.029	-3.078	-3.528	-3.351	-3.139	1.46
"YBR084W"	-2.61	-3.49	-3.539	0.407	0.888	1.122	1.581	-4.143	-5.362	-2.317	-2.197	-2.3585	-1.8955	-1.9025	-2.592	0.5955	-0.94	1.285	-4.142	-3.705	-4.104	-3.283	0.731
"YBR121C"	-1.211	-1.752	-2.004	0.801	0.701	1.631	1.17	-2.66	-5.791	-2.317	-1.95	-3.2385	-1.721	-2.416	-3.155	1.461	-0.838	0.927	-1.964	-2.549	-2.22	-1.806	0.709
"YBR142W"	-2.492	-2.93	-2.567	0.9695	0.859	0.327	1.243	-2.447	-4.241	-1.893	-1.12	-2.4525	-1.878	-2.0035	-2.148	0.8315	-0.957	1.263	-2.999	-2.312	-3.06	-2.661	0.607
"YBR181C"	-2.256	-3.249	-3.825	1.236	1.308	2.072	1.337	-3.762	-4.564	-3.3	-3.365	-5.0305	-2.0635	-2.493	-2.7035	2.0575	-0.707	1.084	-3.584	-3.618	-2.98	-3.274	0.929
"YBR191W"	-2.052	-3.136	-3.824	1.0965	1.388	1.992	0.94	-3.54	-5.241	-3.152	-3.411	-4.5465	-2.1205	-2.496	-2.5175	1.1285	-1.294	0.954	-3.463	-3.687	-2.427	-3.266	0.869
"YBR249C"	-1.603	-2.468	-2.816	1.035	0.915	1.745	1.561	-1.844	-6.025	-1.662	-1.506	-1.6655	-0.2215	-1.147	-1.6935	2.1715	-1.328	2.082	-2.816	-3.036	-2.732	-2.528	1.261
"YDL061C"	-2.198	-2.928	-3.023	0.747	0.94	1.412	1.124	-3.45	-4.279	-2.985	-2.81	-3.44	-1.91	-2.031	-2.139	1.313	-1.103	1.097	-2.955	-2.373	-2.791	-2.682	0.13
"YDL153C"	-3.047	-4.369	-3.668	1.087	1.042	0.247	1.163	-3.698	-2.931	-2.307	-1.325	-2.633	-1.834	-1.682	-1.728	0.497	-0.759	1.029	-4.079	-1.022	-5.47	-2.392	0.36
