	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"961.1 mM Menadione (20 min) redo"	"962.1 mM Menadione (30 min) redo"	"963.1 mM Menadione (120 min)redo"	"964.1 mM Menadione (160 min) redo"	"971.1mM Menadione (40 min) redo"	"974.1 mM Menadione (80 min) redo"	"975.1 mM Menadione (105 min) redo"	"985.constant 0.32 mM H2O2 (20 min) redo"	"986.constant 0.32 mM H2O2 (30 min) redo"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1661.1 mM Menadione (50 min)redo"	"12739.Nitrogen Depletion 30 min."	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15184.Ca+FK 5min (2)"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"17472.Ca+FK 15min (5)"	"17473.Ca+FK 30min (5)"	"21666..24 mM H2O2- 055 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"38149.03II01 batch p5"	"38154.03II01 batch p10"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"
"YBL027W"	-2.395	-1.979	-1.956	-2.978	-3.487	-1.118	-2.851	-2.474	-2.081	-1.613	-2.0	-1.606	-2.671	-5.577	-1.996	-1.199	-2.494	-2.654	-0.031	-0.377	-0.637	-0.738	0.194	-0.326	-0.326	-1.236	-0.739	-0.618	-3.9845	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	0.135	-0.7525	-3.078	-0.7695	-0.6305	-0.79	-0.335	-0.2295	-0.7325	-0.4105	-1.158	-0.744666666666667	-0.9005	-2.107	-3.528	-3.012	-2.469	-3.351	-3.139	-2.319	-1.499	-0.039	-0.986	-1.0425	-1.2155
"YBR048W"	-1.3425	-1.976	-1.916	-2.541	-3.002	-1.564	-3.385	-2.4795	-2.968	-2.171	-2.248	-2.2475	-3.0195	-5.0065	-1.978	-2.0405	-3.0685	-3.137	0.1515	0.15	0.1595	-0.2545	-0.084	0.0415	0.035	-0.9535	-0.912	-0.753	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	-0.089	-1.14866666666667	-2.7435	-0.814333333333333	-0.530333333333333	-0.673666666666667	-0.318666666666667	-0.350666666666667	-1.12566666666667	-0.603	-1.34375	-1.153	-1.29633333333333	-2.372	-4.043	-3.545	-3.133	-4.089	-3.69	-2.483	-2.197	-0.08	-1.783	-1.405	-1.542
"YBR189W"	-2.555	-2.064	-2.33	-3.868	-4.446	-1.356	-3.784	-3.224	-3.356	-2.463	-2.154	-2.355	-2.065	-4.702	-1.982	-1.532	-3.071	-3.483	-0.067	-0.283	-0.097	-0.563	-0.125	-0.123	-0.051	-1.196	-0.955	-0.766	-3.678	-2.112	-2.629	-2.467	-1.9305	-1.8835	-2.9475	0.012	-1.7315	-3.818	-0.838	-0.5745	-0.6945	-0.32	0.095	-0.427	-0.2125	-0.880666666666667	-0.484333333333333	-1.6115	-2.84	-4.874	-3.763	-4.477	-4.739	-3.572	-3.188	-2.677	-0.239	-1.783	-1.663	-2.0805
"YBR191W"	-2.07	-1.945	-2.052	-3.136	-3.824	-1.355	-3.54	-3.222	-3.049	-2.249	-1.912	-2.071	-3.167	-5.241	-2.114	-1.619	-3.152	-3.411	-0.044	-0.192	-0.351	-0.301	-0.262	-0.212	-0.276	-1.391	-0.941	-0.785	-4.5465	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	-0.132	-1.667	-3.463	-0.735	-0.878	-0.6005	-0.5245	-0.241	-0.4365	-0.0085	-0.774666666666667	-0.532666666666667	-1.497	-1.94	-3.687	-3.657	-2.538	-2.427	-3.266	-2.298	-2.477	-0.945	-1.935	-1.685	-1.8235
"YBR256C"	0.732	0.595	0.639	0.61	1.01	1.571	1.351	0.931	1.121	0.592	0.102	0.86	-0.144	-1.641	0.899	0.56	0.649	0.869	1.897	1.927	1.288	0.823	1.95	1.601	1.389	1.707	1.94	1.426	1.456	0.674	0.25	0.5215	-0.7115	0.131	-0.0385	1.586	1.7865	0.965	1.385	1.37	1.823	1.401	0.466	1.401	0.854	1.097	0.8765	2.004	0.778	1.609	2.493	1.352	0.991	0.97	1.317	1.466	0.203	0.7	1.294	0.883
"YBR263W"	-1.347	-1.327	-1.387	-1.401	-1.305	-1.067	-0.84	-0.395	0.267	0.181	0.029	1.373	-0.948	-2.818	-0.619	-0.244	-0.379	0.025	-0.03	-0.62	0.552	-0.13	-0.224	0.115	0.153	-0.02	0.236	-0.076	-0.2495	0.2135	-0.8145	-0.432	-0.9025	-1.693	-1.9405	0.052	0.363	-1.643	-0.812	-0.339	-0.648	-0.346	-0.009	-0.618	-0.372	0.104	0.3085	-0.461	-0.976	-1.463	-0.905	-0.781	-0.837	-0.526	-0.06	-0.707	1.192	0.472	-0.94	-0.828
"YDL061C"	-1.314	-2.379	-2.198	-2.928	-3.023	-1.377	-3.45	-2.443	-2.323	-2.345	-2.173	-2.665	-3.265	-4.279	-2.416	-1.571	-2.985	-2.81	0.223	0.016	0.005	0.124	0.007	0.104	-0.155	-0.51	-0.639	-0.404	-3.44	-1.91	-2.031	-2.139	-1.095	-0.613	-1.256	0.061	-1.304	-2.955	-1.088	-0.838	-1.292	-0.539	-0.54	-1.637	-1.178	-1.608	-0.952	-1.245	-1.723	-2.373	-2.153	-1.162	-2.791	-2.682	-1.35	-2.193	-0.272	-1.001	-1.489	-1.807
"YDL082W"	-1.994	-1.806	-2.339	-3.052	-2.521	-1.256	-3.223	-2.484	-2.853	-1.739	-1.446	-1.723	-3.326	-5.816	-2.246	-1.504	-2.537	-3.01	-0.145	-0.457	-0.465	-1.031	0.147	0.014	-0.486	-0.847	-0.915	-0.848	-2.915	-1.919	-2.383	-2.182	-2.186	-3.001	-3.589	-0.162	-1.117	-3.338	-0.3345	-0.249	-0.354	-0.533	0.5125	-0.7915	0.1775	-0.4695	-0.405	-0.6875	-2.511	-4.398	-3.698	-2.463	-4.518	-3.314	-3.014	-1.795	-0.279	-1.687	-1.602	-1.392
"YDL083C"	-0.632	-2.453	-1.953	-3.378	-3.478	-1.952	-3.139	-3.706	-3.045	-3.08	-2.854	-2.909	-3.106	-3.908	-2.847	-1.849	-3.133	-3.246	-0.341	-0.313	-0.517	-0.321	-0.509	-0.79	-0.611	-1.027	-1.122	-0.768	-2.474	-1.695	-2.301	-2.71	-2.252	-2.052	-3.014	-0.428	-1.797	-2.763	-0.8925	-0.1855	-0.338	-0.1705	-0.4045	-1.157	-0.485	-1.0135	-0.4125	-1.682	-1.778	-3.784	-2.953	-2.644	-3.827	-3.217	-1.991	-2.557	-0.157	-1.601	-2.392	-2.24
"YDL095W"	-0.163	-0.719	-0.492	-0.5	-0.319	-0.545	-1.21	-1.145	-1.439	-1.531	-1.618	-1.281	-2.026	-3.518	-0.289	-0.815	-1.945	-1.42	-0.218	-0.139	0.051	-0.168	-0.498	-0.401	-0.166	-0.18	-0.089	-0.028	-0.414	-0.603	-0.601	-0.616	-1.633	-0.827	-2.037	-0.152	-0.354	-0.227	-0.871	-0.592	-0.648	-0.265	-0.2	-0.233	-0.623	-0.137	0.188	-0.598	-0.395	NaN	-1.88	-1.131	-0.354	-0.407	-0.722	-0.678	0.817	-0.484	-1.463	-1.38
