	"53.Elutriation2:Sample2:Time2.0hrs"	"95.cdc15 230 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"519.2.5mM DTT 180 min"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"4872.1M sorbitol - 60 min"	"5357.1.5 mM diamide (5 min)"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"12733.Nitrogen Depletion 8 h"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"13057.wt/crz1 Na 30min (1)"	"13058.wt/crz1 Na 30min (2)"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13061.wt/crz1 Ca 15min (1)"	"13062.wt/crz1 Ca 15min (2)"	"13066.Na/Na+FK 30min (2)"	"13068.Na/Na+FK 45min (2)"	"13069.Ca/Ca+FK 15min (1)"	"13070.Ca/Ca+FK 15min (2)"	"13072.Ca/Ca+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"21662..24 mM H2O2- 230 minutes"	"28837.P2Comp 04 hr 15 min Phosphate Batch vs Chemostat Comparison2"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33777.delYPL230w_stationary_phase_0hours"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YBL027W"	0.9215	0.364	-2.395	-2.014	-1.979	-1.956	-2.978	-3.487	-1.561	-1.118	-1.417	-1.025	-0.888	-1.011	-2.851	-2.474	-2.081	-1.613	-5.577	-1.996	-1.199	-2.494	-2.654	-3.9845	-1.9755	-2.4005	-2.0465	-2.114	-0.007	0.325	-1.198	-1.547	-1.926	0.779	-2.031	-1.3565	-3.078	0.8235	0.8375	0.213	0.2665	0.448	0.3545	0.749	0.4585	0.44	0.5495	0.8405	0.6425	-0.27	0.314666666666667	-2.107	-1.031	-0.9	-3.528	-3.012	0.402	0.488	-3.351	-3.139	-2.319	-1.499
"YBL028C"	0.7165	1.213	-2.979	-4.029	-4.375	-2.877	-3.969	-3.261	-2.019	-1.907	-2.701	-2.264	-2.02	-1.487	-4.609	-3.234	-2.754	-2.652	-4.867	-2.637	-1.874	-3.002	-2.268	-2.6315	-2.1695	-1.5655	-2.036	-2.0555	0.0295	-0.561	-0.962	-1.315	-0.687	0.666	-0.4485	-0.7715	-4.011	0.988	1.211	0.27	0.338	-0.631	-0.739	0.569	-0.204	0.406	-0.013	0.741	0.98	-0.591	0.2655	-2.074	-1.658	-1.038	-2.225	-1.545	0.323	0.444	-2.529	-1.888	-1.463	-0.393
"YBR084W"	0.514	0.066	-2.64	-2.965	-3.129	-2.61	-3.49	-3.539	-1.894	-1.694	-1.516	-1.7	-2.218	-1.67	-4.143	-3.145	-3.201	-2.722	-5.362	-1.888	-1.171	-2.317	-2.197	-2.3585	-1.8955	-1.9025	-2.592	-2.75	-0.015	-0.609	-0.94	-1.83	-1.163	0.56	-2.208	-1.275	-4.142	0.353	-0.102	0.223	0.198	-0.498	-0.42	0.212	-0.655	-0.477	-0.347	0.455	-0.063	-0.641	-0.131	-4.322	-3.02	-3.783	-3.705	-2.757	0.06	-0.461	-4.104	-3.283	-2.324	-1.734
"YBR189W"	0.859	1.325	-2.555	-2.295	-2.064	-2.33	-3.868	-4.446	-1.701	-1.356	-1.412	-0.447	-1.16	-1.1	-3.784	-3.224	-3.356	-2.463	-4.702	-1.982	-1.532	-3.071	-3.483	-3.678	-2.112	-2.629	-2.467	-1.8835	0.262	0.345	-1.38	-1.845	-1.902	0.26	-2.7915	-2.165	-3.818	0.8445	0.849	0.25	0.172	0.307	0.375	0.7025	0.0625	0.2995	0.421	0.773	0.6325	-0.206	0.1395	-2.84	-1.457	-2.193	-4.874	-3.763	0.375	0.288	-4.739	-3.572	-3.188	-2.677
"YCL054W"	0.691	0.694	-3.545	-3.187	-2.942	-2.871	-3.741	-3.668	-2.641	-1.973	-1.441	-0.349	-1.974	-1.659	-3.386	-2.092	-2.133	-1.078	-2.063	-2.044	-2.67	-2.121	-2.124	-4.0705	-2.049	-2.2245	-2.4215	-3.313	0.121	-1.484	-0.458	-1.096	-0.146	0.312	-1.8165	-2.2055	-4.039	0.192	0.408	-0.171	-0.19	-0.504	-0.37	-0.037	-0.49	-0.287	0.107	0.06	0.341	0.156	0.872	-4.037	-2.713	-3.835	-2.945	-2.617	0.261	-0.035	-3.761	-2.107	-2.043	-1.576
"YCL059C"	0.658	0.7495	-3.484	-4.56	-4.242	-3.611	-4.218	-3.675	-2.133	-1.313	-1.901	-2.662	-2.904	-2.397	-4.786	-2.115	-1.94	-1.722	-5.277	-2.731	-1.244	-2.27	-1.67	-3.4015	-1.887	-1.4885	-1.846	-3.0265	0.0035	-0.797	-1.445	-1.082	-1.794	0.617	-1.1925	-1.263	-4.664	0.821	0.691	0.607	0.795	-0.324	-0.2	-0.45	-0.176	-0.419	-0.271	0.417	0.393	-0.154	0.631	-2.908	-2.614	-4.103	-3.887	-2.479	-0.012	0.11	-4.436	-2.396	-1.791	-1.933
"YCR055C"	0.705	-0.195	-4.1	NaN	-3.895	-3.121	-3.998	-3.454	-1.531	-2.202	-3.998	-1.585	-2.786	-1.986	-6.518	-3.193	-3.059	-2.704	-6.433	-3.38	-2.1	-3.796	-3.655	-2.6155	-1.6915	-1.403	-1.6	-3.105	0.0415	-1.118	-1.331	-1.852	-1.534	0.64	-2.079	-1.924	-4.055	0.337	0.616	-0.098	0.213	-0.532	-0.46	0.32	-0.166	-0.037	-0.231	0.254	0.228	-0.576	0.157	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
"YCR057C"	0.683	-0.0235	-3.139	NaN	-3.435	-2.848	-2.984	-2.951	-0.874	-1.99	-3.208	-1.598	-2.527	-2.059	-5.726	-3.143	-3.143	-2.651	-5.109	-3.064	-1.883	-2.464	-2.855	-1.667	-1.605	-1.7665	-1.5195	-2.812	0.0055	-1.137	-1.229	-1.863	-1.412	0.004	-1.1485	-1.1435	-3.831	0.357	0.371	0.078	-0.107	-0.464	-0.351	0.006	-0.204	0.334	-0.114	0.117	0.119	-0.66	-0.357	-2.66966666666667	-1.48266666666667	-2.12666666666667	-1.49366666666667	-1.74666666666667	0.145333333333333	-0.098	-2.95133333333333	-2.48433333333333	-1.72466666666667	-1.253
"YCR072C"	1.272	-0.236	-4.048	-3.359	-3.587	-2.626	-3.503	-2.949	-1.801	-1.563	-2.405	-1.04	-1.537	-1.46	-4.777	-2.891	-2.433	-2.412	-4.875	-2.593	-3.05	-3.092	-2.773	-1.4095	-1.4095	-1.6045	-1.42	-2.6635	-0.0405	-1.129	-0.898	-0.247	-1.693	0.541	-1.372	-1.136	-4.635	0.322	0.315	0.198	0.328	-0.77	-0.892	-1.256	-0.853	-0.46	0.008	0.164	0.245	-0.98	-0.1	-4.551	-2.816	-2.665	-2.819	-2.44	0.378	0.165	-3.703	-2.838	-1.67	-3.049
"YDL023C"	-0.347	0.336	3.318	NaN	2.598	3.003	3.335	3.546	1.723	1.692	1.18	0.623	1.326	1.069	1.67	0.867	1.578	1.603	-4.267	1.096	1.081	0.42	-0.057	1.353	2.268	2.441	1.128	1.03	-0.052	0.783	-0.027	-0.041	0.718	-0.163	0.414	-0.4365	3.64	0.074	-0.266	0.475	0.296	0.614	0.835	0.476	0.555	0.615	0.458	-0.643	-0.474	0.686	-2.366	3.112	2.744	3.048	0.866	0.36	1.027	1.259	2.639	0.903	0.543	0.917
