	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2554.Hypo-osmotic shock -15 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7547.33C no sorbitol 30 min"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40976.MD_II_140_min"
"YBR121C"	-1.014	0.701	-2.66	-2.186	-2.714	-4.037	-5.791	-2.317	-2.366	-2.465	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.271	0.324	0.381	-0.1215	0.03	0.328	-0.155	0.204	0.182	0.425	0.178	-2.249	-0.124	-0.147	0.06	-1.638	-2.356	-2.391	-1.697	-1.074	-0.461	-1.433
"YBR143C"	-1.0625	0.926	-2.729	-1.932	-2.537	-3.195	-4.642	-2.033	-2.012	-2.112	-3.1475	-2.126	-2.659	-2.698	-2.699	-3.572	0.346	0.258	0.212	0.029	0.012	0.142	0.157	0.498	0.245	0.772	0.493	-1.699	0.193	-0.03	-0.099	-1.155	-1.567	-1.627	-0.99	-1.779	-1.639	-1.243
"YBR181C"	-0.8695	1.308	-3.762	-1.94	-2.747	-3.798	-4.564	-3.3	-3.159	1.639	-5.0305	-2.493	-2.7035	-2.654	-2.96	-3.945	0.177	0.39	0.317	0.2295	0.142	0.173	-0.014	1.057	0.678	1.215	1.064	-2.337	0.1235	0.207	-0.37	-1.8015	-2.357	-2.434	-2.032	-2.7005	-2.3955	-2.043
"YBR189W"	-1.0835	1.486	-3.784	-2.154	-2.355	-2.065	-4.702	-3.071	-2.334	-2.025	-3.678	-2.629	-2.467	-1.9305	-1.8835	-2.9475	0.306	0.51	0.416	0.262	0.339	0.296	-0.065	0.493	0.794	1.246	1.379	-2.4025	0.25	0.172	0.0565	-1.2915	-1.663	-2.0805	-1.526	-1.891	-1.4285	-1.5195
"YBR229C"	-0.0605	-0.358	0.06	1.022	0.503	-1.255	-2.906	-0.513	-0.715	-1.081	0.356	0.375	0.8215	-0.645	-0.806	-1.728	0.059	-0.117	0.042	-0.161	0.047	0.019	-0.232	-0.102	0.018	0.062	-0.055	0.5	-0.237	-0.249	-0.044	0.039	0.411	0.239	0.071	0.257	0.856	-0.086
"YCR012W"	-0.922	-0.174	-1.187	-0.177	-0.027	-2.988	-3.015	-0.641	-1.232	-1.483	-1.2795	1.0615	0.1995	-2.19	-3.213	-4.0085	0.05	-0.082	0.063	0.004	0.341	-0.077	0.081	0.216	0.079	0.422	0.392	-0.266	0.161	0.135	-0.253	0.391	-0.241	-0.199	0.563	-0.494	-0.305	-1.114
"YDL015C"	-0.2565	0.151	-0.007	-0.774	-0.767	-2.047	-4.309	-0.611	-1.331	-1.697	0.6725	-0.5175	-0.6435	-1.2485	-1.9455	-2.2355	-0.114	-0.128	-0.133	-0.054	0.594	0.05	-0.216	0.06	0.007	0.453	0.215	-0.701	0.472	0.095	0.118	0.106	-0.771	-1.322	-0.257	-0.765	-0.583	-1.009
"YDL148C"	-0.433	0.896	-3.372	-0.377	-1.631	-2.269	-4.257	-2.168	-1.537	-0.748	-4.282	-2.056	-2.139	-2.39	-2.527	-2.281	0.667	0.439	0.488	0.234	-0.092	0.335	0.347	0.559	0.45	0.905	0.649	-0.985	-0.174	-0.01	-0.031	-2.66	-2.849	-1.971	-1.869	-2.235	-1.604	-2.319
"YDL163W"	-0.574	-0.158	-1.202	-0.332	-0.74	-1.257	-1.675	-0.832	-0.175	-1.315	-0.58	-0.381	-0.832	-0.796	-1.157	-1.107	-0.749	0.088	-0.111	-0.048	-0.027	-0.171	-0.506	-0.025	-0.132	-0.112	0.03	-0.333	-0.246	-0.257	-0.483	-0.503	-0.635	0.146	-2.865	0.112	0.016	0.05
"YDL167C"	-0.957	0.687	-4.321	-1.813	-2.3	-3.033	-4.001	-3.298	-1.281	-1.577	-3.084	-1.572	-2.172	-2.176	-2.332	-2.095	0.428	0.315	0.233	0.105	-0.067	-0.336	0.376	0.209	0.228	0.642	0.579	-1.335	-0.18	-0.04	-0.159	-2.526	-1.796	-1.647	-2.202	-0.811	-1.093	-1.056
