	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2554.Hypo-osmotic shock -15 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6824.Sporulation t0"	"7547.33C no sorbitol 30 min"	"8195.steady state 21 dec C"	"8197.steady state 25 dec C"	"8227.dtt 000 min"	"8228.dtt 015 min"	"11466.yO1 test hyb"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40976.MD_II_140_min"
"YGL097W"	-0.872	0.516	-1.806	-1.88	-2.214	-3.311	-5.124	-1.704	-1.338	-1.189	-0.928	-0.786	-1.446	-1.203	-1.641	-1.241	0.076	0.142	0.2	0.065	0.173	-0.304	0.259	0.543	0.283	0.386	0.586	-1.755	0.21	-0.005	0.447	-1.137	-1.484	-1.865	-1.301	-2.137	-2.043	-1.776
"YGL099W"	-1.079	0.843	-3.43	-2.004	-2.335	-2.895	-5.764	-2.454	-1.291	-1.425	-2.755	-1.805	-1.984	-2.516	-3.273	-3.42	0.357	0.164	-0.031	0.157	-0.013	0.168	0.191	0.891	0.397	0.583	0.509	-2.114	0.023	0.075	-0.061	-3.014	-2.756	-1.888	-1.175	-0.896	-1.465	-1.769
"YGL135W"	-1.162	1.101	-3.221	-2.301	-2.942	-3.418	-5.687	-3.217	-3.119	-2.071	-3.581	-2.512	-2.692	-2.267	-2.874	-3.825	0.147	0.277	0.482	-0.045	0.176	0.082	-0.508	0.461	0.35	1.065	1.146	-2.233	0.551	0.488	-0.064	-1.505	-3.45	-2.507	-2.67	-2.349	-2.729	-3.256
"YGL147C"	-1.473	1.186	-3.892	-2.422	-3.896	-3.921	-7.507	-3.0	-3.466	-3.166	-4.384	-2.874	-3.388	-3.018	-2.755	-3.483	0.163	0.337	0.323	0.326	0.431	0.22	-0.163	0.674	0.568	1.176	0.692	-2.532	0.7	0.778	-0.409	-2.793	-3.253	-3.352	-2.829	-2.553	-2.436	-3.298
"YGR001C"	-0.29	0.333	-1.476	-0.842	-0.607	-2.12	-3.271	-0.573	-0.824	-1.121	-1.378	-0.879	-0.942	-1.426	-1.682	-2.24	0.207	0.255	0.082	-0.039	0.244	-0.238	0.229	-0.11	0.023	0.411	0.481	-0.542	0.211	0.268	0.033	-0.887	-1.438	-0.499	-1.61	0.211	-0.136	-0.729
"YGR061C"	-0.907	0.2595	-1.1505	-1.003	-1.6865	-2.8345	-3.447	-1.6965	-1.048	-1.7135	-1.835	-1.7575	-1.891	-1.7885	-1.6345	-2.528	1.0465	0.3445	0.3115	-0.0275	-0.2455	0.078	-0.2575	0.012	0.222	0.433	0.4235	0.329	-0.187	-0.206	-0.0575	-1.7555	-1.914	-2.2585	-2.133	-1.68	-1.48	-1.3055
"YGR090W"	-1.036	0.382	-2.054	-0.545	-0.617	-0.463	-2.139	-0.971	-0.787	-0.868	-3.159	-1.627	-1.404	-1.524	-1.54	-1.573	0.604	0.366	0.268	0.293	0.064	0.293	0.156	0.186	-0.045	0.425	-0.026	-1.265	-0.428	-0.619	0.25	-1.714	-1.002	-1.676	-1.22	0.436	-0.517	-0.467
"YGR103W"	-1.088	1.243	-4.825	-2.148	-2.349	-1.948	-5.518	-2.251	-2.149	-1.634	-4.861	-2.918	-2.95	-2.768	-3.578	-3.882	0.951	0.797	0.521	0.129	-0.084	-0.127	0.686	0.364	0.359	0.757	0.818	-2.468	0.299	0.301	-0.239	-2.261	-4.308	-2.93	-2.48	-3.181	-3.059	-2.5
"YGR108W"	0.375	0.415	-1.178	-2.564	-0.216	-2.816	-3.123	-0.485	-1.595	-2.976	-1.167	-0.428	-2.434	-1.657	-2.674	-1.962	-0.758	-0.467	-0.213	0.038	-0.0535	-0.281	-0.522	0.091	-0.02	0.457	0.542	-2.42	-0.429	-0.5885	-0.273	-2.0395	-1.968	-1.457	-0.53	-1.2075	-1.6655	-0.9655
"YGR128C"	-0.425	0.922	-3.032	-1.732	-2.665	-2.66	-4.271	-2.816	-1.622	-1.376	-3.207	-2.107	-2.236	-2.017	-3.037	-2.679	0.815	0.423	0.227	0.096	-0.059	-0.117	0.685	0.719	0.34	0.809	0.906	-1.9935	0.0155	-0.023	-0.1455	-2.6405	-2.081	-2.224	-1.335	-1.3425	-2.1185	-2.6165
"YGR148C"	-0.934	0.859	-3.45	-2.31	-2.615	-3.884	-5.757	-3.141	-2.956	-2.722	-5.063	-2.508	-2.896	-3.022	-3.649	-4.092	0.103	0.399	0.476	0.022	0.25	-0.28	-0.181	0.708	0.436	0.917	0.713	-2.7095	0.014	0.0495	0.127	-1.5625	-1.505	-1.8415	-1.066	-1.8265	-1.9105	-1.9535
"YGR175C"	-0.186	0.477	-1.507	0.235	-1.083	-3.074	-4.5	-1.675	-1.563	-1.196	-1.38	0.085	-0.251	-2.53	-2.628	-3.285	0.496	0.46	0.334	0.31	-0.2115	-0.155	-0.01	0.592	0.198	0.665	0.453	0.106	0.0745	0.078	-0.1825	-2.34	-2.355	-1.947	-1.8925	-1.6305	-1.1105	-1.5295
"YGR200C"	-0.601	0.212	-3.964	-1.152	-1.306	-2.863	-3.668	-2.565	-1.597	-1.625	-0.958	-1.274	-1.456	-1.861	-2.863	-2.446	0.695	0.402	0.264	-0.037	-0.065	0.064	0.465	0.024	0.067	0.649	0.558	-1.091	0.181	0.057	-0.232	1.203	NaN	0.991	-1.315	-1.311	NaN	NaN
"YGR264C"	-1.489	0.85	-3.787	-2.945	-3.206	-5.206	-4.616	-3.505	-2.811	-3.49	-3.897	-2.707	-3.468	-4.623	-4.957	-4.753	0.316	0.495	0.275	-0.079	-0.026	0.088	-0.22	0.381	0.458	0.672	0.341	-2.468	0.034	-0.035	-0.219	-1.979	-2.475	-2.845	-2.239	-2.931	-2.022	-2.536
"YHR005C"	-0.618	0.768	-0.713	0.255	-0.01	-1.947	-4.17	-0.815	-1.102	-1.473	0.009	-0.574	-0.985	-2.115	-2.592	-2.519	-0.033	-0.168	-0.13	-0.301	-0.9665	-0.031	0.158	0.123	0.259	0.283	0.118	-0.333	0.469	0.517	-0.347	-2.401	-2.017	-1.452	-1.552	-0.746	-0.701	-0.574
"YHR071W"	0.421	-0.699	0.648	-0.108	0.305	0.95	0.528	0.844	1.044	0.987	0.567	1.305	1.502	1.849	2.351	2.382	0.818	-0.018	-0.111	0.414	0.594	0.109	0.301	0.322	0.088	-0.037	0.067	-0.46	-0.003	-0.107	-0.027	2.344	1.584	1.939	1.286	0.729	1.076	0.755
"YHR079C"	0.409	-0.031	-0.137	1.033	0.967	-0.613	-2.434	-0.109	0.348	0.198	0.282	0.593	0.846	-0.582	-0.944	-1.748	0.156	0.022	-0.017	0.153	-0.253	0.164	-0.13	0.047	0.0	0.245	-0.072	0.478	-0.504	-0.405	-0.378	-1.212	0.711	-0.826	-1.684	0.305	0.178	0.655
"YHR128W"	-1.606	0.833	-4.359	-3.159	-3.742	-4.967	-6.006	-3.351	-3.361	-3.012	-2.2	-3.051	-3.482	-3.191	-3.494	-3.516	0.5	0.368	0.288	0.062	0.0725	0.067	0.244	0.296	0.238	0.979	0.781	-1.769	0.27	0.315	-0.214	-2.441	-2.644	-2.222	-2.467	-3.448	-3.644	-4.039
"YHR149C"	NaN	NaN	-0.222	NaN	NaN	2.402	-3.621	NaN	0.322	0.038	0.585	NaN	-2.031	-0.71	NaN	3.459	1.063	0.081	1.989	-0.2	-0.032	-0.206	NaN	0.0	NaN	0.0	NaN	-1.662	0.244	0.206	0.054	-2.762	-0.775	-2.212	-0.521	0.0	-1.221	-1.338
"YHR201C"	-1.351	0.454	-0.362	-2.046	-1.721	-1.811	-4.155	-0.686	-1.009	-1.505	-0.817	-1.193	-1.428	-1.103	-1.632	-2.134	-0.076	-0.102	-0.035	-0.051	-0.014	0.01	0.144	0.257	-0.169	0.074	0.21	-1.989	0.075	0.042	0.071	-1.714	-1.585	-1.718	-1.022	-1.963	-1.803	-2.003
"YHR203C"	-2.628	1.011	-3.926	-2.372	-2.895	-3.782	-5.944	-3.917	-3.412	-3.049	-4.669	-2.437	-2.591	-2.575	-3.081	-3.941	0.166	0.323	0.318	0.264	0.204	0.058	-0.417	0.672	0.246	0.703	0.756	-2.302	0.073	0.156	-0.137	-2.535	-3.044	-3.459	-1.406	-2.385	-2.351	-2.356
"YHR216W"	-1.585	0.917	-2.62	-1.128	-2.045	-3.15	-4.943	-1.762	-3.038	-2.589	-2.554	-2.088	-2.767	-2.237	-2.621	-2.913	0.646	0.653	0.584	0.163	0.1095	-0.081	-0.342	0.636	0.323	0.904	0.527	-1.783	0.071	-0.039	0.3	-1.362	-1.515	-1.599	-0.721	-3.136	-2.892	-3.232
"YIL010W"	-0.43	-0.376	0.126	-0.555	-0.457	-1.635	-3.005	0.893	-0.521	-0.49	0.332	-0.692	-0.796	-1.238	-1.79	-1.288	0.073	-0.25	-0.135	0.022	0.275	-0.48	0.425	-0.159	-0.246	-0.515	-0.385	-0.5	-0.312	-0.467	0.102	0.606	0.944	1.008	1.096	0.789	0.613	-0.045
"YIL018W"	-1.109	1.177	-4.365	-2.488	-2.78	-3.492	-5.749	-3.362	-3.056	-3.151	-3.907	-2.218	-2.606	-2.661	-3.27	-3.914	0.212	0.32	0.229	-0.233	0.074	-0.089	-0.457	0.746	0.582	0.99	1.018	-2.495	0.22	0.186	0.236	-2.277	-2.962	-2.689	-2.573	-2.534	-1.725	-2.409
"YIL020C"	-0.948	0.642	-1.861	-1.542	-1.241	-2.251	-3.447	-2.174	-0.702	-1.028	-0.986	-1.134	-1.135	-1.853	-1.943	-1.728	-0.216	0.003	-0.18	-0.158	-0.0545	0.079	0.061	0.394	0.242	0.889	0.885	-1.289	0.245	0.206	-0.113	-2.757	-1.998	-2.682	-2.266	-0.964	-1.371	-1.836
"YIL078W"	-1.288	0.771	-2.907	-2.498	-1.911	-5.192	-6.059	-2.282	-2.5	-2.462	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	0.219	0.528	0.423	0.141	0.1345	-0.127	-0.182	0.401	0.213	0.344	0.235	-2.348	0.305	0.336	0.343	-1.608	-1.901	-0.97	-2.028	-2.818	-2.344	-2.433
"YIL133C"	-1.126	0.983	-3.333	-2.167	-2.883	-2.693	-5.79	-2.93	-2.194	-0.38	-4.433	-2.465	-2.757	-2.615	-3.007	-3.393	0.099	0.319	0.363	0.235	0.179	-0.165	-0.311	1.021	0.612	1.125	0.815	-2.13	-0.023	-0.044	-0.17	-2.016	-2.513	-2.553	-1.664	-0.252	-0.419	-1.035
"YJL109C"	-0.8145	0.3375	-2.165	-0.849	-1.647	-2.408	-2.278	-1.698	-1.009	-0.387	-3.828	-2.532	-2.726	-3.225	-3.2785	-3.3735	1.125	0.7675	0.7695	-0.025	-0.0193333333333333	-0.296	0.4155	0.1225	0.2275	0.2745	0.2975	-1.6855	0.0995	0.1595	-0.423	-5.133	-2.804	-3.415	-2.0755	-1.9915	-2.6275	-2.1055
"YJL138C"	-0.635	1.287	-2.487	-1.195	-1.358	-3.125	-5.625	-1.273	-1.674	-1.959	-2.086	-1.763	-2.049	-2.542	-2.785	-3.522	0.49	0.654	0.758	0.058	0.136	0.067	-0.33	0.445	0.526	0.975	1.01	-1.828	0.361	0.31	0.213	-1.827	-0.918	-1.505	-0.887	-1.703	-1.332	-1.209
"YJL157C"	-0.778	0.861	-2.634	-1.708	-0.962	-3.548	-7.731	-2.404	-2.54	-2.599	-0.111	-1.008	-2.535	-3.198	-3.396	-3.219	-0.182	-0.372	-0.3	0.018	-0.0515	0.24	-0.38	0.353	0.15	0.534	-0.359	-1.339	0.267	0.284	-0.414	-3.623	-3.099	-2.999	-2.752	-1.459	-2.699	-2.44
"YJL183W"	-0.746	0.42	-2.65	-2.434	-1.944	-2.097	-4.986	-2.067	-1.21	-1.424	-1.695	-1.436	-1.333	-1.66	-2.208	-2.121	0.132	0.102	0.007	0.247	0.0265	-0.268	-0.268	0.575	0.254	0.64	0.674	-1.239	0.349	0.375	0.027	-1.596	-0.698	-2.069	-2.015	-2.416	-1.331	-2.226
"YJL189W"	-0.38	0.91	-3.545	-1.647	-1.644	-2.901	-4.28	-2.446	-1.716	-1.833	-3.49	-1.78	-2.141	-1.577	-2.282	-2.837	0.194	0.261	0.231	-0.058	0.1395	-0.016	0.133	0.55	0.327	1.141	1.138	-1.034	0.175	0.302	-0.365	-2.1	-1.306	-2.027	-2.275	-1.431	-2.298	-2.524
"YJL190C"	-1.053	1.453	-3.794	-2.413	-3.287	-3.585	-6.079	-3.969	-3.536	-3.062	-4.469	-3.105	-3.227	-2.941	-3.365	-3.524	0.367	0.612	0.493	0.048	0.2805	0.1	-0.262	0.845	0.915	1.306	0.948	-2.43	0.457	0.454	0.271	-2.517	-1.48	-3.118	-2.885	-2.905	-2.64	-2.584
"YJR001W"	-0.753	0.01	0.599	-1.18	-0.868	-2.83	-3.551	-0.391	-1.103	-1.332	0.844	-0.567	-0.442	-1.449	-1.449	-1.784	-0.287	-0.045	0.062	0.154	0.1665	-0.016	-0.5	0.185	-0.145	0.436	0.072	-1.244	0.161	-0.028	0.142	0.154	-0.371	-0.566	0.396	-2.525	-2.02	-1.556
"YJR016C"	-1.386	0.911	-4.202	-1.146	-1.028	-2.006	-5.079	-3.415	-2.16	-1.999	-0.856	-0.554	-0.998	-0.939	-1.747	-2.976	0.358	0.372	0.367	0.289	0.101	0.165	-0.484	0.037	0.415	0.667	0.624	-1.54	0.333	0.294	-0.176	-2.695	-3.454	-3.04	-2.992	-1.58	-2.04	-1.831
"YJR031C"	0.181	-0.091	-1.155	-0.479	0.393	-1.269	-2.438	-0.18	-0.42	-0.632	-1.222	-0.941	-0.791	-1.384	-1.85	-0.8	0.642	0.867	0.748	0.249	0.0195	-0.242	0.229	-0.053	-0.257	0.337	0.214	0.77	-0.228	-0.325	-0.144	-0.886	-0.962	-1.675	-1.494	-0.006	-0.881	-0.667
"YJR064W"	-0.869	0.68	-3.248	-1.854	-2.589	-1.931	-4.297	-2.003	-1.978	-1.919	-2.119	-1.592	-1.762	-1.961	-2.702	-2.57	0.298	0.238	0.106	0.016	0.09	0.059	0.163	0.617	0.377	0.617	0.43	-1.762	0.106	0.023	-0.369	-1.199	-1.095	-0.329	-0.202	-1.478	-1.468	-0.793
"YJR076C"	-0.276	0.242	-0.317	-1.242	-1.448	-2.55	-4.614	-0.883	-1.375	0.846	-0.818	-0.839	-0.776	-1.815	-2.814	-3.117	-0.201	-0.015	0.012	0.24	0.028	-0.064	0.161	0.394	-0.031	0.114	-0.036	-1.327	0.274	0.179	-0.209	-0.4	-1.178	-1.006	-0.812	-0.902	-1.415	-1.705
"YJR087W"	0.066	-0.3	-0.966	-0.617	-1.308	-2.136	-3.553	-0.393	-0.568	-1.166	-0.671	-0.447	-0.634	-1.125	-1.669	-1.145	-0.16	-0.194	-0.095	-0.045	0.103	0.238	0.219	0.154	0.103	0.029	0.244	-0.598	0.367	0.39	-0.079	-0.802	-1.05	-0.178	-0.223	-0.962	-1.536	-1.605
"YJR123W"	-1.858	1.246	-3.844	-2.46	-3.124	-4.381	-9.147	-3.809	-3.442	-3.646	-4.282	-2.391	-2.635	-2.639	-3.543	-4.006	0.185	0.357	0.4	0.56	0.301	-0.57	-0.493	0.574	0.329	1.02	0.695	-2.153	0.266	0.161	0.081	-1.531	-1.402	-2.577	-1.67	-3.256	-1.979	-2.851
"YJR124C"	-0.652	0.633	-2.856	-2.069	-2.068	-2.359	-2.412	-1.609	-1.279	-1.46	-2.346	-1.778	-1.7	-1.401	-1.723	-2.242	0.208	0.069	0.142	0.009	-0.0915	-0.304	-0.228	0.169	0.11	0.157	0.681	-1.727	0.029	0.012	0.109	-2.629	-2.449	-1.007	-1.856	-0.811	-0.633	-2.548
"YJR142W"	-0.043	-0.113	0.891	-0.689	-0.261	-2.83	-2.392	0.371	-0.416	-0.544	0.121	-0.772	-0.821	-1.581	-2.204	-2.058	0.0	-0.182	-0.154	-0.061	-0.008	-0.099	0.174	0.052	0.011	-0.124	-0.091	-0.213	-0.228	-0.247	0.349	0.24	0.782	0.524	0.358	-1.166	0.312	-0.587
"YJR143C"	-0.945	0.657	-1.748	-1.487	-1.713	-4.675	-5.523	-2.151	-2.573	-3.031	-1.799	-1.986	-2.118	-3.335	-3.698	-3.382	0.031	0.303	0.224	0.239	0.2165	-0.256	-0.325	0.135	0.213	0.687	0.122	-1.896	0.682	0.068	0.194	-1.404	-2.102	-2.468	-0.508	-4.237	-1.969	-1.591
"YJR145C"	-1.487	1.341	-4.507	-2.328	-2.413	-3.54	-6.528	-3.551	-3.597	-3.707	-4.857	-2.396	-2.336	-2.519	-3.105	-3.178	0.253	0.365	0.336	0.381	0.362	0.112	-0.258	0.413	0.494	1.013	0.57	-2.312	0.394	0.212	-0.283	-1.389	-2.371	-2.718	-1.045	-3.796	-2.67	-1.563
"YKL056C"	-1.453	1.083	-3.205	-1.541	-1.771	-3.426	-5.119	-1.914	-2.371	-2.389	-2.468	-1.741	-2.281	-2.754	-3.265	-3.483	0.452	0.54	0.555	0.072	0.2585	0.154	-0.218	0.564	0.115	0.722	0.648	-1.777	0.932	0.736	0.025	NaN	-1.796	-2.04	-2.387	-1.512	-2.123	-2.444
"YKL181W"	-0.912	1.201	-3.28	-1.708	-1.771	-1.818	-4.28	-2.604	-1.935	-2.1	-1.405	-1.301	-1.128	-1.023	-2.292	-2.779	0.405	0.418	0.312	-0.212	NaN	0.101	-0.116	0.666	0.513	0.821	1.022	-1.417	-0.006	-0.091	-0.512	-2.619	-2.113	-2.191	-2.38	-3.12	-1.687	-1.645
"YKR059W"	-0.733	1.252	-2.144	-1.543	-1.54	-2.817	-4.998	-2.593	-2.531	-2.238	-2.018	-1.844	-2.106	-2.623	-2.96	-3.568	0.483	0.673	0.499	0.062	-0.226	0.044	-0.189	0.909	0.414	1.021	0.758	-1.996	0.059	0.224	-0.354	-1.632	-2.2	-2.321	-2.153	-1.852	-0.927	-1.138
"YKR094C"	-1.08	0.977	-3.138	-1.978	-2.41	-2.464	-4.383	-2.102	-1.972	-2.7	-2.785	-1.746	-1.839	-1.792	-2.197	-2.387	0.12	0.404	0.425	0.016	0.221	-0.246	-0.206	0.323	0.352	1.061	0.704	-2.035	0.52	0.292	0.065	-0.123	-1.76	-1.329	-0.592	-1.585	-0.978	-1.398
"YLL008W"	-1.155	0.601	-5.659	-2.165	-3.282	-2.899	-6.113	-2.364	-1.847	-2.162	-3.473	-2.154	-2.612	-2.386	-2.487	-2.92	0.925	0.786	0.65	-0.01	-0.108	-0.102	0.801	0.417	0.109	0.585	0.404	-1.906	-0.051	0.215	0.012	-2.604	-2.546	-3.0	-2.435	-2.584	-1.953	-2.151
"YLR029C"	-1.619	0.903	-3.174	-2.334	-3.108	-3.615	-6.877	-2.777	-2.78	-2.648	-3.178	-2.201	-2.595	-2.242	-2.378	-2.987	0.053	0.304	0.325	-0.158	0.467	0.37	-0.01	0.775	0.151	0.769	0.782	-2.49	0.784	1.015	0.321	-1.513	-1.798	-3.636	-1.459	-1.645	-1.092	-1.255
"YLR058C"	-0.755	-0.927	-2.467	-0.496	-1.837	-2.65	-5.454	-1.938	-1.465	-1.421	0.07	-0.567	-0.764	-0.72	-0.827	-1.961	1.154	-0.473	-0.308	0.286	0.142	-0.24	0.709	-0.18	-0.141	0.624	0.367	-0.939	-0.055	-0.144	-0.145	-1.637	-2.63	-2.542	-1.898	-3.04	-3.061	-2.135
"YLR061W"	-1.105	1.127	-4.925	-2.908	-3.127	-4.939	-6.591	-3.239	-3.021	-3.058	-4.326	-2.433	-2.88	-3.309	-3.833	-3.91	0.191	0.317	0.377	0.078	0.465	0.087	-0.065	0.147	0.478	1.066	0.447	-2.482	-0.116	-0.133	-0.019	-1.222	-2.006	-2.22	-1.462	-1.564	-1.485	-2.199
"YLR167W"	-1.188	1.149	-1.481	-1.962	-1.944	-1.761	-4.496	-1.882	-2.295	-2.184	-1.894	-1.479	-1.439	-1.334	-1.976	-2.263	0.223	0.246	0.38	0.231	0.327	-0.284	-0.122	0.88	0.549	1.128	1.345	-2.032	0.709	0.688	-0.482	-1.709	-1.188	-2.443	-2.458	-2.308	-2.048	-2.091
"YLR175W"	-1.501	1.304	-5.607	-2.484	-3.068	-3.401	-5.468	-3.996	-3.13	-3.152	-4.678	-2.762	-3.408	-3.701	-4.364	-4.96	0.356	0.28	0.135	0.21	-0.038	-0.029	-0.031	0.845	0.292	0.892	0.937	-2.422	0.276	0.202	0.037	-3.423	-3.083	-2.593	-2.074	-2.004	-2.356	-1.628
"YLR249W"	-1.649	1.219	-6.529	-3.403	-3.637	-4.146	-6.742	-3.879	-3.557	-3.199	-4.679	-3.131	-3.778	-3.883	-4.549	-4.992	0.379	0.552	0.373	0.257	-1.1	-0.113	-0.647	0.426	0.424	0.701	0.546	-3.421	0.139	-0.052	0.301	-2.945	-3.861	-4.463	-2.262	-2.727	-2.013	-3.381
"YLR264W"	-0.337	0.922	-3.105	-1.529	-1.693	-2.597	-5.152	-2.945	-2.616	-2.15	-3.525	-2.241	-2.158	-1.649	-2.334	-2.391	0.519	0.441	0.631	-0.175	0.246	0.354	-0.015	0.546	0.541	1.267	0.903	-1.833	0.768	0.667	0.346	-3.008	-2.899	-2.481	-2.579	-2.57	-2.3	-3.465
"YLR291C"	-0.737	0.624	-1.858	-1.482	-1.792	-3.037	-4.762	-1.324	-1.104	-2.027	-1.003	-1.186	-1.283	-1.783	-2.216	-2.363	0.074	0.062	0.048	-0.181	-0.027	-0.085	-0.206	0.239	0.053	0.603	0.678	-1.532	-0.005	-0.067	-0.57	-0.977	-1.173	-1.11	-0.018	-1.326	-2.28	-1.524
"YLR339C"	-1.371	0.66	-3.243	-3.285	-3.76	-4.988	-6.865	-2.453	-3.201	-2.938	-3.117	-2.647	-2.474	-2.461	-3.161	-3.973	0.139	0.285	0.253	-0.052	0.014	-0.057	-0.672	0.269	0.114	0.936	0.573	-2.977	0.372	0.4	-0.094	-1.313	-2.221	-2.553	-0.8	-3.282	-1.484	-1.546
"YLR350W"	0.465	-0.569	2.389	0.929	1.384	0.933	-0.644	1.687	1.198	1.28	1.854	1.194	0.559	1.015	1.215	0.803	-0.113	-0.29	-0.234	-0.226	0.041	0.046	-0.37	0.023	-0.096	-0.848	-0.638	1.14	-0.46	-0.486	0.133	0.61	0.852	0.488	0.192	-0.112	0.599	0.43
"YLR354C"	-0.699	0.25	-0.752	-1.048	-0.158	-2.178	-4.965	0.005	-1.448	-0.003	-0.104	-0.543	-1.053	-2.325	-2.432	-3.661	0.051	-0.182	-0.137	-0.049	0.234	-0.144	0.039	-0.081	0.127	0.0	-0.071	-1.306	-0.076	-0.137	-0.04	0.54	0.586	0.254	1.13	0.894	0.982	0.378
"YLR359W"	-0.573	0.684	-2.506	-0.942	-1.705	-2.567	-5.36	-0.843	-0.567	-0.623	0.317	-0.538	-1.047	-1.039	-1.681	-1.828	0.636	-0.122	-0.177	0.14	0.109	-0.142	-0.467	0.571	0.184	0.526	0.497	-1.225	0.467	0.424	-0.356	-1.988	-1.249	-2.07	-1.283	-1.078	-0.567	-0.574
"YLR372W"	-0.988	1.022	-4.565	-2.818	-3.001	-2.731	-4.512	-3.069	-2.643	2.656	-4.078	-2.838	-3.773	-2.844	-3.456	-3.544	0.145	0.336	0.243	-0.081	-0.066	0.01	-0.278	0.651	0.181	0.979	1.028	-2.188	0.238	0.236	0.258	-1.72	-1.726	-2.139	-2.047	-2.496	-2.405	-3.309
"YLR401C"	-0.782	0.994	-3.761	-1.241	-1.265	-1.263	-3.133	-2.484	-1.169	-0.611	-1.31	-1.047	-1.54	-0.775	-0.916	-0.969	0.31	0.032	0.168	0.252	-0.08	-0.726	0.136	0.163	0.029	0.493	0.522	-0.681	-0.225	-0.064	0.019	-1.175	-0.246	-0.77	0.754	-1.109	0.064	-0.679
"YLR413W"	-2.452	1.359	-4.758	-4.874	-5.063	-5.414	-5.846	-3.237	-3.034	-3.629	-4.176	-4.358	-4.993	-4.2	-4.656	-4.874	0.391	0.297	-0.043	0.009	-0.462	0.029	0.03	0.271	0.127	1.08	0.247	-3.737	0.359	-0.052	-0.02	-2.042	-0.625	-0.221	0.405	-4.072	-2.168	-3.335
"YML024W"	-1.295	0.906	-3.616	-2.475	-3.285	-3.909	-4.621	-3.523	-3.004	-3.408	-3.455	-2.512	-2.583	-1.81	-2.221	-2.415	0.305	0.141	0.359	-0.183	0.177	NaN	0.026	0.598	0.63	1.082	0.824	-1.868	0.321	0.312	-0.23	-2.663	-3.094	-3.159	-2.141	-2.178	-1.373	-2.255
"YML105C"	-0.176	0.494	-0.925	-1.11	-1.19	-3.491	-5.249	-0.758	-1.171	-1.701	-0.816	-0.945	-0.916	-1.556	-2.731	-1.698	0.413	0.317	0.085	-0.258	NaN	-0.157	0.45	0.479	0.459	0.34	0.842	0.328	0.108	0.113	0.103	-1.704	-0.23	-1.267	NaN	-0.008	-0.125	3.612
"YMR006C"	0.189	0.902	-1.865	-0.491	-1.226	-2.8	-3.323	-1.491	-1.121	-1.521	-2.057	-1.499	-2.06	-1.986	-1.756	-2.16	-0.001	0.08	0.031	0.222	-0.085	NaN	-0.623	0.343	-0.095	1.396	0.612	NaN	-0.016	-0.027	-0.183	-2.09	-1.532	-2.077	-0.644	-1.885	-1.562	-1.079
"YMR116C"	-1.829	1.09	-3.012	-3.089	-3.798	-4.551	-6.865	-2.937	-3.535	-3.312	-3.586	-2.851	-2.888	-2.906	-3.561	-4.003	0.131	0.377	0.357	-0.542	0.293	NaN	-0.664	0.586	0.289	0.722	0.653	-2.539	0.891	0.869	-0.027	-2.236	-3.356	-3.396	-1.868	-2.61	-3.556	-3.646
"YMR202W"	-1.995	0.617	-3.652	-2.236	-2.852	-4.391	-5.431	-1.983	-1.907	-1.33	-1.406	-1.63	-1.208	-2.263	-2.876	-2.931	0.316	0.391	0.623	-0.052	0.102	0.369	-0.049	-0.097	-0.097	0.3	0.272	-1.541	0.26	0.306	0.144	-1.711	-1.775	-1.114	-0.604	-2.861	-1.657	-1.952
"YMR217W"	-1.12	1.158	-5.293	-2.518	-3.785	-4.735	-5.29	-3.48	-2.622	-2.591	-4.287	-3.341	-4.118	-3.713	-4.205	-4.469	0.986	0.662	0.38	0.291	-0.132	0.121	-0.255	0.227	0.234	0.959	1.092	-2.4545	0.353	0.478	0.391	-1.984	-2.54	-3.332	-2.324	-3.536	-2.893	-2.568
"YMR242C"	-1.39	1.333	-4.702	-2.522	-3.032	-3.971	-6.226	-3.832	-3.636	-3.62	-4.84	-2.59	-3.004	-2.601	-3.133	-3.475	0.188	0.408	0.408	0.442	0.19	0.115	-0.208	0.57	0.408	0.993	0.76	-2.4615	0.125	0.261	-0.298	-1.628	-2.314	-1.514	-1.417	-1.097	-0.925	-1.911
