	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"
"YBR011C"	-4.081	-5.344	-3.0585	-3.4585	0.911	0.444
"YBR031W"	-2.879	-6.063	-1.9345	-2.5745	1.776	1.62
"YBR096W"	-2.825	-3.347	-1.7925	-2.066	0.769	0.868
"YBR106W"	-3.354	-5.052	-3.147	-3.2985	1.816	1.633
"YBR118W"	-2.846	-5.272	-2.167	-3.221	1.281	0.816
"YBR143C"	-3.195	-4.642	-2.699	-3.572	0.595	-0.286
"YBR181C"	-3.798	-4.564	-2.96	-3.945	2.51	2.321
"YBR191W"	-3.167	-5.241	-2.6255	-3.136	2.574	1.964
"YBR206W"	-2.307	-3.253	-1.694	-1.6555	-0.323	0.243
"YCR034W"	-3.204	-4.331	-3.2845	-3.3025	1.829	1.697
"YDL082W"	-3.326	-5.816	-3.001	-3.589	1.879	1.205
"YDL083C"	-3.106	-3.908	-2.052	-3.014	1.745	1.634
"YDL185W"	-2.522	-4.417	-2.084	-3.0	-0.153	0.1555
"YDR071C"	-2.459	-4.374	-3.125	-2.557	-0.293	0.119
"YDR084C"	-1.565	-2.084	-0.826	-0.777	-0.375	-0.044
"YDR091C"	-3.384	-4.4	-3.222	-3.423	0.99	0.927
"YDR156W"	-0.371	-3.159	-0.229	-0.42	0.382	-0.34
"YDR233C"	-2.587	-3.48	-2.27	-2.451	1.225	0.356
"YDR245W"	-1.932	-3.6715	-2.2845	-2.201	-0.107	0.626
"YDR264C"	-0.465	-1.952	-0.347	-0.785	0.0545	-0.024
"YDR381W"	-0.13	-2.721	0.25	-0.64	0.228	-0.208
"YDR399W"	-3.073	-4.784	-2.216	-2.373	0.805	-0.619
"YDR417C"	-4.279	-5.062	-3.022	-3.606	-1.392	-0.164
"YDR427W"	-1.953	-4.214	-1.996	-2.388	0.5985	0.283
"YDR447C"	-3.659	-5.332	-2.625	-3.552	1.384	-0.446
"YDR471W"	-3.599	-4.747	-2.405	-2.908	1.842	0.954
"YEL042W"	-3.201	-4.334	-2.665	-3.071	1.62	0.961
"YER025W"	-2.274	-4.542	-2.125	-2.385	0.486	0.562
"YER043C"	-4.78	-6.476	-4.857	-4.918	0.959	0.829
"YER052C"	-3.288	-5.276	-2.953	-2.839	0.619	0.089
"YER074W"	-3.067	-3.854	-2.829	-3.947	2.372	2.087
"YER102W"	-3.64	-6.434	-3.326	-3.859	2.134	2.142
"YER131W"	-3.664	-6.55	-2.654	-3.304	2.555	3.292
"YFL022C"	-2.926	-4.867	-1.794	-1.707	0.185	0.067
"YFR025C"	-2.373	-3.739	-1.235	-1.39	-0.616	0.176
"YFR031BC"	-4.702	-7.029	-3.863	-4.146	2.236	2.984
"YGL001C"	-2.878	-4.137	-2.358	-2.176	1.529	1.276
"YGL030W"	-3.668	-5.484	-2.044	-3.011	1.928	2.719
"YGL031C"	-3.683	-5.763	-3.061	-3.473	2.388	1.907
"YGL076C"	-3.976	-5.667	-2.79	-3.782	1.928	2.439
"YGL135W"	-3.418	-5.687	-2.874	-3.825	1.781	0.914
"YGL145W"	-1.74	-2.91	-0.736	-0.944	0.169	-0.1935
"YGL147C"	-3.921	-7.507	-2.755	-3.483	1.2675	1.336
"YGR014W"	-1.258	-3.299	-1.446	-1.679	0.884	1.0875
"YGR037C"	-3.63	-4.976	-2.717	-2.416	0.892	0.038
"YGR085C"	-3.406	-6.059	-3.54	-4.179	2.184	1.773
"YGR124W"	-2.597	-4.207	-3.169	-3.758	0.33	0.247
"YGR148C"	-3.884	-5.757	-3.649	-4.092	2.006	2.162
"YGR175C"	-3.074	-4.5	-2.628	-3.285	0.648	0.726
"YGR200C"	-2.863	-3.668	-2.863	-2.446	1.639	1.316
"YGR214W"	-3.03	-5.16	-1.925	-3.246	2.445	2.247
"YGR229C"	-2.847	-4.256	-2.58	-3.391	-0.497	0.09
"YGR254W"	-3.348	-5.012	-1.285	-3.4445	0.844	0.758
"YHR019C"	-4.051	-5.077	-3.721	-4.387	1.273	0.867
"YHR049W"	-3.623	-4.702	-2.952	-2.443	1.326	1.065
"YHR163W"	-2.869	-4.663	-2.471	-2.366	0.473	0.513
"YHR203C"	-3.782	-5.944	-3.081	-3.941	2.246	1.79
"YIL018W"	-3.492	-5.749	-3.27	-3.914	2.172	1.173
"YIL038C"	-0.867	-2.368	-1.552	-1.546	-0.176	-0.128
"YJL002C"	-2.469	-4.487	-2.556	-2.618	0.89	0.746
"YJL091C"	-1.543	-2.378	-1.202	-1.731	-0.0065	0.008
"YJL111W"	-3.38	-6.57	-1.994	-2.239	0.327	-0.398
"YJL138C"	-3.125	-5.625	-2.785	-3.522	1.469	0.388
"YJL157C"	-3.548	-7.731	-3.396	-3.219	-0.7	0.621
"YJL189W"	-2.901	-4.28	-2.282	-2.837	1.705	1.23
"YJL190C"	-3.585	-6.079	-3.365	-3.524	2.303	1.92
"YJR041C"	-3.322	-4.286	-2.872	-2.952	1.428	0.146
"YJR076C"	-2.55	-4.614	-2.814	-3.117	-0.194	-0.103
"YJR123W"	-4.381	-9.147	-3.543	-4.006	2.383	2.53
"YJR145C"	-3.54	-6.528	-3.105	-3.178	2.165	2.098
"YKL008C"	-1.196	-3.176	-1.235	-1.783	0.16	0.409
"YKL056C"	-3.426	-5.119	-3.265	-3.483	1.83	1.744
"YKL068W"	-1.98	-3.325	-1.563	-1.621	-0.646	-0.41
"YKL110C"	-1.921	-2.904	-1.044	-1.572	-0.715	-0.568
"YKL126W"	-1.529	-2.583	-1.361	-1.517	0.441	-0.245
"YKL152C"	-3.152	-4.943	-1.83	-2.83	0.93	0.946
"YKL180W"	-2.561	-5.237	-2.04	-2.857	2.25	1.14
"YKL181W"	-1.818	-4.28	-2.292	-2.779	0.477	-0.031
"YKR084C"	-2.455	-3.0	-2.183	-1.971	1.136	-0.538
"YKR088C"	-0.752	-2.175	-1.04	-1.027	0.105	-0.016
"YLL044W"	-3.79	-6.48	-3.494	-3.967	2.004	1.912
"YLL045C"	-3.857	-6.618	-3.021	-3.731	2.018	0.995
"YLR039C"	-2.588	-3.769	-2.422	-1.833	-0.253	-0.09
"YLR044C"	-4.948	-6.198	-0.923	-2.628	1.46	1.44
"YLR109W"	-1.931	-4.586	-1.5	-1.697	-0.187	0.054
"YLR264W"	-2.597	-5.152	-2.334	-2.391	1.976	1.963
"YLR286C"	-2.217	-3.974	-1.216	-2.338	1.213	2.054
"YLR291C"	-3.037	-4.762	-2.216	-2.363	-0.754	-0.321
"YLR293C"	-3.488	-6.281	-3.03	-3.186	0.38	-0.158
"YLR301W"	-3.676	-5.415	-2.218	-2.268	0.799	0.717
"YLR325C"	-2.337	-5.498	-1.204	-2.637	1.892	2.394
"YLR333C"	-3.011	-5.863	-2.45	-2.848	1.246	1.173
