	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"691.DBY7286 + 0.3 mM H2O2 (20 min)"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"809.DBY7286 37degree heat - 20 min"	"810.DES460 (wild type) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1173.PHO4c vs. wild type"	"1300.DBY7286 Low-Pi vs. High-Pi"	"1301.PHO81c vs. wild type, exp.2"	"1310.diauxic shift timecourse: 9.5 hr"	"2064.Hypo-osmotic shock - 5 min"	"2555.Hypo-osmotic shock -30 minutes"	"2556.Hypo-osmotic shock - 45 minutes"	"6344.DES460 + 0.02% MMS - 5 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7540.pRS-ROX1 GAL media"	"8234.dtt 240 min"	"8520.DES460 + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15635.Ca+FK 15min (2)"	"15638.Ca+FK 60min (2)"	"17472.Ca+FK 15min (5)"	"30773.Pomona/Brown Sir3x red"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34878.S4Comp 09 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YBL039C"	-4.41	-4.793	-4.124	-2.316	-4.307	-4.486	-3.781	-1.2325	-1.436	-2.615	-2.783	-2.236	-1.727	-3.74	-3.092	-3.457	-2.373	-2.908	-3.004	-7.004	-3.306	-0.855	-2.736	-2.628	0.1495	0.524	-0.789	0.392	0.527	0.642	1.372	1.1	-0.72	-1.319	-1.266	-0.957	-1.76	1.896	1.681	0.29	-1.789	-1.3285	-4.956	-3.247	-2.197	-3.061	-2.311	-2.734	-0.3	-2.506	0.134	-2.952	-4.509	-3.644	-1.329	-2.769	-3.951	-3.379	-2.546	-2.792
"YCR072C"	-2.145	-4.048	-3.587	-1.931	-2.626	-3.503	-2.949	-0.527	-0.85	-1.563	-2.405	-0.784	-1.106	-4.777	-2.891	-2.433	-2.412	-2.205	-2.8	-4.875	-2.593	-0.475	-3.092	-2.773	0.0515	0.231	-1.209	-0.227	-0.165	-0.005	0.449	0.25	-0.357	-0.849	-0.6425	-0.6125	-0.757	0.934	0.809	-0.138	-1.272	-0.6285	-4.635	-2.632	-2.1	-2.988	-1.55	-1.731	0.177	-1.7755	0.152	-4.939	-4.551	-2.816	-1.529	-2.44	-3.703	-2.838	-1.67	-1.78
"YDR101C"	-3.098	-3.513	-3.404	-1.887	-3.0	-3.74	-3.659	-0.843	-1.43	-2.122	-2.724	-1.384	-1.212	-4.306	-3.203	-3.082	-2.55	-2.315	-2.948	-4.667	-2.997	-0.8	-3.385	-2.743	0.136	0.04	-0.887	-0.081	0.292	-0.237	0.594	0.233	-0.233	-1.139	-1.223	-1.21	-1.252	1.419	1.234	-0.258	-1.291	-1.528	-3.253	-2.638	-1.784	-2.703	-2.144	-2.283	-0.24	-2.391	-0.103	-2.688	-3.244	-2.428	-1.704	-2.116	-3.048	-2.294	-1.739	-1.994
"YDR120C"	-2.644	-3.186	-2.84	-1.943	-2.699	-2.817	-2.359	-0.287	-1.297	-2.258	-2.104	-1.399	-1.274	-2.742	-1.641	-1.333	-1.011	-1.19	-1.472	-3.115	-2.604	-0.723	-2.891	-1.781	0.116	0.095	-0.914	-0.042	-0.273	-0.1	0.528	0.268	-0.397	-0.972	-1.131	-0.769	-1.396	1.178	0.997	-0.413	-1.377	-1.373	-2.159	-2.635	-1.688	-3.092	-2.153	-2.694	-0.503	-2.098	-0.02	-3.238	-3.752	-2.621	-1.347	-0.98	-2.616	-1.963	-1.33	-0.908
"YDR398W"	-4.395	-5.035	-4.358	NaN	-3.115	-4.082	-3.388	-1.07	-1.152	-2.038	-3.183	-0.799	NaN	-4.143	-2.42	-2.114	-1.993	-1.694	-1.937	NaN	-2.012	0.109	-3.069	-2.517	0.252	-0.124	-0.935	-0.117	-0.028	0.079	0.716	0.389	-0.229	-1.013	-1.101	-0.936	-0.805	0.824	0.684	-0.316	-1.234	-1.284	-4.269	-1.666	-1.069	-1.829	-1.239	-2.584	-0.27	-2.002	0.188	-3.627	-4.76	-2.67	-1.184	-2.397	-3.061	-1.999	-1.457	-2.566
"YEL026W"	-1.217	-2.423	-2.001	-1.521	-1.912	-3.104	-3.214	-1.012	-1.477	-1.542	-1.349	-1.267	-0.994	-3.603	-2.647	-2.87	-2.043	-2.285	-2.905	-4.755	-2.741	-0.781	-3.518	-3.357	0.358	-0.213	-0.392	0.05	-0.181	0.384	0.788	0.795	0.303	-0.936	-0.742	-0.561	-1.309	1.39	1.234	-0.01	-1.279	-0.454	-3.194	-2.7605	-2.0285	-2.502	-1.6845	-2.3855	0.4215	-2.883	0.0495	-1.344	-2.176	-1.598	-0.636	-2.787	-3.527	-2.617	-2.218	-1.847
"YGL037C"	4.841	4.922	4.738	3.213	4.635	4.777	4.892	0.498	2.756	3.246	1.69	3.406	3.355	4.226	2.658	2.571	2.753	2.835	2.279	-1.344	2.41	0.952	2.045	1.464	0.85	-0.075	1.059	0.246	0.414	0.091	-2.348	-1.696	0.606	2.219	2.38	2.659	2.978	-2.946	-2.79	0.47	1.444	2.786	4.782	4.405	3.507	4.55	3.592	5.007	1.345	4.814	0.261	5.215	5.736	4.948	3.304	3.731	4.634	3.141	3.145	2.241
"YGR280C"	-1.607	-2.8485	-2.412	-2.7255	-2.594	-2.2495	-2.31	-0.368	-1.921	-2.4415	-1.568	-1.3715	-1.53	-1.892	-2.189	-2.09	-2.056	-1.955	-1.788	-1.732	-2.116	-0.328	-2.117	-2.028	0.206	-0.516	-1.044	-0.113	0.064	-0.163	0.602	0.269	-0.46	-1.521	-1.244	-1.178	-1.167	1.018	0.968	-0.484	-2.075	-1.098	-2.5375	-3.24	-2.717	-3.052	-2.601	-3.295	-0.345	-3.012	-0.004	-1.526	-1.56	-2.046	-0.914	-0.552	-0.736	-0.312	-0.606	-1.703
"YHR066W"	-2.6315	-3.7505	-3.0515	-1.2655	-2.9815	-3.762	-3.552	-0.286	-1.1755	-1.7305	-2.046	-0.87	-0.877	-4.885	-2.062	-1.572	-1.589	-1.438	-1.792	-5.203	-2.29	0.003	-2.974	-2.008	-0.101	-0.309	-1.146	-0.224	0.097	0.107	0.72	0.34	-0.228	-0.895	-1.041	-0.937	-0.9025	0.844	0.698	-0.205	-1.507	-0.892	-4.347	-2.765	-1.648	-2.504	-1.513	-1.998	-0.53	-2.15	-0.185	-2.551	-3.068	-1.906	-1.292	-1.898	-2.382	-1.908	-1.368	-1.118
"YHR196W"	-5.1465	-4.423	-3.5265	-1.6015	-2.834	-3.894	-3.3595	-0.508	-1.0035	-1.557	-2.675	-0.7405	-0.221	-3.061	-2.692	-2.23	-1.968	-1.4	-1.573	0.884	-1.847	-0.076	-2.461	-2.348	0.167	-0.271	-0.952	-0.172	0.209	0.186	0.418	0.376	0.0015	-1.005	-1.152	-1.095	-0.9905	0.83	0.851	-0.106	-1.346	-1.222	-3.967	-2.141	-0.595	-1.768	-0.983	-1.587	-0.422	-0.644	0.161	-2.031	-2.272	-1.793	-1.275	-2.037	-2.306	-2.006	-1.626	-1.299
"YIL079C"	-3.893	-3.9025	-2.136	-1.2875	-1.946	-2.453	-2.085	-0.451	-1.1115	-1.5625	-1.472	-0.597	-0.625	-3.035	-2.412	-1.967	-1.555	-1.563	-1.763	-2.545	-1.241	0.146	-1.772	-0.841	0.142	-0.142	-1.175	-0.254	-0.158	0.053	0.291	0.165	-0.2335	-0.825	-0.675	-0.575	-0.416	0.265	-0.464	-0.473	-0.667	-0.797	-2.469	-2.17	-1.085	-1.885	-0.486	-1.329	-0.08	-1.851	-0.119	-2.144	-2.469	-1.411	-1.026	-2.298	-3.364	-1.517	-1.68	-1.156
"YIL096C"	-2.468	-2.835	-2.2225	-1.706	-1.884	-0.384	-2.05	-0.035	-1.0995	-1.2355	-1.231	-0.973	-1.224	-2.516	-1.562	-1.579	-1.041	-1.145	-1.095	-3.119	-1.917	-0.041	-2.51	1.357	0.0	-0.198	-0.672	0.048	-0.29	0.016	0.631	0.327	-0.3415	-0.928	-1.131	-0.842	-1.2935	0.761	0.668	-0.461	-0.485	-0.742	-1.556	-2.11	-1.473	-2.241	-1.358	-1.898	-0.056	-2.298	-0.223	-2.015	-2.651	-2.653	-1.272	-1.132	-2.167	-1.25	-1.163	-1.852
"YJL208C"	-2.5145	-2.433	-2.228	-1.104	-0.7505	-1.906	-1.574	-0.162	-1.106	-1.3195	-1.637	-0.8155	-0.913	-2.326	0.095	-0.447	-0.827	-1.206	-1.191	-3.324	-1.052	-0.001	-1.817	-1.294	0.098	-0.088	-0.494	0.061	-0.168	0.002	0.459	0.326	-0.3155	-0.888	-0.794	-0.529	-0.8485	0.535	0.599	0.219	-0.682	-0.662	-2.466	-1.423	-0.971	-1.64	-0.944	-0.571	0.32	-0.958	0.134	-2.898	-2.875	-2.009	-0.504	-1.825	-3.351	-1.603	-0.997	-0.803
"YJR070C"	-3.0685	-4.6905	-4.824	-1.8185	-3.895	-4.828	-4.332	-1.502	-2.531	-2.3445	-3.794	-1.134	-1.929	-5.317	-3.975	-3.514	-3.056	-2.526	-3.68	-7.226	-3.689	-0.887	-3.471	-2.777	-0.111	-0.039	-0.721	-0.155	0.238	-0.091	0.721	0.552	0.1045	-0.694	-0.862	-0.886	-1.6565	1.238	0.489	-0.611	-2.021	-0.858	-4.7655	-2.676	-2.103	-2.971	-1.75	-1.376	-0.357	-2.297	0.168	-2.778	-3.81	-2.429	-1.002	-2.355	-3.754	-3.104	-2.692	-1.624
"YKL004W"	-1.72	-1.4875	-2.142	-1.3675	-1.698	-1.8455	-1.746	-0.333	-1.385	-1.4895	-1.25	-1.021	-0.66	-1.55	-0.691	-0.374	-0.814	-1.075	-0.54	-1.293	-1.538	-0.4	-1.988	-1.408	0.01	-0.221	-0.255	-0.259	-0.022	-0.299	0.582	0.245	-0.19	-0.74	-0.532	-0.58	-1.1615	0.689	0.696	-0.389	-0.311	-0.565	-1.632	-2.416	-1.83	-1.932	-1.385	-1.912	-0.369	-2.393	0.173	-1.429	-2.046	-1.283	-0.891	-0.221	-1.656	-0.931	-0.372	-0.775
"YKL009W"	-3.0175	-1.833	-3.58	-2.2705	-3.253	-4.1895	-4.13	-1.098	-1.2135	-1.678	-2.745	-1.0445	-1.051	-5.997	-3.719	-3.38	-2.839	-2.973	-2.449	-6.168	-3.014	-0.576	-3.144	-2.368	0.081	-0.528	-1.044	-0.462	-0.352	0.069	0.863	0.456	-0.1195	-1.029	-1.115	-0.969	-1.2765	1.597	1.385	-0.407	-1.783	-1.076	-4.4285	-3.064	-1.961	-2.756	-1.381	-2.988	-0.204	-2.346	-0.274	-3.974	-4.247	-2.782	-1.967	-2.728	-4.823	-3.636	-3.036	-1.722
