	"53.Elutriation2:Sample2:Time2.0hrs"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"56.Elutriation2:Sample2:Time3.5hrs"	"78.cdc 15 010 min"	"79.cdc15 050 min"	"115.heat shock 20 min repeat"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1662.cdc15 030 min"	"1679.Elutriation2:Sample2:Time6.0hrs"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"12744.heat shock 17 to 37, 20 minutes"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"
"YBR121C"	0.1855	0.338	0.327	0.328	NaN	NaN	-1.742	-1.752	-2.004	0.801	0.701	0.752	1.631	1.17	-2.66	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-5.791	-2.317	-1.95	-2.465	-3.2385	-2.416	-3.155	-4.1355	-4.173	-4.5985	1.461	NaN	-0.1875	0.927	0.944	-1.964	0.337	-2.549	-2.264	-1.948	-2.22	-1.806	-1.638	-2.356	-2.391	-1.697	-1.492	0.985	1.531	1.01
"YBR271W"	0.836	0.159	-0.365	-0.105	1.215	0.803	-2.197	-2.214	-1.543	0.936	1.131	0.992	0.667	1.144	-2.206	-1.391	-1.229	-1.13	-0.881	-1.093	-1.167	-2.981	-2.156	-2.035	-0.358	-1.502	-0.911	-0.547	-0.2135	-0.758	-0.9015	0.679	1.156	-0.903	1.072	0.349	-2.281	-0.626	-1.281	-1.073	-0.511	-1.739	-1.353	-1.874	-1.37	-0.852	-1.62	-1.096	0.901	0.431	-0.017
"YCR055C"	0.705	0.734	0.096	-0.266	0.776	0.543	-3.895	-3.998	-3.454	0.8355	0.77	0.841	0.855	0.898	-6.518	-3.193	-3.059	-2.704	-1.766	-1.97	-3.878	-6.433	-3.796	-3.655	-2.311	-2.6155	-1.403	-1.6	-2.2405	-3.105	-2.4225	1.0465	0.6465	-0.69	1.479	0.285	-4.055	0.988	NaN	NaN	NaN	NaN	NaN	0.024	-1.178	-0.362	-0.709	-0.051	1.75	1.191	1.52
"YDL111C"	0.365	0.0195	-0.0235	-0.342	0.9455	0.9345	-1.2725	-1.0475	-1.226	0.1465	0.579	0.575	0.535	0.2615	-1.557	-1.7725	-1.675	-1.628	-1.9145	-1.3295	-4.07	-4.505	-1.0795	-2.186	-2.051	-1.435	-1.548	-1.4565	-1.8915	-2.1955	-1.9395	0.572	0.8095	-0.8125	0.757	0.4325	-0.7985	1.2035	-1.057	-0.73	-1.003	-1.309	-1.542	-1.1355	-0.805	-1.468	-0.5545	-0.6385	0.295	1.448	-0.098
"YDR165W"	0.471	0.465	0.261	-0.129	0.662	0.272	-2.85	-2.874	-2.762	0.933	1.095	0.852	0.499	1.323	-4.096	-2.538	-2.179	-2.247	-1.905	-2.27	-3.111	-5.309	-3.015	-2.243	-1.883	-3.057	-1.396	-1.582	-1.767	-2.409	-2.23	0.927	0.625	-0.5	0.902	0.918	-2.787	1.0225	-2.479	-2.722	-1.934	-3.205	-2.632	-1.6685	-1.005	-2.2245	-1.0505	-1.4165	0.643	0.744	0.59
"YDR211W"	0.251	0.301	0.336	0.039	0.316	0.207	-1.063	-1.237	-1.391	0.628	0.538	0.455	0.3	1.053	-2.225	-1.565	-1.024	-1.573	-0.984	-1.38	-1.706	-4.77	-2.051	-1.869	-2.096	-2.022	-1.28	-1.43	-2.119	-2.043	-3.034	0.66	0.289	-0.103	0.171	0.411	-1.378	0.4075	-1.084	-1.222	-0.724	-1.631	-1.241	-1.87	-1.8185	-1.65	-2.364	-1.2315	0.873	0.039	0.508
"YDR309C"	0.472	0.618	0.474	0.254	0.728	1.224	-1.313	-0.603	-0.655	0.646	0.538	0.339	1.228	1.14	-1.747	-0.496	-0.119	-1.853	-2.61	-0.463	-1.256	-2.394	-1.978	-1.682	-2.547	-0.72	-1.435	-3.069	-3.38	-3.735	-3.704	1.774	2.374	-1.283	-0.536	-0.096	-0.787	1.376	-1.226	-1.667	-0.408	-0.9	-1.254	-1.859	-1.786	-1.422	-1.374	-0.908	0.76	-0.583	0.132
"YDR361C"	0.813	0.3105	0.0405	-0.2165	0.979	0.575	-3.438	-3.356	-3.263	1.206	1.136	1.083	-0.006	0.778	-3.61	-2.016	-1.951	-1.707	-1.536	-2.095	-1.945	-3.634	-2.072	-1.799	-1.313	-2.343	-1.087	-1.208	-1.477	-2.005	-1.44	0.427	0.915	-0.7575	1.359	1.269	-3.92	1.231	-2.708	-2.048	-1.74	-3.998	-2.423	-3.516	-1.329	-1.153	-0.684	-1.676	-0.294	-1.55	-1.587
"YEL040W"	0.953	0.814	0.434	0.215	0.548	-0.089	-0.951	-0.854	-1.291	0.687	0.681	0.692	3.304	2.272	-3.201	-3.812	-3.508	-3.911	-4.238	-3.616	-3.786	-4.551	-2.739	-2.682	-3.816	-3.017	-4.461	-3.561	-3.111	-3.855	-3.066	2.907	0.891	-0.541	1.505	1.46	-1.606	0.4445	-2.646	-2.15	-2.796	-2.439	-2.048	-2.6355	-2.0865	-2.2665	-1.5645	-1.171	3.193	2.771	2.543
"YER117W"	1.065	0.99	0.911	0.797	-0.286	0.439	-1.868	-2.386	-3.056	1.276	1.391	0.782	1.9	0.498	-2.982	-2.613	-2.377	-1.817	-2.008	-1.95	-2.832	-5.642	-3.05	-3.141	-2.483	-3.768	-2.534	-2.571	-2.312	-2.562	-2.976	1.414	0.181	-0.112	0.981	0.372	-3.314	0.475	-3.319	-2.632	-2.403	-3.238	-3.345	-2.4485	-1.969	-2.2795	-2.252	-2.185	0.603	1.2	1.634
