	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"632.Elutriation2:Sample2:Time4.5hrs"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"976.wt_plus_gamma_5_min"	"1014.YPD 2 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"1303.diauxic shift timecourse: 0 hr"	"2558.1M sorbitol vs. YPD - basal"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6349.DES460 + 0.02% MMS - 15 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"6357.DES460 + 0.02% MMS - 60 min"	"6358.DES460 + 0.02% MMS - 90 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"7760.Na 45min"	"7761.Na 60min"	"8197.steady state 25 dec C"	"8234.dtt 240 min"	"8520.DES460 + 0.02% MMS - 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33779.delYPL230w_stationary_phase_5hours"
"YBR142W"	-2.785	-3.45	-2.326	-2.492	-2.93	-2.567	0.9695	0.168	-1.534	-1.611	0.456	-1.415	-1.523	-1.681	-1.279	-1.104	-2.447	-1.562	-2.133	-4.241	-1.661	-1.893	-1.429	-2.0035	-2.2985	-2.5785	-2.8165	-0.149	0.252	0.085	0.0815	-1.341	-0.202	-1.0585	-1.039	-1.051	-1.0935	-1.2105	-1.535	-1.884	-1.454	0.317	-1.341	-1.0095	-2.999	-1.6405	-3.167	-4.931	-3.065	-1.576	-2.983	-3.06
"YCR016W"	-1.772	-2.622	-2.118	-2.019	-2.87	-2.734	1.084	-0.204	-1.267	-2.017	-1.327	-1.258	-2.021	-1.836	-1.424	-1.121	-2.836	-1.258	-1.226	-2.969	-1.647	-2.199	-1.276	-2.093	-2.6395	-2.9255	-2.8665	-0.0765	0.36	-0.256	-0.206	-1.318	-0.203	-0.8695	-1.0865	-1.0235	-0.835	-0.7835	-1.156	-0.979	-0.881	0.192	-0.86	-0.769	-2.836	-1.157	-3.011	-2.302	-1.598	-1.082	-2.722	-3.082
"YDL201W"	-2.767	-2.68	-2.05	-1.932	-2.515	-1.652	1.17	0.003	-2.05	-2.201	-1.048	-1.115	-1.494	-1.274	-1.095	-0.696	-3.282	-2.32	-1.537	-4.94	-1.858	-2.29	-1.271	-1.176	-1.295	-1.218	-1.732	0.193	0.061	-0.051	-0.17	-1.35	-0.137	-0.558	-0.772	-0.868	-0.758	-0.834	-1.737	-1.275	-1.213	0.324	-1.478	-0.832	-2.398	-1.575	-3.323	-2.621	-1.767	-0.412	-2.04	-2.492
"YDR087C"	-2.034	-3.126	-4.143	-2.758	-3.643	-3.468	0.873	-0.197	-1.475	-1.886	-1.366	-1.63	-2.287	-2.337	-1.028	-0.921	-4.139	-2.976	-3.817	-4.944	-2.758	-2.528	-1.891	-1.373	-1.73	-3.407	-2.893	-0.167	0.139	-0.115	0.311	-0.618	-0.299	-0.498	-0.8	-0.796	-0.933	-0.891	-1.782	-1.68	-1.547	0.23	-0.868	-0.809	-4.13	-1.436	-2.803	-3.928	-2.942	-1.399	-2.55	-3.396
"YDR165W"	-2.444	-3.154	-2.85	-2.419	-2.874	-2.762	0.933	0.172	-1.491	-1.9	-0.962	-1.089	-2.006	-1.752	-1.294	-0.968	-4.096	-2.538	-3.111	-5.309	-2.69	-3.015	-1.593	-1.396	-1.767	-2.409	-2.23	0.071	0.386	-0.301	-0.044	-1.269	-0.084	-0.821	-0.53	-0.571	-0.649	-0.702	-1.292	-2.129	-1.683	0.353	-1.145	-0.806	-2.787	-1.322	-2.796	-3.068	-1.809	-1.222	-3.533	-3.205
"YDR449C"	-2.181	-3.288	-3.311	-2.141	-2.891	-3.0	1.079	-0.457	-1.695	-2.519	-1.324	-1.811	-1.966	-2.169	-1.621	-1.279	-6.037	-3.454	-3.482	-4.747	-2.23	-2.543	-1.62	-2.032	-2.119	-2.85	-2.152	-0.03	-0.047	-0.362	0.026	-0.783	0.016	-0.871	-0.742	-0.724	-0.857	-0.716	-1.794	-2.425	-1.492	0.341	-1.766	-0.65	-3.019	-1.667	-2.347	-4.582	-2.179	-1.36	-2.307	-3.477
"YGL111W"	-1.886	-2.705	-2.506	-2.165	-2.854	-2.867	0.939	0.204	-1.202	-2.19	-1.283	-1.109	-1.882	-1.684	-1.26	-0.827	-3.668	-1.845	-2.589	-2.826	-1.167	-2.085	-1.242	-1.665	-2.167	-1.95	-2.363	0.107	0.416	-0.15	0.038	-1.057	-0.198	-0.848	-0.843	-0.752	-0.592	-0.53	-1.29	-1.614	-1.309	0.22	-1.04	-0.623	-2.724	-1.05	-2.854	-3.188	-2.001	-1.053	-2.456	-3.063
"YGL120C"	-2.058	-3.316	-3.231	-3.301	-3.954	-3.877	1.075	0.372	-1.903	-1.855	-1.357	-1.488	-2.25	-1.851	-1.325	-0.824	-4.557	-3.087	-4.088	-5.111	-3.085	-3.171	-1.816	-2.178	-2.866	-3.888	-4.137	0.34	0.206	0.051	0.0	-0.894	-0.218	-0.734	-0.983	-0.916	-0.695	-0.539	-1.418	-1.588	-1.59	0.482	-1.354	-0.894	-3.8	-1.533	-2.799	-3.466	-2.416	-1.313	-2.286	-3.546
"YGR123C"	-1.982	-3.5875	-3.2965	-3.0495	-4.1895	-3.748	1.116	0.325	-1.438	-2.491	-1.145	-0.857	-1.835	-1.517	-1.265	-1.031	-4.447	-2.7	-3.794	-4.328	-2.958	-2.878	-2.101	-1.989	-1.42	-2.413	-2.243	-0.031	0.04	-0.136	-0.141	-0.96	-0.2795	-0.493	-0.925	-0.737	-0.754	-0.832	-0.841	-1.73	-1.141	0.6	-1.589	-0.6	-4.594	-0.864	-2.047	-2.795	-1.547	-0.279	-2.966	-3.836
"YGR200C"	-1.8465	-2.517	-2.347	-2.0035	-2.659	-2.1245	0.888	0.177	-1.683	-2.28	-0.929	-1.466	-2.119	-2.036	-1.415	-0.985	-3.964	-1.851	-2.863	-3.668	-2.069	-2.565	-1.653	-1.274	-1.861	-2.863	-2.446	0.074	0.235	0.259	-0.037	-0.76	-0.065	-0.336	-0.648	-0.413	-0.475	-0.273	-1.241	-1.637	-1.483	0.067	-0.897	-0.374	-2.24	-1.424	-2.369	-3.333	-2.107	-1.119	-2.377	-2.289
