	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"861.YPD_5_d_30C"
"YAR029W"	-0.363	-0.589
"YBL022C"	0.624	-2.268
"YBL072C"	2.378	-6.241
"YBR025C"	0.898	-5.106
"YBR133C"	1.386	-2.447
"YBR220C"	0.808	-1.924
"YBR279W"	-0.077	-2.558
"YCR031C"	2.279	-5.91
"YCR053W"	1.305	-4.283
"YDR041W"	-0.731	-1.07
"YDR116C"	0.956	-3.351
"YDR158W"	1.798	-5.115
"YDR175C"	0.266	-3.292
"YDR229W"	-0.149	-2.777
"YDR337W"	0.431	-1.639
"YDR418W"	2.098	-5.866
"YDR424C"	-0.387	-2.155
"YDR460W"	-0.172	-1.12
"YDR518W"	-1.147	-3.131
"YER016W"	1.316	-9.725
"YER043C"	1.283	-6.476
"YER102W"	2.757	-6.434
"YFL037W"	1.871	-5.562
"YFR013W"	1.214	-3.723
"YGL060W"	0.568	-3.155
"YGL135W"	1.922	-5.687
"YGL147C"	3.056	-7.507
"YGL148W"	1.632	-3.915
"YGL237C"	0.444	-0.789
"YGL245W"	1.549	-6.655
"YGR070W"	-1.0	-2.342
"YGR076C"	0.469	-1.716
"YGR084C"	1.02	-3.069
"YGR106C"	0.412	-4.143
"YGR185C"	1.186	-6.361
"YGR204W"	0.711	-5.27
"YHL033C"	2.169	-6.65
"YHR019C"	1.822	-5.077
"YHR127W"	1.052	-2.837
"YHR133C"	0.589	-3.501
"YIL035C"	0.661	-2.466
"YIL052C"	1.842	-6.278
"YIL078W"	1.358	-6.059
"YIL085C"	0.563	-2.248
"YIL095W"	0.543	-2.7495
"YJL121C"	1.079	-3.369
"YJL162C"	-0.251	-1.655
"YJL176C"	1.025	-3.318
"YJL201W"	1.035	-3.675
"YJR123W"	2.779	-9.147
"YJR145C"	2.605	-6.528
"YKL006W"	2.36	-5.113
"YKL212W"	0.721	-4.806
"YKR020W"	-0.844	-4.715
"YKR093W"	0.267	-2.854
"YLL044W"	2.306	-6.48
"YLL045C"	2.311	-6.618
"YLR150W"	2.584	-6.397
"YLR185W"	1.932	-5.928
"YLR228C"	0.573	-2.355
"YLR339C"	3.13	-6.865
"YLR340W"	3.125	-6.819
"YLR361C"	0.178	-2.815
"YLR367W"	2.175	-6.716
"YLR388W"	1.261	-5.506
"YLR441C"	2.479	-12.655
"YLR443W"	0.677	-3.763
"YML026C"	1.729	-5.271
"YML063W"	2.152	-13.273
"YML073C"	2.428	-6.033
"YML096W"	0.361	-3.155
"YML109W"	0.759	-2.856
"YMR026C"	-0.326	-5.331
"YMR054W"	0.267	-2.812
"YMR121C"	1.805	-4.199
"YMR142C"	1.859	-6.693
"YNL069C"	1.983	-4.824
"YNL107W"	-0.343	-2.403
"YNL178W"	1.969	-6.62
"YNL301C"	2.223	-6.272
"YNR021W"	-0.0925	-4.4025
"YOL127W"	1.307	-2.676
"YOL145C"	0.04	-3.49
"YOR017W"	1.0	-0.5125
"YOR168W"	1.696	-4.808
"YOR320C"	0.84	-3.6785
"YOR323C"	1.629	-6.434
"YOR377W"	1.815	-0.513
"YPL050C"	0.375	-4.275
"YPL083C"	0.778	-2.6175
"YPL129W"	1.028	-5.13
"YPL145C"	0.913	-4.3865
"YPL198W"	2.2845	-6.879
"YPL220W"	1.9695	-6.1465
"YPL248C"	-0.009	-0.743333333333333
"YPL254W"	1.0345	-3.646
"YPR034W"	1.107	-5.4365
"YPR041W"	1.39933333333333	-4.07266666666667
"YPR069C"	0.680666666666667	-2.22966666666667
"YPR128C"	-0.014	-3.863
"YPR173C"	-0.0135	-3.6935
"YPR176C"	0.3855	-3.0475
"YPR188C"	0.068	-3.36
