	"55.Elutriation2:Sample2:Time3.0hrs"	"57.Elutriation2:Sample2:Time4.0hrs"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"4872.1M sorbitol - 60 min"	"5358.1M sorbitol - 5 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11466.yO1 test hyb"	"21666..24 mM H2O2- 055 minutes"
"YBL077W"	0.38	0.106	0.6685	0.519	0.396	-2.021	-1.176	-3.136	-5.081	-2.607	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.0635	-0.2735	-0.307	0.337	-1.547	-0.723
"YBR025C"	0.4905	0.003	0.6355	0.528	0.44	-1.226	-1.651	-1.66	-5.106	-1.624	-2.6785	-0.8525	-0.5885	-0.66	-2.141	-2.9345	-3.783	-0.1385	0.2905	-0.271	0.114	-1.365	-0.645
"YBR121C"	0.327	0.1905	0.801	0.701	0.752	-2.186	-2.714	-4.037	-5.791	-2.366	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.1215	-0.2815	-0.645	-0.16	-2.249	-1.021
"YBR171W"	-0.14	-0.085	0.512	0.556	0.354	-0.876	-0.918	-2.189	-3.399	-1.477	-1.6565	-0.787	-0.857	-1.0045	-1.2865	-1.677	-1.5245	0.077	-0.1005	0.048	0.175	-0.909	-0.461
"YBR288C"	0.041	-0.012	0.5175	0.491	0.536	-0.889	-1.298	-2.229	-3.524	-0.751	-1.2745	-1.0805	-0.9095	-1.1005	-1.2605	-1.978	-1.688	-0.2105	-0.276	0.029	-0.172	-0.958	0.063
"YCR053W"	-0.004	0.32	0.3425	0.371	0.291	-1.707	-1.033	-3.556	-4.283	-1.41	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.025	-0.437	-0.008	0.1745	-1.451	-0.437
"YCR055C"	0.096	-0.337	0.8355	0.77	0.841	-1.766	-1.97	-3.878	-6.433	-2.132	-2.6155	-1.6915	-1.403	-1.6	-2.2405	-3.105	-2.4225	0.0415	0.4085	-1.299	0.077	-1.703	0.193
"YCR090C"	0.457	0.09	0.354	0.466	0.685	-1.099	-1.417	-2.154	-3.547	-0.587	-0.7875	-0.919	-0.809	-0.8085	-1.35	-1.5355	-1.325	-0.158	-0.2025	0.039	-0.005	-0.871	-0.543
"YDL143W"	-0.0775	0.107	0.391	0.496	0.545	-0.989	-1.472	-1.678	-3.716	-1.388	-2.075	-1.535	-1.56	-1.794	-2.612	-3.143	-2.716	-0.277	-0.216	-0.324	0.154	-1.646	0.248
"YDL192W"	-0.216	0.301	0.817	0.808	0.83	-0.927	-1.408	-1.026	-2.919	-2.056	-1.5	-1.152	-1.284	-1.38	-1.203	-1.441	-2.326	-0.089	0.16	-0.014	0.294	-1.095	0.276
