	"40.alpha factor release sample029"	"42.alpha factor release sample022"	"585.21 deg growth"	"599.37 deg growth"	"824.DY1457 (wild type) 10 uM zinc vs. 3 mM"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1097.alpha factor release sample020"	"1107.alpha factor release sample025"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"32622.S1Comp 05 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32624.S1Comp 07 hr 05 min Sulfate Batch vs Chemostat Comparison"	"32626.S1Comp 08 hr 55 min Sulfate Batch vs Chemostat Comparison"	"34872.S4Comp 05 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34877.S4Comp 08 hr 05 min Sulfate Batch vs Chemostat Comparison"	"38146.03II01 batch p2"	"38147.03II01 batch p3"	"38148.03II01 batch p4"	"42372.CC UL 3A Uracil-Leucine Chemostat Comparison"	"42373.CC UL 3B Uracil-Leucine Chemostat Comparison"	"42386.CC UL 1B Uracil-Leucine Chemostat Comparison"
"YAL036C"	-0.179	-0.172	-0.292	0.011	-0.037	-2.24	-1.7	-1.117	-1.024	-1.113	-1.409	-2.145	-3.743	-1.491	-2.682	-2.056	-1.616	-1.117	-2.5035	-1.486	-1.4315	-1.841	-2.0465	-0.438	-0.02	-1.194	-2.0125	-1.217	0.625	0.893	0.873	0.775	0.671	0.979	1.029	0.811	0.293	0.032	0.482
"YBL039C"	0.024	0.336	0.344	-0.505	0.171	-3.74	-3.092	-3.457	-2.373	-2.908	-3.004	-4.323	-7.004	-1.782	-2.736	-2.628	-2.386	-2.176	-4.7305	-3.9535	-3.7495	-4.251	-3.5775	0.223	0.173	-2.958	-3.456	-2.6045	1.592	1.286	1.325	1.132	0.301	0.551	0.329	-0.049	0.168	0.063	-0.169
"YBL068W"	-0.075	-0.116	0.002	-0.061	0.156	-2.464	-1.272	-0.712	-1.354	-1.322	-2.087	-3.069	-2.71	-1.242	-1.955	-1.468	-1.336	-1.506	-1.537	-1.9665	-1.375	-2.429	-2.56	0.202	-0.081	-1.092	-2.071	-1.4885	0.767	1.253	0.717	0.74	-0.323	0.424	0.601	0.322	0.359	-0.147	0.534
"YBL077W"	0.417	0.126	-0.22	-0.465	0.067	-3.41	-2.161	-1.694	-1.571	-2.021	-1.176	-3.136	-5.081	-1.351	-2.763	-2.285	-2.607	-2.667	-2.792	-2.345	-2.816	-3.3595	-3.1945	-0.018	0.062	-1.547	-2.306	-2.488	0.532	1.277	1.349	0.691	0.814	0.416	0.316	0.32	0.561	-0.375	-1.262
"YBL092W"	0.0245	-0.069	0.237	-0.331	0.379	-3.458	-3.598	-2.824	-2.394	-2.138	-2.929	-2.896	-5.158	-1.759	-3.0	-2.812	-2.665	-2.635	-3.5865	-2.4445	-1.726	-2.74	-2.8475	-0.068	0.183	-1.555	-3.0005	-1.6075	0.52	0.171	0.345	0.489	0.946	1.042	1.207	0.942	0.206	0.22	-0.385
"YDR025W"	0.292	0.175	-0.212	-0.294	0.334	-3.904	-3.548	-3.252	-2.573	-2.592	-2.705	-3.393	-6.697	-1.997	-3.357	-3.356	-3.471	-3.326	-4.504	-2.886	-2.503	-2.895	-3.518	0.426	0.181	-1.7675	-3.299	-2.193	1.471	1.97	1.766	1.644	1.063	0.463	0.433	0.319	0.142	-0.01	0.322
"YDR037W"	-0.589	0.263	-0.054	-0.408	0.375	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-5.224	-1.483	-3.226	-2.505	-2.756	-2.42	-1.971	-2.313	-2.916	-3.368	-3.772	0.091	0.157	-2.523	-1.739	-1.695	0.387	1.057	1.472	1.344	1.122	-0.822	0.026	-0.773	0.163	-0.535	-0.327
"YER102W"	0.701	0.489	0.418	-0.041	0.611	-3.932	-3.965	-3.177	-2.924	-2.3	-2.578	-3.64	-6.434	-1.229	-3.101	-3.625	-3.37	-3.204	-4.286	-2.593	-2.579	-3.326	-3.859	0.492	0.501	-2.388	-3.067	-2.133	1.349	2.048	1.499	1.957	1.521	1.13	1.644	1.566	0.522	0.456	0.424
"YGL016W"	0.034	0.0905	-0.426	-0.55	0.094	-1.929	-0.664	-0.675	-0.604	-1.474	-1.127	-3.034	-4.265	-1.579	-1.563	-1.245	-1.104	-1.391	-1.719	-1.608	-2.599	-3.554	-2.639	-0.0815	0.0545	-1.374	-1.153	-1.867	-0.436	-0.586	-0.836	0.25	-0.364	-1.022	-0.346	-0.657	-0.245	-0.432	0.995
"YGL156W"	-0.384	0.613	0.154	0.79	0.104	4.377	4.521	4.625	4.645	5.069	5.027	5.027	2.804	2.749	3.372	3.335	3.32	3.359	2.737	3.981	4.487	4.716	3.456	0.213	0.119	3.83	3.063	3.122	-0.3545	-1.698	-1.1665	-1.1305	-0.549	-0.799	-0.7085	-0.7005	-1.0395	0.837	1.664
"YGL255W"	-0.237	-0.229	1.093	-0.498	-0.543	-0.655	-0.766	-0.816	0.932	2.712	2.824	3.418	2.62	-1.208	-2.0	-1.918	-1.66	-1.905	-0.008	1.737	2.892	4.021	2.774	-0.169	0.173	2.174	-2.061	-2.422	-1.417	-1.391	1.229	-0.617	-0.169	-0.962	-0.856	-1.098	1.773	-1.678	-2.06
"YGR131W"	-0.474	0.018	-0.327	0.207	0.541	1.96	1.183	1.019	1.393	1.4	1.32	1.954	0.399	0.459	0.534	0.036	0.43	0.602	0.521	0.393	1.143	2.157	1.361	-0.27	-0.123	0.291	-0.59	-0.317	0.28	0.535	0.56	-0.221	0.328	-0.242	-0.671	-0.471	0.719	0.249	0.375
"YGR229C"	-0.247	0.401	0.371	-0.415	0.172	-0.832	-0.57	-0.382	-0.754	-1.164	-0.943	-2.847	-4.256	-1.072	-1.104	-1.1	-1.987	-1.316	-1.823	-1.658	-2.401	-2.58	-3.391	0.146	0.106	-1.347	-0.694	-1.255	0.659	0.659	-0.217	0.828	-0.196	-0.345	0.265	0.354	-0.135	-0.335	-0.132
"YHL033C"	0.239	0.448	0.292	-0.304	0.613	-3.758	-2.864	-2.635	-1.944	-1.277	-2.205	-3.984	-6.65	-1.783	-3.056	-3.153	-3.005	-2.318	-4.25	-2.523	-2.601	-2.923	-4.209	0.38	0.264	-1.956	-3.051	-1.93	0.592	1.465	1.647	1.643	1.252	1.331	1.564	1.382	0.489	0.102	0.414
"YHR019C"	0.238	0.397	-0.055	-0.618	0.199	-2.949	-1.631	-1.096	-1.467	-1.831	-2.048	-4.051	-5.077	-1.424	-3.299	-2.825	-2.664	-2.76	-2.07	-2.06	-3.117	-3.721	-4.387	0.063	0.046	-1.834	-2.529	-2.505	NaN	1.81	1.342	0.821	0.27	0.299	0.657	0.486	0.403	-0.144	-0.131
"YHR203C"	0.392	-0.175	0.014	-0.303	0.32	-3.926	-2.827	-3.148	-2.671	-2.372	-2.895	-3.782	-5.944	-1.998	-3.917	-3.774	-3.412	-3.049	-4.669	-2.591	-2.575	-3.081	-3.941	-0.052	0.219	-2.302	-3.65	-2.621	0.441	0.765	0.908	1.552	0.997	0.851	0.711	0.553	0.291	-0.032	-0.82
"YJL006C"	0.33	-0.339	0.283	0.324	-0.131	-0.342	-1.008	-0.455	-0.108	-0.328	-0.857	-1.361	-3.043	-0.454	-0.46	-0.046	0.185	0.177	-0.553	-0.274	-0.617	-1.262	-0.997	-0.093	-0.133	-0.46	0.486	0.68	0.638	0.339	0.337	0.352	0.055	0.675	0.433	0.465	0.037	0.237	0.039
"YJL189W"	0.2	0.077	0.26	0.099	0.435	-3.545	-2.317	-2.319	-2.282	-1.647	-1.644	-2.901	-4.28	-1.433	-2.446	-2.278	-1.716	-1.833	-3.49	-2.141	-1.577	-2.282	-2.837	0.421	0.052	-1.034	-1.798	-0.667	0.548	0.178	0.32	0.522	0.707	0.443	0.981	0.603	0.239	0.036	-0.082
"YJR123W"	0.549	-0.109	0.262	-0.365	0.321	-3.844	-3.276	-3.279	-3.375	-2.46	-3.124	-4.381	-9.147	-1.536	-3.809	-3.529	-3.442	-3.646	-4.282	-2.635	-2.639	-3.543	-4.006	0.025	0.248	-2.153	-3.404	-2.268	1.251	0.903	0.909	0.659	0.305	1.066	0.799	0.467	0.163	0.091	-0.199
