	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"7539.25C -- 90 min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"21638..24 mM H2O2- 070 minutes"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"40976.MD_II_140_min"	"42048.L1CompR 11 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42063.U3Comp 11 hr 10 min Uracil Batch vs Chemostat Comparison"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"44524.first half PM prep, array 2"
"YIL030C"	0.132	0.011	0.777	0.242	0.364	-0.047	-2.67	-1.002	-0.377	1.852	-0.133	0.031	-1.27	-0.881	-1.058	0.113	0.12	0.443	0.189	0.319	-0.105	-0.365	0.079	0.221	-0.107	-0.107	-0.551	-0.775	-0.811	-0.464	-0.729	0.341	0.028	-0.839	-0.524	-0.422	-0.381	-0.14	-0.354	0.981	0.642	1.066	0.136	0.617	0.26	0.357	0.567	0.252	0.375	0.251	0.367
"YIL078W"	0.897	0.771	1.358	1.346	-2.498	-5.192	-6.059	-2.282	-2.5	-2.462	-2.436	-3.226	-4.41	-4.902	-4.944	1.692	0.484	0.828	0.344	0.235	-2.348	-2.573	-2.57	-2.6	-1.826	-1.316	-0.748	-3.116	-1.937	-1.36	-2.548	-1.453	-1.874	-2.253	-2.019	-1.449	-1.625	-2.866	-2.433	0.615	1.478	0.588	1.073	1.009	1.221	1.068	1.282	1.034	0.869	1.033	0.351
"YJL138C"	1.168	1.287	1.129	1.158	-1.195	-3.125	-5.625	-1.273	-1.674	-1.959	-1.763	-2.049	-2.542	-2.785	-3.522	1.137	0.94	1.27	0.975	1.01	-1.828	-1.973	-1.925	-2.479	-2.492	-1.284	-1.666	-2.208	-1.737	-0.978	-1.373	-1.676	-2.306	-2.347	-1.961	-2.763	-2.609	-3.202	-1.209	1.088	0.93	0.522	1.469	0.388	1.02	1.869	1.682	1.392	1.401	1.391	0.533
"YJL183W"	0.489	0.42	0.649	0.711	-2.434	-2.097	-4.986	-2.067	-1.21	-1.424	-1.436	-1.333	-1.66	-2.208	-2.121	0.72	0.524	0.25	0.64	0.674	-1.239	-0.968	-0.825	-0.931	-0.962	-0.992	-0.059	-2.838	-2.286	-1.656	-1.595	-0.764	-1.475	-0.807	-1.556	-1.25	-1.346	-1.382	-2.226	-0.086	1.365	0.165	-0.207	-0.874	0.903	1.105	1.257	1.134	1.517	1.133	0.807
"YJL190C"	1.36	1.453	2.636	1.326	-2.413	-3.585	-6.079	-3.969	-3.536	-3.062	-3.105	-3.227	-2.941	-3.365	-3.524	1.955	0.691	1.549	1.306	0.948	-2.43	-2.635	-2.438	-2.662	-3.47	-2.878	-3.716	-4.772	-3.912	-3.608	-4.273	-3.497	-3.692	-3.568	-3.363	-2.726	-2.224	-3.046	-2.584	1.86	2.033	2.013	2.303	1.92	2.08	2.24	2.404	2.38	2.606	2.379	0.921
"YJL192C"	0.516	0.574	0.81	0.666	-1.258	-3.649	-4.214	-0.886	-1.29	-1.458	-1.289	-0.942	-1.68	-2.446	-1.599	0.07	0.756	0.373	0.669	0.425	-1.156	-0.989	-1.18	-1.417	-0.474	-0.505	-0.732	-0.712	-1.089	-0.721	-1.259	-1.659	-0.819	-0.742	-0.561	-1.082	-0.87	-0.962	-0.753	-0.786	0.614	0.381	0.172	-0.228	0.015	0.671	0.712	0.651	0.865	0.65	0.129
"YJL208C"	0.758	0.922	0.867	0.665	-1.206	-2.879	-3.324	-1.817	-0.845	-0.452	-1.407	-1.712	-1.647	-2.188	-1.371	0.664	-0.178	0.222	0.735	0.576	-1.129	-0.939	-0.828	-0.858	-0.973	-0.812	-1.282	-3.074	-1.825	-1.581	-1.603	-1.502	-1.51	-2.996	-1.536	-1.693	-1.92	-2.997	-1.706	0.169	1.571	0.601	0.7	0.539	-0.121	1.033	0.743	0.574	0.6	0.573	0.366
"YJR016C"	NaN	0.911	1.224	1.918	-1.146	-2.006	-5.079	-3.415	-2.16	-1.999	-0.554	-0.998	-0.939	-1.747	-2.976	2.109	0.364	0.813	0.667	0.624	-1.54	-1.367	-1.245	-1.051	-1.704	-1.195	-2.113	-2.8	-1.964	-0.994	-2.158	-2.047	-1.145	-2.644	-3.64	-3.14	-3.071	-3.209	-1.831	0.731	-0.312	-0.157	1.804	-0.165	0.654	-0.169	0.075	-0.116	0.088	-0.117	0.646
"YJR123W"	1.3	1.246	2.779	1.098	-2.46	-4.381	-9.147	-3.809	-3.442	-3.646	-2.391	-2.635	-2.639	-3.543	-4.006	2.581	0.597	1.517	1.02	0.695	-2.153	-2.268	-1.616	-1.493	-3.113	-1.428	-2.062	-4.305	-3.113	-2.761	-4.025	-3.587	-3.755	-2.549	-1.613	-1.824	-1.169	-1.645	-2.851	1.199	1.415	1.93	2.383	2.53	1.396	1.667	1.862	1.73	1.95	1.729	1.152
"YJR143C"	0.597	0.657	1.747	1.072	-1.487	-4.675	-5.523	-2.151	-2.573	-3.031	-1.986	-2.118	-3.335	-3.698	-3.382	1.599	0.554	0.812	0.687	0.122	-1.896	-2.672	-2.162	-2.24	-1.917	-2.044	-1.37	-1.722	-1.351	-0.941	-1.52	-2.698	-1.596	-1.802	-2.099	-2.036	-2.548	-3.131	-1.591	1.359	0.203	1.273	1.84	1.192	1.38	0.817	1.307	0.963	1.003	0.962	1.146
"YKL006W"	0.961	1.354	2.36	0.818	-2.383	-2.835	-5.113	-3.049	-2.997	-2.743	-2.442	-2.791	-1.939	-2.29	-2.843	1.986	0.547	1.339	1.243	1.298	-2.458	-2.189	-1.848	-1.826	-2.544	-1.809	-3.015	-4.432	-3.39	-2.92	-4.221	-3.593	-3.514	-2.715	-1.528	-1.343	-1.514	-1.422	NaN	-0.91	0.01	1.246	1.929	2.536	1.132	1.17	1.375	1.311	1.601	1.31	0.921
"YKL056C"	0.909	1.083	0.872	0.181	-1.541	-3.426	-5.119	-1.914	-2.371	-2.389	-1.741	-2.281	-2.754	-3.265	-3.483	0.642	0.379	1.38	0.722	0.648	-1.777	-1.76	-1.251	-1.522	-2.067	-0.961	-0.848	-1.781	-1.747	-1.084	-2.233	-2.598	-2.577	-3.136	-2.821	-1.376	-1.417	-1.832	-2.444	1.306	1.395	1.754	1.83	1.744	2.088	2.707	2.48	1.89	2.174	1.889	1.526
"YKL080W"	0.55	0.72	1.254	0.773	-1.25	-4.229	-5.94	-0.874	-1.461	-1.699	-1.299	-1.962	-2.874	-2.944	-2.866	0.985	0.623	0.655	0.475	0.137	-1.244	-1.168	-1.409	-1.635	-0.908	-0.604	-0.436	-0.902	-1.463	-1.51	-1.391	-2.233	-0.932	-1.16	-0.673	-0.959	-1.159	-0.946	-0.667	-1.506	0.375	0.814	0.131	0.923	1.751	0.343	0.627	0.266	0.622	0.265	0.294
"YKL081W"	1.515	1.025	2.461	2.27	-2.542	-4.49	-5.155	-3.28	-3.837	-3.37	-3.222	-3.654	-2.997	-2.811	-3.497	-0.264	0.938	1.596	0.898	0.864	-2.502	-3.391	-3.581	-3.709	-2.223	-1.001	-0.907	-3.076	-3.449	-2.509	-3.054	-3.704	-2.812	-3.086	-3.996	-2.135	-2.065	-2.305	-0.449	0.311	1.329	1.029	1.319	1.676	2.535	1.347	1.567	1.31	1.542	1.309	0.628
"YKR059W"	1.161	1.252	1.171	1.47	-1.543	-2.817	-4.998	-2.593	-2.531	-2.238	-1.844	-2.106	-2.623	-2.96	-3.568	1.052	0.569	1.245	1.021	0.758	-1.996	-1.627	-1.854	-2.344	-2.649	-1.054	-1.776	-2.448	-2.0	-0.738	-1.849	-2.698	-2.329	-2.136	-2.97	-1.908	-2.161	-2.469	-1.138	1.076	0.826	0.452	1.051	0.354	1.147	1.71	1.581	1.246	1.636	1.245	0.533
"YKR085C"	0.415	0.268	0.623	0.206	-1.005	-0.646	-2.36	-0.937	-1.085	-1.487	-0.993	-0.516	-0.639	-0.97	-1.345	0.528	0.226	0.253	0.333	0.29	-0.926	-0.399	-0.682	-0.038	0.014	-0.242	-0.656	0.358	0.132	-0.313	-0.637	0.258	-1.254	-1.117	-1.626	-0.591	-0.878	-0.753	0.374	-0.448	1.455	NaN	1.126	1.791	0.863	1.546	1.421	1.464	1.244	1.463	0.051
"YLR018C"	0.493	0.507	0.188	0.865	-0.214	-0.907	-3.118	-0.86	-0.439	-1.531	-0.614	-0.434	-0.33	-0.263	-0.533	0.052	0.201	-0.165	0.263	0.619	-0.445	-0.392	-0.298	-0.195	-0.095	-0.051	-0.732	-0.815	-0.587	0.153	-1.316	-0.592	-0.259	-0.523	-2.189	-0.235	-0.17	-0.513	-0.45	-1.149	0.523	0.408	-0.505	0.585	0.749	0.578	0.414	0.543	0.391	0.542	0.361
"YLR048W"	1.193	1.041	2.152	1.087	-2.257	-3.645	-3.72	-3.296	-2.771	-2.506	-2.645	-2.575	-2.294	-2.17	-3.634	2.784	0.828	1.348	1.014	0.919	-2.293	-2.544	-2.255	-2.231	-3.336	-2.337	-1.428	-4.39	-3.403	-3.16	-3.798	-3.432	-3.301	-2.993	-3.407	-1.914	-2.149	-2.339	-1.71	2.91	1.608	2.007	2.758	1.8	1.791	-1.386	0.379	0.283	NaN	-0.441	0.938
"YLR058C"	-0.628	-0.927	-0.881	1.616	-0.496	-2.65	-5.454	-1.938	-1.465	-1.421	-0.567	-0.764	-0.72	-0.827	-1.961	-0.008	1.191	-0.637	0.624	0.367	-0.939	-1.379	-1.169	-1.503	-2.791	-2.173	-2.82	-0.942	-1.198	-1.554	-0.989	-1.284	-3.689	-0.694	-2.98	-2.635	-2.979	-3.163	-2.135	3.253	3.046	1.591	2.079	2.353	2.709	4.421	4.605	3.861	4.17	3.86	0.866
"YLR060W"	0.836	0.614	1.279	1.942	-2.499	-4.941	-5.967	-2.093	-2.672	-2.566	-2.397	-2.667	-3.118	-3.713	-4.371	1.836	0.652	0.257	0.663	0.566	-2.464	-1.72	-1.77	-1.452	-1.231	-1.192	-1.33	-2.734	-2.666	-1.403	-2.996	-3.346	-2.55	-2.239	-3.341	-2.049	-1.932	-1.459	-1.071	0.866	1.106	1.077	0.637	1.204	1.536	1.072	1.281	1.012	1.0	1.011	0.536
"YLR153C"	0.374	0.1	0.895	1.873	-0.867	-4.481	-5.598	-1.207	-0.269	-0.671	-1.29	-2.312	-3.578	-3.672	-3.394	1.047	0.807	0.24	0.476	-0.042	-0.699	0.089	-0.833	-1.307	-1.042	-0.487	-1.483	-1.715	-1.149	-0.308	-1.016	-0.887	1.296	-1.609	-2.716	-1.312	-1.574	-2.42	-1.529	1.02	1.459	0.859	1.223	1.591	0.224	-0.043	0.935	0.67	1.028	0.668	1.0
"YLR209C"	0.233	0.232	0.792	-0.044	-1.747	-2.896	-3.171	0.046	-0.524	-1.124	-0.605	-0.964	-1.123	-1.447	-1.271	0.504	0.059	0.115	0.328	0.197	-1.471	-0.76	-0.534	-0.367	-0.799	-0.534	-0.8	0.079	-0.494	-0.785	0.065	-1.583	0.123	-0.656	-1.817	-0.788	-0.737	-1.263	-0.93	0.532	0.172	0.282	1.267	0.939	0.77	0.24	0.492	0.082	0.605	0.081	0.325
"YLR249W"	1.359	1.219	0.728	1.381	-3.403	-4.146	-6.742	-3.879	-3.557	-3.199	-3.131	-3.778	-3.883	-4.549	-4.992	1.6	0.716	1.409	0.701	0.546	-3.421	-2.296	-2.606	-2.316	-4.141	-1.851	-3.502	-5.053	-5.102	-2.604	-4.9	-3.19	-4.673	-3.591	-6.019	-3.66	-3.013	-3.986	-3.381	1.64	2.084	1.801	2.085	1.803	1.069	2.439	2.642	1.609	2.062	1.608	0.492
"YLR253W"	0.025	0.121	0.909	0.357	-0.35	-1.071	-2.717	-0.212	-0.501	-0.442	-0.061	-0.212	-0.547	-0.963	0.916	0.723	NaN	-0.1	0.047	-0.28	-0.215	-0.317	0.001	0.146	-0.629	-0.164	-0.477	0.608	0.808	0.306	1.131	-0.748	-0.779	-0.046	-0.594	-0.67	-0.867	-0.548	-0.453	0.984	1.587	0.288	0.367	1.322	-0.343	0.96	1.473	0.966	1.312	0.965	0.261
"YLR264W"	0.631	0.922	1.822	0.986	-1.529	-2.597	-5.152	-2.945	-2.616	-2.15	-2.241	-2.158	-1.649	-2.334	-2.391	1.55	0.544	1.246	1.267	0.903	-1.833	-1.844	-1.555	-1.912	-2.492	-1.834	-2.325	-3.507	-2.202	-1.49	-2.797	-2.667	-3.353	-2.376	-2.276	-0.775	-1.107	-1.347	-3.465	1.341	1.396	1.572	1.976	1.963	1.337	1.351	1.666	1.279	1.471	1.278	0.428
"YLR286C"	0.482	0.558	0.071	1.017	-2.544	-2.217	-3.974	-0.116	-1.444	-1.541	-0.608	-2.081	-1.182	-1.216	-2.338	-0.563	1.356	-0.21	1.042	0.488	-2.897	-1.174	-3.218	-3.832	-3.877	-2.108	-3.586	-0.245	-0.436	-2.658	0.426	-1.746	-0.486	-0.952	-3.259	-2.132	-1.962	-3.628	-1.943	1.785	4.324	1.04	1.213	2.054	3.021	0.9	1.616	1.653	2.615	1.652	0.699
"YLR293C"	0.886	0.877	1.003	1.141	-2.207	-3.488	-6.281	-2.107	-2.233	-2.661	-1.45	-2.158	-2.379	-3.03	-3.186	1.2	0.76	0.96	0.637	0.846	-2.235	-1.553	-1.559	-1.887	-0.814	-0.613	-0.719	-3.113	-2.525	-1.847	-2.422	-2.582	-2.354	-1.358	-1.596	-1.071	-1.216	-2.049	-1.731	0.512	0.889	-0.118	0.38	-0.158	0.702	1.746	1.448	1.196	1.606	1.195	1.068
"YLR339C"	0.906	0.66	3.13	1.843	-3.285	-4.988	-6.865	-2.453	-3.201	-2.938	-2.647	-2.474	-2.461	-3.161	-3.973	3.313	0.974	1.533	0.936	0.573	-2.977	-1.944	-1.986	-1.859	-2.756	-3.09	-4.949	-4.034	-3.474	-3.052	-3.723	-3.508	-4.14	-3.385	-5.099	-2.257	-1.828	-2.661	-1.546	0.889	0.215	1.583	2.31	1.174	1.662	0.835	0.95	0.78	1.034	0.779	0.319
"YLR340W"	1.063	1.164	3.125	1.614	-2.963	-4.11	-6.819	-2.128	-3.015	-2.689	-2.703	-2.701	-2.702	-3.206	-4.105	3.263	0.971	1.555	1.21	1.042	-2.949	-2.564	-2.074	-2.033	-3.218	-3.0	-4.078	-4.14	-3.346	-3.304	-3.289	-3.543	-3.888	-4.008	-3.143	-2.214	-1.442	-1.934	-1.324	1.058	0.99	1.875	2.113	0.935	1.798	0.678	0.89	0.617	1.026	0.616	0.443
"YLR359W"	0.62	0.684	-0.175	0.755	-0.942	-2.567	-5.36	-0.843	-0.567	-0.623	-0.538	-1.047	-1.039	-1.681	-1.828	-0.299	0.777	0.637	0.526	0.497	-1.225	-1.025	-1.434	-1.434	-2.584	-1.063	-1.942	-0.596	-0.761	-1.062	-0.416	-0.829	-2.593	-1.499	-3.64	-2.303	-2.373	-2.875	-0.574	2.225	2.14	0.973	1.372	1.621	2.225	2.714	2.842	2.419	2.778	2.418	1.005
"YLR367W"	0.942	0.906	2.175	0.856	-2.22	-2.78	-6.716	-3.055	-2.335	-1.174	-2.591	-2.935	-2.165	-2.476	-3.007	2.016	0.804	1.336	1.035	0.668	-1.95	-2.561	-2.189	-2.433	-2.256	-2.003	-3.272	-2.802	-1.523	-2.965	-2.183	-3.212	-3.959	-4.703	-3.586	-1.976	-2.467	-1.815	-1.363	3.502	3.097	2.216	2.217	2.492	2.616	2.464	4.007	3.646	4.115	3.645	1.349
"YLR432W"	0.975	0.949	0.599	1.285	-1.818	-3.532	-5.65	-2.412	-3.15	-3.001	-1.997	-2.641	-1.934	-2.482	-3.034	1.413	0.718	0.767	0.935	0.628	-1.904	-3.131	-2.829	-3.119	-2.116	-0.778	-1.629	-3.491	-3.179	-2.252	-2.927	-3.367	-4.39	-2.698	-3.534	-1.678	-2.053	-1.733	-1.779	2.149	3.232	0.633	1.505	1.614	1.242	2.632	2.597	2.546	2.823	2.545	-0.037
"YLR448W"	1.062	0.837	2.319	1.417	-2.052	-3.552	-5.971	-3.425	-3.179	-2.573	-2.521	-2.621	-2.668	-3.192	-4.132	2.734	0.645	1.138	1.0	0.674	-2.337	-2.386	-1.783	-1.497	-0.952	-1.395	-0.812	-4.85	-3.788	-3.07	-4.505	-3.636	-3.657	-2.261	-1.106	-1.569	-1.089	-0.958	0.526	0.823	0.17	2.266	1.431	2.657	1.969	0.869	0.806	0.724	1.152	0.723	0.646
"YML026C"	0.441	0.972	1.729	0.731	-2.934	-4.268	-5.271	-3.779	-3.131	-3.217	-2.873	-2.821	-2.898	-2.803	-2.821	1.943	NaN	1.348	1.005	0.927	-1.928	-1.637	-1.208	-1.476	-2.407	-2.145	-2.033	-4.522	-3.396	-2.98	-3.765	-3.307	-3.213	-1.892	-1.213	-0.985	-1.627	-1.138	-1.619	-0.944	1.515	2.721	2.058	2.817	2.151	1.173	1.624	1.436	1.284	1.435	0.999
"YMR116C"	1.123	1.09	3.2	1.437	-3.089	-4.551	-6.865	-2.937	-3.535	-3.312	-2.851	-2.888	-2.906	-3.561	-4.003	3.169	0.73	1.522	0.722	0.653	-2.539	-4.062	-2.741	-3.086	-3.355	-3.212	-4.384	-3.221	-3.026	-3.645	-3.586	-4.038	-3.894	-4.977	-4.695	-2.696	-2.663	-2.396	-3.646	2.027	2.766	2.018	2.62	3.18	3.024	1.54	2.673	2.517	3.13	2.516	0.954
"YMR215W"	0.545	0.507	1.562	1.042	-3.881	-3.705	-4.406	-1.896	-2.601	-3.639	-2.081	-3.365	-2.939	-2.956	-3.467	1.098	0.783	0.631	1.188	0.858	-2.702	-2.906	-2.833	-3.107	-2.213	-1.214	-1.637	-2.516	-2.595	-2.288	-2.789	-3.226	-2.021	-2.384	-3.776	-2.586	-2.739	-2.507	-0.378	2.638	1.645	-0.063	1.238	1.021	1.339	1.624	2.236	2.244	3.019	2.243	0.975
"YMR217W"	1.251	1.158	0.844	2.016	-2.518	-4.735	-5.29	-3.48	-2.622	-2.591	-3.341	-4.118	-3.713	-4.205	-4.469	1.286	0.644	1.078	0.959	1.092	-2.4545	-1.947	-2.445	-2.596	-3.173	-1.962	-2.44	-3.621	-2.927	-2.073	-3.421	-3.323	-3.089	-3.675	-5.387	-2.244	-2.483	-3.237	-2.568	0.604	1.624	1.854	2.093	1.577	2.434	2.945	2.322	1.951	1.93	1.95	0.654
"YMR235C"	0.788	0.731	0.872	0.714	-1.783	-3.534	-5.187	-1.622	-1.879	-2.052	-2.046	-2.046	-2.838	-3.21	-3.756	0.854	0.401	0.392	0.428	0.42	-1.782	-1.955	-1.504	-1.586	-0.466	-0.676	-0.839	-1.798	-1.514	-1.305	-1.573	-1.301	-0.866	-1.258	-1.852	-1.126	-1.068	-1.297	-1.292	-0.187	0.204	1.079	1.032	0.654	0.718	0.043	-0.002	-0.11	-0.012	-0.111	0.554
"YMR242C"	1.262	1.333	2.345	0.875	-2.522	-3.971	-6.226	-3.832	-3.636	-3.62	-2.59	-3.004	-2.601	-3.133	-3.475	2.029	0.347	1.427	0.993	0.76	-2.4615	-2.447	-1.647	-1.596	-2.358	-1.988	-2.323	-4.158	-3.141	-2.446	-3.588	-3.856	-3.582	-3.098	-1.257	-1.497	-1.14	-1.589	-1.911	0.75	0.29	1.998	2.275	2.821	1.954	1.137	1.358	1.376	1.593	1.375	1.046
"YNL066W"	0.949	0.95	1.266	1.587	-4.141	-4.175	-5.451	-1.234	-2.475	-3.648	-2.162	-2.812	-2.02	-3.425	-3.757	0.745	0.403	-0.121	1.304	0.899	-3.3795	-0.95	-1.436	-1.296	-3.653	-2.072	-2.058	-1.101	-1.68	-3.294	-1.884	-3.115	-0.639	-1.97	-2.997	-2.466	-2.229	-3.067	-3.148	0.342	3.001	0.323	0.937	1.416	2.11	0.275	1.334	1.168	2.237	1.167	0.245
"YNL067W"	1.17	1.166	2.571	1.446	-1.807	-2.84	-5.731	-2.866	-2.399	-0.037	-2.506	-2.759	-1.884	-1.906	-2.76	2.578	0.273	1.002	1.371	0.882	-1.5625	-1.868	-1.574	-1.692	-2.393	-1.99	-2.443	-2.698	-2.15	-2.329	-2.534	-2.982	-3.163	-3.99	-3.209	-1.659	-1.803	-3.094	-1.938	2.004	2.161	1.588	1.863	1.601	1.246	2.325	2.597	2.641	2.993	2.64	1.503
"YNL119W"	1.189	1.033	1.834	1.229	-2.2	-5.354	-6.231	-3.359	-2.99	-2.998	-1.955	-2.206	-2.822	-2.843	-3.318	2.478	0.051	1.262	0.874	0.642	-1.92	-1.803	-1.188	-1.486	-2.984	-1.642	-2.364	-3.587	-2.801	-2.871	-2.748	-2.406	-3.264	-2.092	-1.886	-1.59	-1.14	-1.212	-2.961	0.131	0.491	1.545	1.778	2.188	1.835	0.982	0.939	0.949	1.303	0.948	1.115
"YNL137C"	0.175	0.086	0.539	0.553	-0.097	0.231	-2.305	0.118	-0.062	-0.793	-0.158	-0.051	-0.244	-0.754	-1.124	0.735	0.152	0.347	0.082	0.214	-0.397	-0.393	-0.046	-0.347	-0.73	-0.236	-0.12	0.083	0.34	-0.859	0.288	0.011	-0.525	-0.436	-1.137	-0.691	-0.723	-0.721	-0.073	0.493	0.905	0.217	0.149	1.15	0.852	0.272	0.465	0.425	0.625	0.424	0.326
"YNL217W"	0.971	0.694	-0.523	0.617	-0.74	-2.204	-6.303	-1.282	-0.891	-1.014	-0.224	-0.365	-1.636	-2.312	0.585	1.167	0.887	0.276	-0.352	0.143	-0.469	-0.323	-0.364	-0.227	-1.492	-0.892	-0.822	-0.581	-0.346	-0.311	-0.961	-1.007	0.01	0.238	-0.576	-0.359	-0.672	-0.123	-1.641	1.133	1.064	0.857	1.135	1.045	1.02	0.796	0.944	0.939	0.529	0.938	0.5
"YNL220W"	0.243	0.187	-0.286	0.213	-1.92	-3.758	-6.09	-0.354	-0.66	-1.475	-0.618	-1.771	-1.724	-2.555	-3.197	-0.287	0.538	0.469	0.325	0.289	-1.597	-1.49	-1.266	-1.287	-1.82	-1.607	-0.245	0.41	0.423	0.297	0.157	-0.778	-1.381	-0.74	-1.126	-1.619	-2.078	-2.542	-1.629	0.108	-0.213	0.228	1.659	1.279	1.349	0.921	1.095	0.963	1.165	0.962	0.496
"YNL301C"	1.125	1.063	2.223	1.224	-1.241	-5.123	-6.272	-2.943	-3.098	-2.59	-2.799	-2.781	-2.652	-2.985	-3.448	2.767	0.538	1.381	0.977	0.876	-2.232	-2.389	-1.696	-1.836	-2.966	-1.138	-2.82	-4.167	-3.163	-3.507	-3.032	-3.161	-3.527	-2.651	-3.312	-1.169	-2.075	-2.21	-1.051	0.725	1.163	2.739	2.72	2.225	2.387	1.236	1.65	1.677	1.822	1.676	0.57
"YNL327W"	0.329	0.176	0.489	1.944	-3.253	-3.812	-3.662	-0.084	-1.776	-3.032	-2.091	-3.678	-2.99	-2.904	-3.489	0.801	1.007	0.077	1.04	0.222	-2.31	-2.39	-3.839	-3.856	-3.056	-0.877	-2.264	-0.258	-1.175	-2.959	-0.705	-2.667	-0.567	-0.98	-2.309	-2.017	-1.981	-2.971	-1.885	2.603	NaN	1.236	1.259	0.944	2.391	1.005	2.334	1.874	2.538	1.873	0.952
"YNR067C"	-0.485	-0.363	0.035	0.684	-1.565	-1.456	-2.1355	-0.59	-0.168	-2.238	-1.309	-2.264	-1.397	-0.213	-0.459	-0.276	0.576	-0.067	0.0	-0.136	-2.503	-1.859	-2.972	-3.47	-0.604	-1.424	-1.245	-0.179	-0.758	-2.3	-0.266	-1.898	0.226	-0.915	-0.921	0.13	0.08	-0.922	-2.285	0.359	1.402	1.323	1.985	1.802	2.196	0.042	1.079	0.827	1.153	0.826	1.107
"YOR158W"	-0.267	-0.063	0.778	0.473	0.336	-0.995	-3.464	0.5985	-0.3145	0.5725	-0.344	-0.086	-0.959	-0.595	-0.371	0.536	0.036	0.038	-0.2065	0.3405	-0.003	0.179	0.393	-0.024	0.829	-0.39	-0.418	0.839	0.383	0.181	0.633	-0.603	-0.971	-0.566	-2.036	-0.781	-0.568	-1.161	-0.158	1.391	1.021	-0.087	-0.057	1.248	0.799	0.907	0.931	1.004	1.055	1.003	0.32
"YOR232W"	0.982	0.691	0.775	0.67	-1.791	-1.6365	-2.046	-0.606	-1.5795	-1.436	-1.406	-1.348	-1.334	-1.039	-1.303	0.728	0.325	0.614	0.499	0.7605	-0.664	-1.007	-0.64	-0.655	1.283	-0.27	-0.942	-0.762	-1.238	-1.314	-1.044	-1.094	-0.932	-0.645	-0.857	-0.58	-0.834	-0.971	-0.913	0.131	1.629	-1.311	-1.027	1.087	0.933	1.364	1.554	0.952	1.587	0.951	0.661
"YOR234C"	1.227	1.076	1.488	0.548	-2.058	-2.8745	-4.019	-2.7115	-2.407	-2.3945	-1.717	-1.324	-0.593	-0.648	-2.139	1.926	0.098	1.252	1.178	1.0035	-1.288	-1.148	-0.348	NaN	-0.885	-1.123	-2.083	-3.604	-2.922	-2.425	-3.302	-3.127	-2.764	-1.739	-1.521	-1.004	-0.748	-0.528	-1.34	0.771	0.93	1.64	2.017	2.141	1.915	1.327	1.357	1.664	1.617	1.663	0.689
"YOR246C"	0.821	0.983	0.864	-0.536	-0.827	-0.663	-2.885	-1.517	-0.026	-0.2775	-0.157	-0.066	0.658	0.299	0.12	-0.161	-0.148	0.362	0.5525	0.518	-1.013	-0.188	-0.094	-0.431	-0.867	-0.438	-0.863	-1.68	-1.466	-1.012	-1.618	-0.836	-0.534	0.126	-1.098	-1.141	-1.604	-1.751	-1.087	-0.422	0.939	-0.167	0.697	0.649	0.286	-0.039	0.251	0.132	0.295	0.131	0.186
