	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1562.NBW7 strain High-Pi vs. Low-Pi, exp.2"	"7539.25C -- 90 min"	"8227.dtt 000 min"	"8228.dtt 015 min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"21638..24 mM H2O2- 070 minutes"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"	"40976.MD_II_140_min"	"42048.L1CompR 11 hr 10 min Leucine Batch vs Chemostat Comparison"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42063.U3Comp 11 hr 10 min Uracil Batch vs Chemostat Comparison"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"	"42065.U3Comp 13 hr 30 min Uracil Batch vs Chemostat Comparison"	"42066.U3Comp 25 hr 55 min Uracil Batch vs Chemostat Comparison"	"42398.L2 CompR 09 hr 58 min Leucine Batch vs Chemostat Comparison"	"42399.L2 CompR 11 hr 04 min Leucine Batch vs Chemostat Comparison"	"42400.L2 CompR 12 hr 03 min Leucine Batch vs Chemostat Comparison"	"42401.L2 CompR 12 hr 59 min Leucine Batch vs Chemostat Comparison"	"42402.L2 CompR 24 hr 59 min Leucine Batch vs Chemostat Comparison"	"44524.first half PM prep, array 2"
"YDR025W"	0.692	1.014	2.153	0.848	-2.592	-3.393	-6.697	-3.357	-3.471	-3.326	-1.915	-2.886	-2.503	-2.895	-3.518	2.767	0.746	1.422	0.906	0.637	-1.7675	-2.193	-1.871	-1.974	-2.1035	-0.797	-1.0895	-4.772	-3.127	-2.93	-3.552	-2.535	-3.528	-2.368	-2.089	-1.009	-1.02	-0.731	-2.068	1.066	0.388	2.3	2.272	2.45	1.114	0.989	0.873	1.125	1.423	1.124	1.082
"YDR233C"	0.702	0.443	0.9	1.141	-0.513	-2.587	-3.48	-0.956	-1.566	-1.509	-0.467	-0.606	-2.047	-2.27	-2.451	0.614	0.862	0.857	0.484	0.41	-0.709	-1.38	-1.061	-1.24	-1.032	-0.514	-0.1645	-0.615	-0.561	-0.345	-0.544	-0.638	-1.446	-2.446	-2.391	-0.653	-0.451	-0.53	-1.9495	1.632	0.675	1.17	1.225	0.356	0.845	2.088	2.265	1.835	2.405	1.834	1.453
"YDR418W"	1.215	1.21	2.098	1.447	-2.192	-3.074	-5.866	-3.315	-2.797	-2.605	-2.792	-2.82	-2.866	-3.091	-4.066	2.482	0.559	1.436	1.111	0.829	-2.345	-2.678	-2.006	-2.291	-2.94	-1.729	-1.758	-4.005	-2.423	-1.873	-3.057	-3.381	-3.519	-2.502	-1.688	-1.043	-1.223	-1.215	-2.038	1.168	0.973	0.849	2.312	1.771	1.739	1.561	1.722	1.273	1.259	1.272	1.215
"YEL021W"	0.6	0.412	1.154	0.779	-1.055	-0.586	-3.008	-1.174	-0.479	-1.485	0.159	0.559	0.523	-0.319	-0.456	0.999	0.401	0.299	0.35	0.276	-0.8025	-0.749	-1.167	-1.019	-0.0345	0.00899999999999998	-0.133	-0.483	-0.717	-0.721	-0.788	-1.224	-0.272	-0.709	-0.326	-0.58	-0.589	-0.876	-1.8165	0.05	1.24	-0.674	0.128	1.045	2.062	0.166	-0.274	0.414	0.241	0.413	-0.35
"YER043C"	1.109	0.891	1.283	2.007	-2.767	-4.78	-6.476	-2.364	-3.096	-3.18	-3.174	-3.716	-3.31	-4.857	-4.918	1.395	1.559	0.967	0.527	0.577	-1.415	-2.015	-2.503	-2.487	-1.298	-0.918	-1.086	-3.094	-2.542	-2.539	-2.202	-1.767	-3.464	-0.788	-2.16	-1.329	-0.83	-2.914	-1.132	1.106	1.188	0.14	0.959	0.829	0.632	2.118	2.479	2.088	2.478	2.087	-0.89
"YER102W"	1.351	1.084	2.757	1.305	-2.3	-3.64	-6.434	-3.101	-3.37	-3.204	-2.613	-2.593	-2.579	-3.326	-3.859	2.71	0.559	1.368	1.012	0.728	-2.388	-2.133	-1.446	-1.328	-2.222	-2.304	-0.75	-3.324	-2.758	-2.202	-2.329	-2.527	-4.388	-1.62	-1.64	-0.449	-0.332	-1.068	-1.074	1.203	0.85	2.208	2.134	2.142	1.471	1.465	1.803	1.792	2.192	1.791	-0.453
"YGL008C"	0.694	0.579	-0.299	1.669	-2.667	-4.675	-3.936	-2.24	-2.171	-1.681	-1.748	-2.348	-4.203	-4.969	-4.679	-0.026	1.318	0.417	1.061	0.705	-3.185	-1.503	-2.154	-3.01	-2.853	-1.699	-1.115	-4.061	-2.876	-2.399	-2.698	-3.048	-0.205	-1.287	-2.313	-1.22	-0.497	-1.963	-1.248	1.303	1.14	1.921	1.932	1.358	1.682	0.894	0.928	0.656	0.744	0.655	1.56
"YGL028C"	0.565	0.439	0.198	1.093	-2.142	-2.459	-3.581	-0.205	-1.339	-1.965	-0.911	-2.257	-1.72	-2.028	-2.327	-0.05	0.94	-0.835	0.983	0.537	-1.625	-1.485	-2.653	-2.853	-3.303	-2.482	-3.481	-0.063	-0.74	-2.034	-0.536	-1.412	-0.705	-0.142	-0.979	-0.751	-0.909	-2.771	-1.455	2.125	3.362	2.238	1.921	2.316	1.958	0.698	1.904	1.879	2.114	1.878	0.68
"YGL077C"	0.132	-1.23	1.614	1.666	-1.539	-3.716	-3.533	-0.962	-1.313	-1.711	-1.683	-1.693	-2.529	-2.903	-2.463	1.331	0.224	0.113	0.793	0.42	-1.243	-0.59	-0.705	-1.044	-2.106	-0.884	-2.1815	-0.615	-0.173	-0.862	0.565	-0.212	-0.818	-1.587	-1.51	-1.729	-1.777	-1.628	-0.73	1.581	0.839	0.516	1.008	1.244	1.537	1.191	2.194	1.876	2.357	1.875	0.655
"YGL123W"	1.27	1.264	2.601	1.598	-2.802	-4.004	-5.982	-4.112	-3.701	-3.959	-2.414	-2.278	-2.388	-2.65	-3.558	2.365	0.801	1.558	1.022	0.834	-2.357	-2.648	-1.69	-1.623	-2.59	-2.2895	-3.527	-4.217	-3.27	-2.813	-3.488	-2.743	-3.674	-2.333	-2.289	-1.327	-1.508	-1.841	-2.058	1.21	1.241	1.972	1.964	1.446	2.245	1.486	1.831	1.768	2.135	1.767	0.854
"YGL135W"	1.167	1.101	1.922	1.173	-2.301	-3.418	-5.687	-3.217	-3.119	-2.071	-2.512	-2.692	-2.267	-2.874	-3.825	2.2	0.793	1.413	1.065	1.146	-2.233	-2.732	-2.176	-2.219	-2.517	-2.1295	-2.7085	-3.443	-2.903	-2.236	-3.009	-2.509	-3.261	-2.42	-1.9	-1.225	-2.015	-2.255	-3.256	1.198	1.001	1.265	1.781	0.914	0.983	1.856	1.899	1.901	1.97	1.9	0.735
