	"53.Elutriation2:Sample2:Time2.0hrs"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"117.heat shock 60 min"	"118.heat shock 80 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"518.2.5mM DTT 120 min"	"632.Elutriation2:Sample2:Time4.5hrs"	"811.DES459 (mec1) + heat 20 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"862.Amino acid + adenine starvation 0.5 h"	"896.Amino acid + adenine starvation 2 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1107.alpha factor release sample025"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1249.mec1_plus_gamma_5_min"	"1250.mec1_plus_gamma_10_min"	"1673.alpha factor release sample021"	"5357.1.5 mM diamide (5 min)"	"6344.DES460 + 0.02% MMS - 5 min"	"7760.Na 45min"	"7761.Na 60min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8233.dtt 120 min"	"12744.heat shock 17 to 37, 20 minutes"	"13058.wt/crz1 Na 30min (2)"	"14947.Hydrostatic pressure (C1 vs P1)"	"16338.DES460 vs. DES460 YPD log phase control"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33779.delYPL230w_stationary_phase_5hours"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YJL122W"	0.836	-3.1605	-2.6115	-1.1505	-0.9525	-2.3555	-3.015	-2.6085	1.424	-2.027	0.326	-2.116	-1.064	-2.04	-2.031	-1.395	-4.13	-2.475	-2.124	0.052	-2.718	-2.694	-2.711	-1.935	-0.184	-0.814	-1.628	-0.443	-0.017	-0.507	-0.408	-2.152	-1.354	-2.238	-2.159	-1.316	-2.9625	0.689	-0.055	-0.08	-2.578	-3.081	-2.605	-1.588	-2.196	-1.794	-3.406	-2.23	-2.161	-2.194
"YLR073C"	0.822	-1.822	-1.961	-0.728	-0.962	-1.559	-1.616	-1.693	1.307	-2.596	-0.104	-0.996	-1.241	-1.67	-1.122	-0.911	-2.261	-1.429	-2.406	-0.526	-2.105	-1.694	-1.127	-0.564	0.123	-0.684	-1.233	0.493	0.172	-0.882	-0.258	-1.507	-0.598	-1.907	-1.158	-1.039	-1.594	0.843	0.703	-0.481	-1.979	-2.633	-1.697	-0.774	-2.648	-2.163	-1.605	-1.759	-2.168	-1.951
"YLR175W"	0.563	-4.176	-3.679	-1.078	-0.769	-3.07	-4.552	-4.902	1.215	-1.349	0.301	-2.615	-1.304	-2.338	-2.257	-1.632	-5.607	-3.276	-3.43	-0.302	-3.996	-3.068	-3.13	-1.455	0.018	-0.559	-1.041	-0.922	0.175	-0.786	-0.038	-2.188	-1.419	-1.892	-1.798	-1.352	-4.431	0.773	-0.232	-0.378	-3.342	-4.177	-1.884	-1.078	-3.986	-1.759	-4.338	-2.978	-2.879	-2.89
"YLR196W"	0.371	-5.425	-5.04	-1.387	-1.215	-3.221	-4.896	-4.532	1.483	-1.871	0.287	-2.273	-1.792	-2.562	-2.364	-1.459	-5.083	-3.01	-2.118	0.058	-2.858	-2.859	-1.799	-2.225	-0.053	-0.824	-1.725	-0.586	0.143	-0.873	-0.191	-2.793	-1.956	-2.637	-2.454	-1.306	-5.097	0.434	-0.133	-0.236	-2.941	-3.697	-2.702	-1.684	-2.671	-2.167	-3.658	-1.579	-1.62	-1.73
"YLR197W"	0.626	-4.98	-4.044	-1.26	-0.818	-3.638	-4.76	-5.179	1.23	-1.588	0.098	-2.844	-1.149	-2.263	-2.63	-1.881	-5.817	-3.612	-3.387	0.259	-3.899	-3.238	-3.258	-1.692	0.069	-0.517	-0.991	-0.814	0.42	-0.644	-0.125	-2.28	-1.776	-1.768	-2.254	-0.988	-5.072	0.438	-0.038	0.141	-2.322	-4.496	-2.603	-0.567	-4.151	-1.612	-4.545	-2.647	-2.994	-2.559
"YLR276C"	0.418	-4.199	-3.855	-0.936	-0.892	-3.331	-3.732	-4.143	1.132	-1.136	0.055	-2.068	-1.697	-2.616	-1.884	-1.687	-4.467	-2.163	-2.381	-0.219	-2.386	-2.199	-1.65	-1.604	-0.097	-0.603	-1.28	-0.427	0.077	-0.956	-0.192	-2.531	-1.558	-2.431	-2.252	-1.33	-2.51	0.511	-0.735	0.005	-3.95	-4.014	-2.707	-1.724	-2.803	-1.384	-3.838	-2.272	-1.937	-1.878
"YMR290C"	0.797	-3.64	-3.689	-0.988	-1.127	-2.957	-3.89	-3.624	0.988	-2.572	0.03	-2.714	-1.482	-2.545	-2.5	-1.911	-5.132	-3.842	-3.458	-0.38	-3.243	-3.378	-2.625	-1.734	0.132	-0.604	-1.505	-1.13	0.596	-0.555	-0.189	-2.885	-2.633	-2.648	-2.383	-1.688	-4.129	0.529	0.086	-0.025	-3.16	-4.343	-3.775	-1.826	-3.98	-3.156	-4.544	-1.701	-1.911	-2.141
"YNL002C"	1.103	-4.666	-4.07	-0.971	-0.611	-3.305	-4.559	-4.222	1.243	-1.412	-0.399	-2.677	-1.685	-2.627	-2.564	-1.766	-5.196	-2.914	-2.839	0.02	-3.072	-2.59	-2.178	-1.731	-0.152	-0.368	-1.79	-1.005	0.334	-0.77	-0.226	-2.774	-1.803	-2.843	-2.776	-1.345	-4.603	1.101	-0.457	0.157	-3.249	-3.481	-2.594	-1.228	-3.245	-1.514	-4.466	-2.083	-1.86	-1.552
"YNL110C"	0.917	-4.43	-3.64	-0.902	-0.211	-3.768	-4.56	-4.991	1.332	-2.517	-0.36	-2.683	-2.042	-2.66	-2.463	-1.926	-5.108	-3.05	-1.641	0.382	-2.565	-1.986	-1.679	-1.894	-0.179	-0.449	-1.673	-0.757	0.239	-1.078	-0.203	-3.662	-2.623	-3.62	-3.346	-1.219	-5.064	1.101	-0.903	0.259	-4.233	-4.907	-3.471	-1.921	-3.973	-2.537	-4.747	-2.512	-2.299	-1.758
"YNL151C"	0.418	-2.707	-2.055	-0.34	-0.403	-2.682	-2.835	-2.667	1.0	-1.715	0.233	-1.246	-0.683	-1.236	-1.273	-1.04	-1.688	-0.896	-1.45	0.501	-1.523	-1.143	-1.33	-1.498	-0.104	-0.482	-0.78	-0.299	0.073	-0.395	-0.528	-1.545	-0.912	-1.41	-1.578	-0.871	-3.201	0.633	-0.387	-0.396	-2.213	-2.152	-1.745	-1.203	-2.456	-1.831	-3.425	-0.94	-1.302	-0.945
