	"854.YPD_6_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"2144.heat shock 37 to 37, 30 minutes"	"6824.Sporulation t0"	"6856.Sporulation t30min"	"11466.yO1 test hyb"	"13093.Missouri Western State College 10 uM DAPI Cy3 4 hrs (exp 1)"	"13095.Missouri Western State College 10 uM DAPI Cy5 4 hrs (exp 1)"	"13490.Y5 mRNP vs. Poly"	"13496.G0 mRNP vs. Poly"	"16338.DES460 vs. DES460 YPD log phase control"	"27095.P1Comp 05 hr 5 min Phosphate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34362.batch 02X25 5"	"44524.first half PM prep, array 2"
"YBR106W"	-2.949	-3.354	-5.052	-2.258	-2.173	-2.595	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.2645	0.275	-0.197	-0.1	-1.924	1.629	0.662	-1.139	1.178	-0.424	0.588	-3.114	-2.846	-2.825	-2.779	-2.225	-1.442	1.509
"YBR191W"	-3.54	-3.167	-5.241	-3.152	-3.411	-2.563	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.057	0.516	0.405	0.118	-1.3105	-1.275	0.127	-1.517	0.552	0.09	0.804	-3.687	-3.657	-2.427	-3.266	-2.298	-2.316	0.869
"YBR247C"	-3.42	-2.212	-3.969	-3.12	-1.618	-1.623	-1.839	-1.689	-2.2255	-2.389	-2.378	0.256	-0.217	-0.399	0.316	-1.086	0.353	0.361	1.196	0.365	-0.225	0.813	-2.285	-2.153	-1.576	-2.15	-1.289	-2.315	0.59
"YDR037W"	-4.313	-4.551	-5.224	-3.226	-2.505	-2.756	-2.681	-2.313	-2.916	-3.368	-3.772	0.096	0.216	0.016	0.749	-2.523	-0.506	1.306	1.249	1.397	-0.081	0.625	-4.284	-3.366	-4.204	-3.541	-2.204	-1.423	0.73
"YDR418W"	-3.707	-3.074	-5.866	-3.315	-3.181	-2.797	-2.792	-2.82	-2.866	-3.091	-4.066	0.308	0.677	-0.076	-0.252	-2.345	-1.403	-0.677	-1.666	0.606	0.062	1.354	-4.005	-2.423	-3.263	-3.057	-2.027	-2.521	1.215
"YER102W"	-3.932	-3.64	-6.434	-3.101	-3.625	-3.37	-2.613	-2.593	-2.579	-3.326	-3.859	0.356	0.563	0.068	0.382	-2.388	-1.796	0.207	-1.315	0.477	-0.107	1.054	-3.324	-2.758	-2.385	-2.329	-2.436	-2.787	-0.453
"YGL031C"	-3.366	-3.683	-5.763	-3.041	-2.881	-3.063	-2.475	-2.899	-2.92	-3.061	-3.473	0.053	0.335	0.03	-0.327	-2.655	-0.701	-0.144	-2.04	-0.012	-0.134	1.103	-3.814	-2.458	-2.773	-2.852	-1.578	-2.229	0.529
"YGR085C"	-3.713	-3.406	-6.059	-3.071	-3.255	-3.013	-2.625	-2.77	-3.306	-3.54	-4.179	0.255	-0.96	0.29	-0.427	-2.156	-0.555	0.399	-1.109	0.911	0.105	1.189	-4.004	-2.792	-3.45	-3.003	-2.048	-2.54	1.507
"YGR148C"	-3.45	-3.884	-5.757	-3.141	-3.011	-2.956	-2.508	-2.896	-3.022	-3.649	-4.092	0.055	0.218	-0.28	0.288	-2.7095	-0.9855	-0.3865	-2.278	0.016	-0.193	1.0645	-3.53	-2.779	-3.103	-2.693	-1.897	-2.573	0.683
"YGR185C"	-3.192	-5.306	-6.361	-1.442	-1.736	-2.6	-2.531	-2.944	-4.576	-4.871	-5.006	0.093	-0.136	0.162	0.33	-2.438	0.187	1.041	0.613	0.626	-0.191	0.873	-3.17	-2.768	-2.136	-2.312	-2.205	-0.914	0.933
"YHR064C"	-4.543	-3.329	-5.238	-3.074	-2.229	-2.559	-1.754	-2.25	-2.957	-3.678	-3.675	0.154	0.392	-0.042	0.697	-2.056	1.064	1.338	0.309	1.652	0.068	0.304	-2.793	-2.097	-2.415	-2.781	-1.789	-1.371	0.673
"YHR068W"	-3.316	-4.28	-6.532	-2.873	-2.52	-2.526	-1.927	-2.429	-2.724	-3.669	-3.425	0.136	0.276	0.011	0.728	-2.29	0.906	0.642	0.835	1.443	0.153	0.769	-2.437	-2.467	-2.406	-2.362	-1.8	-2.469	0.488
"YJL138C"	-2.487	-3.125	-5.625	-1.273	-2.285	-1.674	-1.763	-2.049	-2.542	-2.785	-3.522	0.244	0.542	0.067	-0.289	-1.828	-0.611	0.0	0.527	1.361	0.131	0.867	-2.208	-1.737	-1.902	-1.373	-1.584	-1.607	0.533
"YKL172W"	-4.354	-2.813	-5.305	-2.545	-1.257	-1.964	-1.613	-2.079	-2.271	-2.723	-3.135	0.057	-0.388	-0.082	0.369	-1.592	0.975	-1.084	0.809	0.63	-0.001	0.051	-2.694	-2.344	-3.42	-2.734	-1.952	-0.669	0.662
"YKR059W"	-2.144	-2.817	-4.998	-2.593	-2.103	-2.531	-1.844	-2.106	-2.623	-2.96	-3.568	0.2	0.684	0.044	0.373	-1.996	-0.745	0.308	0.475	1.091	0.272	0.955	-2.448	-2.0	-2.025	-1.849	-1.284	-1.514	0.533
"YLL044W"	-4.871	-3.79	-6.48	-3.313	-3.031	-3.269	-2.654	-2.736	-2.724	-3.494	-3.967	0.083	0.42	-0.024	0.334	-2.227	-0.664	0.471	-1.021	1.036	-0.381	1.653	-3.189	-2.774	-3.806	-2.77	-2.196	-2.593	0.837
"YLL045C"	-3.851	-3.857	-6.618	-3.169	-3.335	-3.185	-2.604	-2.495	-2.943	-3.021	-3.731	0.239	0.515	0.258	0.461	-2.165	-0.549	0.605	-0.814	0.739	-0.345	1.511	-3.449	-2.833	-3.788	-3.87	-2.635	-2.703	0.865
"YLR183C"	-3.26	-3.664	-3.782	-1.854	-1.595	-1.418	-1.133	-1.434	-1.791	-3.695	-3.132	-0.492	-0.148	-0.18	0.983	-0.808	0.048	1.092	0.825	0.637	-0.133	0.552	-1.962	-2.055	-3.342	-2.647	-1.395	-0.573	0.374
"YLR291C"	-1.858	-3.037	-4.762	-1.324	-1.096	-1.104	-1.186	-1.283	-1.783	-2.216	-2.363	-0.07	0.207	-0.085	0.201	-1.532	0.281	0.45	-0.658	-0.082	0.215	0.462	-1.832	-1.747	-1.36	-1.191	-1.555	-0.378	0.604
"YLR293C"	-3.594	-3.488	-6.281	-2.107	-1.751	-2.233	-1.45	-2.158	-2.379	-3.03	-3.186	0.239	0.584	-0.14	-1.522	-2.235	-0.881	0.52	0.402	0.987	0.071	1.18	-3.113	-2.525	-2.822	-2.422	-1.899	-1.721	1.068
"YMR229C"	-6.1495	-4.4055	-5.288	-2.914	-2.1435	-2.161	-2.897	-2.0525	-3.7195	-3.685	-3.93	0.022	-0.1345	0.295	-0.026	-1.93833333333333	-0.113666666666667	-0.729333333333333	1.6865	0.962	-0.006	0.694	-3.4135	-2.548	-3.9575	-2.553	-2.0965	-1.3905	0.0655
"YMR300C"	-3.362	-3.133	-4.702	-2.115	-1.993	-1.355	-0.742	-0.949	-1.803	-2.016	-1.571	0.108	0.188	-0.074	0.687	-1.0795	-0.0675	1.484	1.034	0.84	-0.116	1.073	-2.533	-3.184	-2.758	NaN	-1.063	-1.879	0.608
