	"40.alpha factor release sample029"	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"58.Elutriation2:Sample2:Time5.0hrs"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"859.YPD_2_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1107.alpha factor release sample025"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"4872.1M sorbitol - 60 min"	"7539.25C -- 90 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"12732.Nitrogen Depletion 4 h"	"12744.heat shock 17 to 37, 20 minutes"	"32253.DBY8778_heat_shock2_15min"	"33772.DBY8778(wt)_stationary_phase_3hours"	"33773.DBY8778(wt)_stationary_phase_5hours"	"33779.delYPL230w_stationary_phase_5hours"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YAL025C"	0.3325	0.39	-0.024	-0.435	-1.718	-3.328	-2.551	-3.541	-2.585	-2.861	-1.16	-0.217	-0.469	-0.768	-3.811	-2.703	-2.195	-1.828	-2.01	-2.858	-2.271	0.0505	0.736	-0.008	0.673	0.105	0.2715	0.069	0.0715	0.096	-2.373	NaN	0.034	-0.517	-4.546	-2.312	-1.784	-3.323	-3.094	-3.371	-2.914
"YAL060W"	0.2425	-0.421	-0.1065	-0.1805	2.909	3.127	2.823	3.046	2.441	2.912	3.167	0.0635	-0.0955	0.012	3.323	2.145	1.463	1.345	0.283	2.349	1.953	0.367	0.746	-0.2315	-0.693	-0.2105	-0.089	-0.0995	-0.0985	0.2435	3.49	3.722	0.251	0.437	4.051	0.872	1.309	0.907	1.926	2.516	2.078
"YAR074C"	0.1175	0.418	0.204	0.3255	-0.157	-1.052	-1.736	-1.798	-1.499	-2.464	-2.546	-0.102	-0.6615	-0.078	-1.997	-2.524	-2.203	-1.916	1.547	-2.027	-2.048	0.086	-0.338	-0.161	0.985	-0.2965	-0.2115	-0.0895	-0.0445	-0.0075	-3.445	-1.422	0.232	0.315	-2.165	-1.336	-1.04	-1.311	-1.524	-1.299	-1.581
"YBL024W"	-0.154333333333333	-0.124	0.298	-0.367	-2.084	-2.122	-2.184	-2.218	-1.562	-2.598	-2.9	-0.1675	-0.4425	-0.79	-3.938	-2.484	-2.376	-2.16	-2.483	-2.493	-2.238	-0.252333333333333	-0.355	0.065	0.887	0.151	0.135	0.045	-0.1405	0.1545	-2.821	-1.559	0.01	-0.6	-2.148	-1.045	-1.459	-1.639	-1.098	-1.302	-1.311
"YBL028C"	0.406	0.577	0.095	-0.0225	-2.119	-2.979	-4.029	-4.375	-2.877	-3.969	-3.261	-0.0955	-0.582	-0.735	-4.609	-3.234	-2.754	-2.652	-2.162	-3.002	-2.268	-0.0175	0.182	0.0295	0.579	-0.0835	0.121	0.1295	-0.1155	0.92	-4.011	-2.074	0.124	-0.245	-2.529	-1.924	-1.434	-1.185	-2.42	-1.646	-1.712
"YBL039C"	0.024	0.9035	0.2885	-0.028	-4.41	-4.793	-5.089	-4.124	-4.307	-4.486	-3.781	-0.4855	-1.2635	-0.788	-3.74	-3.092	-3.457	-2.373	-3.004	-2.736	-2.628	0.173	-0.079	-0.0805	1.065	-0.289	-0.12	-0.014	-0.2685	-0.616	-4.956	-4.509	-0.15	-0.79	-3.951	-1.908	1.894	-2.98	-2.348	-2.194	-2.619
"YBL054W"	0.142	0.6855	-0.004	-0.5425	-3.133	-3.129	-2.127	-4.283	-2.807	-3.35	-2.6	-0.0265	-0.5135	-0.344	-3.427	-2.602	-2.264	-2.213	-1.778	-2.433	-2.356	0.219	0.925	0.152	0.714	-0.4485	-0.053	-0.188	-0.423	0.182	-3.299	-3.046	-0.27	-0.877	-2.298	-2.322	-1.424	-1.919	-1.474	-1.768	-1.317
"YBR021W"	-0.0625	-0.2215	0.0105	-0.412	-1.817	-1.684	-1.253	-1.882	-0.972	-1.922	-1.559	-0.2825	-0.318	-1.026	-1.261	-0.239	-0.438	0.089	0.14	-0.456	-0.174	0.1695	-0.115	-0.086	0.054	-0.5305	-0.2345	0.0165	-0.005	-0.3185	-1.84	-1.137	0.208	-0.133	-0.672	-1.278	-0.829	-0.873	-1.006	-1.323	-0.764
"YBR026C"	-0.117	-0.661	-0.471	-0.2435	1.631	2.326	2.417	2.554	2.178	2.688	2.577	0.8125	0.8625	0.817	2.537	2.286	2.624	2.933	1.784	1.873	1.707	-0.17	1.263	-0.073	-0.957	0.688	0.677	0.466	0.528	-0.2715	2.948	1.969	0.83	0.462	2.689	2.409	2.762	2.916	2.84	3.377	3.223
"YBR084W"	0.127	0.4175	0.2075	-0.2485	-1.885	-2.64	-2.965	-3.129	-2.61	-3.49	-3.539	-0.3055	-0.8725	-0.625	-4.143	-3.145	-3.201	-2.722	-4.006	-2.317	-2.197	0.0255	-0.524	-0.015	0.399	-0.294	-0.382	-0.6805	-0.666	-0.132	-4.142	-4.322	-0.766	-0.513	-4.104	-1.73	-2.26	-1.425	-1.939	-2.68	-1.48
