	"809.DBY7286 37degree heat - 20 min"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1257.mec1_plus_gamma_120_min"	"6344.DES460 + 0.02% MMS - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"7759.Na 30min"	"7760.Na 45min"	"8235.dtt 480 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"12732.Nitrogen Depletion 4 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12742.Nitrogen Depletion 2 h"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"28841.P2Comp 08 hr 19 min Phosphate Batch vs Chemostat Comparison2"	"33776.DBY8778(wt)_stationary_phase_1day"	"33780.delYPL230w_stationary_phase_7hours"	"34502.wt_hypo_osmotic_shock_0min_repeat"	"42061.U3Comp 09 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"
"YGR264C"	-1.065	-1.553	-3.787	-2.945	-5.206	-4.616	-1.795	-2.811	-3.897	-2.707	-3.468	-4.623	-4.957	-4.753	-0.903	-0.026	-1.1595	-1.307	-1.941	-0.222	0.328	-0.057	-2.246	-2.287	-2.376	-2.353	-0.763	-0.219	-0.187	-1.736	-3.082	-0.091	-0.736
"YGR285C"	-1.495	-1.664	-3.959	-1.645	-4.078	-6.1	-0.348	-1.877	-3.556	-2.557	-2.811	-3.452	-4.07	-4.065	0.129	-0.0025	-1.4295	-0.679	-1.952	0.269	0.02	0.033	-2.035	-2.466	-2.483	-3.514	-0.665	0.35	-0.151	-1.583	-2.554	0.188	-1.095
"YHR019C"	-1.5475	-1.072	-2.949	-1.831	-4.051	-5.077	-1.424	-2.664	-2.07	-2.109	-2.06	-3.117	-3.721	-4.387	0.392	0.0315	-1.678	-0.401	-1.387	0.079	0.141	0.082	-2.505	-2.098	-2.32	-2.222	-0.432	0.454	0.427	-0.949	-1.349	0.678	-0.175
"YHR064C"	-1.62	-1.671	-4.543	-1.77	-3.329	-5.238	-1.647	-2.559	-2.977	-1.754	-2.25	-2.957	-3.678	-3.675	-0.003	-0.0065	-1.7365	-1.063	-1.73	0.526	-0.324	-0.184	-2.303	-1.252	-2.419	-2.332	-0.874	-0.448	-0.409	-1.183	-2.781	0.791	-0.721
"YHR068W"	-1.23	-0.95	-3.316	-3.015	-4.28	-6.532	-1.698	-2.526	-2.945	-1.927	-2.429	-2.724	-3.669	-3.425	-0.194	-0.0565	-1.4595	0.098	-0.673	-0.051	-0.048	-0.003	-2.522	-2.438	-2.761	-2.475	-0.502	-0.274	0.032	-0.487	-2.362	0.717	-0.314
"YIL078W"	-1.347	-1.59	-2.907	-2.498	-5.192	-6.059	-0.376	-2.5	-3.786	-2.436	-3.226	-4.41	-4.902	-4.944	-0.267	0.1345	-1.422	-0.809	-1.737	-0.356	0.306	0.303	-2.573	-2.57	-2.6	-2.341	0.018	0.343	0.104	-1.36	-2.548	-0.446	-0.865
"YLR060W"	-0.273	-0.609	-3.165	-2.499	-4.941	-5.967	-1.197	-2.672	-2.773	-2.397	-2.667	-3.118	-3.713	-4.371	0.181	0.076	-0.708	-0.832	-1.345	0.013	0.376	-0.295	-1.72	-1.77	-1.452	-2.018	-0.4	0.393	-0.049	-1.403	-2.996	-0.235	-0.978
"YMR001C"	-0.755	NaN	-1.137	-2.749	-2.913	-3.219	-1.375	-1.485	-1.97	-2.089	-2.337	-2.372	-2.823	-2.825	-0.451	-0.064	-1.022	-1.34	-1.435	0.776	0.085	0.905	-1.91	-1.784	-1.628	-1.319	1.292	0.205	-0.52	-1.926	-2.078	-0.989	-1.119
"YOL097C"	-0.981	-1.208	-4.26	-0.4555	-0.491	-6.314	-1.722	-0.2345	-3.246	-2.609	-2.685	-3.398	-4.044	-4.151	0.057	-0.687	-1.125	-1.099	-1.846	-0.018	0.15	-0.226	-2.391	-2.326	-2.14	-2.5	-0.383	0.062	0.349	-1.799	-3.051	-0.239	-1.052
"YOR239W"	-0.598	-0.421	-1.208	-1.31	-3.232	-5.0985	-0.402	-1.633	-1.631	-2.053	-2.15	-3.149	-3.934	-3.704	-0.043	0.021	-0.933	1.233	0.672	-0.43	0.313	-0.056	-1.963	-1.992	-1.951	-1.867	-0.121	-0.0915	0.204	-0.884	-0.426	0.336	-0.664
"YOR315W"	-1.524	-2.388	-3.8935	-3.1035	-2.9775	-4.3035	-2.563	-1.979	-2.638	-2.502	-3.165	-2.855	-2.774	-2.784	-0.496	0.021	-1.676	-2.047	-2.864	1.0125	0.237	1.551	-2.335	-2.39	-1.911	-2.22	1.232	0.043	-0.561	-1.281	-2.187	-1.901	-1.657
"YPL160W"	-1.107	-1.6245	-3.26033333333333	-1.47166666666667	-3.08233333333333	-5.284	-1.495	-2.11133333333333	-4.0365	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.014	0.0565	-1.148	-0.7945	-1.523	-0.192666666666667	0.015	-0.3655	-2.4615	-2.584	-2.827	-2.7275	-0.423	0.1535	-0.0975	-2.059	-2.719	-0.3755	-1.064
"YPL273W"	-1.352	-1.622	-3.42133333333333	-2.792	-3.722	-5.69966666666667	-2.034	-2.69266666666667	-2.8035	-2.4545	-3.2755	-2.794	-3.21	-3.3575	-0.138	0.168	-1.632	-1.7685	-2.1035	-0.238	-0.034	-0.437	-1.821	-2.3675	-2.6985	-2.601	-0.4975	0.023	-0.269	-1.127	-2.524	-0.529	0.541
"YPR033C"	-0.853	-1.113	-2.7945	-2.534	-4.8805	-7.94	-1.804	-2.759	-2.203	-2.096	-2.55	-3.951	-4.382	-4.54	0.008	0.242	-1.174	-1.042	-1.74	0.196	-0.175	0.223	-2.213	-2.318	-2.374	-2.285	0.012	0.278	0.312	-1.22	-1.9695	-0.0995	-0.6615
"YPR119W"	-1.09	-1.356	-2.692	-4.2055	-4.6155	-4.3695	-2.2045	-2.3625	-2.424	-2.207	-4.062	-3.433	-3.885	-3.308	-0.69	-0.096	-1.379	-1.481	-2.144	1.1595	-0.104	0.175	-3.195	-3.442	-3.42	-3.81	0.322	-0.1	-0.314	-3.005	-2.925	-1.064	-0.102
