	"35.alpha factor release sample015"	"40.alpha factor release sample029"	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"863.Amino acid + adenine starvation 1 h"	"896.Amino acid + adenine starvation 2 h"	"1013.YPD 1 d (25C)"	"4872.1M sorbitol - 60 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6668.wt - 0.1 mM H2O2 - 10 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7760.Na 45min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"12732.Nitrogen Depletion 4 h"	"12742.Nitrogen Depletion 2 h"	"12744.heat shock 17 to 37, 20 minutes"	"13058.wt/crz1 Na 30min (2)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33258.delKIN82_heat shock _5min"	"33259.delKIN82_heat shock _15min"	"33261.delKIN82_heat shock _30min"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YCLX02C"	-0.829	-0.155	-2.258	-3.711	-4.024	-3.848	-3.119	-2.69	-3.872	-3.655	-0.458	-2.8	-2.263	-4.118	-2.422	-1.69	0.505	0.421	-2.1245	0.0195	-0.89	-0.623	-2.794	-2.282	0.097	0.0275	-0.251	-4.225	0.491	-1.517	-2.679	-2.039	-1.391	-2.894	-1.963	-1.445	-1.766	-1.543
"YCR058C"	-0.695	-0.09	-1.071	-1.645	-1.728	-1.528	-1.32	-2.4	-2.724	-2.439	-0.12	-1.782	-1.02	-1.314	-1.055	-0.522	0.099	0.028	-0.523	-0.015	0.0	0.019	NaN	-1.072	-0.028	0.0915	0.08	-3.662	0.416	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
"YCR072C"	-0.801	-0.105	-2.355	-2.145	-4.048	-3.359	-3.587	-2.626	-3.503	-2.949	-0.4475	-2.43	-1.537	-4.777	-2.433	-2.412	-0.475	-0.203	-1.4095	-0.0405	-0.188	-0.282	-1.926	-1.792	0.011	-0.202	-0.4515	-4.635	0.315	-4.939	-4.551	-2.816	-2.351	-2.665	-1.203	-1.67	-2.009	-3.049
"YDL153C"	-0.928	0.191	-0.478	-2.245	-4.549	-4.406	-4.333	-3.047	-4.369	-3.668	-0.066	-2.992	-2.998	-3.698	-1.68	-1.637	0.082	0.222	-1.834	0.179	-1.566	-0.415	-1.178	-2.642	0.451	0.523	0.164	-4.079	0.907	-1.446	-2.5	-2.189	-1.595	-1.85	-1.551	-2.075	-0.652	-1.251
"YDR101C"	-0.975	0.161	-1.876	-3.098	-3.513	-3.593	-3.404	-3.0	-3.74	-3.659	-0.271	-2.603	-2.204	-4.306	-3.082	-2.55	-0.8	-0.378	-2.005	0.107	-1.27	-0.402	-1.885	-2.352	0.191	-0.008	-0.886	-3.253	-0.253	-2.688	-3.244	-2.428	-2.553	-3.315	-2.327	-1.739	-1.524	-2.169
"YDR165W"	-0.416	-0.044	-0.822	-2.444	-3.154	-3.024	-2.85	-2.419	-2.874	-2.762	-0.159	-2.006	-1.752	-4.096	-2.179	-2.247	-0.252	-0.214	-1.816	-0.044	-1.269	-0.277	-1.274	-2.129	0.793	0.44	0.0	-2.787	0.442	-2.796	-3.068	-1.809	-1.834	-3.533	-1.545	-2.085	-2.255	-2.22
"YDR324C"	-0.661	-0.201	-1.662	-3.084	-3.512	-3.118	-2.824	-2.336	-3.184	-3.012	-0.453	-1.933	-2.199	-3.361	-1.762	-1.602	-0.529	-0.079	-2.143	-0.173	-0.649	-0.305	-1.498	-3.039	0.311	-0.014	-0.693	-3.609	0.456	-0.844	-2.29	-1.944	-0.7885	-1.5535	-1.1935	-0.931	-1.0265	-1.3355
"YDR380W"	-0.24	-0.117	1.465	4.069	5.331	4.505	4.696	4.835	5.562	5.325	0.008	3.397	3.521	0.787	3.908	4.403	-0.1	-0.077	4.04	-0.326	1.796	-0.677	1.061	3.44	0.474	-0.224	-0.161	5.956	-1.519	3.142	4.633	2.861	2.595	3.687	3.503	2.547	2.67	1.806
"YDR398W"	-0.66	-0.158	-2.112	-4.395	-5.035	-4.725	-4.358	-3.115	-4.082	-3.388	-0.532	-2.576	-1.783	-4.143	-2.114	-1.993	0.109	0.423	-1.881	0.385	-0.499	-0.321	-2.77	-2.147	0.426	-0.356	-0.872	-4.269	0.467	-3.627	-4.76	-2.67	1.164	-1.871	-0.556	-1.457	-0.955	-1.48
"YDR413C"	-0.664	0.183	-1.199	-2.352	-2.496	-2.582	-2.392	-1.803	-2.779	-2.502	-0.072	-1.765	-1.55	-2.622	-1.802	-1.452	-0.364	0.083	-1.725	0.208	-1.489	-0.568	-1.356	-1.14	0.212	0.339	-0.081	-2.652	0.837	-2.225	-2.964	-1.766	-2.466	-1.818	-1.126	-1.256	-1.422	-0.68
"YER037W"	0.199	0.088	3.218	3.6	3.495	4.024	3.397	3.311	3.628	3.186	0.519	1.944	2.238	2.683	2.045	2.368	1.686	0.353	2.056	0.042	-0.822	-0.122	2.612	2.959	-0.026	0.168	0.608	2.511	0.292	2.648	3.656	3.779	0.949	3.344	2.324	1.152	2.082	2.226
"YGR128C"	-0.222	0.347	-1.545	-2.88	-2.985	-2.926	-3.042	-2.4315	-3.197	-2.749	-0.203	-2.282	-2.352	-3.032	-2.603	-2.213	-0.902	-0.225	-1.88	0.096	-1.073	-0.006	-1.551	-2.422	0.317	0.363	-0.046	-2.534	0.831	-2.591	-2.714	-1.919	-1.369	-1.414	-0.404	-1.481	-0.84	-2.245
"YHR137W"	0.92	0.387	1.969	4.1055	4.9795	2.4785	3.82	3.987	4.7775	4.6135	0.282	2.649	2.633	0.138	3.029	2.689	0.41	-0.37	2.872	-0.184	1.29	-0.728	1.474	3.868	0.055	-0.551	-0.336	4.709	-0.776	4.005	4.573	3.11	2.916	4.461	3.515	2.277	1.399	2.574
