	"107.heat shock 10 min"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"298.Tunicamycin vs. Ctrl"	"407.heat shock 33 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"813.MHY1 (dun1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"878.FY3 pRZ-MSN4 - Msn4 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"4048.0.8M NaCl +FK506 - 30 min"	"7764.Na+FK 45min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"
"YAL060W"	2.909	3.127	3.046	-0.1925	1.762	2.912	3.167	0.2255	3.323	2.145	1.463	1.345	0.541	0.704	2.146	-0.065	2.349	1.953	1.199	1.159	1.922	1.6855	1.661	1.206	1.358	0.4225	0.6315	0.3475	-0.0335	0.0305	3.49	4.066	3.57	2.107	4.051	3.973	3.24	2.801	0.907	0.316	-0.179	0.574	0.236	0.934
"YBL045C"	1.426	1.85	1.638	-0.738	0.943	1.75	1.679	-0.046	3.101	4.028	3.638	3.076	2.249	0.169	1.864	-0.165	1.517	1.538	3.2575	3.188	2.0735	1.924	0.688	0.619	1.36	0.701	0.247	0.229	-0.2125	-0.227	1.37	2.683	3.265	2.973	2.474	3.277	3.303	2.891	0.459	0.579	-3.647	-1.893	-1.801	-1.371
"YBR185C"	0.646	0.953	0.917	-0.521	0.869	1.047	0.528	0.0865	2.907	2.767	1.967	1.359	0.689	-1.941	0.953	-0.153	1.079	0.51	2.126	0.8015	0.236	0.358	0.272	0.526	0.116	-0.7115	-1.0295	-0.6575	-0.922	-0.3895	0.846	1.255	1.144	1.533	2.379	1.363	1.315	0.817	-1.22	-1.139	-1.188	-0.895	-0.848	-1.421
"YBR251W"	0.392	0.441	0.828	-0.763	0.539	0.378	0.199	-0.2085	2.161	2.096	1.191	0.659	0.317	-0.057	0.679	-0.434	0.637	0.673	0.479	0.303	0.44	0.27	0.281	0.21	0.165	-0.2795	0.062	0.4165	-0.017	0.113	0.584	1.445	1.47	1.137	2.482	2.033	1.358	0.72	-0.988	-0.722	-0.075	-0.722	-0.63	-0.674
"YCR071C"	0.38	0.376	-0.372	-0.4045	0.362	0.132	-0.027	-0.2165	1.064	1.221	0.183	0.516	0.039	-1.696	0.201	-0.395	0.104	0.61	0.774	-0.104	0.043	-0.14	0.048	-0.282	0.214	-0.16	-0.1645	-0.241	-0.2155	-0.0755	0.038	0.845	0.791	0.434	0.92	0.39	0.95	0.526	-0.672	-0.846	-0.45	0.019	0.285	-0.576
"YDL204W"	3.317	5.01	5.128	-0.263	3.181	4.936	4.887	2.77	5.851	4.733	4.685	5.32	5.69	3.09	4.975	1.533	4.604	4.28	4.66	4.854	5.274	5.34	4.511	3.761	4.52	3.839	4.418	4.402	3.661	4.467	5.38	5.526	4.943	4.367	5.864	4.642	3.788	4.76	3.424	2.645	1.059	2.209	2.646	2.214
"YDR115W"	0.638	0.466	0.314	-0.651	0.849	0.146	0.134	0.013	1.634	0.937	0.843	-0.053	-0.305	-1.134	0.591	-0.102	0.232	0.177	1.475	0.042	0.005	-0.086	-0.013	-0.222	-0.097	-0.705	-0.774	-0.486	-0.678	-0.198	0.435	0.916	0.979	-0.07	1.14	0.568	0.687	0.996	-0.266	-0.674	-0.921	-0.231	-0.297	-0.761
"YDR171W"	6.617	6.083	5.56	0.946	3.287	6.153	6.24	2.181	5.287	5.106	4.359	4.594	3.949	2.383	4.634	1.329	5.134	4.94	2.893	2.504	2.852	3.724	4.979	4.034	3.44	1.208	2.156	2.212	2.188	2.303	5.398	4.747	4.074	4.252	4.639	4.566	3.476	4.385	3.862	3.079	1.587	2.353	2.407	2.341
"YDR178W"	2.331	2.489	2.252	-1.086	1.653	2.655	3.122	0.915	4.036	4.991	4.84	4.165	3.532	0.149	2.618	0.834	2.667	2.86	3.646	3.21	3.039	2.416	1.686	1.564	2.6955	0.913	1.395	0.306	0.233	1.07	2.656	4.18	4.862	4.365	3.685	4.946	4.481	3.474	1.791	1.887	-2.201	0.445	0.499	0.753
"YDR322W"	0.152	0.45	0.582	-0.48	1.031	0.26	0.0	-0.24	1.999	1.617	1.278	0.263	0.053	-1.123	0.712	-0.525	0.517	0.619	1.427	0.324	0.276	0.32	-0.124	-0.318	-0.189	-0.182	-0.154	-0.156	-0.41	-0.085	0.32	1.985	1.713	0.591	2.341	1.555	1.749	1.553	-0.492	-0.427	-0.949	-0.658	-0.513	-0.635
"YDR342C"	4.321	4.855	4.302	-1.652	3.167	4.8	5.295	-1.056	3.886	3.122	2.595	1.476	0.858	0.043	3.571	0.566	3.734	3.392	2.692	1.766	1.989	1.374	0.583	0.177	1.504	0.531	0.582	-0.215	-0.77	-0.739	5.102	6.458	5.478	3.327	6.395	5.258	4.947	3.671	-0.378	-0.228	-1.094	-0.564	-0.424	-0.391
"YDR343C"	4.4765	4.7885	3.7425	-1.873	3.2725	4.3375	5.046	-1.075	3.2935	1.843	1.604	0.758	0.8745	0.4235	3.36	0.26	3.4155	2.817	2.2775	1.391	1.675	0.8105	0.307	-0.021	1.5115	0.453	0.432	-0.4515	-0.7425	-0.8975	4.8385	6.835	5.151	4.147	6.429	5.549	4.177	4.265	-0.811	-0.33	-1.512	-0.837	-0.299	-0.036
"YDR347W"	0.258	0.599	-0.062	-0.792	0.485	0.476	0.439	-0.244	0.529	0.668	0.452	-0.624	-0.541	-1.818	0.065	-0.63	-0.056	-0.715	0.355	-0.224	0.042	-0.229	-0.318	-0.526	-0.667	-0.069	-0.226	-0.163	-0.105	0.243	0.76	1.633	1.556	1.499	2.151	1.071	0.796	1.599	-1.037	-1.006	-2.283	-1.033	-0.595	-0.794
"YDR493W"	0.483	0.316	0.083	-0.618	0.341	0.306	-0.156	-0.222	1.559	0.872	0.135	-0.598	-0.305	-0.695	0.212	-0.256	0.096	0.276	0.547	-0.168	0.379	0.159	-0.197	-0.473	0.336	0.142	-0.115	-0.304	-0.217	-0.054	0.846	1.357	0.763	0.786	1.123	0.399	1.261	0.301	-0.414	-0.491	-1.19	-0.346	-0.874	-0.447
"YFR033C"	1.505	0.955	1.342	-0.008	0.654	1.331	1.406	0.015	2.495	2.806	2.426	2.1	1.905	0.235	2.34	0.291	2.088	2.219	1.93	1.78	1.562	1.559	0.473	0.144	1.481	0.414	0.884	0.396	0.402	-0.464	1.718	2.538	2.962	2.881	2.114	3.078	3.198	1.953	0.328	-0.161	-1.041	-0.78	-0.14	-0.202
"YGL040C"	-0.324	0.448	0.402	-1.285	0.746	0.195	-0.22	-0.268	1.244	1.984	1.13	0.612	0.278	-3.214	0.274	-0.15	-0.183	-0.255	0.931	0.035	-0.157	-0.422	0.22	0.03	-0.646	-0.981	-0.881	-0.884	-1.319	-1.367	-0.182	1.21	1.126	1.08	1.187	0.927	1.121	0.81	-0.782	-1.338	-1.281	-1.29	-0.983	-1.541
"YGL218W"	1.111	1.125	0.918	-0.722	0.528	1.332	1.173	0.291	2.027	2.44	2.057	1.337	1.322	-0.101	1.294	-0.41	0.718	0.79	1.944	0.889	0.734	0.917	1.118	0.876	0.666	0.589	0.597	0.46	0.491	0.773	1.171	1.664	1.507	0.835	1.761	2.106	1.653	0.997	-0.072	0.389	-0.233	0.01	0.068	-0.033
"YGR021W"	0.866	1.12	1.175	-1.104	0.655	0.989	0.716	-0.046	0.843	1.431	0.505	0.824	-0.161	-0.919	0.399	-0.591	0.209	0.681	0.281	-0.245	0.017	-0.172	0.576	0.087	0.671	-0.011	0.132	-0.476	0.252	-0.473	0.74	1.632	0.502	0.628	1.824	1.868	1.392	0.334	-0.67	-0.106	-0.421	-0.088	0.307	0.194
"YGR043C"	3.734	5.04	5.049	0.356	3.768	5.232	4.833	2.661	5.679	4.9	5.707	5.692	6.003	4.569	4.673	1.454	4.765	4.955	5.014	5.207	5.063	5.593	4.853	4.531	4.615	1.446	3.238	3.293	2.744	3.369	5.961	5.792	5.627	4.968	6.098	5.083	4.91	5.837	3.555	3.447	1.201	2.639	3.577	3.205
"YGR062C"	1.7385	0.047	-0.011	-0.454	0.38	0.1905	-0.688	-0.416	0.955	0.8195	0.4275	0.558	0.0145	-0.378	0.496	-0.4165	0.187	0.476	1.469	-0.0305	0.2655	0.37	0.1615	0.2865	-0.37	0.00549999999999999	0.143	0.097	-0.278	-0.547	0.5595	1.883	1.535	0.425	2.85	1.69	1.148	0.671	-0.147	-0.258	-1.062	0.126	-0.752	-0.909
