	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1009.YPD 2 h (25C)"	"1010.YPD 4 h (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"4048.0.8M NaCl +FK506 - 30 min"	"4782.DBYtrr1 vs. wild type DBY7286"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"12744.heat shock 17 to 37, 20 minutes"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15638.Ca+FK 60min (2)"	"30463.Pomona/Brown pol2-12 red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"38146.03II01 batch p2"
"YIR039C"	1.419	2.385	3.633	3.4175	3.2675	1.686	2.848	3.293	3.373	1.139	1.82	1.637	2.068	1.331	1.024	0.444	4.648	3.836	3.921	2.996	3.204	1.409	2.236	-1.078	1.581	1.932	0.037	0.319	1.148	0.186	1.191	0.594	1.013	1.293	1.395	0.633	1.287	1.745	-0.228	0.229	1.233	-0.102	3.736	0.993	1.238	1.772	0.946	1.179	1.278	0.847	-0.009	2.417	2.921	2.163	4.051	2.778	2.53	3.2	0.601	-0.065	0.316	-1.432
"YJL057C"	1.7875	2.413	2.575	2.9385	2.159	1.0315	1.742	2.351	2.617	1.24	1.37	1.642	1.514	1.336	0.798	0.586	3.25	1.984	1.19	3.767	1.687	1.987	1.957	-0.264	2.494	1.069	-0.021	0.11	0.983	-0.1	1.886	0.15	0.897	1.385	0.253	1.197	1.188	0.828	-0.322	-0.004	1.996	-1.215	3.139	0.863	0.923	1.15	1.364	0.932	1.222	0.604	-0.121	2.27	2.823	2.532	4.046	2.559	2.652	2.786	-0.061	-0.08	0.019	-0.414
"YJL066C"	1.313	2.291	2.484	1.324	2.363	0.9545	2.0645	2.2855	2.4895	0.919	1.725	1.585	1.647	1.1	1.083	0.275	3.176	3.323	3.479	2.755	2.79	1.057	1.801	0.135	1.811	1.934	0.385	0.318	1.105	0.288	1.578	0.38	1.574	1.874	1.89	1.186	1.424	1.574	0.048	-0.129	2.401	-0.669	2.9045	0.988	1.799	1.449	1.109	1.995	2.118	0.794	0.177	2.893	2.947	1.997	4.144	3.6	3.185	2.863	0.266	0.299	0.068	-0.09
"YJL084C"	0.2965	0.054	0.563	2.0745	0.203	-0.424	0.5585	0.847	0.9755	0.336	-0.533	-0.399	-0.171	-0.37	-0.572	-0.865	0.99	0.473	1.324	0.977	1.411	0.474	0.255	-0.837	0.512	0.713	-0.107	-0.226	0.083	-0.089	0.251	-0.215	0.298	0.179	0.36	0.038	0.655	0.742	0.311	0.255	1.051	-1.363	0.8125	-0.196	0.091	-0.288	-0.124	-0.526	-0.262	-0.019	0.194	0.203	0.417	0.706	0.82	0.904	-0.164	0.206	0.404	0.13	0.549	-1.133
"YJL144W"	3.989	4.0045	2.9145	2.94	2.5985	1.969	2.475	3.4435	2.1655	1.577	1.935	2.278	0.623	1.686	2.404	1.481	4.935	3.766	2.14	4.151	4.162	2.84	5.309	-0.938	4.735	3.735	-0.333	0.347	2.452	1.771	2.385	0.869	3.423	2.89	2.834	3.303	2.987	2.508	-0.239	-0.1	3.004	0.626	3.173	2.83	2.657	2.614	3.186	3.162	2.349	-0.197	0.006	1.312	2.687	3.289	3.485	2.601	1.246	1.852	0.154	0.398	0.03	-0.047
"YJL210W"	0.343	0.6795	0.906	0.705	0.5765	0.7605	1.109	0.7565	0.559	0.441	0.753	0.779	0.575	0.657	0.607	0.084	2.424	1.808	1.072	1.43	0.973	0.101	0.92	-0.613	0.701	0.142	0.026	-0.026	-0.3	-0.374	0.236	0.153	-0.166	0.445	0.264	-0.262	0.072	0.026	-0.314	-0.08	1.025	-0.631	0.3135	0.518	0.44	0.049	0.479	0.431	0.078	0.426	-0.159	0.634	0.687	0.377	0.936	0.563	-0.19	0.045	-0.029	0.072	-0.188	-0.655
"YJR008W"	2.404	4.05	3.38	2.5185	2.6695	0.7225	2.33	2.81	2.208	1.315	1.126	1.421	0.317	0.585	0.769	0.319	2.34	2.316	3.929	3.529	4.368	2.285	3.745	0.365	3.536	2.826	-0.089	0.159	1.313	0.686	1.838	0.768	1.667	1.513	1.765	1.555	1.425	1.54	-0.444	0.556	2.805	1.751	2.806	1.648	2.174	2.024	1.073	2.487	2.142	-0.081	0.345	3.648	3.265	2.533	3.072	3.435	2.523	3.297	0.175	0.04	-0.027	-0.747
"YJR036C"	1.423	1.888	1.871	3.0515	1.5885	0.169	1.32	1.927	1.9985	1.082	0.794	0.649	0.501	0.07	-0.756	-0.435	2.23	1.245	1.621	1.34	1.965	1.622	2.577	0.182	1.74	1.821	-0.068	-0.535	0.501	-0.556	0.879	0.241	0.348	1.013	0.712	0.148	1.048	1.296	-0.143	-0.353	1.428	-3.259	2.397	0.81	1.115	0.908	1.121	1.3	0.781	-0.752	-0.267	0.476	0.198	-0.043	1.871	0.583	0.137	1.181	-0.132	-0.312	-0.13	-0.116
"YKL051W"	0.55	0.514	1.128	1.0665	0.7005	1.456	1.0015	1.2165	1.219	0.56	0.683	0.744	0.577	0.234	0.684	-0.116	2.242	0.519	0.281	0.256	0.816	0.096	0.042	-1.636	-0.333	-0.223	0.336	0.319	0.307	0.387	1.284	-0.043	0.549	0.917	0.718	0.674	1.176	0.867	-0.181	0.065	0.53	-0.954	1.4995	0.467	0.195	0.088	0.12	0.311	-0.352	-0.538	0.551	1.09	0.243	0.397	1.992	0.209	-0.449	-0.899	0.304	-0.153	0.054	-0.572
"YKL091C"	2.103	3.351	4.009	3.776	3.851	2.444	2.683	3.567	3.623	1.543	2.351	2.383	2.135	1.239	0.925	0.246	5.27	3.548	3.187	3.034	2.301	2.75	3.109	0.398	3.432	2.619	0.331	0.412	1.042	0.2	3.719	0.787	2.482	3.059	3.309	2.427	3.042	3.043	-0.263	-0.063	1.133	-1.652	3.699	2.098	2.411	2.311	2.025	2.836	2.329	0.169	0.167	3.707	2.805	1.478	4.146	3.248	2.188	2.104	0.682	0.204	0.424	0.603
"YKL150W"	1.891	2.809	2.913	3.192	3.05	2.057	2.55	3.068	2.915	1.401	2.049	1.842	1.692	1.029	0.904	0.601	3.989	3.734	3.947	3.273	3.283	1.556	1.844	0.091	1.457	1.741	0.234	0.772	0.916	0.284	2.513	0.314	1.799	2.546	2.647	1.522	2.175	2.342	-0.048	0.711	2.209	0.138	2.857	1.883	1.898	1.318	1.63	2.161	1.746	1.023	0.351	2.7	3.344	2.601	4.12	3.616	3.503	2.794	0.145	0.626	0.326	-0.399
"YKL193C"	1.127	2.396	1.997	2.27	1.904	0.941	1.556	1.56	1.755	0.65	1.329	1.096	1.163	0.86	0.675	0.358	2.373	1.236	1.35	1.072	1.365	1.15	2.068	0.378	1.772	2.165	0.239	-0.123	0.823	0.11	0.394	0.15	1.615	1.947	1.76	1.098	1.391	1.383	0.135	-0.155	0.851	-1.008	1.803	1.162	1.412	0.9	1.204	1.239	1.439	0.147	-0.032	2.435	1.821	1.516	2.642	1.834	1.267	0.838	-0.011	0.463	0.274	0.02
"YKR091W"	1.0	2.629	2.886	2.829	2.636	1.742	2.374	2.847	2.473	0.899	1.502	1.802	1.847	1.785	3.16	1.178	2.432	1.465	1.743	1.951	2.03	1.666	1.488	1.369	0.892	1.512	0.337	0.177	1.173	1.28	1.671	0.636	1.114	1.372	1.616	0.905	1.237	1.413	0.142	-0.58	1.521	-0.824	2.763	0.979	1.118	1.027	1.089	0.996	0.803	1.738	0.553	1.192	0.8	0.671	1.322	0.92	0.907	1.095	0.187	0.388	0.439	-0.545
"YLL026W"	4.733	5.272	5.873	2.796	5.276	2.555	5.224	6.223	6.124	2.389	3.233	2.62	2.17	1.815	1.863	1.841	3.789	3.318	2.917	2.8	2.887	2.026	3.16	1.281	3.181	2.767	0.642	0.313	3.543	1.576	2.93	-0.592	2.495	2.676	2.481	2.286	2.702	2.804	0.17	-0.006	2.972	-1.728	5.928	2.508	2.551	2.198	2.76	2.63	1.991	-1.011	0.387	4.399	3.831	3.746	5.223	4.61	3.371	4.068	0.958	1.391	0.251	-0.438
"YLR177W"	2.6625	2.8735	3.3095	1.4025	2.643	0.9175	2.3305	3.1295	2.898	1.01	1.8205	1.346	0.9945	0.3585	0.498	0.2465	1.7235	0.9465	0.4595	0.901	0.77	1.164	2.079	-0.241	2.2765	1.9135	0.0335	-0.1	1.1075	-0.0245	2.8865	0.111	2.308	2.21	1.2385	1.7975	2.389	1.895	-0.151	0.1375	1.064	-1.125	3.1335	1.9035	1.121	0.218	2.0665	1.2425	0.615	0.1135	0.1075	1.244	1.235	1.845	3.171	2.094	1.505	2.555	-0.043	0.488	0.456	0.533
"YLR178C"	3.089	5.463	6.029	-1.924	5.987	3.824	5.265	6.066	5.98	1.398	4.583	3.987	4.18	3.498	2.652	1.308	5.949	5.421	4.881	5.219	4.399	3.949	3.516	0.305	3.832	3.455	0.24	-0.112	2.54	1.074	3.899	1.467	3.187	4.242	4.453	2.758	3.766	4.028	-0.028	0.875	4.248	-2.075	6.29	3.054	4.616	4.532	3.16	4.484	4.873	1.582	0.371	5.407	4.372	3.242	5.3	4.727	3.457	3.71	-0.065	0.783	0.718	0.137
"YLR327C"	5.783	6.488	5.954	5.645	5.778	4.371	5.125	5.199	5.112	1.814	4.386	4.02	3.803	3.43	3.048	2.153	4.027	4.45	2.868	4.348	3.613	2.772	4.706	0.896	5.562	5.219	-0.444	-0.437	3.673	2.243	3.316	3.044	3.569	3.895	3.191	2.478	2.683	3.199	0.337	-0.082	5.457	2.06	6.244	4.42	4.713	4.032	5.251	5.694	4.046	1.118	0.433	6.94	6.324	5.267	4.86	5.963	5.223	5.412	0.83	1.748	1.008	-1.218
"YLR345W"	1.107	5.322	NaN	3.123	NaN	NaN	NaN	NaN	NaN	0.916	1.594	1.581	1.468	1.014	0.713	0.488	3.284	2.557	2.973	2.201	2.879	1.64	2.564	0.568	2.391	1.773	0.21	-0.054	1.438	0.214	2.044	0.169	1.481	2.064	1.826	1.203	1.932	1.928	-0.225	0.285	2.882	-1.646	NaN	1.91	2.52	2.087	2.381	2.472	2.487	-0.324	-0.197	3.184	2.929	2.177	2.961	2.519	2.651	2.696	0.826	0.693	0.789	-0.37
"YMR105C"	4.808	6.504	7.421	7.216	6.858	4.63	6.445	6.665	6.783	1.791	4.095	3.845	3.192	1.907	0.529	0.724	4.909	4.43	4.356	4.635	4.095	4.172	3.838	1.961	2.982	2.866	0.201	0.554	2.861	0.443	3.966	0.693	2.888	3.652	3.607	2.154	3.361	3.627	-0.037	0.595	3.806	-1.891	6.837	3.004	3.052	1.838	3.478	3.171	1.991	0.462	0.461	4.164	3.912	3.617	6.583	5.468	3.536	4.665	0.289	1.305	0.542	-1.219
"YMR169C"	1.8365	3.194	2.717	3.7265	2.1645	1.4095	1.609	2.2055	2.4185	1.1975	1.001	1.3735	1.469	0.989	0.72	0.204	2.206	1.723	0.7425	1.1695	2.2665	1.356	3.0715	2.217	2.0175	1.513	-0.0705	-0.111	1.495	0.282	2.3205	0.4765	2.137	2.0095	2.429	1.9655	2.175	3.141	-0.078	0.0905	0.996	-1.42	3.1995	2.438	2.706	2.505	2.8295	2.6905	2.6325	0.88	0.3365	3.13	2.4045	2.1065	3.5495	2.255	1.145	1.675	-0.668	0.00549999999999999	-0.0815	-0.704
"YMR170C"	1.631	4.153	5.429	NaN	5.057	2.685	4.008	5.21	5.684	1.391	1.875	3.094	3.099	2.46	1.632	0.846	6.85	2.236	0.522	3.746	1.825	1.1	3.917	1.103	3.8	2.053	0.088	0.325	2.449	0.902	4.06	0.572	3.578	4.235	4.323	2.97	3.461	4.144	-0.212	-1.834	3.427	-0.708	6.459	3.996	5.241	4.373	4.639	5.187	4.359	0.98	0.471	4.934	4.039	3.912	6.253	4.167	2.972	3.706	0.083	0.303	0.158	-0.365
"YMR173W"	1.2095	2.077	2.238	2.5085	2.3905	2.689	3.1995	2.774	2.5865	0.957	2.494	2.3415	2.6315	2.431	2.7745	2.365	3.7635	1.723	2.1175	2.3275	2.808	1.9575	1.521	0.9995	1.4325	0.88	0.4835	0.3625	1.9685	0.4225	1.975	0.7045	1.269	2.533	2.7745	0.9015	2.054	2.3695	0.072	0.231	1.68866666666667	-2.14866666666667	2.395	2.3505	2.635	2.9405	2.2875	2.596	3.089	1.594	0.199333333333333	0.93	1.44	1.338	2.384	1.115	0.893	1.964	0.984	0.514	0.656	0.495
"YMR197C"	0.899	2.081	2.306	2.409	1.506	0.707	2.121	2.282	1.924	0.636	1.482	1.502	1.446	1.116	0.538	0.184	1.437	0.675	1.265	1.445	0.835	1.448	1.707	-0.464	1.788	1.484	0.127	-0.323	0.654	-0.001	1.469	0.369	0.696	1.362	1.595	0.41	0.993	1.185	-0.316	0.19	0.786	-1.5375	2.301	1.193	1.411	1.381	1.155	1.43	1.569	0.676	0.4855	0.438	0.417	0.897	0.908	0.774	0.344	0.27	0.351	0.015	0.425	-0.333
"YMR250W"	3.291	5.161	6.007	5.745	5.491	4.027	5.246	5.448	5.563	1.403	3.78	4.002	3.833	2.924	1.979	1.072	4.705	4.159	3.979	4.174	4.516	3.37	2.816	1.784	2.923	2.601	0.529	1.043	2.279	0.361	3.727	1.269	3.487	4.187	3.663	2.768	3.676	4.128	-0.185	0.827	4.413	-1.465	5.984	3.913	4.552	3.961	3.906	4.589	3.74	1.053	0.5475	5.331	5.018	3.436	5.68	4.944	4.024	3.524	1.054	1.101	0.847	-0.496
"YMR251W"	2.286	3.083	2.943	2.5025	2.2605	2.2455	2.5805	2.659	2.6685	1.054	1.8815	2.286	2.3175	2.029	1.6245	0.6575	2.6985	2.0335	2.308	2.985	2.0525	1.6735	1.6805	0.6145	1.91	1.732	-0.261	0.0435	0.538	-0.5585	2.5055	1.49	2.9555	3.333	2.9395	1.674	2.2575	2.4295	0.33	0.551	2.542	-0.249666666666667	2.8235	2.699	3.056	2.96	3.1635	3.0445	2.4195	1.55	0.204	2.22	2.575	2.269	1.36	2.539	1.5385	2.474	1.0475	0.812	0.8365	0.081
"YNL009W"	1.292	0.624	1.212	1.21	1.038	0.367	0.918	1.345	0.84	0.581	0.179	0.379	-0.14	0.032	-0.128	-0.027	2.337	2.658	3.346	3.36	3.931	0.672	2.261	0.468	2.636	1.965	0.016	0.058	-0.228	-0.413	2.231	0.634	1.431	1.475	1.276	1.891	1.952	1.968	-0.013	-0.251	2.142	-0.91	1.288	0.944	0.94	0.804	0.799	1.342	0.996	-0.363	-0.2245	1.866	3.281	1.58	2.736	2.572	2.335	2.0	0.101	-0.038	-0.081	-0.388
"YNL194C"	3.447	5.095	5.751	5.035	4.078	2.309	3.57	4.628	4.437	1.406	2.799	2.945	2.106	0.966	0.161	-0.059	5.233	3.747	3.657	4.22	4.536	2.151	4.334	0.515	3.832	4.294	-0.463	-0.711	2.43	0.159	4.434	0.736	3.28	3.68	2.673	2.008	3.187	3.576	0.227	0.019	3.6835	-0.483	5.952	1.578	1.603	0.228	2.609	1.424	0.262	0.538	1.6825	4.012	4.173	4.168	4.692	4.34	3.634	3.692	-0.367	-0.287	-0.607	-0.53
"YNL274C"	2.177	3.957	4.473	4.156	4.225	2.85	3.953	4.076	3.915	1.395	4.548	4.443	4.133	3.782	2.835	2.028	3.911	2.75	2.637	2.864	1.71	3.128	2.903	0.511	2.738	3.082	0.055	-0.554	1.718	0.858	2.436	1.129	1.929	2.958	2.895	1.756	2.852	3.375	-0.182	-0.017	1.527	-1.244	3.943	2.438	3.316	2.844	2.486	3.407	3.067	1.883	0.334	1.544	1.193	1.62	2.245	1.299	0.743	0.112	0.196	0.435	-0.13	-0.156
"YNL305C"	1.247	2.702	2.659	2.473	2.292	1.664	1.962	2.585	2.924	0.927	1.496	1.692	1.541	1.203	0.856	0.598	1.558	1.585	0.438	2.115	1.1	0.556	0.824	-0.14	1.664	1.012	-0.297	-0.02	0.542	-0.16	1.337	0.242	1.395	2.037	1.739	0.889	1.365	1.505	-0.047	-0.066	2.392	-0.891	3.11	1.809	1.678	1.627	1.612	2.186	1.821	0.296	0.478	2.416	2.708	2.329	2.226	1.702	1.776	3.292	0.284	0.43	0.344	-0.43
"YOL048C"	1.655	2.992	2.594	2.061	1.783	1.226	1.888	1.744	1.967	0.375	1.034	0.982	1.301	0.754	0.421	0.082	1.325	1.276	1.1615	1.1545	1.423	1.505	2.115	-0.9315	1.186	1.186	-0.127	-0.062	0.684	0.056	1.139	0.459	0.545	1.471	1.495	0.39	1.212	1.359	-0.11	-0.027	0.864	-2.639	2.336	1.0	1.767	1.757	1.084	1.704	1.907	0.786	0.37	1.556	0.94	1.117	2.173	2.459	1.163	1.33	-0.7	-0.343	0.161	-0.465
"YOL084W"	3.798	6.038	7.338	6.842	5.814	3.016	3.893	4.889	5.198	0.8705	2.538	3.766	3.239	2.322	1.986	0.95	3.98	2.867	5.14	5.506	5.721	2.916	4.093	0.113	1.682	4.532	-0.365	-0.122	0.671	0.127	4.533	0.495	4.466	4.039	4.815	1.316	3.062	2.77	-0.223	0.581	3.168	-0.585	6.093	3.645	2.772	1.431	4.347	3.21	1.646	-1.088	0.028	2.604	3.522	1.705	3.145	3.857	2.381	3.183	-1.7	-0.631	-0.554	-1.319
"YOL087C"	0.774	1.895	1.618	1.511	0.989	0.88	1.022	0.934	1.28	0.805	0.707	0.435	0.743	0.116	-0.044	-0.125	0.7775	1.898	1.986	0.345	1.1595	0.6895	1.435	-0.1015	1.0765	0.452	0.134	0.033	0.777	0.123	0.75	-0.429	0.43	0.868	0.566	0.105	0.784	0.959	-0.252	-0.107	1.52	-1.363	0.98	0.812	0.867	0.731	0.696	0.772	0.797	0.239	0.033	0.968	0.523	0.27	1.878	1.058	0.485	1.253	-0.466	-0.046	-0.193	-0.548
"YOL129W"	0.224	1.428	1.398	0.818	0.639	1.143	1.1	1.141	1.217	0.649	0.902	1.046	1.074	0.923	0.733	0.352	-0.435	0.601	0.432	0.33	1.968	0.286	0.364	-0.201	1.501	0.4645	0.121	0.146	0.328	-0.22	0.15	0.178	-0.161	0.407	0.536	-0.193	-0.09	0.016	-0.099	0.049	0.594	-2.454	1.329	-3.544	1.68	1.874	1.114	1.543	1.402	0.22	0.431	0.769	0.851	0.618	0.287	0.559	0.463	0.603	-0.395	-0.111	-0.18	-0.169
"YOR137C"	0.501	1.753	1.815	3.718	0.886	0.472	1.191	1.456	1.441	0.973	0.434	0.634	0.766	0.405	1.176	0.505	1.173	-0.322	-0.3025	NaN	1.295	0.98	1.289	0.094	0.337	NaN	0.436	0.709	0.229	-0.085	1.273	-0.416	1.037	1.608	0.959	0.612	1.146	1.357	0.125	-0.075	0.362	-2.364	1.938	1.424	1.578	1.331	1.687	1.543	1.082	0.057	0.593	-0.499	-0.413	0.381	0.228	-0.131	0.144	0.869	-1.14	-0.561	0.127	-0.176
"YOR155C"	0.329	1.655	1.854	1.442	1.365	0.54	1.327	1.431	1.144	0.513	0.985	0.967	1.285	1.006	0.86	0.19	0.719	0.383	0.3585	0.2425	0.476	1.3565	1.5135	-0.5725	0.932	0.834	0.133	0.392	0.337	0.011	-0.127	-0.321	-0.142	0.62	0.731	-0.254	0.163	0.527	-0.0925	-0.035	0.777	-0.114	0.918	0.642	1.354	1.546	0.881	1.106	0.798	0.049	-0.249	-0.026	-0.154	-0.513	0.609	-0.096	-0.053	0.377	-0.271	-0.095	-0.048	-0.575
"YOR173W"	2.674	4.2285	3.872	3.038	2.477	1.5925	1.8935	2.9735	2.3675	-0.041	2.0415	1.231	1.749	2.963	0.9225	0.365	1.42266666666667	0.804666666666667	1.08766666666667	0.682	0.281666666666667	0.836	1.48733333333333	-0.292666666666667	0.907	0.794	0.007	-0.0485	1.4635	-0.0865	2.6265	0.9715	1.8505	1.9325	2.235	1.5515	2.004	2.1745	-0.39	0.419	1.6895	-1.084	2.7515	2.0265	2.194	1.906	1.2845	1.784	1.6505	0.7485	0.132	1.758	2.011	1.4685	2.5715	2.2205	1.6625	2.1755	0.4885	0.241	0.352	-0.4665
"YOR185C"	0.973	2.192	2.528	2.44	1.82	2.557	2.967	3.202	3.093	0.9055	1.377	1.448	1.962	1.723	1.832	0.876	0.879	0.7155	0.846	1.1	1.0735	0.7465	0.409	-0.006	0.7285	0.4365	0.401	0.497	0.384	0.128	1.613	0.877	1.415	1.812	2.027	0.88	1.488	1.919	0.231	0.11	2.182	-1.778	3.38	1.353	2.394	2.163	2.047	2.321	2.771	0.938	-0.067	2.061	1.998	1.846	2.386	1.937	1.14	2.243	0.32	0.441	0.421	0.692
"YOR374W"	3.834	5.581	6.023	5.497	5.435	2.953	4.793	5.107	5.196	2.2505	4.658	5.058	4.658	4.136	2.996	1.765	3.814	3.737	4.2695	4.754	3.1765	3.959	4.1485	0.1935	3.9755	3.781	0.126	0.086	1.418	0.376	3.868	0.126	3.434	4.197	4.026	2.6	3.521	3.774	-0.162	0.177	3.59	-0.936	5.624	3.562	2.298	-0.076	3.646	2.12	-0.155	0.502	0.514	4.248	4.075	3.07	4.363	3.921	2.721	2.469	2.537	2.496	1.942	-2.057
"YPL113C"	0.615	0.731	0.556	NaN	0.288	-0.509	0.293	0.923	0.534	0.393	1.443	1.383	-0.232	0.644	-0.127	-0.216	0.977	0.5585	1.6945	1.053	0.8355	0.3495	1.106	0.1725	1.0525	0.7585	-0.159	-0.293	0.278	-0.706	0.883	0.435	0.573	0.427	0.122	0.653	0.5	0.648	0.147	-0.215	0.936	-1.218	0.973	0.569	0.547	-0.397	0.621	0.366	0.254	0.4	0.03	0.954	1.091	0.674	2.111	1.123	0.981	0.98	-0.132	0.073	-0.17	-1.099
"YPL165C"	1.905	2.897	2.691	2.456	2.172	1.052	2.129	2.291	2.216	1.3095	1.154	0.5595	0.388	0.3145	0.3605	-0.119	3.0615	2.24	2.3565	2.2795	2.405	1.852	1.9355	0.867	1.51	2.0305	0.306	0.121	0.982	0.182	0.906	-0.242	0.461	1.473	1.297	-0.118	0.944	1.227	0.109	-2.276	2.429	-0.662	NaN	1.022	1.826	1.362	1.286	1.923	1.19	0.043	-0.384	1.938	1.221	0.975	1.867	2.051	1.11	1.218	0.115	-0.359	0.367	-0.832
"YPL166W"	1.788	1.993	2.713	2.094	2.277	1.326	2.083	2.873	NaN	1.356	0.741	0.909	-0.2365	0.0625	0.3175	0.025	3.066	2.3015	2.342	2.334	2.9335	2.184	2.361	-0.454	2.162	1.725	0.194	0.529	0.256	-0.013	1.419	-0.054	0.713	1.634	0.526	0.651	1.175	1.239	-0.29	0.285	1.398	-0.807	2.555	0.85	1.153	0.942	0.775	1.212	0.805	-0.631	0.091	0.605	1.386	0.919	1.982	1.792	0.819	0.867	0.055	0.16	0.204	-0.637
"YPL247C"	2.619	3.521	3.7175	3.1825	2.8855	1.5785	2.3165	3.0315	3.09	1.28066666666667	1.94866666666667	1.773	1.493	0.953	1.11433333333333	0.429666666666667	3.12633333333333	2.68633333333333	0.818666666666667	2.16	0.615666666666667	1.57233333333333	2.10133333333333	-0.642	1.923	1.86	-0.5415	-0.595	1.4775	0.1165	3.2955	0.081	2.5345	2.9995	2.6075	2.1785	2.611	2.5025	-0.138	0.214	1.974	-1.573	3.357	1.491	1.408	0.225	1.362	0.957	0.984	0.081	0.096	3.502	2.62	1.528	3.868	2.856	1.362	1.934	-0.585	0.021	0.605	-1.043
"YPR127W"	0.979	1.562	1.619	0.539	1.54	0.298	1.0	1.961	1.675	0.646	0.783	0.892	1.0375	0.9	0.9385	0.637	2.9265	2.1185	2.5575	3.008	3.103	0.4455	1.04	-0.019	1.339	1.2175	0.25	0.051	0.918	0.262	1.395	0.055	0.839	0.891	0.753	0.853	1.065	1.087	-0.107	0.162	3.102	NaN	2.495	1.201	1.268	1.282	1.103	1.148	1.26	0.199	0.5	2.993	2.529	3.148	3.19	2.334	2.039	2.319	-0.401	-0.358	-0.261	0.373
