	"106.heat shock 05 min"	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"877.FY3 pRZ-MSN2 - Msn2 overexpression"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1009.YPD 2 h (25C)"	"1010.YPD 4 h (25C)"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"4048.0.8M NaCl +FK506 - 30 min"	"4782.DBYtrr1 vs. wild type DBY7286"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8291.wt+pRS315 vs. wt+pRS-MCM7"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11466.yO1 test hyb"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"12744.heat shock 17 to 37, 20 minutes"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"14761.Ca 30min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"15638.Ca+FK 60min (2)"	"30463.Pomona/Brown pol2-12 red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34349.wt_hypo_osmotic_shock_16min"	"34350.wt_hypo_osmotic_shock_30min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"38146.03II01 batch p2"
"YDR503C"	0.288	1.184	1.216	0.887	0.694	0.267	0.941	1.06	0.729	0.43	0.714	0.68	1.069	1.001	0.582	0.561	0.72	0.525	0.601	0.515	0.615	0.246	-0.166	-0.501	-0.28	-0.444	0.018	0.18	-0.271	-0.26	-0.242	-0.432	-0.219	0.336	0.129	-0.134	0.229	0.56	-0.35	-0.208	0.464	-0.498	1.362	0.924	1.316	1.05	1.031	1.405	0.637	-0.285	-0.384	0.0625	0.7275	-0.1375	0.489	0.023	0.116	-0.654	-0.0715	0.3705	0.135	-0.535
"YDR516C"	2.98	3.937	3.855	3.535	3.356	2.306	2.828	3.245	3.346	1.654	3.133	2.206	1.431	0.634	0.219	-1.172	3.637	2.518	2.501	2.064	1.394	2.125	3.453	-1.502	3.26	2.181	0.657	0.943	2.637	0.427	3.165	-0.265	2.806	3.179	2.703	2.812	3.332	2.937	-0.596	0.2	1.153	-2.274	2.996	3.356	2.428	1.127	3.274	2.767	1.279	0.517	0.448	3.694	2.42	1.293	4.37	3.235	2.456	3.112	0.739	1.029	0.379	-1.235
"YDR533C"	0.853	2.399	2.65	2.999	2.639	2.12	3.253	4.202	4.401	1.206	4.507	4.932	5.209	5.204	4.905	4.046	4.381	3.146	3.494	3.261	3.526	1.027	1.003	0.253	1.81	1.341	0.351	0.59	1.877	0.871	2.382	1.689	1.405	2.384	2.516	1.553	2.466	2.728	-0.165	-0.354	2.431	-2.15	4.974	1.679	2.487	2.184	1.677	2.156	2.438	2.185	0.183	4.316	5.198	3.731	5.494	5.09	4.03	4.269	0.654	0.247	0.401	0.096
"YEL060C"	1.984	2.738	3.374	3.406	3.278	2.045	2.649	2.808	2.721	1.221	2.321	2.546	2.871	2.435	2.377	1.525	2.37	1.831	0.992	2.362	1.387	2.506	1.9	0.814	2.119	1.951	0.069	0.056	1.227	0.759	1.24	0.234	2.475	2.724	2.549	1.019	1.17	1.568	0.081	0.427	1.6195	-0.99	2.462	0.8745	1.064	1.0435	0.4995	1.1535	1.6265	-0.207	0.141	1.547	1.394	1.0395	1.95	1.135	1.3545	1.4905	0.6265	0.1335	0.459	0.25
"YER150W"	4.472	2.798	5.585	4.539	4.101	3.073	4.447	4.749	4.983	1.714	2.785	3.382	3.467	3.112	3.521	1.709	6.012	5.312	5.241	4.681	5.023	2.376	4.953	1.829	4.743	4.495	-0.023	-0.034	3.369	1.877	4.737	1.227	4.325	4.609	4.764	3.727	4.306	4.749	0.618	0.501	4.503	-1.235	6.349	4.821	4.693	4.102	4.9625	5.0445	4.002	1.4345	0.5365	7.981	7.796	6.325	6.994	6.618	5.594	4.621	2.394	1.731	3.122	-0.542
"YFL014W"	4.928	6.328	6.892	6.889	6.782	7.281	7.608	7.123	7.628	1.278	6.369	6.116	6.623	6.54	6.062	4.285	5.794	5.399	4.088	6.044	5.422	3.779	4.109	2.072	5.246	5.355	-0.382	-0.018	0.834	1.382	6.886	3.132	5.993	6.04	6.382	5.404	5.855	5.705	-0.439	0.419	2.253	-0.8535	7.174	3.072	3.1955	3.865	2.992	3.6535	3.155	3.4815	0.104	6.926	7.714	5.793	6.221	6.006	5.717	5.628	2.173	1.743	1.335	-0.194
"YFR003C"	0.353	1.432	1.212	1.127	1.197	0.368	1.29	1.179	1.19	0.479	1.418	1.401	1.395	1.19	0.819	0.448	1.024	0.038	-0.53	0.201	0.536	0.942	1.136	-0.313	0.946	0.77	-0.098	-0.442	0.723	0.206	1.016	-0.069	0.474	1.314	1.328	0.597	1.074	1.265	-0.278	-0.3	0.001	-1.0465	1.154	0.68	1.227	0.641	0.452	0.904	0.7195	-0.1905	-0.191	0.345	0.233	1.337	1.601	0.611	0.189	0.711	0.242	-0.273	0.205	0.994
"YFR045W"	1.062	0.987	1.126	0.964	0.816	0.678	0.798	0.999	1.051	0.594	1.003	0.947	1.036	0.581	0.272	0.074	2.838	1.813	1.673	1.268	1.405	0.866	1.122	-0.865	1.15	1.069	0.108	0.277	-1.021	-0.62	1.372	0.53	1.153	1.463	1.436	0.918	1.022	1.032	-0.101	0.139	0.218	-0.988	0.908	0.76	0.783	0.564	0.743	0.648	1.095	-0.058	-0.041	0.675	0.757	1.521	2.01	1.328	0.941	0.99	0.063	-0.145	0.313	-0.53
"YGL059W"	1.178	1.805	1.788	NaN	1.445	0.522	1.102	1.542	1.208	0.698	0.423	0.394	0.463	0.029	0.023	0.278	2.865	1.764	2.105	1.669	2.225	1.401	1.385	0.269	1.076	1.389	0.073	-0.1	0.606	-0.509	1.265	0.098	1.06	1.304	1.309	0.839	1.204	1.468	0.172	-0.366	1.419	-1.525	2.049	1.606	1.871	1.783	1.29	2.215	1.49	-0.345	0.091	0.781	2.835	1.613	3.253	2.271	2.163	2.351	-0.035	-0.215	-0.002	-0.612
"YGL205W"	1.881	0.356	0.398	1.004	0.184	-0.109	0.276	0.849	0.474	0.247	-0.187	0.246	0.132	-0.242	-0.336	-0.374	1.031	1.504	3.723	3.208	2.819	0.465	1.069	-0.388	1.511	1.495	-0.309	-0.761	-0.299	-0.251	1.086	0.005	-0.024	0.219	0.208	0.124	0.662	0.954	0.202	-0.515	1.771	-2.349	0.955	-0.506	-0.376	-0.531	-0.561	-0.333	-0.736	-0.507	0.001	1.273	2.335	1.6	2.14	2.86	2.192	2.064	-1.095	-0.317	-0.272	-1.156
