	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1106.DY zap1 3 mM vs. 76 nM zinc"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"6364.DES459 (mec1-) + 0.02% MMS - 15 min"	"6439.DES459 (mec1-) + 0.02% MMS - 30 min"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"
"YBL024W"	0.806	-2.175	-4.671	-4.879	-2.238	-2.114	-2.409	-2.147	-2.6055	-3.4875	-3.5465	-3.993	0.1165	0.836	0.186	-0.274	0.151	0.135	0.045	-0.1405	-1.842
"YBL077W"	0.875	-2.021	-3.136	-5.081	-2.285	-2.607	-2.667	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.7015	1.2945	0.168	-0.2525	0.1505	0.2	-0.056	0.0055	-0.424
"YBR025C"	0.898	-1.226	-1.66	-5.106	-1.648	-1.624	-1.697	-0.5885	-0.66	-2.141	-2.9345	-3.783	0.3245	1.2745	0.213	0.1905	0.3455	0.2495	0.2245	0.179	-1.907
"YBR118W"	0.675	-1.283	-2.846	-5.272	-1.781	-2.128	-1.73	-1.4355	-1.294	-1.7525	-2.167	-3.221	-0.882	-0.4135	0.35	0.2305	0.0845	-0.0155	-0.0455	-0.104	-1.104
"YBR121C"	1.631	-2.186	-4.037	-5.791	-1.95	-2.366	-2.465	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.598	1.461	0.0485	-0.2545	-0.616	-0.142	-0.197	-0.3095	-1.588
"YBR142W"	0.327	-1.8	-2.133	-4.241	-1.12	-0.958	-1.016	-2.0035	-2.148	-2.2985	-2.5785	-2.8165	0.047	0.8315	0.238	0.1275	0.1295	0.2395	0.1595	-0.009	-1.027
"YBR143C"	0.781	-1.932	-3.195	-4.642	-2.231	-2.012	-2.112	-2.126	-2.659	-2.698	-2.699	-3.572	0.2155	0.784	0.142	-0.194	0.1095	0.1935	0.015	0.0875	-1.473
"YBR154C"	0.766	-1.387	-3.531	-4.423	-1.317	-1.73	-1.85	-1.5735	-2.257	-2.6225	-3.012	-3.8995	0.631	1.1225	0.551	0.0145	0.4365	0.3965	0.341	0.2415	-1.45
"YBR229C"	-0.112	1.022	-1.255	-2.906	-0.078	-0.715	-1.081	0.375	0.8215	-0.645	-0.806	-1.728	-0.324	-0.369	-0.0725	-0.153	0.024	0.157	0.1	-0.12	-1.657
"YCR034W"	1.683	-1.912	-3.204	-4.331	-2.639	-1.895	-2.489	-2.3695	-2.676	-3.0135	-3.2845	-3.3025	-0.267	0.3615	0.2215	0.181	-0.0705	-0.224	0.0345	0.2095	-1.819
"YDL185W"	0.816	-0.915	-2.522	-4.417	-0.619	-1.308	-2.012	-0.395	-0.701	-1.557	-2.084	-3.0	0.739	0.997	-0.164	-0.06	-0.201	-0.261	-0.214	-0.12	-0.9305
"YDR023W"	1.318	-2.164	-2.907	-5.745	-1.116	-1.813	-1.696	-1.553	-2.313	-3.056	-3.357	-3.85	0.985	1.69	0.318	-0.085	0.054	0.175	0.128	-0.031	-1.086
"YDR037W"	1.015	-3.858	-4.551	-5.224	-2.505	-2.756	-2.42	-2.681	-2.313	-2.916	-3.368	-3.772	0.378	1.204	0.237	-0.101	0.112	0.213	-0.141	-0.318	-1.269
"YDR233C"	0.9	-0.513	-2.587	-3.48	-1.246	-1.566	-1.509	-0.467	-0.606	-2.047	-2.27	-2.451	0.398	0.614	-0.129	-0.159	-0.204	-0.201	0.035	0.055	-2.446
"YDR341C"	1.444	-1.574	-3.212	-5.262	-2.171	-2.134	-2.218	-1.942	-2.263	-3.262	-3.294	-3.559	0.868	1.763	0.215	-0.102	0.005	0.144	0.024	0.144	-0.49
"YDR361C"	-0.006	-1.536	-1.945	-3.634	-1.799	-1.299	-1.313	-1.087	-1.208	-1.477	-2.005	-1.44	0.079	0.427	0.602	-0.056	0.647	0.53	0.612	0.506	-0.879
"YDR365C"	0.424	-1.232	-2.477	-4.269	-1.027	-1.205	-1.53	-1.457	-2.29	-2.877	-3.039	-3.298	0.092	0.893	0.318	-0.353	0.362	0.637	0.513	0.431	-0.777
"YDR385W"	1.278	-1.783	-3.158	-5.463	-2.3	-1.065	-2.811	-1.431	-1.529	-1.848	-2.214	-3.65	0.799	1.381	-0.263	-0.221	-0.421	-0.341	-0.107	-0.086	-2.449
"YEL042W"	1.315	-1.264	-3.201	-4.334	-1.439	-1.329	-1.924	-1.705	-1.658	-1.896	-2.665	-3.071	0.74	1.337	-0.611	-0.478	-0.705	-0.908	-0.564	-0.486	-1.375
"YER009W"	0.872	-1.398	-2.671	-4.765	-1.222	-2.143	-1.906	-1.407	-1.465	-2.034	-2.393	-2.025	0.69	1.053	-0.014	-0.466	-0.17	-0.2	-0.065	0.027	-0.783
"YER025W"	0.974	-1.256	-2.274	-4.542	-1.76	-1.79	-1.489	-1.739	-2.023	-1.728	-2.125	-2.385	0.769	1.327	0.183	-0.238	0.312	0.224	0.087	0.153	-1.108
"YER043C"	1.283	-2.767	-4.78	-6.476	-1.977	-3.096	-3.18	-3.174	-3.716	-3.31	-4.857	-4.918	1.257	1.395	-0.252	-0.548	-0.709	-0.87	-0.786	-0.875	-0.788
"YER056C"	-0.541	-1.107	-2.346	-3.168	-0.932	-0.62	-0.802	-0.962	-1.162	-1.712	-1.735	-2.211	0.176	-0.644	0.161	-0.093	-0.051	-0.068	0.17	0.015	-1.474
"YER105C"	0.126	-0.305	-1.921	-3.477	0.126	-0.29	-0.804	-0.965	-0.805	-1.462	-2.363	-2.555	-0.072	0.392	-0.275	-0.121	-0.232	-0.003	-0.138	-0.261	-0.3325
