	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"
"YAL007C"	-0.358	-3.056	-3.632
"YAL036C"	0.597	-2.145	-3.743
"YAL041W"	0.489	-1.239	-2.524
"YBL027W"	1.77	-2.671	-5.577
"YBL028C"	0.962	-2.828	-4.867
"YBL072C"	2.378	-3.192	-6.241
"YBL092W"	1.356	-2.896	-5.158
"YBR009C"	1.624	-2.257	-3.789
"YBR010W"	0.732	-1.444	-4.119
"YBR011C"	1.264	-4.081	-5.344
"YBR028C"	0.581	-2.27	-3.596
"YBR084W"	1.122	-4.365	-5.362
"YBR118W"	0.675	-2.846	-5.272
"YBR133C"	1.386	-0.844	-2.447
"YBR143C"	0.781	-3.195	-4.642
"YBR236C"	0.284	-1.161	-2.682
"YBR249C"	1.745	-3.39	-6.025
"YCL007C"	0.122	-1.325	-2.831
"YCR003W"	0.244	-1.833	-2.705
"YCR012W"	0.148	-2.988	-3.015
"YCR013C"	-0.51	-3.099	-5.566
"YCR053W"	1.305	-3.556	-4.283
"YCR067C"	0.492	-1.1425	-2.0615
"YDL043C"	0.316	-1.306	-3.636
"YDL055C"	-0.34	-3.734	-4.252
"YDL082W"	1.97	-3.326	-5.816
"YDL111C"	0.535	-4.07	-4.505
"YDL127W"	-0.49	-1.661	-2.211
"YDL191W"	1.943	-2.737	-5.192
"YDL236W"	-0.194	-2.833	-3.958
"YDR021W"	-0.119	-1.374	-4.621
"YDR091C"	0.772	-3.384	-4.4
"YDR103W"	0.247	-1.211	-2.78
"YDR301W"	0.296	-2.097	-2.537
"YDR528W"	-0.525	-1.574	-2.873
"YER006W"	0.405	-2.345	-4.571
"YER009W"	0.872	-2.671	-4.765
"YER052C"	0.962	-3.288	-5.276
"YER056C"	-0.541	-2.346	-3.168
"YER102W"	2.757	-3.64	-6.434
"YER118C"	0.492	-2.598	-3.457
"YER126C"	0.096	-2.608	-5.367
"YER127W"	0.013	-2.611	-4.439
"YER131W"	2.084	-3.664	-6.55
"YER134C"	0.42	-0.657	-1.9755
"YFL008W"	0.758	-1.807	-2.884
"YFL037W"	1.871	-3.125	-5.562
"YFR031C"	-0.711	-2.428	-2.572
"YGL020C"	0.296	-2.94	-3.361
"YGL028C"	0.198	-2.459	-3.581
"YGL099W"	0.954	-2.895	-5.764
"YGL101W"	0.578	-3.648	-4.268
"YGL102C"	1.605	-2.658	-5.65
"YGL115W"	0.603	-1.41	-3.416
"YGL116W"	0.771	-1.418	-1.754
"YGL245W"	1.549	-4.799	-6.655
"YGR027C"	1.564	-2.797	-5.39
"YGR118W"	1.94	-2.204	-5.471
"YGR128C"	0.999	-2.66	-4.271
"YGR189C"	0.439	-2.638	-4.894
"YGR192C"	0.382	-1.406	-4.686
"YGR252W"	0.329	-1.036	-5.85
"YHL033C"	2.169	-3.984	-6.65
"YHR003C"	0.062	-1.381	-2.627
"YHR043C"	-0.792	-1.983	-3.778
"YHR047C"	0.898	-3.032	-4.423
"YHR065C"	0.649	-3.857	-4.644
"YHR073W"	0.462	-1.889	-2.844
"YHR088W"	0.348	-2.052	-3.112
"YHR127W"	1.052	-1.518	-2.837
"YHR215W"	-0.222	-3.555	-4.916
"YIL016W"	0.356	-3.214	-4.374
"YIL021W"	0.597	-1.965	-3.289
"YIL039W"	0.041	-3.668	-4.517
"YIL096C"	0.003	-1.96	-3.119
"YIL148W"	1.138	-1.931	-3.41
"YJL002C"	1.03	-2.469	-4.487
"YJL069C"	0.959	-3.072	-6.298
"YJL097W"	0.761	-2.596	-4.683
"YJL111W"	0.863	-3.38	-6.57
"YJL125C"	1.0	-2.343	-4.009
"YJL177W"	2.613	-3.255	-5.49
"YJL179W"	0.448	-2.457	-4.843
"YJL192C"	0.81	-3.649	-4.214
"YJL208C"	0.867	-2.879	-3.324
"YJR006W"	0.416	-1.626	-3.835
"YJR009C"	0.047	-1.818	-4.161
"YJR024C"	-0.356	-1.994	-4.204
"YJR069C"	0.359	-3.527	-4.151
"YKL039W"	0.313	-1.343	-3.173
"YKL092C"	0.1715	-1.204	-2.057
"YKL135C"	0.12	-1.794	-3.285
"YKL210W"	0.294	-2.409	-4.432
"YKR023W"	-0.07	-1.089	-2.31
"YKR094C"	1.626	-2.464	-4.383
"YLL012W"	-0.144	-1.183	-2.475
"YLL044W"	2.306	-3.79	-6.48
"YLL045C"	2.311	-3.857	-6.618
"YLR008C"	0.613	-2.048	-2.631
"YLR026C"	0.55	-1.415	-2.357
"YLR029C"	2.166	-3.615	-6.877
"YLR100W"	0.321	-2.507	-4.853
"YLR101C"	-0.231	-2.239	-3.161
"YLR200W"	-0.459	-2.046	-5.209
"YLR210W"	0.33	-1.644	-4.137
"YLR272C"	0.387	-2.076	-2.418
"YLR276C"	0.348	-3.174	-5.399
"YLR291C"	0.754	-3.037	-4.762
"YLR293C"	1.003	-3.488	-6.281
"YLR321C"	0.59	-1.495	-3.485
"YLR404W"	-0.08	-1.556	-1.959
"YLR412W"	0.338	-1.827	-4.156
"YLR435W"	1.15	-2.8	-3.819
"YLR448W"	2.319	-3.552	-5.971
"YML011C"	-0.18	-1.252	-2.271
"YML056C"	0.644	-2.698	-5.251
"YMR026C"	-0.326	-1.953	-5.331
"YMR099C"	0.034	-1.645	-5.036
"YMR163C"	-0.024	-1.126	-2.462
"YMR202W"	1.539	-4.391	-5.431
