	"813.MHY1 (dun1) + heat 20 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1258.DBYyap1 + 37degree heat (repeat)"
"YAL007C"	-0.1095	-3.056	-3.632	-1.4535	-1.9095	-1.496	-1.8635	-1.6745	-0.3095
"YAL035W"	-1.04533333333333	-2.5615	-3.6215	-2.06233333333333	-2.29966666666667	-2.08033333333333	-1.92533333333333	-2.48066666666667	0.0763333333333333
"YBL072C"	-2.178	-3.192	-6.241	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	-1.7095
"YBL077W"	-1.636	-3.136	-5.081	-2.0335	-2.345	-2.816	-3.3595	-3.1945	-0.479
"YBR011C"	-0.0355	-4.081	-5.344	-0.649	-1.271	-2.3835	-3.0585	-3.4585	-0.5235
"YBR106W"	-0.472	-3.354	-5.052	-2.0935	-2.137	-2.3225	-3.147	-3.2985	-0.3865
"YBR143C"	-1.229	-3.195	-4.642	-2.126	-2.659	-2.698	-2.699	-3.572	-0.4275
"YBR171W"	-0.076	-2.189	-3.399	-0.857	-1.0045	-1.2865	-1.677	-1.5245	0.024
"YBR288C"	-0.55	-2.229	-3.524	-0.9095	-1.1005	-1.2605	-1.978	-1.688	-0.167
"YCR044C"	-0.4535	-1.836	-2.699	-0.846	-0.887	-1.0725	-1.5355	-1.758	-0.168
"YCR053W"	-0.963	-3.556	-4.283	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.277
"YCR055C"	-0.77	-3.878	-6.433	-1.403	-1.6	-2.2405	-3.105	-2.4225	0.139
"YCR057C"	-0.692	-3.423	-5.109	-1.7665	-1.5195	-1.962	-2.812	-2.1505	0.168
"YDL082W"	-2.087	-3.326	-5.816	-2.383	-2.182	-2.186	-3.001	-3.589	-1.523
"YDL163W"	0.026	-1.257	-1.675	-0.381	-0.832	-0.796	-1.157	-1.107	-0.29
"YDR165W"	-1.335	-3.111	-5.309	-1.396	-1.582	-1.767	-2.409	-2.23	-0.27
"YDR312W"	-1.303	-2.612	-3.564	-1.492	-1.373	-2.214	-2.451	-2.68	0.447
"YDR418W"	-1.894	-3.074	-5.866	-2.792	-2.82	-2.866	-3.091	-4.066	-1.417
"YDR447C"	-2.275	-3.659	-5.332	-2.432	-2.817	-2.53	-2.625	-3.552	-1.87
"YDR451C"	-0.508	-1.683	-2.638	-0.817	-1.105	-0.963	-1.513	-1.205	-0.248
"YEL042W"	-0.782	-3.201	-4.334	-1.705	-1.658	-1.896	-2.665	-3.071	-0.744
"YER0561C"	-1.823	-2.974	-4.828	-2.275	-2.538	-2.398	-2.784	-3.617	-1.491
"YER086W"	-1.06	-3.61	-5.173	-1.847	-1.837	-2.624	-2.882	-3.77	-1.082
"YER102W"	-2.09	-3.64	-6.434	-2.613	-2.593	-2.579	-3.326	-3.859	-1.698
"YGL076C"	-1.633	-3.976	-5.667	-2.568	-2.648	-2.836	-2.79	-3.782	-1.617
"YGL099W"	-0.817	-2.895	-5.764	-1.805	-1.984	-2.516	-3.273	-3.42	-0.054
"YGL245W"	-1.348	-4.799	-6.655	-1.589	-2.121	-3.552	-4.345	-4.779	-0.679
"YGR037C"	0.251	-3.63	-4.976	-1.612	-1.441	-1.964	-2.717	-2.416	-0.488
"YGR171C"	-0.362	-1.266	-1.682	0.115	0.022	-0.812	-0.987	-0.99	-0.093
"YGR185C"	-1.289	-5.306	-6.361	-2.531	-2.944	-4.576	-4.871	-5.006	-0.37
"YGR228W"	-0.896	-3.591	-3.357	-1.636	-2.0	-1.052	-2.915	-2.078	0.25
"YGR285C"	-1.664	-4.078	-6.1	-2.557	-2.811	-3.452	-4.07	-4.065	-0.812
"YHL033C"	-2.082	-3.984	-6.65	-2.808	-2.523	-2.601	-2.923	-4.209	-1.631
"YHL034C"	-0.371	-1.801	-3.26	-0.827	-1.108	-1.2	-1.905	-1.822	0.184
"YHR047C"	-0.68	-3.032	-4.423	-1.632	-1.63	-1.978	-3.102	-3.056	-0.093
"YHR066W"	-1.468	-3.164	-5.203	-1.41	-1.569	-1.879	-2.539	-1.923	0.378
"YHR068W"	-0.95	-4.28	-6.532	-1.927	-2.429	-2.724	-3.669	-3.425	-0.78
"YHR121W"	-0.215	-1.976	-4.718	-0.644	-0.886	-1.573	-1.881	-1.852	-0.063
"YHR133C"	-0.579	-1.885	-3.501	-1.703	-1.806	-1.64	-1.82	-2.45	-0.655
"YHR203C"	-1.621	-3.782	-5.944	-2.437	-2.591	-2.575	-3.081	-3.941	-1.59
"YIL018W"	-2.493	-3.492	-5.749	-2.218	-2.606	-2.661	-3.27	-3.914	-1.884
"YIL128W"	-0.449	-2.602	-4.056	-0.572	-0.961	-1.552	-2.023	-1.64	0.454
"YIL138C"	-0.008	-2.433	-3.747	-1.136	-1.149	-1.524	-2.298	-1.906	0.143
"YJL002C"	-0.573	-2.469	-4.487	-0.942	-1.17	-1.748	-2.556	-2.618	-0.466
"YJL073W"	0.8315	-1.884	-3.2645	-0.8755	-0.5735	-1.2855	-1.7505	-1.523	0.7025
"YJL138C"	-1.457	-3.125	-5.625	-1.763	-2.049	-2.542	-2.785	-3.522	-1.172
"YJL145W"	-1.178	-2.136	-3.628	-1.678	-1.482	-2.303	-2.334	-2.853	-0.812
"YJL157C"	-0.742	-3.548	-7.731	-1.008	-2.535	-3.198	-3.396	-3.219	-0.536
"YJL183W"	-0.397	-2.097	-4.986	-1.436	-1.333	-1.66	-2.208	-2.121	-0.372
"YJR069C"	-0.645	-3.527	-4.151	-1.358	-1.09	-1.656	-1.806	-1.42	-0.753
"YKL068W"	-0.472	-1.98	-3.325	-0.788	-0.482	-1.121	-1.563	-1.621	0.366
"YKL212W"	-0.537	-3.014	-4.806	-1.656	-1.598	-2.516	-2.929	-3.374	0.096
"YKR026C"	-0.239	-2.863	-3.755	-1.369	-1.003	-1.858	-2.363	-2.231	0.004
"YLL044W"	-2.271	-3.79	-6.48	-2.654	-2.736	-2.724	-3.494	-3.967	-1.795
"YLR061W"	-1.3	-4.939	-6.591	-2.433	-2.88	-3.309	-3.833	-3.91	-1.569
"YLR100W"	0.104	-2.507	-4.853	-1.184	-1.09	-1.855	-2.159	-2.128	-0.592
"YLR209C"	-0.266	-2.896	-3.171	-0.605	-0.964	-1.123	-1.447	-1.271	-0.412
"YLR291C"	-0.802	-3.037	-4.762	-1.186	-1.283	-1.783	-2.216	-2.363	-0.1
"YLR292C"	0.187	-1.605	-3.717	-1.241	-0.63	-1.388	-1.751	-1.71	0.099
"YLR321C"	-0.371	-1.495	-3.485	-0.453	-0.702	-1.296	-1.553	-1.552	0.013
"YLR335W"	-0.585	-1.306	-3.177	-1.429	-1.323	-1.448	-1.681	-2.238	0.408
"YLR340W"	-1.728	-4.11	-6.819	-2.703	-2.701	-2.702	-3.206	-4.105	-2.125
"YLR448W"	-1.88	-3.552	-5.971	-2.521	-2.621	-2.668	-3.192	-4.132	-1.19
"YML008C"	-1.819	-4.23	-4.829	-2.014	-3.366	-3.358	-5.162	-3.504	-0.713
"YML022W"	-1.119	-3.146	-3.98	-2.266	-2.26	-2.846	-3.092	-3.144	-0.823
"YML073C"	-2.111	-3.862	-6.033	-2.561	-2.549	-2.401	-2.624	-3.718	-1.513
"YMR235C"	-0.555	-3.534	-5.187	-2.046	-2.046	-2.838	-3.21	-3.756	-0.512
"YMR289W"	-0.034	-1.469	-2.452	-0.254	-0.255	-0.772	-1.125	-0.922	0.265
"YMR321C"	-1.418	-3.288	-3.811	-1.913	-2.8	-2.409	-2.567	-2.424	-1.08
"YNL002C"	-1.824	-2.73	-3.468	-1.856	-2.186	-2.277	-2.592	-2.588	-0.377
"YNL132W"	-1.292	-4.956	-6.392	-2.799	-2.936	-3.396	-4.377	-4.049	-0.149
"YOL070C"	-0.673	-1.284	-2.0685	-0.733	-0.69	-0.88	-1.326	-1.318	0.151
"YOR254C"	-0.171	-2.192	-6.426	-1.904	-1.86	-2.354	-2.689	-2.309	-0.048
"YOR260W"	-0.287	-2.507	-4.639	-1.513	-1.624	-2.257	-2.577	-3.081	0.435
"YPL079W"	-2.168	-3.892	-6.4765	-2.741	-3.087	-3.015	-3.498	-4.547	-1.537
"YPL090C"	-2.737	-4.364	-6.197	-2.833	-2.954	-3.292	-3.309	-4.719	-1.851
"YPL160W"	-1.6245	-3.08233333333333	-5.284	-2.449	-2.824	-3.1695	-3.499	-2.977	-0.203
"YPL235W"	-0.701	-0.762333333333333	-3.62066666666667	-1.0275	-1.3	-1.5825	-1.8145	-2.0025	0.276
"YPL243W"	-0.704	-4.1455	-5.276	-1.377	-1.873	-2.602	-3.541	-3.544	0.062
"YPR033C"	-1.113	-4.8805	-7.94	-2.096	-2.55	-3.951	-4.382	-4.54	-0.384
"YPR060C"	-0.622	-2.069	-3.801	-1.98	-2.627	-2.107	-3.352	-2.894	-0.001
"YPR102C"	-1.866	-4.045	-6.451	-2.723	-3.232	-3.352	-3.749	-4.692	-1.183
"YPR118W"	-0.791	-3.9965	-5.524	-2.594	-2.077	-2.882	-3.334	-3.538	-1.141
"YPR144C"	-1.056	-3.129	-4.2065	-1.4	-1.22	-1.687	-2.51	-2.411	0.126
