	"584.17 deg growth"	"861.YPD_5_d_30C"	"1107.alpha factor release sample025"	"2144.heat shock 37 to 37, 30 minutes"	"6344.DES460 + 0.02% MMS - 5 min"	"6826.Sporulation t2hrs"	"6834.Sporulation t5hrs"	"6836.Sporulation t7hrs"	"6839.Sporulation t9hrs"	"6841.Sporulation t11hrs"	"6854.Early Sporulation ndt80 delete"	"6856.Sporulation t30min"	"6859.Mid-Sporulation ndt80 delete"	"7764.Na+FK 45min"	"8197.steady state 25 dec C"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11826.Pomona College Bio164: WT/dna2-2 mRNA"	"12182.Swarthmore College: sid2 37Cplus wt 37C"	"13059.wt/crz1 Na 45min (1)"	"13060.wt/crz1 Na 45min (2)"	"13063.wt/crz1 Ca 30min (1)"	"13064.wt/crz1 Ca 30min (2)"	"14731.Mount Saint Mary's College, MD: hst3 hst4  v. wt"	"37285.CC SP 3B  Sulfate-Phosphate Chemostat Comparison"	"38146.03II01 batch p2"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"42049.L1CompR 13 hr 10 min Leucine Batch vs Chemostat Comparison"	"42051.L1CompR 18 hr 10 min Leucine Batch vs Chemostat Comparison"	"42198.L2 Comp 12 hr 03 min Leucine Batch vs Chemostat Comparison"
"YBR177C"	-0.5625	-1.571	-0.461	0.475	0.17	-1.333	-2.897	-3.307	-3.066	-2.281	-2.74	-1.802	-5.49	0.778	-0.093	0.075	-3.611	-1.49	-0.343	0.436	0.285	0.289	-0.573	0.49	0.456	1.214	1.147	-0.649	-1.113	-0.472
"YBR302C"	-0.808	-2.817	0.677	0.249	0.334	3.304	5.133	4.495	3.595	3.799	3.758	2.288	4.639	0.402	0.387	-0.02	-0.82	-1.424	-0.201	-0.153	-0.947	-0.985	-2.199	-0.155	-0.406	0.418	0.481	-2.381	-1.869	-0.847
"YDL116W"	-0.759	-1.111	-0.049	0.317	-0.061	-2.395	-2.51	-2.782	-1.991	-0.94	-3.54	-1.842	-3.773	0.549	-0.22	0.312	-1.34	-1.1395	-0.0265	-0.155	-0.14	0.0205	-1.7565	-0.032	-0.719	-0.1	-0.2315	-0.723	-0.479	-0.189
"YDL225W"	-0.548	-3.558	0.06	0.53	0.122	-3.044	-3.383	-2.739	-2.323	-2.866	-2.417	-1.148	-3.452	-0.188	0.011	-0.1525	1.122	-1.085	0.138	0.08	-0.042	-0.09	-1.765	0.252	-0.202	-0.905	-1.489	-1.381	-1.263	-1.488
"YDR095C"	-1.6045	-1.233	0.0075	0.3125	-0.4715	4.129	3.859	4.548	3.508	3.374	5.419	4.58	3.278	-0.1805	-0.4285	-0.2575	-1.5	-1.761	0.0375	-0.032	0.0545	-0.029	-1.6445	0.128	-1.076	1.2385	0.744	0.101	0.875	-1.324
"YDR163W"	-0.298	-1.587	0.085	-0.197	-0.172	2.843	3.765	4.363	3.191	2.787	4.321	1.678	4.222	0.21	-0.19	-0.243	-1.3115	-1.0005	0.0605	0.066	-0.0115	-0.0095	-2.435	0.256	0.781	0.6365	-0.0075	-1.551	-1.843	-1.649
"YDR192C"	-1.074	-1.891	-0.049	-0.003	0.058	-1.832	-2.565	-2.332	-1.636	-1.326	-2.214	-1.785	-2.227	0.641	0.014	-0.156	-1.2175	-0.6575	0.042	-0.222	-0.022	-0.1685	-1.3335	-0.069	-0.334	0.211	0.0885	-1.391	-2.165	0.386
"YDR489W"	-0.862	-2.293	0.098	0.173	-0.148	-2.398	-2.171	-2.532	-2.144	-1.946	-2.543	-2.212	-2.901	-0.198	-0.204	-0.072	-0.614	0.095	0.049	0.026	0.191	0.024	-1.154	-0.267	-0.975	-0.602	-1.068	NaN	NaN	0.509
"YDR531W"	-0.828	-3.125	0.204	-0.272	0.013	1.47	2.133	2.833	2.723	3.454	2.077	0.982	2.624	0.371	0.094	-0.271	-1.2	-0.78	0.134	0.23	0.195	0.213	0.553	0.36	-0.514	0.333	1.575	1.11	0.483	NaN
"YEL004W"	-1.028	-1.749	0.138	0.347	-0.024	-1.912	-2.567	-2.671	-1.789	-0.859	-3.8	-2.339	-4.901	0.052	0.184	-0.392	-0.9905	-0.9385	0.0715	0.246	0.352	0.233	-1.164	0.075	0.515	0.7235	-0.107	-1.341	-0.529	-1.517
