	"29.alpha factor release sample016"	"39.alpha factor release sample027"	"57.Elutriation2:Sample2:Time4.0hrs"	"103.alpha factor release sample026"	"104.alpha factor release sample024"	"115.heat shock 20 min repeat"	"497.Heat Shock 000 minutes"	"650.alpha factor release sample017"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"945.starv_in_H2O_6_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1103.alpha factor release sample028"	"1105.alpha factor release sample023"	"1107.alpha factor release sample025"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"4048.0.8M NaCl +FK506 - 30 min"	"4872.1M sorbitol - 60 min"	"6344.DES460 + 0.02% MMS - 5 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"11466.yO1 test hyb"	"16338.DES460 vs. DES460 YPD log phase control"	"21632..24 mM H2O2- 250 minutes"	"21645..24 mM H2O2- 020 minutes"	"21666..24 mM H2O2- 055 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40955.H2O2_II_77_min"	"40969.MD_II_56_min"	"40970.MD_II_63_min"	"40971.MD_II_77_min"	"40972.MD_II_85_min"	"40973.MD_II_100_min"	"40974.MD_II_120_min"	"40975.MD_II_130_min"	"40976.MD_II_140_min"
"YBL024W"	-0.494333333333333	0.311333333333333	-0.197333333333333	0.021	-0.0895	-2.218	1.0735	-0.245	1.103	1.069	-0.1675	-3.938	-2.484	-2.376	-2.16	-2.175	-2.483	-4.671	-4.879	-2.493	-2.238	-2.409	-3.8255	-2.047	-2.147	-2.6055	-3.4875	-3.5465	-3.993	0.1085	0.116	-0.252333333333333	-0.106	-0.904	0.065	-0.062	-1.226	-1.146	0.126	-2.18	-0.205	-0.968	0.157	-1.795	-2.946	-1.978	-2.148	-1.714	-3.035	-2.505	-2.409	-1.93	-3.046	-2.613	-2.847	-2.266	-2.199	-2.319	-2.617	-0.376
"YBL077W"	0.05	0.104	0.106	0.346	0.153	-1.205	0.6685	0.2625	0.519	0.396	-0.1325	-3.41	-2.161	-1.694	-1.571	-2.021	-1.176	-3.136	-5.081	-2.763	-2.285	-2.667	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.286	0.1025	0.062	0.171	-0.818	0.0635	-0.095	-0.307	-0.405	0.345	-1.547	-0.127	-0.926	-0.433	-0.723	-2.847	-2.93	-2.854	-2.752	-1.252	-0.85	-1.17	-0.395	-1.54	-1.279	-1.99	-1.63	-1.725	-1.036	-1.14	-2.135
"YBR084W"	-0.419	0.345	0.17	0.36	0.129	-3.129	0.407	-0.1205	0.888	0.738	-0.3055	-4.143	-3.145	-3.201	-2.722	-2.908	-4.006	-4.365	-5.362	-2.317	-2.197	-1.534	-2.3585	-1.8955	-1.9025	-2.592	-1.934	-2.75	-2.725	0.426	0.081	0.0255	-0.1895	-1.639	-0.015	-0.166	-0.963	-0.684	0.04	-2.65	-0.489	-0.664	0.405	-1.648	-3.705	-2.757	-4.104	-3.283	-3.082	-3.886	-2.886	-2.356	-4.042	-2.826	-2.843	-2.786	-2.018	-2.601	-2.88	-3.139
"YBR143C"	-0.3975	0.222	-0.179	0.095	-1.098	-1.726	1.0005	-0.0985	0.926	0.849	0.1915	-2.729	-2.378	-2.339	-2.197	-1.932	-2.537	-3.195	-4.642	-2.033	-2.231	-2.112	-3.1475	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	0.4235	0.6035	-0.087	-0.0275	-0.888	0.029	0.012	-0.943	-0.87	0.241	-1.699	0.21	-1.296	0.111	-1.511	-2.722	-2.02	-2.223	-2.453	-1.155	-1.567	-1.627	-0.956	-0.823	-1.297	-1.869	-0.999	-1.779	-1.639	-1.638	-1.243
"YBR181C"	-0.2715	0.252	0.528	0.085	-0.061	-2.16	1.236	-0.329	1.308	1.121	-0.252	-3.762	-3.149	-2.554	-2.265	-1.94	-2.747	-3.798	-4.564	-3.3	-3.365	1.639	-5.0305	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	-0.09	0.0035	0.253	0.086	-1.225	0.2295	0.142	-1.227	-0.601	0.563	-2.337	-0.227	-0.7675	0.535	-1.067	-3.618	-2.718	-2.98	-3.274	-1.8015	-2.357	-2.434	-1.7085	-1.1875	-2.51	-2.286	-2.7065	-2.7005	-2.3955	-2.467	-2.043
"YDL051W"	-0.231	0.238	0.268	0.06	0.228	-2.784	0.273	-0.267	0.817	0.807	-0.086	-3.639	-2.402	-2.024	-1.821	-1.668	-2.07	-2.856	-3.563	-2.198	-1.985	-2.317	-2.973	-2.013	-1.892	-1.804	-1.557	-2.325	-2.819	0.428	0.624	0.05	0.21	-0.731	0.163	-0.038	-0.608	-1.208	0.208	-1.28	-0.106	-0.578	0.644	-1.07	-3.018	-1.884	-3.192	-1.733	-2.38	-2.435	-2.444	-1.511	-2.117	-3.291	-2.247	-2.863	-2.803	-2.27	-2.324	-2.58
"YDR211W"	-0.105	0.107	0.052	0.217	0.082	-1.063	0.628	-0.136	0.538	0.455	-0.288	-2.225	-1.565	-1.024	-1.573	-0.984	-1.38	-1.706	-4.77	-2.051	-1.869	-2.096	-2.022	-1.299	-1.28	-1.43	-2.119	-2.043	-3.034	0.526	0.529	0.109	0.365	-1.02	0.515	0.113	-1.016	-0.4	0.245	-1.1775	0.122	-0.78	-0.0735	-0.96	-1.084	-1.222	-1.631	-1.241	-1.87	-1.8185	-1.65	-1.2315	-1.348	-1.3985	-1.462	-2.338	-2.0095	-1.387	-1.441	-1.6565
"YDR341C"	0.3	0.158	-0.118	0.039	0.073	-1.567	0.688	-0.186	0.703	0.462	-0.222	-3.559	-2.27	-1.485	-1.763	-1.574	-1.681	-3.212	-5.262	-2.587	-2.171	-2.218	-2.942	-1.135	-1.942	-2.263	-3.262	-3.294	-3.559	0.451	0.493	0.152	0.147	-1.112	0.1	0.023	-0.788	-0.574	-0.093	-1.562	0.09	-1.34	0.49	-0.957	-1.936	-2.272	-2.142	-1.941	-1.313	-1.64	-2.047	-1.449	-1.566	-1.986	-3.202	-2.38	-3.139	-1.96	-2.088	-2.352
"YDR385W"	0.223	0.48	0.796	0.389	0.244	-1.709	0.964	-0.051	0.949	0.864	-0.199	-2.252	-1.858	-1.887	-1.775	-1.783	-1.985	-3.158	-5.463	-2.682	-2.3	-2.811	-2.538	-1.038	-1.431	-1.529	-1.848	-2.214	-3.65	0.747	0.581	0.207	0.294	-0.888	-0.147	0.076	-0.317	-0.412	0.34	-1.86	-0.353	-1.81	-0.451	-1.702	-2.699	-3.05	-1.626	-2.518	-1.998	-2.451	-3.1	-1.531	-3.076	-2.561	-3.868	-3.022	-3.422	-2.794	-2.877	-2.375
"YDR447C"	0.047	0.382	-0.077	-0.017	-0.42	-2.299	1.205	NaN	1.022	0.931	-0.116	-4.882	-3.934	-3.531	-3.26	-2.507	-2.465	-3.659	-5.332	-3.574	-3.565	-3.129	-4.249	-2.279	-2.432	-2.817	-2.53	-2.625	-3.552	-0.13	0.135	-0.061	0.036	-1.361	0.176	0.458	-1.266	-0.921	0.375	-2.1165	0.428	-0.5675	0.0795	-1.6315	-3.67	-2.356	-4.358	-3.418	-1.4305	-2.86	-2.8305	-1.946	-1.3285	-0.807	-2.603	-2.652	-2.5185	-2.652	-2.1805	-2.4665
