	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"117.heat shock 60 min"	"297.Kb vs. Ctrl"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"802.Heat Shock 060 minutes"	"812.1M sorbitol - 45 min (* centrifugation problem)"	"817.1M sorbitol - 30 min"	"853.YPD_4_h_30C"	"854.YPD_6_h_30C"	"856.YPD_10_h_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1010.YPD 4 h (25C)"	"1012.YPD 12 h (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1311.diauxic shift timecourse: 11.5 hr"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"7760.Na 45min"	"7761.Na 60min"	"7762.Na+FK 15min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8234.dtt 240 min"	"12744.heat shock 17 to 37, 20 minutes"	"14947.Hydrostatic pressure (C1 vs P1)"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"17676.Na+FK 45min (4)"	"17677.Na+FK 60min (4)"	"32253.DBY8778_heat_shock2_15min"	"33779.delYPL230w_stationary_phase_5hours"	"40951.H2O2_II_49_min"	"40952.H2O2_II_56_min"	"40953.H2O2_II_63_min"	"40954.H2O2_II_70_min"	"40955.H2O2_II_77_min"
"YBL039C"	-4.124	-2.316	-1.083	0.4905	-4.307	-4.486	-3.781	1.272	1.424	1.128	0.303	-0.4855	-1.2635	-0.121	-3.74	-3.457	-3.004	-4.323	-7.004	-3.306	-2.736	-1.123	0.042	-4.7305	-3.4265	-3.9535	-3.7495	-4.251	-3.5775	0.163	-1.366	-3.176	-2.334	0.268	-2.572	-2.654	-1.789	-4.956	-0.027	0.243	-3.5065	-2.6105	-4.509	-3.951	-2.849	-2.843	-2.983	-2.523	-1.445
"YBL072C"	-2.148	-1.686	-0.785	-0.0215	-1.74	-2.905	-3.46	1.4025	1.377	1.296	0.091	-0.1225	-0.837	-0.248	-3.835	-3.036	-3.041	-3.192	-6.241	-2.22	-3.06	-1.031	0.319	-4.1825	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	0.148	-0.282	-1.917	-1.631	0.126	-1.925	-2.018	-2.149	-2.881	0.005	0.223	-1.4725	-0.9195	-1.92	-1.857	-1.46	-2.127	-2.734	-1.774	-1.695
"YBR181C"	-2.16	-1.949	-0.79	-0.003	-2.256	-3.249	-3.825	1.236	1.308	1.121	0.166	-0.252	-0.9905	0.139	-3.762	-2.554	-2.747	-3.798	-4.564	-2.527	-3.3	0.282	0.272	-5.0305	-2.493	-2.7035	-2.654	-2.96	-3.945	0.129	-0.306	-2.255	-1.478	0.185	-1.846	-1.46	-2.184	-3.584	0.456	-0.37	-1.75933333333333	-1.032	-2.931	-2.98	-1.8015	-2.357	-2.434	-2.032	-1.7085
"YDL051W"	-2.784	-2.026	-0.534	-0.086	-2.447	-3.059	-3.066	0.273	0.817	0.807	0.103	-0.086	-0.629	-0.707	-3.639	-2.024	-2.07	-2.856	-3.563	-1.884	-2.198	-0.633	-0.434	-2.973	-1.892	-1.804	-1.557	-2.325	-2.819	0.152	-0.691	-1.945	-1.858	0.1	-1.64	-1.961	-1.339	-3.388	-0.097	0.162	-2.057	-2.057	-2.805	-3.192	-2.38	-2.435	-2.444	-2.047	-1.511
"YDL148C"	-3.284	-1.419	-0.549	0.186	-2.868	-3.476	-2.829	0.984	0.896	0.854	-0.092	-0.406	-0.602	0.074	-3.372	-1.734	-1.631	-2.269	-4.257	-2.115	-2.168	-0.52	-0.318	-4.282	-2.056	-2.139	-2.39	-2.527	-2.281	0.243	-0.707	-2.173	0.314	0.353	-1.032	-1.322	-1.681	-3.488	0.136	-0.031	-2.04	-1.79	-2.998	0.058	-2.66	-2.849	-1.971	-1.869	-1.294
"YDL167C"	-3.3	-0.985	-0.609	-0.124	-1.628	-2.786	-2.868	0.613	0.687	0.748	0.508	-0.622	-0.303	-0.837	-4.321	-2.731	-2.3	-3.033	-4.001	-2.936	-3.298	-0.33	-0.175	-3.084	-1.572	-2.172	-2.176	-2.332	-2.095	-0.074	-0.564	-1.538	-1.102	-0.817	-1.336	-1.199	-1.222	-2.283	-0.02	-0.159	-1.184	-0.686	-2.303	-3.364	-2.526	-1.796	-1.647	-2.202	-0.723
"YDR101C"	-3.404	-1.887	-1.132	-0.041	-3.0	-3.74	-3.659	1.358	1.377	1.43	0.193	-0.271	-0.561	-0.344	-4.306	-3.082	-2.948	-4.145	-4.667	-2.997	-3.385	-0.593	-0.008	-2.52	-1.96	-2.252	-2.862	-3.177	-3.516	0.241	-1.361	-2.352	-1.867	-0.777	-2.477	-2.261	-1.291	-3.253	-0.385	-0.016	-2.526	-2.423	-3.244	-3.048	-2.911	-2.551	-2.764	-2.644	-1.66
"YDR412W"	-2.09	-1.963	-0.808	0.007	-1.984	-2.552	-2.649	1.278	1.045	0.885	0.156	-0.253	-0.426	0.426	-2.38	-1.391	-1.15	-1.49	-3.774	-1.447	-2.216	-0.785	-0.168	-2.732	-1.601	-1.419	-1.56	-1.959	-1.977	0.01	-0.73	-1.139	-0.694	0.514	-0.762	-1.264	-1.275	-2.914	-0.73	-0.314	-1.812	-1.237	-2.5	-2.305	-2.331	-1.948	-1.315	-2.304	-1.639
"YDR413C"	-2.392	-1.602	-0.832	-0.087	-1.803	-2.779	-2.502	1.14	1.079	0.937	0.083	-0.072	-0.432	-0.092	-2.622	-1.802	-1.58	-1.42	-2.057	-1.357	-1.399	-0.869	-0.599	-2.337	-1.311	-1.594	-1.706	-1.349	-1.81	-0.077	-0.749	-1.14	-0.978	0.315	-1.054	-1.243	-1.316	-2.652	-0.411	-0.331	-1.77	-1.885	-2.964	-2.336	-2.095	-2.112	-1.61	-2.009	-1.533
"YDR447C"	-2.299	-1.47	-0.894	-0.11	-2.149	-3.242	-3.562	1.205	1.022	0.931	0.061	-0.116	-0.83	-0.586	-4.882	-3.531	-2.465	-3.659	-5.332	-2.316	-3.574	NaN	-0.089	-4.249	-2.432	-2.817	-2.53	-2.625	-3.552	-0.328	-0.411	-2.33	-1.793	-0.395	-2.456	-2.291	-2.288	-2.593	0.456	0.165	-3.0695	-2.3535	-3.102	-4.358	-1.4305	-2.86	-2.8305	-1.7075	-1.946
"YER117W"	-1.868	-1.677	-0.524	-0.096	-2.379	-2.386	-3.056	1.276	1.391	0.782	0.405	-0.19	-0.665	0.238	-2.982	-2.377	-1.95	-2.832	-5.642	-2.458	-3.05	-0.516	0.484	-3.768	-2.534	-2.571	-2.312	-2.562	-2.976	0.111	-0.328	-1.82	-1.278	0.063	-1.931	-1.863	-1.573	-3.314	-0.079	-0.2045	-1.603	-1.447	-2.377	-3.238	-2.4485	-1.969	-2.2795	-2.252	-2.185
"YER126C"	-2.634	-1.396	-0.645	0.087	-3.488	-4.626	-4.459	0.995	1.185	0.966	-0.096	0.121	-0.324	-0.041	-4.455	-2.384	-2.335	-2.608	-5.367	-2.806	-2.355	-0.301	-0.275	-2.303	-1.206	-1.723	-1.575	-2.584	-2.842	0.328	-0.884	-3.035	-2.036	-0.424	-2.942	-2.828	-1.491	-5.253	-0.45	-0.047	-3.7255	-2.172	-5.806	-3.761	-2.043	-2.284	-3.4505	-1.8395	-2.2375
"YGL120C"	-3.231	-1.542	-0.47	0.423	-3.301	-3.954	-3.877	1.075	1.116	0.987	0.105	-0.132	-0.561	-0.53	-4.557	-2.692	-2.282	-4.088	-5.111	-3.085	-3.171	-0.436	0.013	-3.459	-2.178	-1.783	-2.866	-3.888	-4.137	0.301	-0.839	-1.588	-1.59	0.337	-1.027	-1.427	-1.354	-3.8	-0.465	-0.434	-2.064	-1.296	-3.466	-3.546	-2.25	-2.131	-5.156	-0.866	-1.554
"YGR123C"	-3.2965	-1.9375	-0.695	0.125	-3.0495	-4.1895	-3.748	1.116	0.996	0.986	0.036	-0.361	-0.954	-0.499	-4.447	-2.234	-2.224	-3.794	-4.328	-2.958	-2.878	-0.596	0.278	-2.118	-1.989	-1.536	-1.42	-2.413	-2.243	-0.106	-0.745	-1.73	-1.141	0.229	-1.647	-1.535	-1.589	-4.594	-0.187	0.028	-2.099	-1.394	-2.795	-3.836	-1.7785	-1.7395	-2.0045	-1.422	-0.889
"YGR128C"	-3.042	-1.3415	-0.69	-0.009	-2.4315	-3.197	-2.749	0.453	0.922	0.782	0.066	-0.203	-0.394	-0.715	-3.032	-2.603	-2.665	-2.66	-4.271	-2.83	-2.816	-0.242	-0.399	-3.207	-2.107	-2.236	-2.017	-3.037	-2.679	0.33	-0.605	-2.422	-1.522	-0.361	-1.874	-1.85	-1.173	-2.534	-0.206	-0.1455	-3.083	-1.7225	-2.714	-0.921	-2.6405	-2.081	-2.224	-1.335	-1.589
"YGR214W"	-2.4095	-1.2835	-0.643	-0.485	-2.2525	-3.7315	-4.254	1.051	0.967	0.903	0.294	-0.427	-0.927	-0.092	-4.3	-2.795	-2.776	-3.03	-5.16	-3.099	-3.581	-0.557	0.328	-4.842	-2.119	-1.46	-0.955	-1.925	-3.246	0.371	-0.532	-2.222	-1.645	0.057	-2.061	-1.791	-2.052	-3.3975	0.594	0.287	-2.627	-1.408	-2.003	-3.805	-2.207	-2.933	-2.931	-2.636	-2.238
"YHR010W"	-2.255	-1.9545	-1.009	-0.138	-2.0245	-3.406	-3.8525	1.491	1.068	0.826	-0.079	0.058	-0.428	-0.339	-3.693	-3.149	-3.025	-3.508	-4.514	-2.294	-3.343	-0.856	-0.263	-4.159	-2.244	-2.541	-1.71	-2.032	-2.684	0.535	-0.107	-1.972	-1.452	-0.186	-1.912	-1.667	-2.034	-3.0485	-0.081	-0.321	-1.93	-1.455	-2.868	-3.56	-1.856	-2.995	-2.584	-2.728	-1.455
"YHR170W"	-4.622	-2.4275	-1.2935	0.26	-4.14	-4.723	-3.947	1.401	1.292	0.893	0.478	-0.663	NaN	-0.017	-4.51	-2.071	-2.063	-2.573	-4.858	-2.326	-2.759	-0.802	0.35	-2.314	-2.149	-1.819	-2.036	-2.758	-2.443	0.232	-1.164	-2.244	-2.093	0.109	-1.733	-1.888	-1.391	-5.252	-0.657	-0.28	-1.963	-0.887	-3.576	-3.601	-3.22	-3.476	-3.076	-2.087	-1.465
