	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1018.YPD 13 d (25C)"
"YAL035W"	0.7945	-2.5615	-3.6215	-2.48066666666667
"YAL041W"	0.416	-1.239	-2.524	-1.451
"YBL024W"	1.023	-4.671	-4.879	-3.993
"YBL027W"	0.836	-2.671	-5.577	-3.148
"YBL056W"	0.365	-2.142	-4.006	-1.749
"YBL072C"	1.493	-3.192	-6.241	-4.2
"YBL092W"	0.786	-2.896	-5.158	-2.8475
"YBR011C"	0.693	-4.081	-5.344	-3.4585
"YBR028C"	0.168	-2.27	-3.596	-2.334
"YBR106W"	0.44	-3.354	-5.052	-3.2985
"YBR198C"	0.979	-1.365	-2.628	-1.15
"YBR205W"	1.058	-2.047	-3.842	-2.119
"YBR247C"	0.411	-2.212	-3.969	-2.378
"YBR288C"	-0.001	-2.229	-3.524	-1.688
"YCR034W"	1.206	-3.204	-4.331	-3.3025
"YCR044C"	0.27	-1.836	-2.699	-1.758
"YCR057C"	0.867	-3.423	-5.109	-2.1505
"YCR088W"	0.444	-2.807	-5.435	-1.491
"YCR090C"	-0.271	-2.154	-3.547	-1.325
"YDL081C"	1.472	-2.445	-4.594	-2.377
"YDL191W"	0.331	-2.737	-5.192	-2.86
"YDL195W"	1.754	-2.022	-4.61	-2.391
"YDR002W"	0.429	-2.756	-4.542	-2.987
"YDR025W"	0.848	-3.393	-6.697	-3.518
"YDR091C"	1.468	-3.384	-4.4	-3.423
"YDR165W"	1.323	-3.111	-5.309	-2.23
"YDR279W"	0.614	-2.006	-2.943	-2.117
"YDR312W"	0.692	-2.612	-3.564	-2.68
"YDR382W"	1.087	-2.459	-5.686	-3.471
"YDR385W"	1.93	-3.158	-5.463	-3.65
"YDR418W"	1.447	-3.074	-5.866	-4.066
"YDR447C"	0.463	-3.659	-5.332	-3.552
"YDR496C"	1.294	-3.591	-4.393	-3.3065
"YER009W"	0.48	-2.671	-4.765	-2.025
"YER043C"	2.007	-4.78	-6.476	-4.918
"YER086W"	1.324	-3.61	-5.173	-3.77
"YER102W"	1.305	-3.64	-6.434	-3.859
"YER117W"	0.498	-2.832	-5.642	-2.976
"YER118C"	1.035	-2.598	-3.457	-1.965
"YER127W"	0.739	-2.611	-4.439	-1.946
"YFL039C"	0.702	-2.57	-3.733	-2.764
"YFR001W"	-0.093	-2.138	-3.337	-2.13
"YFR013W"	0.587	-1.774	-3.723	-1.759
"YFR044C"	1.109	-3.87	-5.917	-2.142
"YGL065C"	0.243	-1.909	-2.778	-2.045
"YGL097W"	1.072	-3.311	-5.124	-1.241
"YGL106W"	0.825	-2.528	-4.7	-1.212
"YGL111W"	1.206	-2.589	-2.826	-2.363
"YGL147C"	1.227	-3.921	-7.507	-3.483
"YGL245W"	1.153	-4.799	-6.655	-4.779
"YGR001C"	0.315	-2.12	-3.271	-2.24
"YGR061C"	1.2325	-2.8345	-3.447	-2.528
"YGR071C"	0.5365	-1.074	-2.4385	0.056
"YGR073C"	-0.247	-0.8595	-2.024	-0.737
"YGR083C"	1.228	-1.845	-4.599	-3.226
"YGR118W"	0.657	-2.204	-5.471	-3.141
"YGR148C"	0.521	-3.884	-5.757	-4.092
"YGR173W"	0.685	-2.218	-3.699	-2.168
"YGR175C"	0.704	-3.074	-4.5	-3.285
"YGR185C"	1.504	-5.306	-6.361	-5.006
"YGR195W"	0.704	-2.179	-3.999	-1.911
"YGR199W"	1.196	-1.35	-2.439	-1.731
"YGR254W"	0.436	-3.348	-5.012	-3.4445
"YGR264C"	1.572	-5.206	-4.616	-4.753
"YHL004W"	0.336	-1.354	-4.149	-0.711
"YHL033C"	1.712	-3.984	-6.65	-4.209
"YHR121W"	0.007	-1.976	-4.718	-1.852
"YHR127W"	-1.241	-1.518	-2.837	-1.628
"YHR203C"	1.292	-3.782	-5.944	-3.941
"YIL002C"	0.145	-1.756	-2.557	-1.742
"YIL018W"	1.498	-3.492	-5.749	-3.914
"YIL043C"	0.755	-1.937	-3.696	-1.109
"YIL044C"	0.592	-1.784	-2.248	-1.612
"YIL052C"	0.614	-2.895	-6.278	-3.158
"YIL078W"	1.346	-5.192	-6.059	-4.944
"YJL111W"	1.752	-3.38	-6.57	-2.239
"YJL125C"	1.231	-2.343	-4.009	-1.865
"YJL138C"	1.158	-3.125	-5.625	-3.522
"YJL174W"	0.881	-1.398	-2.868	-1.523
"YJL189W"	-0.357	-2.901	-4.28	-2.837
"YJR007W"	1.36	-3.21	-8.057	-3.616
"YJR024C"	-0.867	-1.994	-4.204	-1.571
"YJR031C"	0.727	-1.269	-2.438	-0.8
"YJR032W"	0.629	-2.635	-3.054	-1.727
"YKL009W"	0.698	-3.082	-6.168	-2.938
"YKL021C"	0.645	-2.503	-3.469	-2.619
"YKL056C"	0.181	-3.426	-5.119	-3.483
"YKL154W"	0.087	-2.701	-3.89	-2.222
"YKL155C"	0.045	-0.992	-2.439	-1.102
"YKR082W"	1.236	-2.473	-2.648	-2.598
"YLL033W"	-0.719	-1.548	-3.233	-1.072
"YLR021W"	-0.402	-1.753	-4.075	-1.424
"YLR029C"	0.87	-3.615	-6.877	-2.987
"YLR050C"	-0.631	-1.602	-2.822	-1.033
"YLR057W"	0.297	-1.719	-4.294	-2.121
"YLR060W"	1.942	-4.941	-5.967	-4.371
"YLR129W"	0.97	-2.877	-4.914	-3.068
"YLR133W"	1.277	-1.718	-1.936	-1.724
"YLR145W"	-0.562	-1.432	-2.672	-1.17
"YLR150W"	0.341	-2.579	-6.397	-2.771
"YLR185W"	0.37	-2.578	-5.928	-3.065
"YLR200W"	-0.603	-2.046	-5.209	-1.155
"YLR222C"	0.944	-3.721	-4.745	-3.119
"YLR268W"	0.826	-2.229	-3.316	-1.039
"YLR277C"	0.728	-1.526	-3.303	-1.345
"YLR291C"	1.183	-3.037	-4.762	-2.363
"YLR293C"	1.141	-3.488	-6.281	-3.186
"YLR314C"	0.017	-2.218	-5.585	-3.937
"YLR333C"	0.457	-3.011	-5.863	-2.848
"YLR353W"	0.171	-2.869	-4.835	-1.564
"YMR079W"	0.929	-2.074	-3.648	-2.855
"YMR208W"	1.157	-2.542	-3.618	-2.354
"YMR217W"	2.016	-4.735	-5.29	-4.469
"YMR229C"	1.1705	-4.4055	-5.288	-3.93
"YMR234W"	0.353	-1.313	-2.626	-1.243
"YMR235C"	0.714	-3.534	-5.187	-3.756
"YMR309C"	2.29	-3.731	-3.516	-3.384
"YNL022C"	0.506	-1.611	-3.745	-2.325
"YNL085W"	1.073	-2.342	-5.369	-3.291
"YNL162W"	0.028	-2.858	-6.425	-3.468
"YOL059W"	-0.021	-2.124	-6.059	0.04
"YOL064C"	0.399	-1.157	-2.52	-1.237
"YOL095C"	0.373	-1.206	-2.059	-1.337
"YOR004W"	0.291	-3.012	-5.273	-2.931
"YOR175C"	1.344	-2.083	-3.7925	-1.64
"YOR197W"	1.156	-1.971	-3.178	-1.64
"YOR205C"	1.136	-1.8905	-3.583	-1.303
"YOR206W"	1.59	-3.681	-6.4785	-3.694
"YOR209C"	0.632	-2.998	-6.004	-2.954
"YOR240W"	0.379	-2.8765	-3.6975	-2.674
"YOR265W"	-0.581	-1.497	-2.129	-1.563
"YOR280C"	-0.652	-1.883	-4.249	-1.95
"YOR306C"	0.488	-1.3125	-3.4875	-1.263
"YOR310C"	1.075	-4.7765	-7.1385	-4.866
"YOR312C"	0.765	-3.3005	-4.8175	-3.224
