	"29.alpha factor release sample016"	"42.alpha factor release sample022"	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"297.Kb vs. Ctrl"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"599.37 deg growth"	"651.alpha factor release sample019"	"685.YP sucrose vs reference pool"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1099.alpha factor release sample030"	"1103.alpha factor release sample028"	"1105.alpha factor release sample023"	"1172.pho80 mutant vs wild type"	"1310.diauxic shift timecourse: 9.5 hr"	"4872.1M sorbitol - 60 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7542.DES459 (mec1) - log phase (MMS time "	"8213.steady state 36 dec C"	"8234.dtt 240 min"	"8247.steady state 36 dec C: y14n095"	"9837.CLB2 induction 40minutes (possible against CLB5 0min)"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"21666..24 mM H2O2- 055 minutes"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"	"42224.U2 Comp 08 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"
"YBR026C"	0.5025	0.533	2.326	2.554	1.708	0.4465	1.669	2.178	2.688	2.577	0.642	-0.7665	-0.2345	2.537	2.286	2.624	2.933	2.684	1.784	-1.474	1.689	1.873	1.707	1.322	2.1345	2.7165	2.379	2.4865	-0.182	-0.02	0.0355	-0.041	-0.316	-0.073	1.25	-1.407	-0.957	0.313	0.432	0.85	0.605	1.093	1.974	2.948	1.623	1.372	1.981	1.786	2.689	2.244	1.827	2.507	2.762	2.84	3.377	3.223	0.414	-0.509
"YBR247C"	-0.5495	0.3	-4.052	-3.103	-1.515	0.237	-1.73	-2.541	-3.015	-3.19	0.056	0.106	0.396	-3.42	-2.12	-1.692	-1.628	-1.522	-0.898	-3.969	-2.429	-3.12	-1.618	-1.623	-3.3455	-2.0405	-1.839	-1.689	0.184	-0.003	-0.1125	-0.202	-0.16	0.076	-1.586	0.432	0.361	-0.509	-0.13	-1.214	0.113	0.397	-1.086	-2.961	-2.056	-2.285	-2.153	-1.74	-1.576	-2.15	-1.289	-1.747	-2.315	-1.668	-2.276	-2.142	0.483	-0.211
"YBR269C"	0.276	0.433	2.295	1.736	1.056	0.0395	1.46	1.684	1.869	1.954	0.44	0.248	-0.6215	2.741	2.945	2.559	2.732	2.162	2.8	1.196	0.725	1.892	1.738	1.554	1.4035	0.7315	0.9415	1.2435	0.089	-0.064	0.1	0.1	-0.243	0.0315	0.151	-0.866	-0.298	0.24	0.942	1.207	0.527	0.585	1.706	1.514	2.383	2.787	2.806	2.464	3.255	2.921	2.478	2.659	1.761	2.166	2.849	2.368	-0.187	-1.114
"YCL040W"	1.193	-0.22	5.519	5.154	3.7	0.3905	3.804	5.018	5.207	5.214	1.767	-0.37	-0.7895	4.499	4.476	3.079	4.747	2.387	2.984	1.954	2.737	3.471	2.856	1.69	3.747	2.6125	2.614	2.987	-0.305	-0.192	0.028	0.405	-0.177	0.043	2.812	-2.287	-1.521	0.773	0.505	1.493	0.872	1.118	3.454	4.979	NaN	3.517	2.938	1.92	4.137	3.593	2.812	2.55	3.842	3.932	3.684	3.569	-0.785	-0.063
"YCL053C"	0.049	0.199	-2.892	-2.571	-1.523	-0.1385	-1.157	-2.61	-3.477	-3.061	-0.238	-0.493	0.2555	-4.013	-2.459	-1.834	-1.096	-0.828	-1.563	-4.22	-2.871	-2.694	-1.782	-1.345	-2.553	-1.7995	-1.597	-1.8505	0.461	0.652	0.505	0.027	0.049	-0.1325	-1.563	0.937	0.334	-0.609	-0.751	-1.367	-0.634	-0.3385	-0.903	-3.2	-0.245	-1.334	-1.782	-0.806	-1.866	-1.397	-1.134	-1.115	-0.852	-1.966	-1.884	-1.709	1.132	-0.442
"YCL054W"	-0.359	0.328	-3.545	-2.942	-1.717	0.3	-1.013	-2.871	-3.741	-3.668	-0.45	-0.45	0.38	-3.386	-2.092	-2.133	-1.078	-0.941	-1.571	-2.063	-2.044	-2.121	-2.124	-1.496	-4.0705	-2.049	-2.2245	-2.4215	0.094	0.265	0.514	-0.648	-0.132	0.121	-2.928	1.054	0.677	0.048	-0.524	-1.143	-0.701	0.127	-0.777	-4.039	-1.203	-2.945	-2.617	-1.203	-3.761	-2.107	-2.043	-2.179	-1.406	-2.49	-2.753	-2.009	0.607	0.183
"YCLX02C"	-0.42	-0.079	-4.024	-3.119	-1.437	-0.0435	-1.744	-2.69	-3.872	-3.655	-0.301	-0.78	0.0435	-4.118	-2.592	-2.422	-1.69	-1.466	-1.998	-2.85	-1.372	-2.734	-1.938	-0.892	-3.098	-2.1245	-1.9175	-2.411	0.035	0.646	0.304	0.058	-0.013	0.0195	-2.794	0.684	0.091	-1.175	-0.929	-1.529	-0.578	-0.6575	-0.606	-4.225	-0.671	-2.749	-2.605	-1.55	-3.541	-2.722	-1.445	-1.766	-0.154	-2.008	-1.5	-2.08	0.53	-0.356
"YDL014W"	-0.396	0.247	-3.382	-2.366	-1.899	-0.2295	-2.233	-2.465	-4.46	-4.776	-0.727	0.367	0.475	-3.37	-2.435	-2.318	-1.989	-2.828	-2.298	-2.641	-1.545	-1.412	-0.789	-1.374	-2.2875	-1.916	-2.1295	-2.17	0.305	0.108	0.172	-1.026	-0.256	-0.232	-0.719	2.238	1.489	0.328	-0.686	-1.608	-0.174	0.223	-2.032	-4.277	-2.015	-3.918	-4.085	-2.893	-4.482	-4.004	-2.924	-2.944	-2.257	-2.271	-2.383	-2.898	0.385	0.737
"YDL022W"	0.271	-0.051	3.267	2.778	2.008	0.4515	1.471	2.972	3.381	3.629	0.888	0.12	-0.079	1.983	1.561	2.14	2.348	2.436	2.422	-3.649	1.097	0.658	0.249	-0.621	1.977	2.664	2.8365	2.582	-0.017	-0.188	-0.069	-0.154	0.177	0.1335	2.366	-2.243	-1.174	0.136	0.769	0.847	1.153	0.815	2.034	3.577	3.751	0.284	0.43	1.613	2.49	1.039	0.816	1.66	3.074	3.544	3.752	3.399	-1.364	0.018
"YDL031W"	-0.174	0.257	-2.88	-2.3335	-1.2555	-0.216	-1.516	-2.1535	-2.805	-2.451	-0.504	-0.237	-0.0625	-2.5295	-1.061	-1.48	-0.963	-1.4395	-1.4865	-3.3365	-1.2945	-2.234	-1.5645	-1.2865	-2.49	-1.401	-1.0975	-1.1425	0.289	0.8	0.846	0.158	0.621	0.1475	-0.6915	0.833	0.4315	0.6195	-0.154	0.1085	-0.0435	-0.477	-0.955	-2.6385	-2.468	-0.845	-1.181	-0.297	-2.16	-0.888	-0.525	-0.516	-1.233	-1.517	-1.597	-1.356	0.655	-0.198
