	"107.heat shock 10 min"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"650.alpha factor release sample017"	"692.DBYyap1- + 0.3 mM H2O2 (20 min)"	"811.DES459 (mec1) + heat 20 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"853.YPD_4_h_30C"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"1170.pho85 delete vs. wild type"	"1253.mec1_plus_gamma_45_min"	"1255.mec1_plus_gamma_90_min"	"1257.mec1_plus_gamma_120_min"	"4872.1M sorbitol - 60 min"	"6351.DES460 + 0.02% MMS - 30 min"	"6354.DES460 + 0.2% MMS - 45 min"	"7760.Na 45min"	"7761.Na 60min"	"12744.heat shock 17 to 37, 20 minutes"	"14761.Ca 30min (1)"	"15180.Ca 15min (2)"	"15181.Ca 30min (2)"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33771.DBY8778(wt)_stationary_phase_0hours"	"34355.delPPT1_hypo_osmotic_shock_30min"
"YBR084W"	-1.885	-2.64	-2.965	-3.129	-1.723	-2.61	-3.49	-3.539	-0.1205	-1.694	-2.0275	-1.067	-1.743	-2.218	-1.061	-4.143	-5.362	0.383	-0.567	-0.3475	-0.116	-0.015	-0.8135	-0.699	-2.037	-1.62	-4.142	-1.621	-1.987	-1.665	0.2515	-2.385	-4.322	-3.02	-3.783	-0.728	-0.343
"YCR072C"	-2.145	-4.048	-3.359	-3.587	-1.668	-2.626	-3.503	-2.949	-0.225	-1.563	-1.6695	-1.81	-2.43	-1.537	-0.896	-4.777	-4.875	-1.464	0.153	-0.027	-0.026	-0.0405	-1.016	-0.849	-1.792	-1.624	-4.635	-2.1	-2.988	-1.55	0.391	-4.939	-4.551	-2.816	-2.665	-0.553	-0.666
"YDL201W"	-2.767	-2.68	2.807	-2.05	-1.327	-1.932	-2.515	-1.652	0.066	-2.05	-1.009	-1.115	-1.494	-1.274	-0.42	-3.282	-4.94	-0.628	0.075	-0.119	-0.079	-0.17	-0.772	-0.868	-1.275	-1.213	-2.398	-0.969	-1.649	-0.808	0.137	-3.323	-2.621	-1.767	-2.04	-0.484	-0.083
"YDR087C"	-2.034	-3.126	-4.331	-4.143	-1.747	-2.758	-3.643	-3.468	0.559	-1.475	-2.122	-1.63	-2.287	-2.337	-0.492	-4.139	-4.944	-1.705	0.199	0.093	-0.055	0.311	-0.8	-0.796	-1.68	-1.547	-4.13	-1.271	-1.728	-1.623	-0.41	-2.803	-3.928	-2.942	-2.55	-0.628	-0.216
"YDR120C"	-2.644	-3.186	-2.704	-2.84	-1.485	-2.699	-2.817	-2.359	-0.32	-2.258	-2.163	-1.527	-2.287	-2.025	-0.646	-2.742	-3.115	-1.25	0.329	0.111	-0.079	0.056	-1.021	-0.972	-2.465	-1.515	-2.159	-1.688	-3.092	-2.153	0.026	-3.238	-3.752	-2.621	-2.093	-0.817	-0.093
"YDR165W"	-2.444	-3.154	-3.024	-2.85	-1.053	-2.419	-2.874	-2.762	-0.239	-1.491	-1.702	-1.089	-2.006	-1.752	-0.281	-4.096	-5.309	-0.785	0.323	0.19	0.005	-0.044	-0.53	-0.571	-2.129	-1.683	-2.787	-0.5645	-1.0895	-0.4735	-0.052	-2.796	-3.068	-1.809	-3.533	-0.544	-0.234
"YDR184C"	-2.325	-3.745	-2.039	-3.004	-0.828	-2.64	-3.408	-2.671	-0.066	-1.352	-1.501	-1.274	-2.056	-1.547	-0.334	-3.504	-1.842	-1.151	0.028	-0.214	-0.269	0.004	-0.618	-0.514	-1.882	-1.428	-3.644	-1.1475	-2.677	-0.9465	-0.2815	-4.266	-3.588	-2.225	-2.068	-0.041	-0.477
"YDR380W"	4.069	5.331	4.505	4.696	2.659	4.835	5.562	5.325	-0.259	1.787	0.903	1.898	3.397	3.521	1.376	0.787	-0.909	0.774	0.853	-0.733	-0.539	-0.326	1.668	1.155	3.44	3.386	5.956	1.833	1.687	1.992	-1.179	3.142	4.633	2.861	3.687	0.662	-0.519
"YDR398W"	-4.395	-5.035	-4.725	-4.358	-1.272	-3.115	-4.082	-3.388	-0.041	-2.038	-1.917	-2.086	-2.576	-1.783	-0.423	-4.143	NaN	-1.16	-0.305	-0.645	-0.435	0.385	-1.003	-1.013	-2.147	-1.57	-4.269	-1.069	-1.829	-1.239	0.383	-3.627	-4.76	-2.67	-1.871	-0.863	-0.485
"YER037W"	3.6	3.495	4.024	3.397	2.132	3.311	3.628	3.186	0.469	2.81	1.466	1.49	1.944	2.238	0.887	2.683	-1.669	1.727	-0.647	-0.675	-0.138	0.042	0.715	0.669	2.959	2.613	2.511	1.166	0.935	1.004	1.145	2.648	3.656	3.779	3.344	1.196	0.252
"YGL111W"	-1.886	-2.705	-2.012	-2.506	-1.203	-2.165	-2.854	-2.867	-0.271	-1.202	-1.46	-1.109	-1.882	-1.684	-0.621	-3.668	-2.826	-0.93	0.029	-0.072	-0.072	0.038	-0.843	-0.752	-1.614	-1.309	-2.724	-0.892	-1.182	-0.844	-0.192	-2.854	-3.188	-2.001	-2.456	-0.494	-0.247
"YGL120C"	-2.058	-3.316	-3.34	-3.231	-1.43	-3.301	-3.954	-3.877	-0.207	-1.903	-1.614	-1.488	-2.25	-1.851	-0.53	-4.557	-5.111	-1.016	0.181	-0.212	-0.29	0.0	-0.983	-0.916	-1.588	-1.59	-3.8	-1.42	-2.406	-1.863	0.017	-2.799	-3.466	-2.416	-2.286	-0.015	0.001
"YGR136W"	2.3745	2.244	1.9205	2.0	0.9985	1.4535	2.1705	2.362	0.051	0.744	0.934	0.909	0.99	0.718	0.009	0.051	-3.02	0.46	-0.173	-0.277	0.1	-0.333	0.561	0.419	1.043	1.293	2.5145	1.637	1.343	1.2775	0.227	1.577	2.461	1.839	2.564	0.887	0.256
