	"103.alpha factor release sample026"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"650.alpha factor release sample017"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"982.wt_plus_gamma_90_min"	"983.wt_plus_gamma_120_min"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1017.YPD 7 d (25C)"	"7541.DES459 (mec1) - log phase (IR time "	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"15638.Ca+FK 60min (2)"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"32630.S1Comp 18 hr 00 min Sulfate Batch vs Chemostat Comparison"	"32633.S1Comp 24 hr 10 min Sulfate Batch vs Chemostat Comparison"	"33261.delKIN82_heat shock _30min"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34350.wt_hypo_osmotic_shock_30min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34360.batch 02X25 4"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"38155.03II01 batch p11"	"42052.L1CompR 21 hr 10 min Leucine Batch vs Chemostat Comparison"	"42380.CC UL 2A Uracil-Leucine Chemostat Comparison"	"42388.CC UL 1A Uracil-Leucine Chemostat Comparison"
"YDR165W"	0.114	-2.874	-2.762	-0.239	1.095	0.852	-4.096	-2.538	-2.179	-2.247	-1.905	-2.27	-3.111	-5.309	-2.69	-3.015	-2.243	-1.636	-0.731	-0.763	-3.057	-1.816	-1.396	-2.409	0.523	-1.0245	-2.787	-0.463	-3.068	-1.809	-1.222	-2.67	-1.091	-1.656	-1.252	-1.545	-0.544	-2.479	-3.205	-2.632	-2.085	-0.501	-0.179	-0.187	-1.941	-0.682	-2.152	0.643	0.675	1.057
"YGL103W"	0.558	-2.193	-2.762	0.261	1.082	0.935	-3.452	-3.096	-2.876	-2.468	-2.373	-2.344	-1.452	-5.266	-2.039	-3.266	-2.763	-2.672	-0.336	-0.284	-3.07	-1.762	-1.73	-1.735	-1.018	-1.88166666666667	-2.243	-0.145	-2.276	-1.086	-0.552	-3.163	-1.765	-1.761	-1.997	-1.458	0.291	-2.976	-3.189	-2.934	-2.202	-0.219	-0.237	-0.482	-1.378	-1.52	-2.793	0.752	0.519	-0.494
"YIL018W"	0.293	-3.509	-3.965	-0.136	1.177	1.056	-4.365	-3.03	-2.782	-2.724	-2.488	-2.78	-3.492	-5.749	-2.754	-3.362	-3.505	-3.056	-0.084	-0.182	-3.907	-1.842	-2.218	-3.27	-1.16	-2.495	-3.4165	0.297	-2.641	-1.895	-1.146	-1.452	-2.305	-1.554	-2.126	-1.788	0.017	-4.277	-4.06	-3.676	-2.806	-0.116	-0.238	-0.201	-1.765	-1.316	-2.419	1.321	0.426	0.992
"YIR026C"	-0.031	-3.1245	-3.013	-0.066	1.1	0.874	-4.983	-2.403	-2.432	-2.146	-2.11	-2.2	-4.02	-4.724	-2.815	-2.112	-2.284	-1.499	-0.131	-0.053	-0.988	-1.175	-1.886	-2.47	-0.365	-1.804	-2.938	-0.195	-2.844	-2.131	-1.637	-2.488	-1.574	-2.493	-1.821	-1.427	-0.245	-1.822	-2.578	-1.739	-1.698	-0.242	0.032	-0.035	-1.433	-0.838	-1.986	0.581	-0.016	-0.603
"YJL190C"	0.277	-3.022	-3.838	-0.137	1.453	1.126	-3.794	-3.553	-3.267	-2.958	-2.413	-3.287	-3.585	-6.079	-3.053	-3.969	-3.744	-3.536	0.107	0.571	-4.469	-2.547	-3.105	-3.365	-0.583	-2.43	-3.7855	-0.038	-3.078	-2.014	-0.668	-2.967	-3.057	-2.724	-2.487	-1.994	0.507	-4.772	-4.874	-4.273	-3.311	-0.198	-0.284	-0.137	-2.045	-2.741	-2.86	2.033	0.754	1.201
"YJR070C"	-0.291	-4.828	-4.332	-0.196	1.272	1.129	-5.317	-3.975	-3.514	-3.056	-2.526	-3.68	-3.511	-7.226	-3.689	-3.471	-2.777	-2.792	-0.772	-0.848	-2.102	-1.698	-1.543	-2.254	-1.296	-2.575	-4.7655	-0.357	-3.81	-2.429	-1.002	-3.489	-2.399	-2.832	-2.232	-1.614	-0.29	-3.069	-3.754	-3.104	-2.692	-0.027	0.052	0.084	-2.357	-1.502	-1.953	0.704	-0.033	-0.52
"YKL009W"	-0.29	-4.1895	-4.13	-0.171	1.639	1.192	-5.997	-3.719	-3.38	-2.839	-2.973	-2.449	-3.082	-6.168	-3.014	-3.144	-2.368	-2.098	-0.508	-0.748	-4.341	-2.546	-2.432	-3.318	0.173	-2.269	-4.4285	-0.204	-4.247	-2.782	-1.967	-3.175	-1.573	-2.288	-1.535	-2.199	-0.652	-2.602	-4.823	-3.636	-3.036	-0.758	-0.325	-0.605	-2.954	-1.178	-3.079	1.483	0.522	-0.586
"YLL044W"	0.231	-3.582	-4.162	0.232	1.115	1.006	-4.871	-3.525	-3.158	-2.869	-2.211	-2.963	-3.79	-6.48	-2.802	-3.313	-3.031	-3.269	0.119	-0.208	-3.872	-1.944	-2.654	-3.494	-0.761	-2.227	-3.517	0.337	-2.328	-1.637	-0.719	-2.423	-1.768	-2.068	-1.624	-1.407	0.875	-3.189	-3.806	-2.77	-2.196	0.441	0.334	0.277	-2.417	-2.172	-2.42	0.925	0.277	-0.126
"YLL045C"	0.341	-3.116	-3.722	-0.06	1.348	1.206	-3.851	-3.176	-2.506	-2.189	-1.64	-2.221	-3.857	-6.618	-2.711	-3.169	-3.335	-3.185	0.372	-0.074	-3.66	-2.096	-2.604	-3.021	-0.78	-2.165	-3.545	0.131	-2.751	-1.345	-0.707	-2.333	-2.181	-1.557	-0.576	-1.119	0.484	-3.449	-3.788	-3.87	-2.635	0.356	0.255	0.217	-2.053	-0.822	-2.416	0.825	0.426	0.357
"YLR175W"	-0.03	-4.552	-4.902	-0.052	1.304	1.12	-5.607	-3.276	-2.921	-2.657	-2.484	-3.068	-3.401	-5.468	-3.43	-3.996	-3.068	-3.13	-0.32	-0.454	-4.678	-2.413	-2.762	-4.364	-0.207	-2.422	-4.431	-0.189	-4.177	-1.884	-1.078	-4.948	-3.558	-4.349	-3.935	-1.759	0.246	-3.995	-4.338	-2.959	-2.455	-0.022	-0.026	-0.003	-2.713	-2.024	-2.115	1.272	0.978	1.319
