	"861.YPD_5_d_30C"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YAL046C"	-2.546	1.178
"YBL022C"	-2.268	0.6875
"YBR075W"	-3.53	0.774
"YBR109C"	-3.894	3.004
"YBR121C"	-5.791	0.337
"YBR127C"	-4.101	0.762
"YBR157C"	-5.88	0.96
"YBR276C"	-2.991	-0.378
"YCL047C"	-3.777	1.023
"YCR002C"	-5.182	2.551
"YCR030C"	-3.173	0.465
"YDL017W"	-1.504	1.061
"YDL142C"	-2.566	0.949
"YDL235C"	-3.922	1.15
"YDL236W"	-3.958	1.507
"YDR051C"	-3.843	-0.235
"YDR157W"	-4.05	0.693
"YDR207C"	-3.626	1.185
"YDR240C"	-5.54	1.101
"YDR303C"	-7.617	1.143
"YDR399W"	-4.784	1.212
"YEL014C"	-3.255	1.412
"YER086W"	-5.173	1.445
"YER136W"	-3.262	0.8485
"YER156C"	-3.573	1.12
"YFL034W"	-2.759	0.2515
"YFR002W"	-7.825	0.801
"YGL237C"	-0.789	0.783
"YGL239C"	-3.568	0.992
"YGR058W"	-6.235	2.077
"YGR155W"	-4.396	1.035
"YGR200C"	-3.668	0.948
"YHL023C"	-3.097	3.9435
"YHR049W"	-4.702	2.079
"YHR064C"	-5.238	1.714
"YHR068W"	-6.532	2.683
"YHR098C"	-3.065	1.2295
"YHR152W"	-3.007	0.58
"YHR201C"	-4.155	1.291
"YHR203C"	-5.944	2.638
"YIL109C"	-4.504	1.848
"YIL123W"	-4.259	-0.504
"YIR001C"	-3.335	0.724
"YIR009W"	-2.447	0.265
"YJL008C"	-4.824	1.125
"YJL124C"	-5.188	1.412
"YJL167W"	-7.538	-1.136
"YJL189W"	-4.28	1.659
"YJR075W"	-3.095	0.582
"YKL080W"	-5.94	5.981
"YKL152C"	-4.943	0.935
"YKR059W"	-4.998	1.172
"YKR060W"	-3.796	2.98
"YLL034C"	-2.9735	1.1675
"YLR061W"	-6.591	2.93
"YLR066W"	-4.153	1.458
"YLR075W"	-6.109	-1.451
"YLR088W"	-4.686	1.46
"YLR096W"	-3.848	1.246
"YLR153C"	-5.598	2.225
"YLR154C"	-3.232	0.912
"YLR264W"	-5.152	2.035
"YLR359W"	-5.36	1.218
"YMR003W"	-5.75	-0.057
"YMR010W"	-4.183	-0.48
"YMR123W"	-3.061	NaN
"YMR166C"	-3.442	1.561
"YMR203W"	-4.985	1.3015
"YMR246W"	-3.101	-0.4365
"YMR266W"	-2.1635	0.561
"YMR285C"	-2.685	2.23
"YNL247W"	-4.64	1.652
"YNR017W"	-2.503	0.442
"YOL005C"	-4.3805	1.155
"YOL040C"	-6.413	4.667
"YOL152W"	-6.621	0.718
"YOR001W"	-4.782	1.585
"YOR119C"	-3.035	0.507
"YOR254C"	-6.426	1.054
"YOR321W"	-3.7905	1.386
"YOR323C"	-6.434	1.176
"YPL117C"	-3.918	0.555
"YPL231W"	-3.48	0.5595
"YPR033C"	-7.94	-1.078
"YPR103W"	-3.618	0.755
"YPR108W"	-4.645	0.94
"YPR125W"	-4.04	1.373
"YPR173C"	-3.6935	1.008
