	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"861.YPD_5_d_30C"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YBL002W"	0.787	-3.979	-0.4805	-1.1675	-1.4185	1.769
"YBL024W"	1.023	-4.879	-3.4875	-3.5465	-3.993	0.699
"YBR143C"	0.981	-4.642	-2.698	-2.699	-3.572	3.037
"YBR172C"	1.18	-3.593	-1.176	-1.6515	-1.648	2.589
"YBR189W"	0.827	-4.702	-1.9305	-1.8835	-2.9475	1.819
"YBR249C"	1.561	-6.025	-2.9975	-3.288	-3.9875	1.282
"YBR286W"	0.4815	-3.516	-0.361333333333333	-1.19533333333333	-1.75166666666667	1.2255
"YCR002C"	0.21	-5.182	-2.564	-2.9535	-2.7005	2.551
"YDL083C"	0.665	-3.908	-2.252	-2.052	-3.014	1.3195
"YDR023W"	1.145	-5.745	-3.056	-3.357	-3.85	3.446
"YDR033W"	0.561	-4.128	-2.882	-2.514	-3.186	-1.252
"YDR037W"	1.105	-5.224	-2.916	-3.368	-3.772	-0.75
"YDR117C"	-0.401	-2.494	-1.618	-1.45	-1.497	0.445
"YDR304C"	-0.251	-3.648	-0.711	-1.358	-1.796	1.013
"YDR324C"	1.686	-4.131	-2.77	-2.306	-3.071	1.167
"YDR341C"	2.004	-5.262	-3.262	-3.294	-3.559	0.769
"YDR399W"	-0.24	-4.784	-2.115	-2.216	-2.373	1.212
"YDR447C"	0.463	-5.332	-2.53	-2.625	-3.552	1.643
"YEL026W"	1.197	-4.755	-2.288	-3.073	-0.452	0.499
"YER006W"	1.553	-4.571	-2.195	-2.03	-3.232	1.126
"YER009W"	0.48	-4.765	-2.034	-2.393	-2.025	-0.213
"YER049W"	0.959	-4.541	-2.64	-3.518	-2.735	2.356
"YER086W"	1.324	-5.173	-2.624	-2.882	-3.77	1.445
"YER090W"	1.594	-5.004	-2.327	-2.585	-3.495	1.035
