	"817.1M sorbitol - 30 min"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"863.Amino acid + adenine starvation 1 h"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1301.PHO81c vs. wild type, exp.2"	"4778.DBY7286 + 0.3 mM H2O2 - 30 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6681.trr - 0.1 mM H2O2 - 30 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"7530.DBY msn2msn4 37C - 20 min"	"7765.Na+FK 60min"	"21638..24 mM H2O2- 070 minutes"	"21639..24 mM H2O2- 085 minutes"	"21654..24 mM H2O2- 275 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"21663..24 mM H2O2- 063 minutes/redo"	"21664..24 mM H2O2- 170 minutes/redo"	"28843.P2Comp 09 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28846.P2Comp 10 hr 5 min Phosphate Batch vs Chemostat Comparison2"	"28847.P2Comp 10 hr 20 min Phosphate Batch vs Chemostat Comparison2"	"28848.P2Comp 10 hr 35 min Phosphate Batch vs Chemostat Comparison2"	"28849.P2Comp 10 hr 50 min Phosphate Batch vs Chemostat Comparison2"	"28851.P2Comp 11 hr 51 min Phosphate Batch vs Chemostat Comparison2"	"28854.P2Comp 19 hr 45 min Phosphate Batch vs Chemostat Comparison2"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"40954.H2O2_II_70_min"	"42063.U3Comp 11 hr 10 min Uracil Batch vs Chemostat Comparison"	"42227.U2 Comp 11 hr 05 min Uracil Batch vs Chemostat Comparison"	"42228.U2 Comp 12 hr 05 min Uracil Batch vs Chemostat Comparison"
"YCR013C"	0.1225	-3.099	-5.566	0.403	-1.827	-2.591	-3.6275	0.638	-1.714	0.587	0.933	0.268	0.241	-0.322	1.743	1.579	0.868	1.145	0.884	-1.104	1.57	0.704	4.012	2.947	2.866	3.15	2.424	1.763	-1.258	-1.621	-0.278	-1.652	-2.936	1.619	1.133	1.081
"YDR012W"	-0.996	-3.045	-5.83	-1.177	-1.122	-1.902	-2.058	0.079	0.033	-1.432	-1.011	-1.835	-1.148	-1.759	-2.013	-1.84	-0.637	-2.623	-1.86	-1.753	-1.231	-1.871	-3.491	-2.601	-2.982	-3.146	-3.347	-3.289	-2.406	-2.811	-2.322	-2.731	-0.815	1.22	0.889	0.605
"YDR447C"	-0.83	-3.659	-5.332	-1.447	-2.53	-2.625	-3.552	-0.57	0.152	-1.879	-0.66	-2.331	-0.917	-2.291	-2.041	-2.3475	-0.627	-2.7985	-2.745	-1.773	-0.856	-1.992	-2.2785	-2.2515	-2.27	-2.6155	-2.4595	-1.874	-3.67	-2.356	-4.358	-3.418	-1.7075	NaN	1.035	-0.067
"YFR031BC"	-1.28	-4.702	-7.029	-1.452	-3.164	-3.863	-4.146	-0.064	0.216	-1.619	-0.589	-2.277	-1.447	-2.146	-3.322	-2.331	-0.644	-3.481	-2.905	-2.439	-0.79	-2.142	-4.085	-3.44	-4.121	-3.568	-4.034	-2.743	NaN	NaN	NaN	NaN	NaN	2.715	1.944	1.242
"YGL030W"	-0.828	-3.668	-5.484	-1.44	-1.668	-2.044	-3.011	-0.102	0.879	-1.651	-0.497	-1.888	-0.951	-2.095	-1.5725	-1.4395	-0.6345	-1.6345	-2.391	-1.0005	-0.0445	-2.059	-2.717	-2.86233333333333	-3.23633333333333	-2.95233333333333	-3.24366666666667	-2.37466666666667	-3.939	-2.871	-3.575	-2.76	-1.1585	2.463	1.797	1.427
"YGL031C"	-0.862	-3.683	-5.763	-1.287	-2.92	-3.061	-3.473	-0.449	-0.345	-1.29	-0.031	-1.762	-0.647	-1.743	-2.062	-1.531	-0.29	-2.68	-2.166	-0.85	-0.85	-1.759	-4.3115	-4.2995	-3.932	-4.1075	-4.381	-3.1125	-3.814	-2.458	-2.773	-2.852	-1.793	2.366	0.829	0.043
"YGL076C"	-0.969	-3.976	-5.667	-1.338	-2.836	-2.79	-3.782	-0.231	0.282	-2.046	-0.408	-2.193	-0.63	-1.94	-2.2815	-1.4805	-0.393	-2.4035	-2.0235	-1.407	-0.1865	-1.68166666666667	-3.289	-2.84433333333333	-2.96833333333333	-2.839	-2.94466666666667	-2.21966666666667	-4.003	-3.509	-3.347	-3.315	-1.2665	2.073	1.43	0.927
"YGL123W"	-0.807	-4.004	-5.982	-1.784	-2.388	-2.65	-3.558	-0.033	0.576	-1.869	-0.282	-2.178	-0.991	-2.024	-2.59	-1.527	-0.764	-3.516	-1.469	-1.545	-0.835	-2.027	-3.7625	-3.803	-3.686	-3.643	-3.5495	-3.527	-4.217	-3.27	-4.123	-3.488	-2.415	1.972	0.748	0.815
"YGR148C"	-1.095	-3.884	-5.757	-1.051	-3.022	-3.649	-4.092	-0.475	0.342	-1.298	0.216	-1.813	-0.48	-1.746	-2.094	-1.6535	0.3	-2.6455	-2.135	-1.1095	-0.719	-1.382	-4.5095	-3.8635	-3.6605	-3.5355	-3.9585	-2.4665	-3.53	-2.779	-3.103	-2.693	-1.066	1.999	1.095	0.247
"YHL033C"	-1.136	-3.984	-6.65	-1.028	-2.601	-2.923	-4.209	0.005	0.923	-1.166	-0.506	-2.447	-0.929	-2.127	-2.542	-1.705	-0.488	-3.325	-2.271	-1.622	-0.487	-1.437	-3.944	-3.682	-3.155	-3.337	-3.615	-2.993	-1.38	-1.757	-0.001	-1.385	-1.38	2.37	1.767	1.305
"YHR203C"	-0.754	-3.782	-5.944	-1.473	-2.575	-3.081	-3.941	-0.091	0.863	-1.848	-0.353	-2.181	-0.787	-1.865	-2.766	-2.208	-0.789	-2.988	-2.562	-1.44	-0.577	-1.83	-3.724	-3.381	-3.14	-2.817	-2.823	-2.412	-4.467	-3.308	-3.717	-3.449	-1.406	2.11	0.906	0.413
"YIL018W"	-1.096	-3.492	-5.749	-1.014	-2.661	-3.27	-3.914	0.087	0.547	-1.545	-0.162	-1.871	-1.475	-4.283	-3.137	-2.522	-0.492	-3.496	-2.878	-2.232	-0.857	-2.449	-4.085	-3.975	-4.3	-3.406	-2.913	-3.545	-4.277	-3.397	-4.06	-3.676	-2.573	1.412	1.889	1.086
"YIL069C"	NaN	NaN	NaN	NaN	-1.222	NaN	NaN	-0.327	1.061	-0.366	0.58	1.43	-0.05	0.205	-1.866	-1.637	-0.475	-1.869	-1.939	-0.304	-0.448	-1.2	-2.879	-2.974	-3.071	-2.857	-2.913	-2.549	-1.586	-2.085	-2.854	-2.698	-2.024	1.773	1.417	0.397
"YIL133C"	-0.55	-2.693	-5.79	-0.935	-2.615	-3.007	-3.393	-0.218	1.414	-1.863	-0.578	-2.607	-0.895	-1.872	-2.663	-1.997	-1.143	-2.982	-2.483	-2.151	-0.605	-2.066	-1.963	-2.428	-2.951	-2.391	-2.38	-1.961	-4.387	-3.183	-4.098	-3.154	-1.664	2.371	1.73	-0.136
"YJL177W"	-0.717	-3.255	-5.49	-1.502	-1.768	-2.278	-2.905	-0.366	0.425	-1.663	-0.579	-2.211	-0.737	-2.061	-2.208	-1.404	-0.502	-3.107	-1.898	-1.87	-0.391	-1.782	-3.725	-2.818	-3.439	-3.206	-2.989	-2.763	-4.72	-4.004	-4.54	-4.115	-1.216	1.798	0.798	0.328
