	"584.17 deg growth"	"861.YPD_5_d_30C"	"2560.29C to 33C - 15 min"	"6834.Sporulation t5hrs"	"6836.Sporulation t7hrs"	"6839.Sporulation t9hrs"	"6841.Sporulation t11hrs"	"14731.Mount Saint Mary's College, MD: hst3 hst4  v. wt"
"YBL007C"	-1.2195	-2.878	0.965	2.575	4.138	3.514	4.779	-1.284
"YBL026W"	-0.349	-2.412	0.057	4.353	5.137	3.148	6.015	-0.859
"YBR037C"	-0.836	-1.605	1.043	2.921	3.912	3.409	4.466	-0.777
"YBR293W"	0.068	-1.317	-0.053	2.897	3.752	3.793	4.109	-0.335
"YCL043C"	-0.71	-3.283	0.728	2.4	3.891	2.732	4.112	0.632
"YCR031C"	-0.587	-5.91	-0.133	2.99	4.554	3.666	4.485	0.0405
"YDL083C"	-0.365	-3.908	-0.055	2.503	4.305	3.882	4.834	-0.062
"YDR193W"	-1.291	-2.414	0.06	1.963	4.143	3.707	4.867	-0.997
"YDR195W"	-0.024	-1.883	-0.136	1.931	2.479	2.667	2.677	-1.255
"YDR311W"	-0.934	-1.222	0.26	1.351	3.157	2.681	3.045	-0.712
"YDR487C"	-0.543	-3.352	-0.088	3.083	4.968	4.362	4.408	-1.112
"YDR509W"	-0.8455	-2.6845	0.18	4.316	4.454	4.746	5.826	-0.9295
"YER090W"	-0.932	-5.004	-0.319	2.963	3.9	3.525	4.314	-1.612
"YER157W"	-0.854	-3.026	0.004	1.708	3.113	3.108	3.617	-1.093
"YER159C"	-0.024	-2.048	0.078	3.815	5.025	3.754	4.242	-2.1325
"YGL004C"	-0.306	-1.696	0.542	3.179	3.845	3.266	3.725	0.23
"YGL257C"	-0.7585	-2.5905	0.0915	3.34	4.71	3.864	5.003	-0.707
"YGR076C"	-0.722	-1.716	0.394	2.582	3.969	3.277	4.165	-4.161
"YGR101W"	-0.719	-1.545	0.451	2.176	4.209	3.433	3.728	-1.301
"YGR119C"	-0.58	-3.791	0.058	2.067	3.369	2.964	3.275	-2.2135
"YGR170W"	-1.44	-1.539	0.461	2.834	3.837	3.045	3.85	-0.938
"YGR171C"	-0.884	-1.682	0.406	2.232	3.268	2.961	3.009	-2.7885
"YHR024C"	-0.811	-3.2155	0.5295	1.767	3.032	2.868	3.559	-1.273
"YHR031C"	-0.621	-3.341	-0.512	1.274	2.416	2.851	3.21	-0.331
"YHR115C"	-0.899	-1.847	0.336	1.505	3.599	2.941	2.72	-1.058
"YHR144C"	-0.52	-2.344	-0.179	1.34	3.436	3.524	3.858	-1.733
"YHR190W"	-0.071	-3.849	0.395	2.371	3.675	3.267	3.437	-2.262
"YIL039W"	-0.289	-4.517	-0.017	2.811	3.902	3.607	4.596	-0.807
"YIL078W"	-0.692	-6.059	-0.45	2.336	4.37	4.195	4.892	-0.141
"YIL175W"	-1.402	-2.263	-0.291	1.757	3.39	3.221	4.094	-1.429
"YJL059W"	-1.475	-2.246	0.718	2.549	4.402	3.683	5.143	-0.386
"YJL085W"	-0.737	-3.968	0.635	1.739	3.634	4.014	3.994	-3.068
"YJL109C"	-0.918	-2.278	-0.7805	4.339	5.352	4.015	5.245	-2.117
"YKL169C"	-0.033	-2.023	0.478	2.304	3.244	3.434	3.852	0.382
"YKR002W"	-0.439	-1.529	0.353	3.5	4.605	4.786	5.741	-1.111
"YLL058W"	-0.752	-2.302	0.422	2.795	4.397	3.631	3.852	-0.808
"YLR021W"	-0.982	-4.075	-0.154	2.703	5.017	4.403	5.309	-0.814
"YLR098C"	-1.2525	-1.8585	0.4045	1.636	2.956	3.54	3.736	-0.995
"YLR104W"	-0.476	-3.172	0.483	3.047	4.093	4.263	4.427	0.003
"YLR255C"	-1.181	-3.973	-0.261	2.967	4.101	3.892	4.747	-0.819
"YLR365W"	-1.022	-2.116	-0.11	4.457	5.739	5.033	6.06	-0.901
"YMR157C"	-0.333	-2.115	0.644	1.973	3.105	2.933	2.398	-1.577
"YMR258C"	-1.073	-1.801	0.579	3.374	4.638	4.245	4.744	-0.365
"YNL038W"	-0.523	-1.641	0.058	1.37	2.945	2.693	2.828	-0.7355
"YNL061W"	0.24	-4.27	-1.141	2.169	3.931	3.907	4.175	-2.065
"YNL106C"	-0.892	-2.4075	0.837	1.825	3.236	2.575	3.587	-0.518333333333333
"YOL070C"	-0.679	-2.0685	0.141	3.658	4.309	4.473	4.835	-1.357
"YOR059C"	-1.004	-1.281	0.163	2.34	4.068	3.394	4.269	0.057
"YOR061W"	-1.4475	-1.9265	0.0045	3.555	4.494	3.474	4.651	-0.7155
"YOR272W"	0.008	-4.712	-1.62	2.964	4.071	3.802	4.481	-1.82
"YOR311C"	-0.842	-2.824	-0.093	3.273	3.514	3.052	3.386	-0.81
"YPL002C"	-1.108	-1.4965	0.631	1.182	3.513	3.133	3.246	-1.537
"YPL038W"	-0.481	-3.1445	0.162	1.893	2.201	2.181	2.46	-3.633
"YPL094C"	-0.377	-5.3055	-0.166	2.177	3.865	4.026	4.419	-2.355
"YPR090W"	-0.8965	-3.97	0.137	3.398	4.558	3.927	5.404	-1.736
