	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"825.DY (zap1) 3 mM vs. 61 nM zinc"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"4874.1M sorbitol - 90 min"	"14081.FY2(B) vs. FY2(A) 23.5 hours"	"27106.P1Comp 33 hr 5 min Phosphate Batch vs Chemostat Comparison"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"30773.Pomona/Brown Sir3x red"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"34348.wt_hypo_osmotic_shock_7min"	"34349.wt_hypo_osmotic_shock_16min"	"34353.delPPT1_hypo_osmotic_shock_7min"	"34354.delPPT1_hypo_osmotic_shock_15min"	"34879.S4Comp 10 hr 00 min Sulfate Batch vs Chemostat Comparison"	"34881.S4Comp 11 hr 00 min Sulfate Batch vs Chemostat Comparison (rescan)"	"34882.S4Comp 13 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34883.S4Comp 14 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34884.S4Comp 15 hr 05 min Sulfate Batch vs Chemostat Comparison"	"34885.S4Comp 34 hr 20 min Sulfate Batch vs Chemostat Comparison"
"YER126C"	0.096	0.51	-4.455	-2.713	-2.608	-5.367	-2.355	-2.036	-2.303	-1.723	-1.575	-2.584	-2.842	-0.028	0.38	-0.145	0.309	-0.4965	-0.405	-0.8315	-0.476	-2.489	-2.31	-3.761	-2.961	0.022	0.14	0.249	0.107	-2.794	-2.341	-1.099	-1.453	-0.937	-1.518
"YGL171W"	0.918	0.809	-5.822	-2.949	-2.903	-4.649	-2.759	-2.384	-3.704	-1.978	-2.292	-3.082	-2.503	0.986	-0.231	-0.422	-0.194	-0.224	-0.1855	-0.526	-0.154	-2.646	-2.402	-3.848	-2.304	-0.223	-0.234	0.041	0.057	-2.165	-4.235	-1.015	-1.141	-0.63	-0.993
"YGR123C"	1.201	1.824	-4.447	-2.7	-3.794	-4.328	-2.878	-2.97	-2.118	-1.536	-1.42	-2.413	-2.243	1.186	-0.181	-0.189	0.106	0.145	-0.078	-1.004	0.2875	-2.403	-3.664	-3.836	-3.389	-0.24	0.033	0.358	0.044	-2.106	-0.921	-1.154	-1.186	-1.616	-0.84
"YGR229C"	0.092	0.816	-0.832	-0.57	-2.847	-4.256	-1.104	-1.1	-1.823	-1.658	-2.401	-2.58	-3.391	0.013	0.24	-0.088	0.061	0.045	0.241	-0.595	0.164	-0.391	-0.809	-0.089	-1.098	-0.181	-0.05	-0.315	-0.336	-0.877	-1.26	-0.978	-1.097	-1.625	-1.283
"YHR052W"	0.672	1.044	-4.199	-3.017	-2.598	-4.447	-2.565	-2.428	-3.435	-2.297	-2.182	-2.764	-1.203	0.404	0.07	-0.158	0.121	0.414	-0.22	-0.583	0.071	-1.892	-3.411	-3.47	-2.114	0.131	0.049	0.026	-0.135	-1.767	-1.133	-0.697	-0.762	-0.656	-0.653
"YHR216W"	0.542	1.299	-2.62	-2.056	-3.15	-4.943	-1.762	-2.914	-2.554	-2.767	-2.237	-2.621	-2.913	1.247	0.334	0.148	-0.005	-0.142	-0.846	-1.51	0.132	-2.109	-3.074	-3.001	-2.823	0.397	0.162	0.218	-0.086	-2.039	-2.437	-2.108	-2.493	-2.056	-2.291
"YJL125C"	1.0	1.231	-2.303	-1.93	-2.343	-4.009	-1.988	-1.388	-1.688	-0.974	-1.983	-1.697	-1.865	0.782	-0.158	-0.211	0.061	0.031	-0.018	0.484	-0.278	-1.15	-1.094	-1.31	-1.121	-0.412	-0.231	-0.423	-0.593	-1.779	-2.666	-1.232	-0.882	-1.107	-0.91
"YJL166W"	-0.984	-0.938	3.137	3.667	3.849	3.041	2.57	2.339	3.028	2.963	3.264	3.664	3.32	-0.518	0.059	0.081	0.28	-0.134	0.058	0.099	-0.263	4.107	3.65	2.806	3.428	-0.093	-0.073	-0.1	-0.308	-2.127	-2.21	-0.947	-0.602	-0.402	-0.774
"YJR002W"	0.6075	1.3905	-2.9885	-1.465	-0.9755	-4.416	-2.066	-1.3185	-2.212	-1.1615	-1.3795	-1.974	-2.293	1.0735	-0.124	-0.2725	-0.0775	0.0755	-0.3625	0.212	0.1515	-2.669	-1.374	-2.426	-1.264	-0.256	0.096	-0.031	-0.106	-1.204	-3.038	-1.143	-0.556	-2.401	-1.174
"YJR063W"	0.655	0.872	-3.233	-2.702	-2.37	-3.68	-1.586	-2.243	-2.236	-1.726	-1.715	-2.078	-1.317	0.199	0.089	-0.301	0.057	0.118	-0.235	-0.798	-0.408	-1.51	-1.289	-2.958	-2.455	-0.187	-0.059	0.002	-0.218	-1.45	-1.396	-1.004	-0.896	-1.252	-0.834
"YKL009W"	0.293	0.698	-5.997	-3.719	-3.082	-6.168	-3.144	-2.368	-4.341	-2.856	-2.349	-3.318	-2.938	0.683	0.071	0.013	0.275	-0.386	-1.477	-0.877	-0.274	-2.602	-2.728	-4.823	-3.636	-0.552	-0.44	-0.325	-0.605	-3.584	-1.904	-1.195	-1.381	-1.178	-1.925
"YKL056C"	0.872	0.181	-3.205	-2.603	-3.426	-5.119	-1.914	-2.359	-2.468	-2.281	-2.754	-3.265	-3.483	0.642	0.082	0.203	0.097	-0.398	-0.961	-1.467	0.125	-1.781	-1.747	-2.472	-2.233	-0.301	-0.172	-0.139	-0.049	-3.136	-2.821	-1.376	-1.417	-0.917	-1.832
"YKL081W"	2.461	2.27	-3.858	-3.184	-4.49	-5.155	-3.28	-3.157	-3.635	-3.654	-2.997	-2.811	-3.497	-0.264	-0.035	-0.166	0.247	-0.385	-1.001	-1.137	0.208	-3.076	-3.449	-3.386	-3.054	0.49	1.008	0.642	0.561	-3.086	-3.996	-2.135	-2.065	-2.093	-2.305
"YKL109W"	-0.054	1.124	3.944	4.619	3.232	3.376	3.076	3.27	4.55	3.018	3.054	2.687	2.59	0.651	0.043	0.025	-0.836	-0.222	0.448	-1.232	0.323	3.675	3.213	3.231	3.514	-0.155	0.131	-0.15	0.245	-2.693	-2.039	-1.745	-1.641	-0.168	-1.881
"YKL181W"	0.638	1.193	-3.28	-1.879	-1.818	-4.28	-2.604	-2.243	-1.405	-1.128	-1.023	-2.292	-2.779	0.871	0.097	0.126	0.1	-0.013	-0.272	-0.576	0.131	-2.367	-2.119	-2.308	-2.024	-0.081	0.026	0.018	0.002	-1.438	-1.667	-1.297	-1.87	-2.039	-1.586
"YKR059W"	1.171	1.47	-2.144	-1.383	-2.817	-4.998	-2.593	-2.103	-2.018	-2.106	-2.623	-2.96	-3.568	1.052	-0.079	0.04	0.323	-0.145	-1.054	-1.764	0.219	-2.448	-2.0	-2.025	-1.849	0.197	0.222	0.198	0.128	-2.136	-2.97	-1.908	-2.161	-2.465	-2.469
"YKR081C"	0.444	1.088	-4.081	-2.662	-2.08	-4.632	-3.278	-2.505	-3.734	-2.118	-2.282	-2.696	-2.515	0.751	-0.195	-0.313	0.009	0.287	-0.149	-1.068	-0.337	-3.386	-2.103	-3.261	-2.433	0.119	-0.07	0.047	0.073	-2.014	-0.96	-1.639	-1.365	-1.847	-0.873
"YLL011W"	0.424	0.773	-4.731	-2.872	-1.781	-4.961	-3.053	-2.081	-3.178	-1.944	-2.156	-2.442	-2.375	0.756	-0.405	-0.372	0.173	1.287	-0.767	0.42	0.102	-2.144	-1.596	-2.793	-2.117	-0.555	-0.563	-0.459	-0.353	-1.813	-1.354	-1.078	-1.206	-1.508	-1.492
"YLR009W"	0.816	0.588	-4.675	-2.624	-2.518	-5.388	-2.737	-2.637	-3.455	-2.757	-2.555	-3.216	-2.799	0.6	-0.266	-0.5	-0.226	-0.127	-0.318	-1.06	-0.094	-2.229	-1.452	-3.361	-1.953	0.083	0.145	0.121	-0.057	-2.082	-1.504	-0.843	-1.058	-1.254	-1.745
"YLR044C"	0.83	1.238	-2.007	-2.635	-4.948	-6.198	-1.634	-2.043	-2.978	-1.066	-1.373	-0.923	-2.628	0.914	-0.574	-0.173	0.647	-0.146	-0.479	-0.761	0.186	-3.282	-3.407	-2.618	-3.903	0.853	1.034	0.784	0.677	-2.106	-4.488	-2.022	-1.783	-1.316	-3.268
"YLR060W"	1.279	1.942	-3.165	-2.617	-4.941	-5.967	-2.093	-1.988	-2.773	-2.667	-3.118	-3.713	-4.371	1.836	0.185	0.169	-0.082	-0.294	-1.192	-1.427	0.239	-2.734	-2.666	-2.64	-2.996	-0.155	0.168	-0.183	-0.044	-2.239	-3.341	-2.049	-1.932	-1.31	-1.459
"YLR134W"	1.093	1.2495	-2.4245	-3.4315	-5.018	-5.8935	-1.989	-1.875	-2.7405	-1.1115	-1.3995	-1.2085	-2.6145	0.721	-0.7365	-0.3095	0.461	-0.2315	0.058	-0.204	0.4	-3.416	-3.64	-2.736	-3.769	0.731	1.009	0.885	0.59	-1.833	-4.14	-1.559	-1.634	-1.025	-1.663
"YLR186W"	0.805	1.116	-4.787	-2.844	-4.298	-5.516	-3.036	-2.821	-2.372	-1.671	-1.74	-2.678	-2.467	1.062	-0.166	-0.216	0.36	-0.255	-1.336	-0.035	0.124	-3.381	-2.552	-4.173	-2.896	-0.699	-0.698	-0.286	-0.395	-2.44	-1.582	-1.375	-1.278	-1.399	-2.024
