	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"515.2.5mM DTT 045 min"	"516.2.5mM DTT 060 min"	"517.2.5mM DTT 090 min"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"861.YPD_5_d_30C"	"2964.WT vs lpz8 null cells in low Cu-repeat"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"7541.DES459 (mec1) - log phase (IR time "	"8193.steady state 15 dec C"	"12744.heat shock 17 to 37, 20 minutes"	"14711.Ca 5min (1)"	"14712.Ca 15min (1)"	"15179.Ca 5min (2)"	"15180.Ca 15min (2)"	"32250.DBY8778_heat_shock2_0min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33258.delKIN82_heat shock _5min"	"33414.delKIN82_heat shock _0min_repeat"	"33771.DBY8778(wt)_stationary_phase_0hours"	"33779.delYPL230w_stationary_phase_5hours"	"34346.delPPT1(DBY10090)  vs. wt(DBY8778)"
"YBL015W"	2.554	1.948	1.89	1.373	1.991	2.07	-0.454	-0.81	-0.479	0.913	5.024	2.744	0.263	0.143	0.085	-0.467	0.26	2.179	0.589	0.639	0.393	0.793	0.623	1.247	0.735	0.835	0.211	-0.229	3.333	0.12
"YBL045C"	1.85	1.673	1.638	1.234	1.75	1.679	-1.0	-0.175	-0.098	-0.693	3.101	0.169	0.07	0.178	0.254	-0.656	0.005	1.37	0.52	0.652	0.294	0.845	0.228	0.708	0.71	1.131	0.448	-0.278	2.474	0.259
"YBR061C"	-1.926	NaN	-1.948	-1.467	-1.75	-1.231	-0.643	-1.193	-0.762	-1.255	-0.424	0.602	-0.032	-0.224	-0.368	-0.834	-0.459	-1.504	-0.755	-1.224	-1.143	-1.196	-0.938	-2.531	-2.082	-1.548	-0.369	-0.257	-2.607	-0.131
"YBR084W"	-2.64	-2.965	-3.129	-2.61	-3.49	-3.539	-0.801	-1.247	-1.329	-2.0275	-4.143	-5.362	-0.268	0.082	0.21	-0.513	-0.747	-4.142	-1.085	-1.851	-1.524	-1.987	-0.826	-4.322	-3.02	-0.218	0.528	-0.728	-4.104	-0.305
"YCL059C"	-3.484	-4.56	-4.242	-3.611	-4.218	-3.675	-0.755	-0.924	-1.046	-2.7855	-4.786	-5.277	-0.182	-0.103	-0.304	0.177	-0.25	-4.664	-0.941	-2.169	-1.068	-2.235	-0.589	-2.908	-2.614	-1.028	-0.212	-0.361	-4.436	-0.08
"YCR072C"	-4.048	-3.359	-3.587	-2.626	-3.503	-2.949	-1.496	-1.51	-1.178	-1.6695	-4.777	-4.875	-0.185	-0.408	-0.4765	-0.494	0.325	-4.635	-2.826	-2.632	-2.491	-2.988	-1.482	-4.551	-2.816	-2.351	-0.593	-0.553	-3.703	-0.002
"YDR087C"	-3.126	-4.331	-4.143	-2.758	-3.643	-3.468	-0.248	-0.652	-0.57	-2.122	-4.139	-4.944	-0.0425	0.0535	-0.208	0.938	-0.319	-4.13	-0.894	-1.552	-0.9	-1.728	-0.624	-3.928	-2.942	-1.143	0.254	-0.628	-3.396	0.585
"YDR324C"	-3.512	-3.118	-2.824	-2.336	-3.184	-3.012	-0.733	-1.367	-1.45	-1.851	-3.361	-4.131	-0.332	-0.263	-0.553	0.534	-0.073	-3.609	0.818	0.714	1.763	1.435	-0.941	-2.29	-1.944	-0.7885	-0.6005	-1.039	-3.2975	-0.403
"YDR465C"	-3.378	-3.723	-4.511	-3.218	-3.765	-3.563	-0.992	-1.305	-1.116	-2.203	-4.438	-2.557	-0.111	-0.273	-0.186	0.678	-0.18	-3.782	-1.218	-1.908	-1.263	-2.116	0.04	-4.693	-2.965	-0.159	0.854	-0.629	-3.552	0.574
"YDR496C"	-5.251	-1.709	-3.9025	-3.671	-4.953	-4.7405	-0.8265	-1.029	-1.5685	-2.742	-3.1645	-4.393	-0.4005	-0.3795	-0.5125	1.258	0.208	-5.1875	-2.967	-2.715	-2.776	-2.592	-1.116	-3.216	-2.317	-1.651	0.004	-0.28	-1.917	0.806
