	"861.YPD_5_d_30C"	"1018.YPD 13 d (25C)"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YBL027W"	-5.577	-3.148	0.1605
"YBR011C"	-5.344	-3.4585	-0.332
"YBR189W"	-4.702	-2.9475	1.819
"YBR236C"	-2.682	-1.031	0.541
"YCL021W"	-1.4595	-0.34	0.0265
"YCL045C"	-3.911	-2.69566666666667	0.505
"YCL057W"	-3.12	-1.6815	0.869
"YCR044C"	-2.699	-1.758	1.505
"YCR092C"	-1.956	-0.8745	1.343
"YDL073W"	-2.61	-1.5405	1.338
"YDL081C"	-4.594	-2.377	0.114
"YDL145C"	-2.9335	-1.4735	-0.281
"YDL161W"	-2.337	-1.245	1.063
"YDR023W"	-5.745	-3.85	3.446
"YDR025W"	-6.697	-3.518	0.604
"YDR050C"	-5.94	-3.307	0.51
"YDR098C"	-3.797	-2.226	1.678
"YDR261C"	-3.44	-1.836	-0.371
"YDR397C"	-3.056	-1.047	1.416
"YDR412W"	-3.774	-1.977	1.185
"YDR427W"	-4.214	-2.388	2.924
"YDR489W"	-2.293	-0.709	2.241
"YDR510W"	-2.892	-1.451	0.519
"YEL054C"	-7.056	-3.554	-0.047
"YEL058W"	-3.692	-0.015	0.429
"YER043C"	-6.476	-4.918	1.664
"YER077C"	-2.053	-1.371	0.38
"YER117W"	-5.642	-2.976	0.475
"YER154W"	-2.976	-0.943	1.225
"YER157W"	-3.026	-1.266	1.1085
"YFR007W"	-3.428	-0.493	-0.5415
"YFR028C"	-4.271	-1.575	1.292
"YFR039C"	-2.585	-1.353	1.2035
"YFR050C"	-3.392	-1.442	1.479
"YGL026C"	-4.669	-2.636	0.911
"YGL030W"	-5.484	-3.011	1.8155
"YGL049C"	-4.12	-2.23	1.858
"YGL060W"	-3.155	-1.742	0.917
"YGL123W"	-5.982	-3.558	0.659
"YGL147C"	-7.507	-3.483	0.936
"YGL199C"	-2.864	0.331	1.498
"YGL202W"	-4.405	-2.614	1.705
"YGL231C"	-3.788	-1.822	1.803
"YGL238W"	-4.337	-2.674	2.167
"YGL245W"	-6.655	-4.779	0.573
"YGR018C"	-3.319	-0.76	NaN
"YGR058W"	-6.235	-1.326	2.077
"YGR081C"	-3.491	-2.296	0.856
"YGR114C"	-2.579	-1.417	0.371
"YGR123C"	-4.328	-2.243	0.577
"YGR135W"	-4.32	-1.935	0.938
"YGR147C"	-3.257	-0.184	0.3195
"YGR189C"	-4.894	-2.874	0.552
"YGR204W"	-5.27	-2.095	-0.119
"YGR255C"	-3.604	-0.903	2.993
"YHL003C"	-3.084	-1.741	1.985
"YHR068W"	-6.532	-3.425	2.683
"YHR216W"	-4.943	-2.913	0.627
"YIL021W"	-3.289	-1.565	0.125
"YIL052C"	-6.278	-3.158	0.441
"YIR012W"	-4.69	-2.528	0.185
"YJL176C"	-3.318	-1.645	1.052
"YJL177W"	-5.49	-2.905	1.692
"YJL180C"	-3.244	-1.462	1.585
