	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"
"YAL035W"	-2.5615	-3.6215	1.00766666666667
"YAL041W"	-1.239	-2.524	0.212
"YAL047C"	-0.797	-2.677	-0.0105
"YAL058W"	-1.483	-2.3875	-0.22
"YAR030C"	-0.656	-1.031	0.2245
"YBL027W"	-2.671	-5.577	2.086
"YBL057C"	-2.031	-2.661	0.0845
"YBR048W"	-3.0195	-5.0065	0.975666666666667
"YBR113W"	-0.49	-1.72	0.338
"YBR115C"	-1.308	-3.22	1.71
"YBR133C"	-0.844	-2.447	0.662
"YBR143C"	-3.195	-4.642	0.784
"YBR154C"	-3.531	-4.423	1.1225
"YBR164C"	-2.78	-3.277	0.226
"YBR166C"	-2.2345	-3.0285	-0.0856666666666667
"YBR171W"	-2.189	-3.399	-0.075
"YBR189W"	-2.065	-4.702	1.1175
"YBR191W"	-3.167	-5.241	1.1285
"YBR206W"	-2.307	-3.253	0.4555
"YBR228W"	-0.029	-1.995	-0.3875
"YBR244W"	-2.845	-4.144	0.465
"YBR283C"	-1.689	-3.351	0.8575
"YBR288C"	-2.229	-3.524	0.2405
"YCL055W"	-2.339	-3.011	0.188
"YCR043C"	-3.689	-4.19	1.2795
"YCR048W"	-0.451	-1.742	-0.317
"YCR094W"	-1.568	-2.607	0.2585
"YDL122W"	-0.783	-1.935	-0.377
"YDL146W"	-0.859	-1.13	-0.494
"YDL161W"	-0.717	-2.337	0.426
"YDL184C"	-1.2705	-2.545	2.2115
"YDL185W"	-2.522	-4.417	0.997
"YDL195W"	-2.022	-4.61	0.468
"YDL225W"	-2.271	-3.558	0.468
"YDL240W"	-1.935	-1.374	-0.154
"YDR002W"	-2.756	-4.542	-0.247
"YDR037W"	-4.551	-5.224	1.204
"YDR087C"	-3.817	-4.944	0.415
"YDR093W"	-0.867	-0.9635	0.1445
"YDR128W"	-0.3215	-1.9175	-0.0675
"YDR189W"	-1.871	-2.842	0.057
"YDR354W"	-1.897	-2.665	1.086
