	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"814.DBYmsn2-4- 37degree heat - 20 min"	"815.1M sorbitol - 15 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"978.wt_plus_gamma_20_min"	"990.constant 0.32 mM H2O2 (100 min) redo"	"1011.YPD 8 h (25C)"	"1012.YPD 12 h (25C)"	"1015.YPD 3 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1249.mec1_plus_gamma_5_min"	"1300.DBY7286 Low-Pi vs. High-Pi"	"2064.Hypo-osmotic shock - 5 min"	"2559.29C to 33C - 5 min"	"2560.29C to 33C - 15 min"	"4785.29C +1M sorbitol to 33C + 1M sorbitol - 15 min"	"4786.29C +1M sorbitol to 33C + 1M sorbitol - 5 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7529.DBY msn2msn4 0.32 mM H2O2 - 20 min"	"7547.33C no sorbitol 30 min"	"12733.Nitrogen Depletion 8 h"	"12739.Nitrogen Depletion 30 min."	"12744.heat shock 17 to 37, 20 minutes"	"12801.DBYmsn2msn4 (good strain) + 0.32 mM H2O2"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"32255.DBY8778_heat_shock2_60min"	"33259.delKIN82_heat shock _15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38154.03II01 batch p10"	"38155.03II01 batch p11"
"YMR290C"	-3.64	-3.689	-2.957	-3.624	-1.864	-1.513	-5.132	-3.842	-3.455	-2.719	-3.471	-3.509	-5.217	-3.458	-3.017	-3.243	-3.378	-1.31	0.246	-1.478	-4.614	-3.716	-3.665	-2.938	-1.505	-0.801	-0.084	-0.976	-1.38	-0.749	-1.059	0.031	-1.015	-1.56	-1.643	-1.973	-1.839	0.511	-2.555	-2.409	-4.129	-1.696	-3.16	-4.343	-3.775	-1.826	-3.98	-4.028	-3.856	-4.544	-3.558	-3.243	-3.217	-2.21	-2.307	-3.084	-2.267	-2.141	-1.773
"YNL049C"	-0.298	-0.447	-0.139	-0.012	0.153	0.109	-2.113	-1.251	-0.799	-0.74	-0.673	-2.162	-4.607	-0.325	-1.041	-0.939	-0.677	0.164	0.092	0.273	-0.992	-0.505	-1.776	-1.25	0.088	0.501	0.202	0.058	-0.037	-0.009	0.05	0.185	-0.135	-0.029	-0.636	-0.44	0.174	0.13	-0.775	-0.02	0.252	-0.668	-0.505	-0.605	-0.209	-0.216	-0.865	-2.403	-1.941	-2.3	-1.6	-1.171	-1.51	-0.409	-0.428	-0.178	0.011	-0.222	-0.504
"YNL075W"	-3.86	-3.164	-2.558	-2.768	-0.888	-1.62	-4.782	-2.75	-2.189	-1.75	-1.696	-2.103	-3.339	-2.433	-2.131	-3.095	-2.494	-0.385	0.102	-1.158	-2.149	-1.31	-1.122	-0.976	-1.271	-0.983	-0.123	-1.356	-1.136	-1.131	-0.683	0.31	-1.289	-1.076	-6.644	-1.627	-1.805	0.531	-0.98	-1.634	-3.301	-1.178	-3.326	-2.935	-2.361	-1.615	-2.748	-2.459	-1.475	-3.779	-2.192	-1.642	-1.957	-1.93	-2.342	-2.099	-1.217	-1.961	-1.498
"YNL119W"	-2.225	-2.262	-2.092	-3.435	-1.792	-1.618	-6.697	-3.692	-2.694	-2.2	-3.337	-5.354	-6.231	-2.598	-1.542	-3.359	-3.366	-0.91	-0.01	-0.185	-3.55	-2.206	-2.843	-3.318	-0.511	-0.737	0.112	-0.099	-0.39	-0.177	-0.458	-0.351	-1.116	-1.602	-1.861	-2.239	-0.959	-0.303	-2.631	-1.461	-2.524	-0.572	-1.359	-2.669	-1.632	-0.853	-1.697	-3.587	-2.801	-4.042	-2.748	-2.546	-2.406	-1.972	-2.637	-3.264	-2.198	-1.947	-2.566
"YNL233W"	0.183	-0.238	-0.233	0.059	-0.399	-0.162	-1.391	-0.83	0.181	0.058	-0.245	-2.221	-3.551	-0.071	-0.583	-0.651	-0.326	0.25	0.057	-0.116	-1.542	-0.912	-2.84	-2.716	-0.113	0.177	0.191	0.752	-0.01	0.37	0.182	0.598	0.061	-0.263	-0.151	-0.004	-0.139	0.613	-0.234	0.352	0.649	0.376	-0.996	-1.365	-1.126	-0.123	-0.96	-1.243	-1.836	-1.79	-2.083	-1.925	-1.18	-0.856	-1.188	-1.026	-1.259	-0.379	-0.932
"YNL248C"	-4.791	-4.315	-3.398	-4.373	-1.572	-2.419	-5.716	-3.559	-4.488	-2.794	-3.857	-4.575	-5.215	-3.618	-2.168	-3.866	-3.014	-0.977	0.099	-1.612	-5.072	-2.924	-3.902	-3.609	-1.471	-0.842	-0.211	-1.301	-1.065	-1.174	-0.744	0.305	-1.778	-1.222	-1.744	-2.203	-1.852	0.554	-3.166	-3.695	-4.868	-1.518	-3.442	NaN	-2.886	-1.415	-5.118	-4.652	-4.217	-6.193	-3.878	-3.385	-3.227	-3.661	-2.422	-3.302	-2.29	-3.147	-2.631
"YOR310C"	-5.053	-4.365	-3.309	-3.004	-1.494	-1.983	-6.006	-3.92	-3.4655	-3.303	-3.319	-4.7765	-7.1385	-3.101	-2.5655	-3.766	-3.585	-0.621	0.335	-0.594	-5.777	-4.105	-5.099	-4.866	-1.096	-0.481	0.245	-0.452	-0.998	-0.322	-1.065	0.094	-1.306	-1.862	-2.082	-2.194	-1.71	0.306	-3.238	-3.457	-4.948	-1.398	-3.619	-4.326	-3.006	-1.468	-4.099	-4.564	-4.629	-5.14	-4.292	-3.502	-2.073	-3.033	-2.54	-3.229	-2.493	-2.539	-2.456
"YOR312C"	-2.426	-2.612	-1.995	-3.7	-1.346	-1.31	-3.8645	-3.381	-2.919	-2.227	-2.2895	-3.3005	-4.8175	-2.4995	-2.054	-2.99	-3.177	-0.784	0.187	-0.059	-4.638	-2.402	-1.569	-3.224	-0.304	-0.474	0.38	0.363	-0.107	0.289	-0.146	0.016	-0.592	-1.51	-1.763	-2.046	-0.616	-0.019	-2.684	-1.289	-2.873	-0.759	-1.167	-3.057	-1.602	-1.109	-2.611	-4.379	-3.433	-4.531	-3.454	-2.689	-2.886	-1.564	-1.836	-2.74	-2.092	-1.926	-2.281
"YOR320C"	-0.495	-0.655	-0.338	0.014	0.09	-0.636	-0.611	-0.3265	-0.1235	-0.398	-0.089	-1.2535	-3.6785	-0.048	-1.148	-0.551	-0.936	-0.126	0.485	0.363	-0.637	-0.427	-1.454	-1.828	0.291	0.308	0.258	0.445	0.334	0.353	0.576	0.616	-0.195	-0.256	-0.303	0.24	0.199	0.533	0.513	0.399	-0.107	-0.008	-0.482	-0.9	-1.194	-0.275	-0.858	-0.328	-0.371	-1.062	-0.828	-0.55	-0.387	-0.115	0.063	-0.225	-0.088	-0.12	-0.537
"YPL208W"	0.147	2.679	-0.222	0.0	0.103	-0.22	-0.698	-0.2315	0.0205	-0.637	-0.3965	-1.3785	-2.379	-0.287	-0.69	-0.3635	-0.4715	0.293	0.692	0.501	-1.343	-1.13	-0.115	-0.695	0.271	0.225	0.451	NaN	0.769	0.729	0.457	1.067	0.118	0.623	0.647	0.667	0.726	0.397	0.118	0.362	-0.57	0.475	0.257	0.041	-0.059	0.258	-1.331	-1.39	-1.292	-1.471	-1.19	-1.095	-1.273	-0.298	-0.709	-0.3	-0.298	-0.447	-0.895
"YPL210C"	-0.565	-0.7685	-0.74	-0.8685	-0.163	-0.565	-0.53	-0.722333333333333	-0.585333333333333	-0.484333333333333	-1.23333333333333	-2.00066666666667	-3.50166666666667	-0.450666666666667	-0.383666666666667	-0.457	-0.722333333333333	0.1655	0.1015	-0.1875	-1.2465	-1.187	-1.9415	-1.2345	0.256	-0.315	-0.0215	-0.257	0.289	0.0615	0.3465	0.8005	-0.1405	-0.257	-0.516	0.102	0.0675	0.8075	-0.135	0.212	-0.446	0.0575	-0.888	-0.642	-0.421	-0.563	-1.29	-1.53	-1.491	-1.147	-1.646	-1.406	-1.084	-0.614	-0.637	-0.348	-0.535	0.138	-0.222
"YPL226W"	-3.457	-3.002	-2.4945	-4.183	-1.6105	-1.4335	-4.86566666666667	-3.38066666666667	-2.57633333333333	-1.80333333333333	-2.21533333333333	-3.95033333333333	-5.67966666666667	-2.472	-2.84333333333333	-3.37333333333333	-2.503	1.105	0.1555	0.0045	-4.0095	-2.8955	-2.9025	-3.983	0.2405	-0.395	0.4195	-0.312	-0.8535	-0.783	-0.5515	-0.4785	-0.539	-1.373	-1.404	-1.3215	-1.074	-0.0315	-2.562	-2.3605	-3.215	-0.7665	-2.55	-3.076	-2.041	-1.164	-3.793	-2.657	-3.519	-3.811	-3.004	-2.748	-2.36	-1.952	-1.596	-2.123	-1.895	-1.471	-1.898
"YPR110C"	-3.178	-3.084	-2.507	-3.728	-1.316	-1.914	-5.7185	-3.423	-3.2115	-2.8345	-3.133	-3.662	-6.318	-2.6255	-1.862	-3.01	-3.296	-0.936	0.055	-0.693	-3.88	-2.703	-3.212	-3.358	-0.74	-0.741	0.279	-0.247	-0.882	-0.409	-0.777	-0.016	-1.228	-1.496	-1.994	-1.245	-1.375	0.419	-2.073	-1.911	-3.168	-1.271	-2.665	-3.436	-2.354	-1.182	-3.503	-2.851	-1.853	-3.882	-3.113	-2.597	-2.759	-2.538	-1.843	-2.294	-1.225	-1.842	-2.622
"YPR125W"	-0.855	-0.693	-0.284	-0.928	0.382	-0.311	-1.31	-0.8665	-0.342	-0.6235	-0.68	-1.846	-4.04	-0.556	-0.616	-1.064	-1.0545	0.429	0.06	-0.564	-1.231	-0.532	-1.757	-2.566	-0.415	0.805	0.591	0.235	0.221	0.646	0.775	1.157	-0.199	0.821	0.466	0.765	0.668	1.057	-0.193	-0.384	-0.85	0.913	-1.562	-0.873	-0.793	-0.62	-0.229	-1.254	-1.785	-1.445	-2.16	-1.37	-0.608	-0.453	-0.6	-0.87	-0.512	0.512	-0.086
