	"107.heat shock 10 min"	"115.heat shock 20 min repeat"	"407.heat shock 33 to 37, 20 minutes"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"518.2.5mM DTT 120 min"	"519.2.5mM DTT 180 min"	"830.1.5 mM diamide (10 min)"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"986.constant 0.32 mM H2O2 (30 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"11466.yO1 test hyb"	"15635.Ca+FK 15min (2)"	"15636.Ca+FK 30min (2)"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"32254.DBY8778_heat_shock2_30min"	"33259.delKIN82_heat shock _15min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"38152.03II01 batch p8"	"38153.03II01 batch p9"	"38154.03II01 batch p10"
"YBL040C"	0.908	0.292	0.487	0.69	0.813	0.957	1.443	1.49	0.581	0.421	0.494	0.757	0.678	0.542	0.265	-0.244	-0.501	-0.8	-0.948	-1.067	-1.585	-3.288	-0.668	-0.934	-1.261	-1.415	0.529	-0.1315	-0.5885	-0.8485	-0.773	-1.5345	-1.6035	-2.3045	0.045	-0.5955	-0.006	0.2005	0.717	1.094	1.164	1.133	-0.044	0.19	-0.297	0.077	-0.023	0.814	1.129	0.539
"YBL077W"	-0.368	-1.205	-0.375	-1.238	-1.572	-1.735	-0.253	-0.789	-0.153	-0.747	-1.083	-0.909	-0.729	-0.467	-3.41	-2.161	-1.694	-1.571	-2.021	-1.176	-3.136	-5.081	-2.763	-2.285	-2.607	-2.667	-0.376	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	-1.147	-1.547	-1.319	-1.042	-0.501	-1.151	-0.217	0.114	-2.93	-2.854	-2.752	-2.048	-1.678	-0.363	-0.179	-0.825
"YBR106W"	-0.796	-1.108	-0.532	-0.822	-1.077	-1.574	0.644	0.08	0.606	0.512	0.532	0.785	0.826	0.86	-2.949	-2.026	-1.695	-1.83	-2.108	-1.986	-3.354	-5.052	-2.258	-2.173	-2.595	-2.731	-0.075	-2.3915	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	-0.875	-1.924	-0.148	0.231	-0.921	-0.648	-0.165	-0.812	-2.846	-2.825	-2.779	-2.225	-1.35	-0.132	-0.225	-0.752
"YBR121C"	-0.522	-1.742	-1.029	-1.211	-1.752	-2.004	-0.743	-0.483	-0.245	-0.881	-1.117	-0.761	-0.747	-0.608	-2.66	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-5.791	-2.317	-1.95	-2.366	-2.465	-0.519	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-1.272	-2.249	-0.653	-0.494	-1.152	-2.234	-1.319	-1.24	-2.264	-2.22	-1.806	-1.543	-2.181	-0.301	0.07	-0.366
"YCR002C"	0.702	-0.454	-0.569	0.133	0.052	-0.038	0.741	1.254	0.296	0.188	-0.061	0.256	0.1	0.214	-1.02	-0.687	-0.686	-1.293	-1.572	-1.667	-3.669	-5.182	-0.224	-0.404	-0.658	-1.575	0.866	-1.074	-0.8665	-1.1235	-1.597	-2.564	-2.9535	-2.7005	-0.222	-1.48	0.65	0.64	-0.299	-0.045	-0.027	0.487	-1.051	-0.351	-1.257	-0.495	-1.189	0.792	1.336	0.838
"YCR043C"	-0.387	-1.129	-0.649	-0.772	-0.911	-1.04	-0.617	-0.609	0.087	-0.354	-0.404	-0.231	0.017	-0.441	-2.068	-1.622	-1.952	-2.29	-2.955	-2.468	-3.689	-4.19	-1.244	-2.054	-1.541	-2.233	-0.344	-1.775	-1.6685	-2.015	-2.0825	-1.7505	-1.8875	-1.6275	-0.535	-1.304	-0.718	-0.01	-0.583	-0.653	-0.489	-0.613	-1.065	-1.275	-1.366	-0.74	-1.808	-0.317	-0.072	-0.51
"YCR090C"	0.188	-0.472	0.107	-0.049	-0.192	-0.488	0.091	0.444	0.346	-0.024	-0.007	-0.119	0.067	-0.068	-0.357	-0.535	-0.707	-1.291	-1.099	-1.417	-2.154	-3.547	-0.463	-0.449	-0.587	-1.152	0.207	-0.7875	-0.919	-0.809	-0.8085	-1.35	-1.5355	-1.325	-0.242	-0.871	-1.173	0.933	-0.496	0.284	0.065	0.202	0.141	-0.084	-0.278	0.135	0.045	0.55	0.876	0.477
"YDL192W"	-0.039	-0.604	0.388	-0.44	-0.43	-0.547	0.733	0.7	0.806	0.545	0.439	0.52	0.55	0.633	-1.319	-0.908	-0.369	-0.928	-0.927	-1.408	-1.026	-2.919	-0.949	-0.906	-2.056	-2.008	-0.039	-1.5	-1.152	-1.284	-1.38	-1.203	-1.441	-2.326	-0.813	-1.095	-0.189	0.583	-0.185	-0.725	-0.728	0.142	-1.046	-1.125	-1.497	-0.447	-2.042	0.328	0.493	0.037
"YDR037W"	-0.635	-2.165	-1.164	-1.968	-2.701	-2.679	-1.26	-0.954	-0.429	-1.138	-1.65	-1.299	-0.894	-0.317	-4.313	-3.427	-3.607	-3.146	-3.858	-3.458	-4.551	-5.224	-3.226	-2.505	-2.756	-2.42	-0.059	-1.971	-2.384	-2.681	-2.313	-2.916	-3.368	-3.772	-1.217	-2.523	-0.87	-0.507	-0.618	-1.462	-0.748	-0.366	-3.366	-4.204	-3.541	-2.204	-3.047	-1.101	-2.417	-1.915
"YDR117C"	-0.053	-0.233	-0.348	-0.333	-0.717	-0.71	0.262	0.235	-0.043	0.099	0.115	0.331	0.197	-0.004	-0.596	-1.177	-0.681	-0.838	-0.837	-0.535	-1.737	-2.494	-0.449	-0.455	-0.634	-1.141	0.557	-0.957	-1.292	-0.967	-1.278	-1.618	-1.45	-1.497	-0.194	-0.613	-0.244	0.28	-0.018	-0.403	0.032	-0.328	-1.389	-0.123	-0.635	-0.49	-0.635	0.119	-0.034	-0.108
"YER009W"	0.478	-0.699	-0.4	-0.644	-0.272	-0.343	0.497	0.615	0.624	0.131	0.507	-0.006	-0.029	-0.084	-1.519	-0.518	-0.602	-0.827	-1.398	-0.688	-2.671	-4.765	-1.145	-1.222	-2.143	-1.906	0.156	-1.108	-0.939	-1.407	-1.465	-2.034	-2.393	-2.025	-0.7	-0.484	-0.478	-0.4565	0.221	-0.239	0.118	0.731	-1.001	-0.875	-1.084	-0.744	-1.282	0.691	1.241	0.204
"YFL014W"	6.328	6.782	7.281	7.608	7.123	7.628	6.117	6.659	4.033	6.369	6.116	6.623	6.54	6.062	5.794	5.399	4.088	6.044	5.422	6.344	4.533	3.257	5.246	5.355	4.63	4.245	6.33	6.618	5.819	5.357	6.09	5.141	6.362	4.691	4.982	2.253	3.4915	3.028	4.2	5.664	5.678	2.887	7.714	6.221	6.006	5.717	5.628	4.417	3.814	5.086
"YGL242C"	1.038	0.968	1.347	1.063	0.999	0.951	0.857	1.144	0.661	0.749	0.548	0.498	0.613	0.162	-1.824	-1.382	-0.565	-1.197	-0.727	-0.797	-2.095	-1.871	-0.76	-0.838	-0.879	-0.973	0.517	-1.317	-0.747	-0.4	-0.301	-1.198	-1.69	-2.207	0.248	-0.729	1.117	1.549	0.885	1.702	1.248	2.203	-1.429	-1.269	-0.725	-0.564	-0.391	0.502	0.059	0.508
"YGR264C"	-1.2725	-2.2015	-1.142	-1.728	-2.2555	-2.419	-1.18	-0.959	-0.891	-1.643	-1.979	-1.492	-1.302	-1.042	-3.787	-2.696	-3.156	-3.156	-2.945	-3.206	-5.206	-4.616	-3.505	-3.321	-2.811	-3.49	-0.764	-3.897	-2.503	-2.707	-3.468	-4.623	-4.957	-4.753	-1.1595	-2.468	-1.536	-1.017	-1.302	-1.523	-0.97	-1.508	-2.673	-3.33	-3.082	-1.962	-2.066	-1.167	-1.89	-0.831
"YHR068W"	-0.145	-1.2965	-0.4015	-1.3575	-1.6155	-1.646	-0.181	-0.774	-0.087	-0.414	-0.793	-0.498	-0.411	-0.04	-3.316	-2.566	-2.252	-2.251	-3.015	-2.166	-4.28	-6.532	-2.873	-2.52	-2.526	-1.119	-0.06	-2.945	-1.652	-1.927	-2.429	-2.724	-3.669	-3.425	-1.4595	-2.29	-0.778	-0.306	-0.411	-1.525	-1.087	-0.036	-2.467	-2.406	-2.362	-1.8	-1.861	-0.727	-0.855	-1.183
"YHR087W"	6.0195	5.252	5.246	6.08	5.929	6.501	4.199	3.802	3.852	4.664	3.281	3.433	2.884	2.772	3.602	3.744	2.307	4.087	2.742	2.235	1.367	0.859	2.8	2.77	2.486	1.963	3.192	2.42	1.845	1.851	2.304	1.409	1.28	1.0	1.9075	4.359	6.151	5.16	6.124	6.178	5.278	5.117	4.15	5.778	4.259	3.36	4.227	4.231	4.436	4.069
