	"686.YP ethanol vs reference pool"	"813.MHY1 (dun1) + heat 20 min"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1155.DY1457 (wild type) 3 mM vs. 10 uM zinc"	"2556.Hypo-osmotic shock - 45 minutes"	"2557.Hypo-osmotic shock - 60 minutes"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"8287.mcm1-1 + pRS315 vs. mcm1-1 + pRS-MCM7"	"21634..24 mM H2O2- 155 minutes"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34356.delPPT1_hypo_osmotic_shock_60min"
"YBL057C"	-0.5155	0.268	-0.443	-0.869	-2.031	-2.661	-0.509	-0.87	-1.034	-1.105	0.4105	-0.8965	-0.5975	-1.502	-1.552	-2.088	0.1415	0.086	0.061	0.2105	-0.185	0.13	0.157	-0.271	-0.545	0.045
"YBR011C"	-0.9625	-0.0355	-1.081	-0.977	-4.081	-5.344	-0.969	-0.352	-0.95	-1.407	0.133	-0.649	-1.271	-2.3835	-3.0585	-3.4585	0.1465	0.247	0.326	0.258	-0.22	0.331	0.682	-0.771	-1.509	0.654
"YBR028C"	-0.135	-0.764	0.259	-0.272	-2.27	-3.596	-0.776	-0.855	-0.571	-1.294	-0.324	-0.6465	-0.575	-1.494	-2.3575	-2.334	-0.234	0.043	0.21	-0.3005	-0.646	0.381	-0.448	-0.475	-1.201	0.295
"YBR106W"	-0.828	-0.472	-1.83	-2.108	-3.354	-5.052	-2.258	-2.173	-2.595	-2.731	0.3385	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.2645	0.256	0.209	0.066	-0.875	0.634	0.304	-2.225	-1.35	-0.038
"YBR164C"	-0.359	-0.4045	-1.134	-1.248	-2.78	-3.277	-0.715	-0.631	-1.258	-1.624	0.32	-1.114	-1.4825	-1.3225	-2.355	-1.882	-0.053	-0.042	-0.105	0.0025	-0.452	0.116	0.502	-0.563	-0.889	-0.193
"YCL045C"	-1.00466666666667	-0.67	-0.949	-1.0965	-3.044	-3.911	-1.1955	-1.4795	-1.516	-1.986	-0.1555	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	-0.0866666666666667	0.0785	0.0655	0.0683333333333333	-0.201	-0.162	-0.0765	-0.797	-0.647	0.202
"YCR053W"	-1.076	-0.963	-1.952	-1.707	-3.556	-4.283	-1.206	-2.391	-1.41	-1.635	0.083	-1.531	-2.1605	-2.429	-3.1075	-2.714	-0.09	0.651	0.623	-0.025	-0.557	-0.175	-0.256	-2.2205	-2.352	0.3205
"YDL111C"	-0.5415	-0.262	-1.628	-1.9145	-4.07	-4.505	-1.0795	-2.186	-1.6645	-2.051	0.3725	-1.548	-1.4565	-1.8915	-2.1955	-1.9395	0.116	0.142	0.1145	-0.086	-0.45	0.165	0.1505	-0.971	-0.663	0.204
"YDL150W"	-0.305	-0.511	-0.601	-0.448	-1.728	-3.715	-1.73	-1.542	-0.97	-0.525	0.129	-1.402	-1.259	-1.456	-1.824	-1.598	0.064	0.42	0.438	-0.157	-0.449	0.237	0.32	-1.139	-0.937	-0.173
"YDL164C"	-0.34	0.071	0.245	-0.252	-2.07	-2.932	-0.983	-1.128	-0.654	-1.221	-0.284	-0.848	-0.591	-1.104	-1.04	-1.585	-0.028	0.201	-0.053	0.208	-0.5	-0.033	0.128	-1.1835	-0.46	0.103
