	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"831.1.5 mM diamide (20 min)"	"834.1.5 mM diamide (30 min)"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1313.diauxic shift timecourse: 20.5 hr"	"4048.0.8M NaCl +FK506 - 30 min"	"7759.Na 30min"	"7760.Na 45min"	"7761.Na 60min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"11466.yO1 test hyb"	"12734.Nitrogen Depletion 12 h"	"12736.Nitrogen Depletion 1 d"	"12737.Nitrogen Depletion 2 d"	"12738.Nitrogen Depletion 3 d"	"12744.heat shock 17 to 37, 20 minutes"	"32251.DBY8778_heat_shock2_5min"	"32253.DBY8778_heat_shock2_15min"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"
"YBL018C"	-1.03	-2.0	-1.41	-1.428	-1.073	-0.813	-0.873	-0.777	-0.303	-0.656	-0.069	-0.911	-1.659	-0.804	-0.075	-1.096	-0.6765	-0.4115	-0.2745	-0.427	0.015	-1.37	-1.312	-1.258	-1.01	-0.707	-1.152	-1.291	-0.1095	0.005	0.3835	0.5445	0.981	-1.278	-0.836	-0.879	-0.152	-0.251	-1.261	-0.563	0.125	-0.185	-0.619	-0.144	-0.036
"YBL106C"	-0.286	-1.056	-0.481	-0.426	-0.447	-0.374	-0.418	-0.372	-0.159	0.759	1.09	-0.726	-0.12	0.052	0.534	0.936	0.0305	0.244	0.754	0.669	-0.148	-0.552	-0.34	-0.13	-0.296	-0.592	-0.274	-0.213	0.393	0.4525	0.1215	0.0065	0.1935	-0.771	-0.774	-0.517	0.292	-0.04	-0.075	-0.264	-0.218	-0.278	-0.234	0.616	0.66
"YBR266C"	-3.764	-3.869	-2.532	-1.817	-3.376	-2.405	-2.443	-1.853	-2.021	-1.084	-1.218	-2.41	-2.698	-1.515	-0.807	-0.29	-1.345	-0.9	-1.0935	-0.593	-0.881	-2.141	-2.026	-2.578	-1.489	-1.757	-2.513	-2.064	-1.723	0.209	-0.22	0.1655	-0.6945	-4.774	-3.626	-3.097	-1.368	-0.902	-3.048	-1.518	-1.058	-0.981	-0.93	-1.452	-0.65
"YCR007C"	0.391	0.0	0.276	0.302	0.263	0.522	0.384	0.438	1.868	1.503	2.571	0.809	1.064	0.844	1.622	1.197	1.056	1.5745	1.3385	2.237	0.639	0.915	0.868	0.831	0.713	0.777	0.569	0.321	1.366	0.826	1.168	1.0115	1.5635	0.403	-0.037	0.306	0.786	0.858	0.078	0.665	0.573	1.906	0.612	2.039	1.448
"YCR056W"	-4.016	-2.825	-2.447	-2.829	-2.918	-3.04	-2.373	-1.894	-1.405	-1.066	-1.551	-1.291	-1.568	-1.17	-1.277	-2.212	-1.4905	-1.616	-1.0105	-1.042	-0.761	-2.642	-1.205	-2.081	-2.018	-1.213	-1.755	-1.781	-0.726	-1.1365	-0.687	-0.531	-1.2605	-3.273	-2.539	-1.484	-0.846	0.01	-1.828	-0.946	-1.05	-1.826	-0.382	-0.286	0.279
"YDR070C"	2.806	2.502	1.3845	2.3175	2.8115	1.0335	2.3165	2.3715	4.302	3.751	4.213	2.149	3.694	4.458	3.732	3.513	3.928	4.0405	4.3945	5.1055	2.108	3.749	3.5745	3.433	3.618	2.4825	2.551	2.9395	5.213	4.1095	3.7155	4.168	3.4185	3.1395	1.316	2.133	4.483	4.033	3.983	3.987	3.443	4.008	3.452	3.749	4.248
"YDR242W"	0.0705	-0.036	0.04	0.285	0.145	0.3825	-0.1465	0.0805	0.969	0.594	1.08	0.2865	0.3185	0.5775	0.6815	1.687	0.449	0.8645	1.3665	0.549	NaN	0.3145	0.138	-0.052	0.448	0.178	0.2565	0.1265	0.653333333333333	2.0675	2.611	2.7285	2.9405	0.205	0.008	0.2625	0.4735	0.4135	-0.0725	0.426	0.1955	1.017	0.3615	0.891	1.202
"YDR256C"	-0.224	-0.558	0.308	0.568	0.496	0.208	-0.033	0.261	4.821	4.651	4.296	-0.015	2.584	1.657	2.52	2.094	3.018	2.336	2.135	4.776	1.461	0.941	0.56	0.844	0.691	0.332	1.049	1.371	3.183	1.445	0.861	0.383	1.499	0.679	-0.4	0.153	2.138	0.823	1.421	2.981	3.088	3.252	2.406	4.154	3.682
"YDR262W"	0.645	0.314	0.668	0.844	0.6295	0.509	-0.0585	-0.0425	1.8825	2.06	2.6665	0.7445	1.014	1.473	1.6855	1.6875	2.2405	3.0895	3.2615	4.491	1.36	1.4115	1.0275	1.353	1.3465	0.543	1.12	1.167	2.2315	2.226	2.8725	2.6455	3.067	0.793	0.281	0.732	2.6925	2.8525	1.7955	2.334	2.1775	2.708	1.5025	2.064	2.2825
"YDR496C"	-5.251	-3.9025	-3.671	-4.953	-4.7405	-3.085	-3.2695	-2.809	-2.3365	-2.027	-1.674	-2.7355	-4.5275	-2.8145	-1.899	-2.136	-2.1765	-2.168	-2.517	-2.6065	-1.487	-3.063	-2.733	-3.5775	-2.461	-2.197	-3.151	-2.808	-1.889	-1.078	-1.1385	-0.998	-1.31	-5.1875	-3.598	-3.216	-1.347	-0.231	-1.917	-1.733	-1.551	-1.65	-1.283	-1.696	-1.134
