	"108.heat shock 15 min"	"115.heat shock 20 min repeat"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"497.Heat Shock 000 minutes"	"781.Heat Shock 000 minutes (series 2)"	"797.Heat Shock 000 minutes (series 3)"	"809.DBY7286 37degree heat - 20 min"	"811.DES459 (mec1) + heat 20 min"	"813.MHY1 (dun1) + heat 20 min"	"814.DBYmsn2-4- 37degree heat - 20 min"	"819.DY1457 (wild type) 3 mM vs. 61 nM zinc"	"834.1.5 mM diamide (30 min)"	"836.1.5 mM diamide (40 min)"	"838.1.5 mM diamide (50 min)"	"840.1.5 mM diamide (60 min)"	"842.1.5 mM diamide (90 min)"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"865.Amino acid + adenine starvation 6 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"978.wt_plus_gamma_20_min"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"987.constant 0.32 mM H2O2 (50 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1139.DY1457 (wild type) 3 mM vs. 76 nM zinc"	"1258.DBYyap1 + 37degree heat (repeat)"	"2559.29C to 33C - 5 min"	"2560.29C to 33C - 15 min"	"4780.DBYtrr1 + 0.1 mM H2O2 - 30 min"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"5237.DES460 (wt) - mock irradiation - 5 min"	"5245.DES459 (mec1) - mock irradiation - 30 min"	"5246.DES459 (mec1) - mock irradiation - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"6679.trr - 0.1 mM H2O2 - 10 min"	"6685.trr - 0.3 mM H2O2 - 10 min"	"6688.trr - 0.3 mM H2O2 - 30 min"	"7528.DBYyap1 0.32 mM H2O2 - 20 min"	"7536.25C -- 30 min"	"7537.25C -- 45 min"	"7538.25C -- 60 min"	"7539.25C -- 90 min"	"7540.pRS-ROX1 GAL media"	"7760.Na 45min"	"7763.Na+FK 30min"	"7764.Na+FK 45min"	"7765.Na+FK 60min"	"8227.dtt 000 min"	"8233.dtt 120 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"12734.Nitrogen Depletion 12 h"	"12741.Nitrogen Depletion 1 h"	"12744.heat shock 17 to 37, 20 minutes"	"13058.wt/crz1 Na 30min (2)"	"13065.Na/Na+FK 30min (1)"	"13133.Ca/Ca+FK 30min (2)"	"21638..24 mM H2O2- 070 minutes"	"21657..24 mM H2O2- 063 minutes"	"21659..24 mM H2O2- 077 minutes"	"32253.DBY8778_heat_shock2_15min"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"34360.batch 02X25 4"	"34362.batch 02X25 5"	"34365.batch 02X25 6"	"34368.batch 02X25 7"	"38155.03II01 batch p11"	"42064.U3Comp 12 hr 10 min Uracil Batch vs Chemostat Comparison"
"YBL027W"	-2.395	-1.979	-1.956	-2.978	-3.487	1.4805	1.274	1.424	-1.67	-2.0365	-1.4655	-1.5715	1.77	-0.888	-1.011	-0.65	-0.554	-0.459	-2.851	-2.474	-2.081	-1.613	-2.0	-1.606	-2.671	-5.577	-1.996	-1.089	-0.133	-2.494	-2.654	-2.507	-2.33	-0.62	0.487	-0.618	-3.9845	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	2.086	-1.3615	0.169	-0.205	-1.063	-0.224	-0.009	-0.052	-0.588	-0.233	-1.803	-1.198	-1.547	-1.926	-0.627	1.029	0.311	1.721	1.102	-0.028	-1.345	-0.985	-1.419	-1.848	1.201	-0.71	-2.091	-1.6965	-2.031	-1.119	-1.3565	-3.078	0.8375	0.8625	0.6425	-1.4465	-1.5895	-1.8425	-2.107	-3.528	-3.012	-2.469	-3.351	-3.139	-2.319	-2.291	-1.501	-2.319	-2.736	-1.889	-1.842	2.049
"YBL072C"	-1.8	-2.148	-1.74	-2.905	-3.46	1.4025	1.377	1.296	-1.75	-2.843	-2.178	-2.02	2.378	-1.241	-1.217	-1.082	-0.821	-0.514	-3.835	-3.367	-3.036	-2.694	-2.486	-3.041	-3.192	-6.241	-2.22	-1.39	-0.458	-3.06	-3.401	-3.188	-3.091	-0.794	0.7055	-1.031	-4.1825	-2.074	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	2.746	-1.7095	0.146	-0.33	-1.761	-0.202	-0.241	-0.393	-0.379	-0.316	-2.142	-1.52	-1.887	-2.257	-0.957	1.029	0.463	1.553	1.468	-0.24	-1.917	-0.871	-1.925	-2.018	1.154	-0.56	-2.149	-2.524	-3.2475	-2.2175	-2.079	-2.881	0.846	0.905	0.809	-2.283	-2.951	-1.464	-1.92	-3.331	-2.84	-1.71	-1.857	-2.598	-2.041	-2.699	-1.539	-2.682	-3.92	-3.013	-1.287	2.294
"YBL087C"	-1.796	-2.068	-2.471	-2.952	-3.207	1.1915	1.463	0.964	-1.6	-1.8095	-1.1775	-1.4295	1.794	-1.068	-1.184	-0.967	-0.755	-0.354	-3.104	-2.44	-2.157	-1.789	-1.74	-1.761	-2.104	-2.516	-2.21	-1.184	-0.446	-2.924	-3.187	-2.618	-2.621	-0.6825	0.565	-0.554	-2.933	-1.8755	-2.2155	-2.156	-1.5975	-2.161	-2.357	1.391	-1.7015	0.2	-0.141	-0.899	0.023	-0.086	-0.267	-0.714	-0.283	-1.68	-1.182	NaN	-1.417	-1.195	1.164	0.593	1.763	1.493	0.326	-1.769	-0.995	-1.869	-1.791	1.184	-0.888	-1.729	-1.4515	-2.3015	-2.058	-2.0525	-3.395	1.101	0.867	0.817	-2.162	-3.0575	-2.9395	-2.265	-2.434	-2.559	-1.662	-3.415	-2.879	-2.169	-1.219	-1.612	-2.242	-2.673	-2.337	-2.22	2.134
"YBL092W"	-1.265	-1.775	-1.913	-2.682	-2.829	1.0255	0.97	0.727	-1.562	-2.671	-1.8215	-1.3695	1.356	-0.847	-1.115	-0.749	-0.68	-0.354	-3.458	-3.598	-2.824	-2.394	-2.138	-2.929	-2.896	-5.158	-2.688	-1.112	-0.453	-3.0	-2.812	-2.665	-2.635	-0.825	0.6175	-0.517	-3.5865	-2.2215	-2.153	-2.4445	-1.726	-2.74	-2.8475	1.7355	-1.755	0.193	-0.085	-1.648	-0.039	0.11	-0.37	-0.753	-0.551	-1.647	-1.107	-1.03	-1.656	-0.619	1.226	1.259	1.61	1.471	-0.061	1.17	-1.442	-1.975	-1.804	0.866	-0.485	-1.829	-1.555	-3.0005	-1.6075	-1.8495	-2.927	0.504	0.734	0.306	-1.217	-2.057	-1.317	-1.504	-2.124	-2.013	-1.866	-2.599	-2.171	-2.311	-3.174	-1.066	-1.483	-2.495	-2.227	-1.059	1.797
"YBR048W"	-1.3425	-1.976	-1.916	-2.541	-3.002	1.223	1.0345	0.2985	-1.656	-2.469	-1.03333333333333	-2.00366666666667	2.449	-1.2295	-1.248	-1.032	-0.8715	-0.413	-3.385	-2.4795	-2.968	-2.171	-2.248	-2.2475	-3.0195	-5.0065	-1.978	-1.255	-0.329	-3.0685	-3.137	-3.295	-3.375	-0.827333333333333	0.706333333333333	-0.753	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	0.975666666666667	-1.77033333333333	0.275	-0.189	-1.462	-0.0485	-0.1715	-0.388	-0.418	-0.321	-1.792	-1.6255	-1.91	-1.932	-0.9035	1.0115	0.6235	1.5925	1.169	0.141	-1.4705	-1.1085	-1.6875	-1.53	0.9795	-0.75	-1.878	-2.013	-3.33333333333333	-2.61066666666667	-2.30366666666667	-2.7435	0.557333333333333	0.607	0.771333333333333	-2.26066666666667	-2.77266666666667	-2.554	-2.372	-4.043	-3.545	-3.133	-4.089	-3.69	-2.483	-2.711	-1.681	-2.346	-2.602	-2.386	-2.207	2.207
"YBR181C"	-2.142	-2.16	-2.256	-3.249	-3.825	1.236	1.308	1.121	-1.677	-2.8855	-2.6035	-1.5775	2.072	-1.07	-1.118	-0.819	-0.607	-0.403	-3.762	-3.149	-2.554	-2.265	-1.94	-2.747	-3.798	-4.564	-2.527	-1.101	-0.693	-3.3	-3.365	-3.159	1.639	-0.468	0.736	0.282	-5.0305	-2.0635	-2.493	-2.7035	-2.654	-2.96	-3.945	2.0575	-1.749	0.002	-0.471	-1.367	-0.283	-0.139	-0.298	-0.485	-0.035	-2.057	-0.707	-1.638	-1.527	-1.227	1.084	0.567	1.634	1.245	0.158	-2.255	-0.688	-1.846	-1.46	1.215	-0.901	-2.184	-2.337	-3.0365	-1.8415	-1.593	-3.584	0.827	0.542	0.511	-2.5215	-3.0465	-2.8155	-2.931	-3.618	-2.718	-2.109	-2.98	-3.274	-1.849	-2.601	-1.982	-2.4	-3.426	-2.817	-2.261	2.51
"YBR189W"	-2.555	-2.064	-2.33	-3.868	-4.446	1.308	1.486	1.201	-1.254	-1.657	-1.66	-1.4635	1.645	-1.16	-1.1	-1.02	-0.855	-0.573	-3.784	-3.224	-3.356	-2.463	-2.154	-2.355	-2.065	-4.702	-1.982	-0.749	-0.555	-3.071	-3.483	-2.334	-2.025	-0.746	0.501	-0.766	-3.678	-2.112	-2.629	-2.467	-1.9305	-1.8835	-2.9475	1.1175	-1.244	0.035	-0.08	-0.789	-0.039	-0.004	-0.437	-0.176	-0.164	-1.398	-1.38	-1.845	-1.902	-2.041	1.049	0.521	1.378	1.232	0.031	-2.021	-0.838	-1.625	-1.55	1.246	-1.159	-2.405	-2.4025	-2.7915	-2.2145	-2.165	-3.818	0.849	0.5725	0.6325	-2.1065	-2.5385	-1.283	-2.84	-4.874	-3.763	-4.477	-4.739	-3.572	-3.188	-3.569	-1.949	-2.976	-3.586	-2.747	-1.652	2.591
"YBR191W"	-2.07	-1.945	-2.052	-3.136	-3.824	1.0965	1.388	0.879	-1.55	-1.094	-3.071	-1.558	1.992	-1.127	-1.155	-0.933	-0.64	-0.485	-3.54	-3.222	-3.049	-2.249	-1.912	-2.071	-3.167	-5.241	-2.114	-0.961	-0.337	-3.152	-3.411	-2.563	-2.467	-0.925	0.373	-0.785	-4.5465	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	1.1285	-1.467	0.204	-0.149	-0.788	-0.036	-0.059	-0.576	-0.388	-0.184	-1.951	-1.294	-1.483	-1.639	-1.537	0.954	0.73	1.554	1.354	0.174	-1.908	-0.928	-1.611	-1.764	1.239	-0.852	-2.088	-1.3105	-3.3605	-2.3065	-2.4545	-3.463	0.8265	0.867	0.811	-2.373	-1.3145	-2.439	-1.94	-3.687	-3.657	-2.538	-2.427	-3.266	-2.298	-2.872	-1.925	-2.316	-2.908	-2.439	-1.63	2.574
"YDL061C"	-1.314	-2.379	-2.198	-2.928	-3.023	0.747	0.94	1.013	-1.327	-2.891	-1.824	-1.189	1.412	-1.067	-1.058	-0.625	-0.341	-0.623	-3.45	-2.443	-2.323	-2.345	-2.173	-2.665	-3.265	-4.279	-2.416	-1.186	-0.468	-2.985	-2.81	-1.687	-3.127	2.0	0.485	-0.404	-3.44	-1.91	-2.031	-2.139	-1.095	-0.613	-1.256	1.313	-1.17	0.218	0.038	-0.993	-0.029	-0.175	-0.405	-0.728	-0.31	-1.676	-1.103	-1.528	-2.211	-0.17	1.097	1.229	1.838	1.91	0.234	-1.375	-1.148	-1.864	-1.192	1.085	-0.768	-1.412	-1.147	-2.166	-1.84	-1.548	-2.955	0.882	0.871	0.745	-2.097	-3.152	-2.201	-1.723	-2.373	-2.153	-1.162	-2.791	-2.682	-1.35	-1.842	-1.307	-2.058	-3.059	-2.363	-1.626	1.184
"YDL075W"	-1.882	-1.83	-1.874	-2.777	-2.739	0.784	0.749	0.647	-1.196	-2.53	-1.375	-1.155	1.729	-1.264	-1.384	-1.03	-1.061	-0.675	-2.825	-3.453	-2.828	-2.896	-2.698	-2.441	-2.581	-3.777	-1.585	-0.55	-0.667	-2.009	-2.729	-1.791	-1.684	-0.372	0.117	-1.021	-3.016	-2.013	-2.472	-2.785	-2.433	-1.878	-3.427	2.336	-1.549	0.381	-0.133	-0.96	0.007	0.018	-0.434	-0.417	-0.211	-1.486	-1.405	-0.881	-2.346	-0.831	-0.095	0.634	1.546	1.07	-0.195	-1.45	-0.846	-1.305	-2.023	0.568	-0.628	-2.233	-2.554	-2.886	-1.667	-1.503	-2.202	0.869	0.7215	0.783	-1.82	-2.102	-2.2545	-1.999	-2.895	-3.256	-2.896	-3.17	-3.026	-2.667	-1.039	-2.081	-2.663	-3.242	-2.489	-1.163	1.711
