	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"
"YAR002W"	-1.515	-2.289	-1.1825	-1.2165	-1.493	-1.9265	-1.5805
"YBL057C"	-2.031	-2.661	-0.8965	-0.5975	-1.502	-1.552	-2.088
"YBR011C"	-4.081	-5.344	-0.649	-1.271	-2.3835	-3.0585	-3.4585
"YBR017C"	-1.621	-2.961	-0.9435	-1.582	-1.7435	-1.8555	-1.7945
"YBR082C"	-2.746	-3.456	-1.1805	-0.7415	-1.767	-2.379	-2.5995
"YBR093C"	-3.877	-4.597	1.0395	-1.4665	-2.5345	-3.057	-3.191
"YBR106W"	-3.354	-5.052	-2.0935	-2.137	-2.3225	-3.147	-3.2985
"YBR143C"	-3.195	-4.642	-2.126	-2.659	-2.698	-2.699	-3.572
"YBR153W"	-1.58	-3.987	-0.171	-0.2735	-0.609	-1.032	-0.778
"YBR164C"	-2.78	-3.277	-1.114	-1.4825	-1.3225	-2.355	-1.882
"YBR206W"	-2.307	-3.253	-0.9025	-0.8285	-1.0975	-1.694	-1.6555
"YBR253W"	-1.207	-2.693	-0.1435	-0.331	-0.2405	-0.91	-0.9645
"YCL045C"	-3.044	-3.911	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667
"YCL053C"	-2.481	-4.22	-1.597	-1.8505	-1.7235	-2.7635	-2.2165
"YCL055W"	-2.339	-3.011	-0.518	-1.052	-1.1365	-1.924	-1.148
"YCL059C"	-2.558	-5.277	-1.4885	-1.846	-2.0685	-3.0265	-2.4555
"YCR002C"	-3.669	-5.182	-1.1235	-1.597	-2.564	-2.9535	-2.7005
"YCR003W"	-1.833	-2.705	-0.936	-0.698	-1.028	-1.3745	-1.3805
"YCR052W"	-1.402	-2.66	-0.925	-0.8155	-1.2265	-1.602	-1.3085
"YDR002W"	-2.756	-4.542	-1.309	-0.91	-1.672	-2.746	-2.987
"YDR087C"	-3.817	-4.944	-1.373	-2.022	-1.73	-3.407	-2.893
"YDR101C"	-4.145	-4.667	-1.96	-2.252	-2.862	-3.177	-3.516
"YDR165W"	-3.111	-5.309	-1.396	-1.582	-1.767	-2.409	-2.23
"YDR300C"	-3.24	-3.71	-1.502	-1.321	-2.003	-3.096	-3.345
"YDR341C"	-3.212	-5.262	-1.942	-2.263	-3.262	-3.294	-3.559
"YDR454C"	-2.876	-4.275	-1.608	-1.534	-1.835	-2.466	-2.28
"YDR531W"	-1.84	-3.125	-0.922	-1.171	-1.187	-2.081	-1.441
"YER043C"	-4.78	-6.476	-3.174	-3.716	-3.31	-4.857	-4.918
"YER052C"	-3.288	-5.276	-0.18	-1.066	-2.746	-2.953	-2.839
"YER056C"	-2.346	-3.168	-0.962	-1.162	-1.712	-1.735	-2.211
"YER063W"	-1.329	-2.983	-0.206	-0.29	-0.265	-0.822	-0.984
"YER0871C"	-1.766	-2.794	-0.831	-0.909	-0.894	-1.329	-1.317
"YER090W"	-3.804	-5.004	-1.078	-1.311	-2.327	-2.585	-3.495
"YER127W"	-2.611	-4.439	-1.363	-1.279	-1.098	-2.485	-1.946
"YFL008W"	-1.807	-2.884	-0.705	-1.313	-0.945	-1.86	-1.354
"YFL039C"	-2.57	-3.733	-0.479	-0.492	-1.583	-2.201	-2.764
"YFR031BC"	-4.702	-7.029	-2.521	-2.912	-3.164	-3.863	-4.146
