	"54.Elutriation2:Sample2:Time2.5hrs"	"107.heat shock 10 min"	"597.25 deg growth"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"906.w303a vs w303a hcm1"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"2966.WT vs Lpz8 null cells in high Cu-repeat"	"3020.WT vs lpz8 null cells in high Cu"	"7539.25C -- 90 min"	"8234.dtt 240 min"	"11466.yO1 test hyb"	"12733.Nitrogen Depletion 8 h"	"16514.DES genomic DNA vs. MHY26 (dun1) genomic DNA (correct version)"	"21654..24 mM H2O2- 275 minutes"	"32624.S1Comp 07 hr 05 min Sulfate Batch vs Chemostat Comparison"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"42381.CC LS 2B Leucine-Sulfate Chemostat Comparison"
"YBL077W"	0.4645	-0.368	-0.094	-2.021	-1.176	-3.136	-5.081	0.223	-2.763	-2.285	-2.607	-2.667	-2.0335	-2.345	-2.816	-3.3595	-3.1945	-0.052	-0.023	0.851	-0.818	-1.547	-2.306	-0.257	-0.472	1.277	-2.048	-1.678	0.176
"YBR011C"	-0.2865	0.73	-0.309	-0.977	-1.747	-4.081	-5.344	-0.041	-0.969	-0.352	-0.95	-1.407	-0.649	-1.271	-2.3835	-3.0585	-3.4585	0.101	0.11	0.288	0.13	-1.084	0.03	0.149	-0.741	0.548	-0.771	-1.509	-0.336
"YBR121C"	0.338	-0.522	0.101	-2.186	-2.714	-4.037	-5.791	0.018	-2.317	-1.95	-2.366	-2.465	-2.416	-3.155	-4.1355	-4.173	-4.5985	0.121	0.012	0.893	-0.915	-2.249	-2.1	0.06	-0.268	0.213	-1.543	-2.181	0.213
"YBR288C"	-0.208	-0.114	0.154	-0.889	-1.298	-2.229	-3.524	0.164	-0.693	-0.833	-0.751	-1.088	-0.9095	-1.1005	-1.2605	-1.978	-1.688	0.0235	-0.0725	0.315	-0.087	-0.958	-0.4025	-0.136	0.331	0.322	-0.774	-0.943	-0.015
"YCR002C"	-0.178	0.702	-0.038	-1.572	-1.667	-3.669	-5.182	-0.219	-0.224	-0.404	-0.658	-1.575	-1.1235	-1.597	-2.564	-2.9535	-2.7005	0.3355	0.1875	0.513	0.121	-1.48	-0.0135	0.012	-0.979	-0.079	-0.495	-1.189	-0.077
"YDL143W"	0.0965	0.033	0.293	-0.989	-1.472	-1.678	-3.716	0.067	-1.469	-1.161	-1.388	-1.582	-1.56	-1.794	-2.612	-3.143	-2.716	0.004	0.0945	0.509	-0.263	-1.646	-1.295	-0.114	0.383	0.285	-0.768	-1.556	0.225
"YDR341C"	0.512	-0.622	-0.069	-1.574	-1.681	-3.212	-5.262	0.322	-2.587	-2.171	-2.134	-2.218	-1.942	-2.263	-3.262	-3.294	-3.559	0.215	0.174	0.666	-0.985	-1.562	-1.806	-0.575	0.004	-0.364	-1.169	-1.053	0.109
"YER043C"	0.871	-0.647	0.231	-2.767	-3.397	-4.78	-6.476	0.0	-2.364	-1.977	-3.096	-3.18	-3.174	-3.716	-3.31	-4.857	-4.918	0.058	-0.158	0.967	-0.012	-1.415	-2.241	0.121	-0.447	1.102	-1.71	-1.767	1.28
"YGL016W"	0.1095	-1.017	-0.105	-1.474	-1.127	-3.034	-4.265	0.23	-1.563	-1.245	-1.104	-1.391	-1.815	-1.608	-2.599	-3.554	-2.639	0.116	-0.056	0.396	-0.318	-1.374	-1.153	-0.343	0.201	-0.586	-0.381	-1.077	0.328
"YGL077C"	-0.269	-0.104	-0.684	-1.539	-1.395	-3.716	-3.533	-0.085	-0.962	-0.99	-1.313	-1.711	-1.683	-1.693	-2.529	-2.903	-2.463	-0.301	-0.417	0.113	-0.357	-1.243	-0.452	-0.092	-0.855	0.943	-0.133	-0.212	0.469
