	"54.Elutriation2:Sample2:Time2.5hrs"	"55.Elutriation2:Sample2:Time3.0hrs"	"406.heat shock 37 to 37, 20 minutes"	"686.YP ethanol vs reference pool"	"781.Heat Shock 000 minutes (series 2)"	"802.Heat Shock 060 minutes"	"810.DES460 (wild type) + heat 20 min"	"811.DES459 (mec1) + heat 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"866.starv_in_H2O_0.5_h_30C"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"944.starv_in_H2O_4_h_30C"	"945.starv_in_H2O_6_h_30C"	"984.MHY1 (crt1) vs. CRY1 (wild type) - log phase"	"1010.YPD 4 h (25C)"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1107.alpha factor release sample025"	"1108.DY zap1 3 mM vs. 10 uM zinc #2"	"1167.NBW7 strain low-Pi vs. High-Pi, exp.1"	"1168.PHO81c vs. wild type, exp.1"	"1173.PHO4c vs. wild type"	"1313.diauxic shift timecourse: 20.5 hr"	"1674.Elutriation2:Sample2:Time5.5hrs"	"4874.1M sorbitol - 90 min"	"6344.DES460 + 0.02% MMS - 5 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"11466.yO1 test hyb"	"27094.P1Comp 09 hr 10 min Phosphate Batch vs Chemostat Comparison"	"33414.delKIN82_heat shock _0min_repeat"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33776.DBY8778(wt)_stationary_phase_1day"	"33778.delYPL230w_stationary_phase_2hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"33782.delYPL230w_stationary_phase_1day"	"37280.CC SP 2A  Sulfate-Phosphate Chemostat Comparison"	"37281.CC SP 3A  Sulfate-Phosphate Chemostat Comparison"	"38155.03II01 batch p11"
"YBL077W"	0.4645	0.38	0.59	-1.134	0.519	0.221	-0.904	-1.5985	-3.41	-2.161	-1.694	-1.571	-2.021	-1.176	-3.136	-5.081	-1.351	-2.763	-2.285	-2.607	-2.667	0.3355	0.5285	-2.792	-1.615	-2.0335	-2.345	-2.816	-3.3595	-3.1945	0.062	0.0245	0.055	0.389	0.023	-1.087	-0.042	-0.0685	-0.095	-1.147	-1.547	0.464	1.196	-2.847	-2.93	-1.236	0.59	-2.854	-2.752	-2.048	-1.678	-0.284	0.05	-0.765
"YBR106W"	0.6375	0.0085	-0.196	-0.828	0.904	0.661	-1.16	-0.65	-2.949	-2.026	-1.695	-1.83	-2.108	-1.986	-3.354	-5.052	-1.944	-2.258	-2.173	-2.595	-2.731	0.3385	0.2725	-2.3915	-1.999	-2.0935	-2.137	-2.3225	-3.147	-3.2985	0.3165	-0.1085	-0.188	0.222	-0.089	-1.665	0.4195	0.0415	0.166	-0.875	-1.924	0.5025	0.344	-3.114	-2.846	-1.897	0.009	-2.825	-2.779	-2.225	-1.35	0.611	0.4	-1.569
"YBR121C"	0.338	0.327	0.43	-1.014	0.701	0.077	-1.252	-1.944	-2.66	-1.84	-1.582	-1.543	-2.186	-2.714	-4.037	-5.791	-1.694	-2.317	-1.95	-2.366	-2.465	-0.0545	0.0685	-3.2385	-1.721	-2.416	-3.155	-4.1355	-4.173	-4.5985	-0.0135	-0.2445	-0.015	0.356	0.407	-1.406	0.0935	-0.015	0.03	-1.272	-2.249	0.537	0.363	-2.549	-2.264	-1.948	0.662	-2.22	-1.806	-1.543	-2.181	0.485	0.203	-1.042
"YBR143C"	0.2305	0.262	0.517	-1.0625	0.926	0.123	-0.6815	-1.2775	-2.729	-2.378	-2.339	-2.197	-1.932	-2.537	-3.195	-4.642	-1.29	-2.033	-2.231	-2.012	-2.112	0.3835	-0.066	-3.1475	-1.838	-2.126	-2.659	-2.698	-2.699	-3.572	-0.087	-0.121	-0.065	-0.415	0.039	-1.337	-0.135	0.0525	0.012	-0.972	-1.699	0.1785	0.502	-2.722	-2.02	-1.579	0.396	-2.223	-2.453	-1.217	-1.336	0.468	-1.178	-1.093
"YBR183W"	-1.8085	-0.447	0.068	0.137	-0.994	-0.378	0.448	1.8105	4.661	3.119	2.557	3.002	3.003	3.081	3.506	3.166	2.486	2.418	2.43	1.861	1.727	-0.037	0.9905	4.392	2.7675	2.6755	3.223	3.489	3.8405	2.6835	-0.2865	-0.009	0.238	0.279	-0.006	1.914	0.3955	0.3655	0.27	1.281	1.823	0.058	1.245	3.705	3.348	2.563	0.625	4.716	3.579	3.13	3.325	-0.004	-0.066	2.645
"YCL045C"	0.085	0.268	0.1935	-1.00466666666667	0.178	0.3075	-0.015	-0.176666666666667	-1.369	-0.979	-0.769	-0.949	-1.0965	-0.733	-3.044	-3.911	-0.9525	-1.1955	-1.4795	-1.516	-1.986	-0.1555	0.251	-1.31333333333333	-0.719666666666667	-1.123	-1.34133333333333	-2.25533333333333	-2.94333333333333	-2.69566666666667	0.1685	-0.0836666666666667	-0.079	-0.56	0.419	-0.044	-0.023	0.032	0.0425	-0.201	-0.7035	-0.2645	0.431	-1.498	-1.65	-1.228	-0.095	-1.372	-1.352	-0.797	-0.647	0.32	0.336	-0.628
"YCL050C"	0.348	0.513	0.035	-0.7435	-0.053	-0.573	0.7015	0.8205	-0.651	-1.457	-1.483	-0.96	-1.353	-1.277	-2.331	-2.647	-0.431	-0.276	-0.994	-1.271	-1.353	0.423	0.4665	-1.2675	-1.0365	-0.9575	-0.665	-1.845	-2.758	-2.172	-0.017	0.1585	0.221	0.516	-0.13	-1.578	0.302	-0.032	0.197	1.274	-1.099	0.411	0.604	-2.05	-2.313	-1.697	-0.063	-1.64	-2.136	-1.73	-0.58	0.045	-0.052	-0.508
"YCR043C"	0.359	0.319	0.419	-0.659	0.373	0.354	-0.4105	-1.109	-2.068	-1.622	-1.952	-2.29	-2.955	-2.468	-3.689	-4.19	-1.538	-1.244	-2.054	-1.541	-2.233	0.381	0.0845	-1.775	-1.6685	-2.015	-2.0825	-1.7505	-1.8875	-1.6275	0.136	0.0055	-0.107	0.152	-0.284	-0.742	-0.318	0.0865	-0.052	-0.535	-1.304	0.096	-0.145	-1.187	-1.065	-0.841	0.251	-1.275	-1.366	-0.74	-1.808	-0.195	-0.253	-0.622
"YCR053W"	0.059	-0.004	0.215	-1.076	0.371	0.388	-0.315	-0.6725	-2.562	-1.828	-2.374	-1.952	-1.707	-1.033	-3.556	-4.283	-1.071	-1.206	-2.391	-1.41	-1.635	0.083	-0.092	-2.5805	-1.277	-1.531	-2.1605	-2.429	-3.1075	-2.714	0.253	0.0675	-0.251	0.366	0.335	-1.321	0.365	-0.315	0.175	-0.557	-1.451	0.484	0.5845	-2.722	-2.601	-1.4795	0.359	-2.7365	-2.51	-2.2205	-2.352	0.5805	0.4385	-1.1015
"YDR002W"	1.029	0.943	-0.526	-0.537	0.346	0.085	-0.264	-0.668	-1.205	-1.318	-0.892	-1.054	-1.992	-1.109	-2.756	-4.542	-0.84	-1.195	-1.43	-1.99	-1.796	0.535	0.17	-2.073	-1.447	-1.309	-0.91	-1.672	-2.746	-2.987	-0.131	0.305	0.121	0.413	-0.608	-0.802	0.159	-0.468	-0.207	-0.573	-1.802	0.419	0.275	-2.472	-2.057	-0.44	0.534	-0.877	-1.465	-0.942	-1.446	-0.113	-0.113	-0.207
