	"56.Elutriation2:Sample2:Time3.5hrs"	"108.heat shock 15 min"	"109.heat shock 20 min"	"115.heat shock 20 min repeat"	"116.heat shock 40 min"	"408.heat shock 29 to 37, 20 minutes"	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"800.Heat Shock 015 minutes"	"801.Heat Shock 030inutes"	"809.DBY7286 37degree heat - 20 min"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"857.YPD_12_h_30C"	"858.YPD_1_d_30C"	"859.YPD_2_d_30C"	"860.YPD_3_d_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"942.starv_in_H2O_1_h_30C"	"943.starv_in_H2O_2_h_30C"	"992.constant 0.32 mM H2O2 (160 min) redo"	"993.constant 0.32 mM H2O2 (80 min) redo"	"1012.YPD 12 h (25C)"	"1013.YPD 1 d (25C)"	"1014.YPD 2 d (25C)"	"1015.YPD 3 d (25C)"	"1016.YPD 5 d (25C)"	"1017.YPD 7 d (25C)"	"1018.YPD 13 d (25C)"	"1303.diauxic shift timecourse: 0 hr"	"1310.diauxic shift timecourse: 9.5 hr"	"1666.CLN3 induction 40 minutes"	"4872.1M sorbitol - 60 min"	"6361.DBYyap1- 37degree heat - 20 min (redo)"	"8522.DES459 (mec1-) + 0.02% MMS - 45 min"	"8523.DES459 (mec1-) + 0.02% MMS - 60 min"	"8524.DES459 (mec1-) + 0.02% MMS - 90 min"	"8525.DES459 (mec1-) + 0.02% MMS - 120 min"	"11466.yO1 test hyb"	"12744.heat shock 17 to 37, 20 minutes"	"13490.Y5 mRNP vs. Poly"	"13496.G0 mRNP vs. Poly"	"14946.Hydrostatic pressure (C2 vs P2)"
"YBL027W"	0.819	-2.395	-2.014	-1.979	-1.98	-1.956	-2.978	-3.487	-1.417	-1.025	-1.67	-2.851	-2.474	-2.081	-1.613	-2.0	-1.606	-2.671	-5.577	-1.996	-2.494	-2.654	0.325	-0.092	-3.9845	-1.9755	-2.4005	-2.0465	-1.9795	-2.114	-3.148	0.102	-0.003	-0.667	-0.007	-1.803	0.309	0.268	0.263	0.1225	-1.6965	-3.078	-1.429	0.591	0.262
"YBL041W"	0.3815	0.79	0.949	0.853	0.539	1.118	1.255	0.94	0.778	0.765	0.77	0.659	0.091	0.045	0.047	0.086	0.439	-1.198	-1.247	0.546	0.562	0.209	0.273	0.31	-0.024	0.1945	-0.2405	0.028	-0.642	-1.5125	-1.4115	0.029	0.165	-0.371	0.011	0.492	0.944	0.8375	0.9025	0.887	-0.772	1.113	0.206	0.098	0.307
"YBL072C"	0.6855	-1.8	2.729	-2.148	-1.686	-1.74	-2.905	-3.46	-0.733	-1.083	-1.75	-3.835	-3.367	-3.036	-2.694	-2.486	-3.041	-3.192	-6.241	-2.22	-3.06	-3.401	0.134	-0.354	-4.1825	-2.074	-2.5425	-2.5865	-2.5245	-3.2065	-4.2	0.181	0.422	0.12	0.611	-2.142	0.1345	0.177	0.0805	0.2455	-2.524	-2.881	-1.136	0.756	0.566
"YBL092W"	0.3545	-1.265	-1.354	-1.775	-1.757	-1.913	-2.682	-2.829	-0.666	-1.112	-1.562	-3.458	-3.598	-2.824	-2.394	-2.138	-2.929	-2.896	-5.158	-2.688	-3.0	-2.812	-0.471	-0.794	-3.5865	-2.2215	-2.153	-2.4445	-1.726	-2.74	-2.8475	0.487	0.081	0.026	0.097	-1.647	-0.2125	-0.2485	-0.3555	-0.1395	-1.555	-2.927	-1.19	0.512	0.043
"YBR048W"	0.732333333333333	-1.3425	0.8255	-1.976	-1.7005	-1.916	-2.541	-3.002	-0.746	-0.164	-1.656	-3.385	-2.4795	-2.968	-2.171	-2.248	-2.2475	-3.0195	-5.0065	-1.978	-3.0685	-3.137	-0.185	-0.4525	-4.66033333333333	-2.35966666666667	-2.77266666666667	-2.738	-2.849	-3.15166666666667	-3.929	0.224	0.274	-0.768	0.190666666666667	-1.792	-0.25	-0.287	-0.315666666666667	-0.01	-2.013	-2.7435	-1.3525	0.2945	0.4465
"YBR191W"	0.736	-2.07	-2.149	-1.945	-1.586	-2.052	-3.136	-3.824	-0.971	-0.743	-1.55	-3.54	-3.222	-3.049	-2.249	-1.912	-2.071	-3.167	-5.241	-2.114	-3.152	-3.411	0.312	-0.019	-4.5465	-2.1205	-2.496	-2.5175	-2.3795	-2.6255	-3.136	0.16	-0.078	1.02	0.1555	-1.951	0.1455	-0.023	0.1105	0.222	-1.3105	-3.463	-1.517	0.552	0.313
"YCL037C"	0.311	-3.343	3.408	-2.957	-1.134	-2.341	-3.618	-3.651	-2.613	-1.432	-0.515	-4.172	-2.907	-2.398	-3.02	-1.976	-2.769	-2.555	-3.932	-1.65	-2.218	-1.842	0.354	0.405	-3.1075	-2.3555	-2.8585	-3.054	-2.457	-2.4225	-2.617	-0.005	0.489	-0.476	-0.06	-0.578	-0.674	-0.3455	-0.456	-0.4435	-2.864	-2.787	0.275	0.604	0.513
"YCR016W"	-0.085	-2.622	-2.305	-2.118	-1.458	-2.019	-2.87	-2.734	-2.017	-1.327	-0.774	-2.836	-1.258	-1.77	-1.495	-2.335	-2.204	-1.226	-2.969	-1.647	-2.199	-1.692	0.069	-0.027	-2.648	-1.736	-2.093	-2.5995	-2.6395	-2.9255	-2.8665	0.36	0.054	-0.359	-0.206	-0.766	0.3785	0.534	0.604	0.3805	-1.448	-2.836	0.412	-0.948	0.136
"YDL020C"	-0.506	1.277	1.627	1.197	0.643	1.421	1.988	2.012	0.828	-0.306	0.242	1.966	1.711	2.232	2.226	2.366	2.5	1.692	0.598	0.849	1.876	1.347	NaN	NaN	1.027	1.0495	1.5075	1.8415	0.609	-0.0535	-0.348	-0.03	-0.646	0.137	-0.294	0.083	0.765	0.9805	0.759	0.82	1.598	2.183	-0.927	0.024	0.25
"YDL112W"	0.0675	-0.4695	2.6415	-0.617	-0.5975	-0.9035	-0.5435	-0.8575	-0.5465	-0.3695	-0.5485	-0.288	-0.249	-0.156	0.885	0.028	-0.628	-0.792	-1.26	-0.4595	-0.852	-0.3915	0.1445	-0.3555	-1.54	-1.922	-1.552	0.135	-1.442	-1.1665	-0.1045	0.046	0.097	-0.264	-0.271	-0.5345	-0.3455	-0.336	-0.353	-0.3875	-0.904	-0.228	0.073	0.208	-0.1245
