	"409.heat shock 25 to 37, 20 minutes"	"410.heat shock 21 to 37, 20 minutes"	"854.YPD_6_h_30C"	"855.YPD_8_h_30C"	"856.YPD_10_h_30C"	"861.YPD_5_d_30C"	"862.Amino acid + adenine starvation 0.5 h"	"863.Amino acid + adenine starvation 1 h"	"942.starv_in_H2O_1_h_30C"	"1012.YPD 12 h (25C)"	"4778.DBY7286 + 0.3 mM H2O2 - 30 min"	"4783.29C to 33C -30 min"	"4787.29C +1M sorbitol to 33C + 1M sorbitol - 30 min"	"4789.33C + 1M sorbitol vs. 29C - adapted"	"8195.steady state 21 dec C"	"8234.dtt 240 min"	"8284.mcm1-1 + pRS315 vs wild type (strain 8354-8C)+ pRS315"	"12744.heat shock 17 to 37, 20 minutes"	"28851.P2Comp 11 hr 51 min Phosphate Batch vs Chemostat Comparison2"	"28857.P2Comp 25 hr 43 min Phosphate Batch vs Chemostat Comparison2"	"32627.S1Comp 11 hr 10 min Sulfate Batch vs Chemostat Comparison"	"32628.S1Comp 12 hr 57 min Sulfate Batch vs Chemostat Comparison"	"33774.DBY8778(wt)_stationary_phase_7hours"	"33775.DBY8778(wt)_stationary_phase_9hours"	"33779.delYPL230w_stationary_phase_5hours"	"33780.delYPL230w_stationary_phase_7hours"	"33781.delYPL230w_stationary_phase_9hours"	"34357.batch 02X25 1"	"38149.03II01 batch p5"	"38150.03II01 batch p6"	"42224.U2 Comp 08 hr 10 min Uracil Batch vs Chemostat Comparison (rescan)"	"44524.first half PM prep, array 2"
"YBL076C"	-1.76	-2.078	NaN	NaN	4.907	NaN	NaN	-2.465	6.892	-3.361	-0.303	0.284	-0.307	-0.167	-0.537	1.464	-0.764	-1.625	-0.6185	-1.2145	-1.192	-2.239	-3.674	-3.081	-2.613	-2.795	-1.983	0.088	0.916	0.679	-0.588	0.922
"YCR072C"	-3.503	-2.949	-4.777	-2.891	-2.433	-4.875	-2.593	-0.475	-3.092	-1.4095	NaN	0.385	0.47	0.55	0.585	-1.272	-0.121	-4.635	-0.848	-0.285	-1.759	-1.388	-2.819	-2.44	-3.703	-2.838	-1.67	-0.038	0.099	-0.254	-0.153	1.169
"YDL204W"	4.936	4.887	5.851	4.733	4.685	3.09	3.859	1.082	4.604	4.66	0.614	1.63	1.838	1.84	-0.917	1.978	1.14	5.38	1.72	1.142	2.683	2.406	5.526	4.943	5.864	4.642	3.788	-0.466	-0.909	-0.714	0.601	0.159
"YDR025W"	-3.031	-3.248	-3.904	-3.548	-3.252	-6.697	-2.477	-1.301	-3.357	-4.504	-0.322	-0.228	-0.217	-0.215	0.43	-2.304	-0.468	-3.042	-0.9625	-1.5045	-0.727	0.249	-4.772	-3.127	-3.906	-3.552	-2.869	0.592	0.26	0.578	-0.962	1.082
"YDR064W"	-2.822	-3.039	-3.874	-3.241	-2.585	-5.03	-1.992	-1.244	-3.208	-3.65	-0.228	-0.07	-0.386	0.006	0.478	-1.723	0.004	-2.16	-1.4465	-1.3175	-1.562	-0.164	-2.292	-2.803	-2.891	-2.804	-2.287	0.015	-0.586	0.137	0.483	-0.672
"YDR120C"	-2.817	-2.359	-2.742	-1.641	-1.333	-3.115	-2.604	-0.723	-2.891	-2.023	-0.284	-0.009	0.084	-0.172	0.189	-1.377	-0.273	-2.159	-0.675	-0.671	-1.374	-1.174	-1.254	-0.98	-2.616	-1.963	-1.33	0.322	0.067	-0.092	0.154	0.763
"YDR165W"	-2.874	-2.762	-4.096	-2.538	-2.179	-5.309	-2.69	-0.252	-3.015	-3.057	0.123	0.078	0.086	0.113	0.562	-1.145	-0.079	-2.787	0.429	-0.2635	-2.67	-1.091	-2.479	-2.722	-3.205	-2.632	-2.085	0.067	0.247	-0.342	-0.25	0.426
"YDR418W"	-2.789	-3.411	-3.707	-3.13	-2.7	-5.866	-2.231	-1.059	-3.315	-4.449	0.129	-0.226	-0.285	-0.127	0.724	-1.721	0.043	-2.74	-2.235	-2.047	-0.656	-1.201	-4.005	-2.423	-3.263	-3.057	-2.027	1.042	0.684	1.105	0.126	1.215
"YDR447C"	-3.242	-3.562	-4.882	-3.934	-3.531	-5.332	-2.316	-1.447	-3.574	-4.249	0.152	-0.264	-0.352	-0.151	0.39	-2.288	-0.489	-2.593	-2.4595	-0.5735	-1.224	-1.073	-3.67	-2.356	-4.358	-3.418	-2.211	0.877	-0.157	0.601	-1.106	0.59
"YDR513W"	2.488	2.811	3.15	2.222	1.921	-2.242	1.924	0.167	1.929	2.506	0.416	0.235	0.238	0.346	0.165	0.482	0.441	2.825	0.629	1.582	1.957	2.132	3.389	3.006	3.813	2.69	2.134	-0.614	1.057	1.516	-0.528	-0.115
