	"988.constant 0.32 mM H2O2 (60 min) redo"	"17017.Cal. State Univ. Stanislaus: Rich vs. Minimal media_Expt2"
"YBR078W"	-3.445	1.2325
"YBR085W"	-3.633	1.139
"YBR162C"	-4.207	0.984
"YBR289W"	-5.649	1.206
"YCR074C"	-4.046	0.1445
"YDR216W"	-4.105	0.9295
"YDR302W"	-4.727	1.797
"YER122C"	-6.549	2.7185
"YER156C"	-5.522	1.12
"YER172C"	-5.857	0.198
"YFL025C"	-4.095	1.2125
"YFR050C"	-5.037	1.479
"YGL090W"	-3.678	0.958
"YGL101W"	-8.322	1.99
"YGR025W"	-3.63	0.714
"YGR106C"	-4.165	0.654
"YHR166C"	-6.275	2.94
"YHR168W"	-9.184	2.203
"YHR186C"	-4.67	0.751
"YIL140W"	-7.284	1.07
"YJR001W"	-8.331	0.414
"YJR053W"	-5.802	1.621
"YJR075W"	-3.857	0.582
"YJR090C"	-5.877	1.0905
"YJR099W"	-7.72	2.597
"YKL011C"	-7.959	2.131
"YKL028W"	-6.753	0.18
"YKL098W"	-4.99	0.803
"YKL112W"	-7.081	1.562
"YKL129C"	-4.751	1.26
"YKL206C"	-6.964	1.665
"YKR077W"	-7.56	1.006
"YKR086W"	-4.993	1.47
"YKR096W"	-6.993	1.706
"YLR002C"	-8.173	2.135
"YLR067C"	-3.671	1.4755
"YML012W"	-5.348	0.361
"YMR287C"	-4.542	1.269
"YMR289W"	-6.886	1.9735
"YNL054W"	-4.643	0.740333333333333
"YNL083W"	-4.234	0.677
"YNL087W"	-5.391	1.3675
"YNL153C"	-7.676	1.0815
"YNL247W"	-6.959	1.652
"YNL259C"	-7.851	0.188
"YNR022C"	-6.234	0.367
"YOL026C"	-3.661	-0.556
"YOL038W"	-8.93	1.998
"YOL134C"	-7.15	1.595
"YOR143C"	-8.354	1.444
"YOR356W"	-4.669	1.8545
"YPL009C"	-7.176	-0.323
"YPL143W"	-7.853	1.716
"YPR057W"	-6.794	0.422
"YPR062W"	-8.31	1.924
"YPR139C"	-8.048	0.987
"YPR153W"	-5.225	1.297
"YPR156C"	-10.44	2.023
